,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics(normalized_no_stopwords),lyrics(normalized_with_stopwords),positive_score,negative_score,compound_score,sentiment_label,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,Joni Mitchell,bittersweet,Blue,/album/blue-mw0000193531,"I am on a lonely road and
I am traveling, traveling, traveling, traveling
Looking for something, what can it be
Oh I hate you some, I hate you some, I love you some
Oh I love you when I forget about me
I wanna be strong I wanna laugh along
I wanna belong to the living
Alive, alive, I want to get up and jive
I want to wreck my stockings in some jukebox dive
Do you want, do you want, do you wanna dance with me baby
Do you wanna take a chance on
Maybe finding some sweet romance with me baby, well come on

All I really really want is our love to do
Is to bring out the best in me and in you too
All I really really want our love to do
Is to bring out the best in me and in you
I wanna talk to you, I wanna shampoo you
I wanna renew you again and again
Applause, applause, life is our cause
When I think of your kisses my mind see-saws
Do you see, do you see, do you see how you hurt me baby
So I hurt you too
Then we both get so blue

I am on a lonely road and I am traveling
Looking for the key to set me free
Oh the jealousy
The greed is the unraveling it's the unraveling
And it undoes all the joy that could be
I wanna fun, I wanna shine like the sun
I wanna be the one that you want to see
I wanna knit you a sweater
Wanna write you a love letter
I wanna make you feel better, I wanna
Make you feel free
Hm hm hm, hm
Wanna make you feel all free
All I wanna make you feel free",lonely road travel travel travel travel look something oh hate hate love oh love forget wanna strong wanna laugh along wanna belong living alive alive want get jive want wreck stocking jukebox dive want want wanna dance baby wanna take chance maybe find sweet romance baby well come really really want love bring good really really want love bring good wanna talk wanna shampoo wanna renew applause applause life think kiss mind see saw see see see hurt baby hurt get blue lonely road travel look key set free oh jealousy greed unravel unraveling undo joy could wanna fun wanna shine like sun wanna one want see wanna knit sweater wanna write love letter wanna make feel good wanna make feel free hm hm hm hm wanna make feel free wanna make feel free,i be on a lonely road and i be travel travel travel travel look for something what can it be oh i hate you some i hate you some i love you some oh i love you when i forget about me i wanna be strong i wanna laugh along i wanna belong to the living alive alive i want to get up and jive i want to wreck my stocking in some jukebox dive do you want do you want do you wanna dance with me baby do you wanna take a chance on maybe find some sweet romance with me baby well come on all i really really want be our love to do be to bring out the good in me and in you too all i really really want our love to do be to bring out the good in me and in you i wanna talk to you i wanna shampoo you i wanna renew you again and again applause applause life be our because when i think of your kiss my mind see saw do you see do you see do you see how you hurt me baby so i hurt you too then we both get so blue i be on a lonely road and i be travel look for the key to set me free oh the jealousy the greed be the unravel it be the unraveling and it undo all the joy that could be i wanna fun i wanna shine like the sun i wanna be the one that you want to see i wanna knit you a sweater wanna write you a love letter i wanna make you feel good i wanna make you feel free hm hm hm hm wanna make you feel all free all i wanna make you feel free,0.436,0.136,0.9955,1,/lyric/850915/Joni+Mitchell/All+I+Want,['Pop/Rock'],3:32,"['autumnal', 'bittersweet', 'bright', 'brooding', 'dramatic', 'earthy', 'exuberant', 'gentle']",All I Want,https://www.allmusic.com/song/all-i-want-mt0002827814
1,Joni Mitchell,bittersweet,Blue,/album/blue-mw0000193531,"My old man he's a singer in the park
He's a walker in the rain
He's a dancer in the dark
We don't need no piece of paper from the city hall
Keeping us tied and true no, my old man
Keeping away my blues

He's my sunshine in the morning
He's my fireworks at the end of the day
He's the warmest chord I ever heard
Play that warm chord, play and stay baby
We don't need no piece of paper from the city hall
Keeping us tied and true, my old man
Keeping away my blues

But when he's gone
Me and them lonesome blues collide
The bed's too big
The frying pan's too wide

Then he comes home
And he takes me in his loving arms
And he tells me all his troubles
And he tells me all my charms
We don't need no piece of paper from the city hall
Keeping us tied and true no, my old man
Keeping away my blues

But when he's gone
Me and them lonesome blues collide
The bed's too big
The frying pan's too wide

My old man he's a singer in the park
He's a walker in the rain
He's a dancer in the dark
We don't need no piece of paper from the city hall
Keeping us tied and true no, my old man
Keeping away my lonesome blues",old man singer park walker rain dancer dark not need no piece paper city hall keep us tie true no old man keep away blue sunshine morning firework end day warm chord ever hear play warm chord play stay baby not need no piece paper city hall keep us tie true old man keep away blue go lonesome blue collide bed big fry pan wide come home take love arm tell trouble tell charm not need no piece paper city hall keep us tie true no old man keep away blue go lonesome blue collide bed big fry pan wide old man singer park walker rain dancer dark not need no piece paper city hall keep us tie true no old man keep away lonesome blue,my old man he be a singer in the park he be a walker in the rain he be a dancer in the dark we do not need no piece of paper from the city hall keep us tie and true no my old man keep away my blue he be my sunshine in the morning he be my firework at the end of the day he be the warm chord i ever hear play that warm chord play and stay baby we do not need no piece of paper from the city hall keep us tie and true my old man keep away my blue but when he be go me and them lonesome blue collide the bed too big the fry pan too wide then he come home and he take me in his love arm and he tell me all his trouble and he tell me all my charm we do not need no piece of paper from the city hall keep us tie and true no my old man keep away my blue but when he be go me and them lonesome blue collide the bed too big the fry pan too wide my old man he be a singer in the park he be a walker in the rain he be a dancer in the dark we do not need no piece of paper from the city hall keep us tie and true no my old man keep away my lonesome blue,0.273,0.081,0.9784,1,/lyric/2742430/Joni+Mitchell/My+Old+Man,['Pop/Rock'],3:33,"['autumnal', 'bittersweet', 'bright', 'brooding', 'dramatic', 'earthy', 'exuberant', 'gentle']",My Old Man,https://www.allmusic.com/song/my-old-man-mt0001664206
2,Joni Mitchell,bittersweet,Blue,/album/blue-mw0000193531,"Born with the moon in Cancer
Choose her a name she'll answer too
Call her green and the winters can not fade her
Call her green for the children who have made her little, green
Be a gypsy dancer

He went to California
Hearing that everything's warmer there
So you write him a letter, say, ""her eyes are blue""
He sends you a poem and she's lost to you
Little, green, he's a non-comformer

Just a little green
Like the color when the spring is born
There'll be crocuses to bring to school tomorrow
Just a little green
Like the night's when the Northern lights perform
There'll be icicles and birthday clothes and sometimes
There'll be sorrow

Child with a child pretending
Weary of lies you're sending home
So you sign all the papers in the family name
You're sad and you're sorry but you're not ashamed, little green
Have a happy ending

Just a little green
Like the color when the spring is born
There'll be crocuses to bring to school tomorrow
Just a little green
Like the night's when the Northern lights perform
There'll be icicles and birthday clothes
And sometimes there'll be sorrow",bear moon cancer choose name answer call green winter not fade call green child make little green gypsy dancer go california hear everything warm write letter say eye blue send poem lose little green non comformer little green like color spring bear crocus bring school tomorrow little green like night northern light perform icicle birthday clothe sometimes sorrow child child pretend weary lie send home sign paper family name sad sorry not ashamed little green happy ending little green like color spring bear crocus bring school tomorrow little green like night northern light perform icicle birthday clothe sometimes sorrow,bear with the moon in cancer choose her a name she will answer too call her green and the winter can not fade her call her green for the child who have make her little green be a gypsy dancer he go to california hear that everything warm there so you write him a letter say her eye be blue he send you a poem and she be lose to you little green he be a non comformer just a little green like the color when the spring be bear there will be crocus to bring to school tomorrow just a little green like the night when the northern light perform there will be icicle and birthday clothe and sometimes there will be sorrow child with a child pretend weary of lie you be send home so you sign all the paper in the family name you be sad and you be sorry but you be not ashamed little green have a happy ending just a little green like the color when the spring be bear there will be crocus to bring to school tomorrow just a little green like the night when the northern light perform there will be icicle and birthday clothe and sometimes there will be sorrow,0.137,0.178,-0.7217,0,/lyric/2742431/Joni+Mitchell/Little+Green,['Pop/Rock'],3:25,"['autumnal', 'bittersweet', 'bright', 'brooding', 'dramatic', 'earthy', 'exuberant', 'gentle']",Little Green,https://www.allmusic.com/song/little-green-mt0002357713
3,Joni Mitchell,bittersweet,Blue,/album/blue-mw0000193531,"The wind is in from Africa
Last night I couldn't sleep
Oh, you know it sure is hard to leave here Carey
But it's really not my home
My fingernails are filthy
I've got beach tar on my feet
And I miss my clean white linen and my fancy French cologne

Oh Carey get out your cane (Carey get out your cane)
And I'll put on some silver (I'll put on some silver)
Oh you're a mean old Daddy, but I like you fine

Come on down to the Mermaid Cafe
And I will buy you a bottle of wine
And we'll laugh and toast to nothing and
Smash our empty glasses down
Let's have a round for these freaks and these soldiers
A round for these friends of mine
Let's have another round for the bright red devil, who
Keeps me in this tourist town

Come on Carey get out your cane (Carey get out your cane)
And I'll put on some silver (I'll put on some silver)
Oh you're a mean old Daddy, but I like you
I like you, I like you, I like you

Maybe I'll go to Amsterdam
Or maybe I'll go to Rome
And rent me a grand piano and put some flowers 'round my room
But let's not talk about fare-thee-wells now
The night is a starry dome
And they're playin' that scratchy rock and roll
Beneath the Matalla Moon

Come on Carey get out your cane (Carey get out your cane)
And I'll put on some silver (I'll put on some silver)
You're a mean old Daddy, but I like you

The wind is in from Africa
Last night I couldn't sleep
Oh, you know it sure is hard to leave here, but it's
Really not my home
Maybe it's been too long a time since I was
Scramblin' down in the street
Now they got me used to that clean white linen and that
Fancy French cologne

Oh Carey, get out your cane (Carey get out your cane)
I'll put on my finest silver (I'll put on some silver)
We'll go to the Mermaid Cafe, have fun tonight
I said, oh, you're a mean old Daddy, but you're out of sight",wind africa last night could not sleep oh know sure hard leave carey really not home fingernail filthy get beach tar foot miss clean white linen fancy french cologne oh carey get cane carey get cane put silver put silver oh mean old daddy like fine come mermaid cafe buy bottle wine laugh toast nothing smash empty glass let us round freak soldier round friend mine let us another round bright red devil keep tourist town come carey get cane carey get cane put silver put silver oh mean old daddy like like like like maybe go amsterdam maybe go rome rent grand piano put flower round room let us not talk fare thee well night starry dome playin scratchy rock roll beneath matalla moon come carey get cane carey get cane put silver put silver mean old daddy like wind africa last night could not sleep oh know sure hard leave really not home maybe long time since scramblin street get use clean white linen fancy french cologne oh carey get cane carey get cane put fine silver put silver go mermaid cafe fun tonight say oh mean old daddy sight,the wind be in from africa last night i could not sleep oh you know it sure be hard to leave here carey but it be really not my home my fingernail be filthy i have get beach tar on my foot and i miss my clean white linen and my fancy french cologne oh carey get out your cane carey get out your cane and i will put on some silver i will put on some silver oh you be a mean old daddy but i like you fine come on down to the mermaid cafe and i will buy you a bottle of wine and we will laugh and toast to nothing and smash our empty glass down let us have a round for these freak and these soldier a round for these friend of mine let us have another round for the bright red devil who keep me in this tourist town come on carey get out your cane carey get out your cane and i will put on some silver i will put on some silver oh you be a mean old daddy but i like you i like you i like you i like you maybe i will go to amsterdam or maybe i will go to rome and rent me a grand piano and put some flower round my room but let us not talk about fare thee well now the night be a starry dome and they be playin that scratchy rock and roll beneath the matalla moon come on carey get out your cane carey get out your cane and i will put on some silver i will put on some silver you be a mean old daddy but i like you the wind be in from africa last night i could not sleep oh you know it sure be hard to leave here but it be really not my home maybe it be be too long a time since i be scramblin down in the street now they get me use to that clean white linen and that fancy french cologne oh carey get out your cane carey get out your cane i will put on my fine silver i will put on some silver we will go to the mermaid cafe have fun tonight i say oh you be a mean old daddy but you be out of sight,0.211,0.062,0.9851,1,/lyric/3008694/Joni+Mitchell/Carey,['Pop/Rock'],3:00,"['autumnal', 'bittersweet', 'bright', 'brooding', 'dramatic', 'earthy', 'exuberant', 'gentle']",Carey,https://www.allmusic.com/song/carey-mt0005259829
4,Joni Mitchell,bittersweet,Blue,/album/blue-mw0000193531,"I think of tears, I think of rain on shingles
I think of rain, I think of roses blue
I think of Rose, my heart begins to tremble
To see the place she's lately gotten to
Gotten to, gotten to

She's gotten to mysterious devotions
She's gotten to the zodiac and Zen
She's gotten into tarot cards and potions
She's laying her religion on her friends
On her friends, on her friends

Friends who come to ask her for their future
Friends who come to find they can't be friends
Because of signs and seasons that don't suit her
She'll prophesy your death, she won't say when
Won't say when, won't say when

When all the black cards come you cannot barter
No, when all your stars are stacked you cannot win
She'll shake her head and treat you like a martyr
It is her blackest spell she puts you in
Puts you in, puts you in

In sorrow she can lure you where she wants you
Inside your own self-pity there you swim
In sinking down to drown her voice still haunts you
And only with your laughter can you win
Can you win, can you win

You win the lasting laurels with your laughter
It reaches like an arm before you sink
To win the solitary truth you're after
You dare not ask the priestess how to think
How to think, how to think

I think of tears, I think of rain on shingles
I think of rain, I think of roses blue
I think of Rose, my heart begins to tremble
To see the place she's lately gotten to
Gotten to, gotten to",think tear think rain shingle think rain think rose blue think rise heart begin tremble see place lately get get get get mysterious devotion get zodiac zen get tarot card potion lay religion friend friend friend friend come ask future friend come find not friend sign season not suit prophesy death not say not say not say black card come not barter no star stack not win shake head treat like martyr black spell put put put sorrow lure want inside self pity swim sink drown voice still haunt laughter win win win win lasting laurel laughter reach like arm sink win solitary truth dare not ask priestess think think think think tear think rain shingle think rain think rose blue think rise heart begin tremble see place lately get get get,i think of tear i think of rain on shingle i think of rain i think of rose blue i think of rise my heart begin to tremble to see the place she be lately get to get to get to she be get to mysterious devotion she be get to the zodiac and zen she be get into tarot card and potion she be lay her religion on her friend on her friend on her friend friend who come to ask her for their future friend who come to find they can not be friend because of sign and season that do not suit her she will prophesy your death she will not say when will not say when will not say when when all the black card come you can not barter no when all your star be stack you can not win she will shake her head and treat you like a martyr it be her black spell she put you in put you in put you in in sorrow she can lure you where she want you inside your own self pity there you swim in sink down to drown her voice still haunt you and only with your laughter can you win can you win can you win you win the lasting laurel with your laughter it reach like an arm before you sink to win the solitary truth you be after you dare not ask the priestess how to think how to think how to think i think of tear i think of rain on shingle i think of rain i think of rose blue i think of rise my heart begin to tremble to see the place she be lately get to get to get to,0.258,0.188,0.8726,1,/lyric/2812931/Joni+Mitchell/Roses+Blue,['Pop/Rock'],3:00,"['autumnal', 'bittersweet', 'bright', 'brooding', 'dramatic', 'earthy', 'exuberant', 'gentle']",Blue,https://www.allmusic.com/song/blue-mt0008527038
5,Joni Mitchell,bittersweet,Blue,/album/blue-mw0000193531,"Sitting in a park in Paris, France
Reading the news and it sure looks bad
They won't give peace a chance
That was just a dream some of us had
Still a lot of lands to see
But I wouldn't stay here
It's too old and cold and settled in its ways here

Oh, but California
California, I'm coming home
I'm going to see the folks I dig
I'll even kiss a sunset pig
California, I'm coming home

I met a redneck on a Grecian isle
Who did the goat dance very well
He gave me back my smile
But he kept my camera to sell
Oh the rogue, the red, red rogue
He cooked good omelets and stews
And I might have stayed on with him there
But my heart cried out for you, California
Oh California, I'm coming home
Oh make me feel good rock'n roll band
I'm your biggest fan
California, I'm coming home

Oh it gets so lonely
When you're walking
And the streets are full of strangers
All the news of home you read
Just gives you the blues
Just gives you the blues

So I bought me a ticket
I caught a plane to Spain
Went to a party down a red dirt road
There were lots of pretty people there
Reading Rolling Stone, reading Vogue
They said, ""How long can you hang around?""
I said a week, maybe two
Just until my skin turns brown
Then I'm going home to California
California, I'm coming home
Oh will you take me as I am
Strung out on another man
California, I'm coming home

Oh it gets so lonely
When you're walking
And the streets are full of strangers
All the news of home you read
More about the war
And the bloody changes
Oh will you take me as I am?
Will you take me as I am?
Will you?
Will you take me as I am?
Take me as I am",sit park paris france read news sure look bad not give peace chance dream us still lot land see would not stay old cold settle way oh california california come home go see folk dig even kiss sunset pig california come home meet redneck grecian isle goat dance well give back smile keep camera sell oh rogue red red rogue cook good omelet stew may stay heart cry california oh california come home oh make feel good rockn roll band big fan california come home oh get lonely walk street full stranger news home read give blue give blue buy ticket catch plane spain go party red dirt road lot pretty people read roll stone read vogue say long hang around say week maybe two skin turn brown go home california california come home oh take strung another man california come home oh get lonely walk street full stranger news home read war bloody change oh take take take take,sit in a park in paris france read the news and it sure look bad they will not give peace a chance that be just a dream some of us have still a lot of land to see but i would not stay here it be too old and cold and settle in its way here oh but california california i be come home i be go to see the folk i dig i will even kiss a sunset pig california i be come home i meet a redneck on a grecian isle who do the goat dance very well he give me back my smile but he keep my camera to sell oh the rogue the red red rogue he cook good omelet and stew and i may have stay on with him there but my heart cry out for you california oh california i be come home oh make me feel good rockn roll band i be your big fan california i be come home oh it get so lonely when you be walk and the street be full of stranger all the news of home you read just give you the blue just give you the blue so i buy me a ticket i catch a plane to spain go to a party down a red dirt road there be lot of pretty people there read roll stone read vogue they say how long can you hang around i say a week maybe two just until my skin turn brown then i be go home to california california i be come home oh will you take me as i be strung out on another man california i be come home oh it get so lonely when you be walk and the street be full of stranger all the news of home you read more about the war and the bloody change oh will you take me as i be will you take me as i be will you will you take me as i be take me as i be,0.134,0.132,-0.1754,0,/lyric/2742434/Joni+Mitchell/California,['Pop/Rock'],3:48,"['autumnal', 'bittersweet', 'bright', 'brooding', 'dramatic', 'earthy', 'exuberant', 'gentle']",California,https://www.allmusic.com/song/california-mt0002911696
6,Joni Mitchell,bittersweet,Blue,/album/blue-mw0000193531,"Look out the left the captain said
The lights down there, that's where we'll land
I saw a falling star burn up
Above the Las Vegas sands
It wasn't the one that you gave to me
That night down south between the trailers
Not the early one
That you can wish upon,
Not the northern one
That guides in the sailors

Oh star bright, star bright
You've got the lovin' that I like, all right
Turn this crazy bird around
I shouldn't have got on this flight tonight

You got the touch so gentle and sweet
But you've got that look so critical
Now I can't talk to you baby
I get so weak
Sometimes I think love is just mythical
Up there's a heaven
Down there's a town
Blackness everywhere and little lights shine
Oh, blackness, blackness dragging me down
Come on light the candle in this poor heart of mine

Oh star bright, star bright
You've got the lovin' that I like, all right
Turn this crazy bird around
I shouldn't hove got on this flight tonight

I'm drinking sweet champagne
Got the headphones up high
Can't numb you out
Can't drum you out of my mind
They're playing, Goodbye baby, Baby Goodbye,
Ooh, ooh, love is blind

Up go the flaps, down go the wheels
I hope you got your heat turned on baby
I hope they finally fixed your automobile
I hope it's better when we meet again baby

Star bright, star bright
You got the lovin' that I like, all right
Turn this crazy bird around
I shouldn't have got on this flight tonight",look left captain say light land see fall star burn la vegas sand not one give night south trailer not early one wish upon not northern one guide sailor oh star bright star bright get love like right turn crazy bird around not get flight tonight get touch gentle sweet get look critical not talk baby get weak sometimes think love mythical heaven town blackness everywhere little light shine oh blackness blackness drag come light candle poor heart mine oh star bright star bright get love like right turn crazy bird around not hove get flight tonight drink sweet champagne get headphone high not numb not drum mind play goodbye baby baby goodbye ooh ooh love blind go flap go wheel hope get heat turn baby hope finally fix automobile hope good meet baby star bright star bright get love like right turn crazy bird around not get flight tonight,look out the left the captain say the light down there that be where we will land i see a fall star burn up above the la vegas sand it be not the one that you give to me that night down south between the trailer not the early one that you can wish upon not the northern one that guide in the sailor oh star bright star bright you have get the love that i like all right turn this crazy bird around i should not have get on this flight tonight you get the touch so gentle and sweet but you have get that look so critical now i can not talk to you baby i get so weak sometimes i think love be just mythical up there be a heaven down there be a town blackness everywhere and little light shine oh blackness blackness drag me down come on light the candle in this poor heart of mine oh star bright star bright you have get the love that i like all right turn this crazy bird around i should not hove get on this flight tonight i be drink sweet champagne get the headphone up high can not numb you out can not drum you out of my mind they be play goodbye baby baby goodbye ooh ooh love be blind up go the flap down go the wheel i hope you get your heat turn on baby i hope they finally fix your automobile i hope it be good when we meet again baby star bright star bright you get the love that i like all right turn this crazy bird around i should not have get on this flight tonight,0.345,0.114,0.9941,1,/lyric/2742435/Joni+Mitchell/This+Flight+Tonight,['Pop/Rock'],2:50,"['autumnal', 'bittersweet', 'bright', 'brooding', 'dramatic', 'earthy', 'exuberant', 'gentle']",This Flight Tonight,https://www.allmusic.com/song/this-flight-tonight-mt0000845728
7,Joni Mitchell,bittersweet,Blue,/album/blue-mw0000193531,"It's coming on Christmas
They're cutting down trees
They're putting up reindeer
And singing songs of joy and peace
Oh, I wish I had a river
I could skate away on
But it don't snow here
It stays pretty green
I'm going to make a lot of money
Then I'm going to quit this crazy scene
I wish I had a river
I could skate away on
I wish I had a river so long
I would teach my feet to fly
Oh, I wish I had a river
I could skate away on
I made my baby cry

He tried hard to help me
You know, he put me at ease
And he loved me so naughty
Made me weak in the knees
Oh, I wish I had a river
I could skate away on
I'm so hard to handle
I'm selfish and I'm sad
Now I've gone and lost the best baby
That I ever had
Oh, I wish I had a river
I could skate away on
I wish I had a river so long
I would teach my feet to fly
Oh, I wish I had a river
I made my baby say goodbye

It's coming on Christmas
They're cutting down trees
They're putting up reindeer
Singing songs of joy and peace
I wish I had a river
I could skate away on",come christma cut tree put reindeer sing song joy peace oh wish river could skate away not snow stay pretty green go make lot money go quit crazy scene wish river could skate away wish river long would teach foot fly oh wish river could skate away make baby cry try hard help know put ease love naughty make weak knee oh wish river could skate away hard handle selfish sad go lose good baby ever oh wish river could skate away wish river long would teach foot fly oh wish river make baby say goodbye come christma cut tree put reindeer singing song joy peace wish river could skate away,it be come on christma they be cut down tree they be put up reindeer and sing song of joy and peace oh i wish i have a river i could skate away on but it do not snow here it stay pretty green i be go to make a lot of money then i be go to quit this crazy scene i wish i have a river i could skate away on i wish i have a river so long i would teach my foot to fly oh i wish i have a river i could skate away on i make my baby cry he try hard to help me you know he put me at ease and he love me so naughty make me weak in the knee oh i wish i have a river i could skate away on i be so hard to handle i be selfish and i be sad now i have go and lose the good baby that i ever have oh i wish i have a river i could skate away on i wish i have a river so long i would teach my foot to fly oh i wish i have a river i make my baby say goodbye it be come on christma they be cut down tree they be put up reindeer singing song of joy and peace i wish i have a river i could skate away on,0.318,0.167,0.9783,1,/lyric/3008700/Joni+Mitchell/River,['Pop/Rock'],4:00,"['autumnal', 'bittersweet', 'bright', 'brooding', 'dramatic', 'earthy', 'exuberant', 'gentle']",River,https://www.allmusic.com/song/river-mt0000072806
8,Joni Mitchell,bittersweet,Blue,/album/blue-mw0000193531,"The last time I saw Richard was Detroit in '68,
And he told me all romantics meet the same fate someday
Cynical and drunk and boring someone in some dark cafe
You laugh, he said you think you're immune, go look at your eyes
They're full of moon
You like roses and kisses and pretty men to tell you
All those pretty lies, pretty lies
When you gonna realize they're only pretty lies
Only pretty lies, just pretty lies

He put a quarter in the Wurlitzer, and he pushed
Three buttons and the thing began to whirr
And a bar maid came by in fishnet stockings and a bow tie
And she said drink up now it's gettin' on time to close
Richard, you haven't really changed, I said
It's just that now you're romanticizing some pain that's in your head
You got tombs in your eyes, but the songs
You punched are dreaming
Listen, they sing of love so sweet, love so sweet
When you gonna get yourself back on your feet?
Oh and love can be so sweet, love so sweet

Richard got married to a figure skater
And he bought her a dishwasher and a Coffee percolator
And he drinks at home now most nights with the TV on
And all the house lights left up bright
I'm gonna blow this damn candle out
I don't want Nobody comin' over to my table
I got nothing to talk to anybody about
All good dreamers pass this way some day
Hidin' behind bottles in dark cafes
Dark cafes
Only a dark cocoon before I get my gorgeous wings
And fly away
Only a phase, these dark cafe days",last time see richard detroit tell romantic meet fate someday cynical drunk boring someone dark cafe laugh say think immune go look eye full moon like rose kiss pretty man tell pretty lie pretty lie go realize pretty lie pretty lie pretty lie put quarter wurlitzer push three button thing begin whirr bar maid come fishnet stocking bow tie say drink gettin time close richard not really change say romanticize pain head get tomb eye song punch dream listen sing love sweet love sweet go get back foot oh love sweet love sweet richard get marry figure skater buy dishwasher coffee percolator drink home night tv house light leave bright go blow damn candle not want nobody comin table get nothing talk anybody good dreamer pass way day hidin behind bottle dark cafe dark cafe dark cocoon get gorgeous wing fly away phase dark cafe day,the last time i see richard be detroit in and he tell me all romantic meet the same fate someday cynical and drunk and boring someone in some dark cafe you laugh he say you think you be immune go look at your eye they be full of moon you like rose and kiss and pretty man to tell you all those pretty lie pretty lie when you go to realize they be only pretty lie only pretty lie just pretty lie he put a quarter in the wurlitzer and he push three button and the thing begin to whirr and a bar maid come by in fishnet stocking and a bow tie and she say drink up now it be gettin on time to close richard you have not really change i say it be just that now you be romanticize some pain that be in your head you get tomb in your eye but the song you punch be dream listen they sing of love so sweet love so sweet when you go to get yourself back on your foot oh and love can be so sweet love so sweet richard get marry to a figure skater and he buy her a dishwasher and a coffee percolator and he drink at home now most night with the tv on and all the house light leave up bright i be go to blow this damn candle out i do not want nobody comin over to my table i get nothing to talk to anybody about all good dreamer pass this way some day hidin behind bottle in dark cafe dark cafe only a dark cocoon before i get my gorgeous wing and fly away only a phase these dark cafe day,0.357,0.088,0.9955,1,/lyric/850919/Joni+Mitchell/The+Last+Time+I+Saw+Richard,['Pop/Rock'],4:13,"['autumnal', 'bittersweet', 'bright', 'brooding', 'dramatic', 'earthy', 'exuberant', 'gentle']",The Last Time I Saw Richard,https://www.allmusic.com/song/the-last-time-i-saw-richard-mt0004202211
9,Sandy Denny,bittersweet,No More Sad Refrains: The?,/album/no-more-sad-refrains-the-anthology-mw0000084609,"Across the purple sky, all the birds are leaving
But how can they know it's time for them to go?
Before the winter fire, I will still be dreaming
I have no thought of time

For who knows where the time goes?
Who knows where the time goes?

Sad, deserted shore, your fickle friends are leaving
Ah, but then you know it's time for them to go
But I will still be here, I have no thought of leaving
I do not count the time

For who knows where the time goes?
Who knows where the time goes?

And I am not alone while my love is near me
I know it will be so until it's time to go
So come the storms of winter and then the birds in spring again
I do not fear the time

For who knows how my love grows?
And who knows where the time goes?
",across purple sky bird leave know time go winter fire still dream no thought time know time go know time go sad deserted shore fickle friend leave ah know time go still no thought leave not count time know time go know time go not alone love near know time go come storm winter bird spring not fear time know love grow know time go,across the purple sky all the bird be leave but how can they know it be time for them to go before the winter fire i will still be dream i have no thought of time for who know where the time go who know where the time go sad deserted shore your fickle friend be leave ah but then you know it be time for them to go but i will still be here i have no thought of leave i do not count the time for who know where the time go who know where the time go and i be not alone while my love be near me i know it will be so until it be time to go so come the storm of winter and then the bird in spring again i do not fear the time for who know how my love grow and who know where the time go ,0.117,0.247,-0.8257,0,/lyric/860539/Sandy+Denny/Who+Knows+Where+the+Time+Goes%3F,"['Folk', 'Pop/Rock']",5:10,"['bittersweet', 'cathartic', 'cerebral', 'dramatic', 'earnest', 'earthy', 'ethereal', 'gutsy']",Who Knows Where the Time Goes?,https://www.allmusic.com/song/who-knows-where-the-time-goes-mt0001116296
