,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics(normalized_no_stopwords),lyrics(normalized_with_stopwords),positive_score,negative_score,compound_score,sentiment_label,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,Phil Collins,earnest,Face Value,/album/face-value-mw0000189462,"It must be love, I'm feeling
This must be love
Oh this must be love, I'm feeling
This must be love

Well I wait in every day, just in case
You decide to call
And I can hardly wait
'Cause I never thought time could pass so slowly 

It must be love, I'm feeling
This must be love
Oh this must be love, I'm feeling
This must be love 

Happiness is something I never thought I'd feel again,
But now I know, oh
It's you that I've been looking for
And day by day more and more
Well, I know what you think, you've heard it before
Don't tell me I know
But this feeling inside my heart
You know I'm never letting go
'Cause I think that

It must be love, I'm feeling
This must be love
Oh this must be love, I'm feeling
This must be love

Words can only say so much
It's hard to express, oh
The things you do to me
You're everything I could've ever dreamed you'd be and

This must be love, I'm feeling
This must be love, oh
This must be love, I'm feeling
This must be love

This must be love, I'm feeling
This must be love, oh
This must be love, I'm feeling
This must be love, oh

This must be love, I'm feeling
This must be love, oh
This must be love, I'm feeling
This must be love",must love feel must love oh must love feel must love well wait every day case decide call hardly wait ecause never think time could pass slowly must love feel must love oh must love feel must love happiness something never think would feel know oh look day day well know think hear not tell know feeling inside heart know never let go ecause think must love feel must love oh must love feel must love word say much hard express oh thing everything could ever dream would must love feel must love oh must love feel must love must love feel must love oh must love feel must love oh must love feel must love oh must love feel must love,it must be love i be feel this must be love oh this must be love i be feel this must be love well i wait in every day just in case you decide to call and i can hardly wait ecause i never think time could pass so slowly it must be love i be feel this must be love oh this must be love i be feel this must be love happiness be something i never think i would feel again but now i know oh it be you that i have be look for and day by day more and more well i know what you think you have hear it before do not tell me i know but this feeling inside my heart you know i be never let go ecause i think that it must be love i be feel this must be love oh this must be love i be feel this must be love word can only say so much it be hard to express oh the thing you do to me you be everything i could have ever dream you would be and this must be love i be feel this must be love oh this must be love i be feel this must be love this must be love i be feel this must be love oh this must be love i be feel this must be love oh this must be love i be feel this must be love oh this must be love i be feel this must be love,0.539,0.013,0.9989,1,/lyric/2016225/Phil+Collins/This+Must+Be+Love,['Pop/Rock'],3:56,"['delicate', 'earnest', 'gentle', 'intimate', 'nocturnal', 'refined', 'reflective', 'sensual']",This Must Be Love,https://www.allmusic.com/song/this-must-be-love-mt0012495229
1,Phil Collins,earnest,Face Value,/album/face-value-mw0000189462,"The roof is leaking and the wind is howling
Kids are crying 'cause the sheets are so cold
Woke this morning found my hands were frozen
I've tried to fix the fire, but you know the damn thing's too old 

It's been months now, since we heard from our Mary,
I wonder if she ever made the coast
Well, she and her young man, they both moved out there
I sure hope they write, just to let us know 

And me, I'm getting stronger by the minute
My wife's expecting, but I hope she can wait
'Cause this winter looks like it's gonna be another bad one
But spring'll soon be here,
Oh God I hope it's not late

Ma and pa lived here, and theirs before them
They tried their hardest to make it a home
Seems so long now since they passed over
Hope my children'll try to make it their own

The roof is leaking and the wind is howling
The kinds are crying, 'cause the sheets are so cold
Woke this morning found my hands were frozen
Oh, I've tried to fix the fire, but you know the damn thing's too old 

But me oh, I'm getting stronger by the minute
My wife's expecting, but I hope she can wait
'Cause this winter looks like it's gonna be another bad one
But spring'll soon be here,
Oh, God I hope it's not late",roof leak wind howl kid cry ecause sheet cold wake morning find hand freeze try fix fire know damn thing old month since hear mary wonder ever make coast well young man move sure hope write let us know get strong minute wife expect hope wait ecause winter look like go another bad one springll soon oh god hope not late pa live try hard make home seem long since pass hope childrenll try make roof leak wind howl kind cry ecause sheet cold wake morning find hand freeze oh try fix fire know damn thing old oh get strong minute wife expect hope wait ecause winter look like go another bad one springll soon oh god hope not late,the roof be leak and the wind be howl kid be cry ecause the sheet be so cold wake this morning find my hand be freeze i have try to fix the fire but you know the damn thing too old it be be month now since we hear from our mary i wonder if she ever make the coast well she and her young man they both move out there i sure hope they write just to let us know and me i be get strong by the minute my wife expect but i hope she can wait ecause this winter look like it be go to be another bad one but springll soon be here oh god i hope it be not late ma and pa live here and theirs before them they try their hard to make it a home seem so long now since they pass over hope my childrenll try to make it their own the roof be leak and the wind be howl the kind be cry ecause the sheet be so cold wake this morning find my hand be freeze oh i have try to fix the fire but you know the damn thing too old but me oh i be get strong by the minute my wife expect but i hope she can wait ecause this winter look like it be go to be another bad one but springll soon be here oh god i hope it be not late,0.294,0.175,0.9531,1,/lyric/30908490/Phil+Collins/The+Roof+Is+Leaking+%28Nicka%E2%80%99s+Stella+Polaris+Interpretation%29,['Pop/Rock'],3:18,"['earnest', 'intimate', 'nocturnal', 'refined', 'sensual', 'smooth', 'soothing', 'warm']",The Roof Is Leaking,https://www.allmusic.com/song/the-roof-is-leaking-mt0012481888
2,Phil Collins,earnest,Face Value,/album/face-value-mw0000189462,"Just as I thought I'd make it
You walk back into my life
Just like you never left 

Just as I'd learned to be lonely
You call up to tell me
You're not sure if you're ready
Oh, but ready or not, you'll take what you've got and leave 

Oh, leave me alone with my heart
I'm putting the pieces back together again
Just leave, leave me alone with my dreams
I can do without you, know what I mean

I wish I could write a love song
To show you the way I feel
Seems you don't like to listen
Oh but like it or not, take what you've got and you leave 

Oh, leave me alone with my heart
It's broken in two and I'm not, I'm not thinking too straight
Just leave, oh, leave me alone with my dreams
You've taken everything else, you know what I mean",think would make walk back life like never leave would learn lonely call tell not sure ready oh ready not take get leave oh leave alone heart put piece back together leave leave alone dream without know mean wish could write love song show way feel seem not like listen oh like not take get leave oh leave alone heart break two not not think straight leave oh leave alone dream take everything else know mean,just as i think i would make it you walk back into my life just like you never leave just as i would learn to be lonely you call up to tell me you be not sure if you be ready oh but ready or not you will take what you have get and leave oh leave me alone with my heart i be put the piece back together again just leave leave me alone with my dream i can do without you know what i mean i wish i could write a love song to show you the way i feel seem you do not like to listen oh but like it or not take what you have get and you leave oh leave me alone with my heart it be break in two and i be not i be not think too straight just leave oh leave me alone with my dream you have take everything else you know what i mean,0.282,0.194,0.3787,1,/lyric/2016231/Phil+Collins/You+Know+What+I+Mean,['Pop/Rock'],2:33,"['earnest', 'intimate', 'nocturnal', 'refined', 'sensual', 'smooth', 'warm', 'atmospheric']",You Know What I Mean,https://www.allmusic.com/song/you-know-what-i-mean-mt0012499568
3,Phil Collins,earnest,Face Value,/album/face-value-mw0000189462,"Yeah
Aww
I never ever thought I'd ever get tired of playing games
Ooh, but I've been holding back for too long
Now the time has come I'm gonna get it right
Now's the time to show them all that they're wrong 

Oh oh 'cause they said thunder and they said lightning
It would never strike twice
Oh but if that's true, then why can't you tell me
How come this feels so nice, oh it feels alright 
Feels alright, alright

I never ever did believe in guiding lights
'Cause what you didn't hold, slipped away
Oh but there's a feeling deep down in my shoes
'Cause things look like they're going my way 

Ah ha, 'cause they say thunder and they say lightning
It would never strike twice
Oh but if that's true, then why can't you tell me
How come this feels so nice, so nice, it feels alright 

Yeah
Oh
I never ever did believe in a second chance
You get, just one crack of the whip, that's all
If you played the game, you got treated right
Oh, but I'm not playing the game, no more

Ah ho, and they say thunder and they say lightning
It would never strike twice
Oh, but if that's true, then why can't you tell me
How come this feels so nice
Ah ho, and they say thunder and they say lightning
It would never strike twice
Oh, but if that's true, then why can't you tell me
How come this feels so nice
So nice
When they say thunder, they say lightning
It would never strike twice",yeah aww never ever think would ever get tired playing game ooh hold back long time come go get right time show wrong oh oh ecause say thunder say lightn would never strike twice oh true not tell come feel nice oh feel alright feel alright alright never ever believe guide light ecause not hold slip away oh feel deep shoe ecause thing look like go way ah ha ecause say thunder say lightn would never strike twice oh true not tell come feel nice nice feel alright yeah oh never ever believe second chance get one crack whip play game get treat right oh not play game no ah ho say thunder say lightn would never strike twice oh true not tell come feel nice ah ho say thunder say lightn would never strike twice oh true not tell come feel nice nice say thunder say lightn would never strike twice,yeah aww i never ever think i would ever get tired of playing game ooh but i have be hold back for too long now the time have come i be go to get it right now the time to show them all that they be wrong oh oh ecause they say thunder and they say lightn it would never strike twice oh but if that be true then why can not you tell me how come this feel so nice oh it feel alright feel alright alright i never ever do believe in guide light ecause what you do not hold slip away oh but there be a feel deep down in my shoe ecause thing look like they be go my way ah ha ecause they say thunder and they say lightn it would never strike twice oh but if that be true then why can not you tell me how come this feel so nice so nice it feel alright yeah oh i never ever do believe in a second chance you get just one crack of the whip that be all if you play the game you get treat right oh but i be not play the game no more ah ho and they say thunder and they say lightn it would never strike twice oh but if that be true then why can not you tell me how come this feel so nice ah ho and they say thunder and they say lightn it would never strike twice oh but if that be true then why can not you tell me how come this feel so nice so nice when they say thunder they say lightn it would never strike twice,0.34,0.031,0.9929,1,/lyric/2016232/Phil+Collins/Thunder+and+Lightning,['Pop/Rock'],4:13,"['earnest', 'intimate', 'nocturnal', 'refined', 'sensual', 'smooth', 'soothing', 'warm']",Thunder and Lightning,https://www.allmusic.com/song/thunder-and-lightning-mt0012480318
4,Phil Collins,earnest,Face Value,/album/face-value-mw0000189462,"If you feel it do it,
You don't need a reason
For all you know it could be good for you 

To show your feelings (oh)
Ooh, don't just leave them
Do the things you believe in, it's alright
Don't worry turn around (don't worry turn around), I will still be here 

I'm not moving (I'm not going anywhere), don't worry
Are you just trying and push me out (just trying)
No, I'm not moving (I'm not going anywhere)
No, I'm not going anywhere tonight

If you think it, say it (oh)
No-one can stop you
Don't keep quiet, just 'cause you think you ought to
Feel free to shout it loud, speak your mind, spit it out 

Oh, I'm not moving (I'm not going anywhere), don't worry
Are you just trying and push me out (just trying)
No, I'm not moving (I'm not going anywhere), don't worry
Ah, there's no hurry, I just sit it out
So don't worry turn around, I will still be here

If it hurts don't do it (oh)
'Cause no-one can take you make you drink
And no-one can tell you what you think
Remember if your spirit starts to sink
Don't you worry turn around, I will still be here",feel not need reason know could good show feeling oh ooh not leave thing believe alright not worry turn around not worry turn around still not move not go anywhere not worry try push try no not move not go anywhere no not go anywhere tonight think say oh no one stop not keep quiet ecause think ought feel free shout loud speak mind spit oh not move not go anywhere not worry try push try no not move not go anywhere not worry ah no hurry sit not worry turn around still hurt not oh ecause no one take make drink no one tell think remember spirit start sink not worry turn around still,if you feel it do it you do not need a reason for all you know it could be good for you to show your feeling oh ooh do not just leave them do the thing you believe in it be alright do not worry turn around do not worry turn around i will still be here i be not move i be not go anywhere do not worry be you just try and push me out just try no i be not move i be not go anywhere no i be not go anywhere tonight if you think it say it oh no one can stop you do not keep quiet just ecause you think you ought to feel free to shout it loud speak your mind spit it out oh i be not move i be not go anywhere do not worry be you just try and push me out just try no i be not move i be not go anywhere do not worry ah there be no hurry i just sit it out so do not worry turn around i will still be here if it hurt do not do it oh ecause no one can take you make you drink and no one can tell you what you think remember if your spirit start to sink do not you worry turn around i will still be here,0.205,0.146,0.7499,1,/lyric/2016233/Phil+Collins/I%27m+Not+Moving,['Pop/Rock'],2:35,"['earnest', 'intimate', 'nocturnal', 'refined', 'sensual', 'smooth', 'soothing', 'warm']",I'm Not Moving,https://www.allmusic.com/song/im-not-moving-mt0028648075
5,Phil Collins,earnest,Face Value,/album/face-value-mw0000189462,"I read all the letters, I read each word that you've sent to me
And though it's past now, and the words start to fade
All the memories I have still remain

I've kept all the pictures, but I hide my feelings so no-one knows
Oh sure my friends all come round, but I'm in a crowd on my own
It's 'cause you're gone now, but your heart, still remains
And it'll be here if you come again

You see, I'd heard the rumors, I knew before you let me know
But I didn't believe it, not you,
No you would not let me go
Seems I was wrong, but I love, I love you the same
And that's the one thing that you can't take away but just remember

If leaving me is easy,
And you know, coming back is harder

And leaving me is easy
And you know, coming back is harder

And leaving me is easy
And you know, coming back is harder

And leaving me is easy
And you know, coming back is harder

And leaving me is easy
And you know, coming back is harder

And leaving me is easy
And you know, coming back is harder

And leaving me is easy
And you know, coming back is harder",read letter read word send though past word start fade memory still remain keep picture hide feeling no one know oh sure friend come round crowd ecause go heart still remain come see would hear rumor know let know not believe not no would not let go seem wrong love love one thing not take away remember leave easy know come back hard leave easy know come back hard leave easy know come back hard leave easy know come back hard leave easy know come back hard leave easy know come back hard leave easy know come back hard,i read all the letter i read each word that you have send to me and though it be past now and the word start to fade all the memory i have still remain i have keep all the picture but i hide my feeling so no one know oh sure my friend all come round but i be in a crowd on my own it be ecause you be go now but your heart still remain and it will be here if you come again you see i would hear the rumor i know before you let me know but i do not believe it not you no you would not let me go seem i be wrong but i love i love you the same and that be the one thing that you can not take away but just remember if leave me be easy and you know come back be hard and leave me be easy and you know come back be hard and leave me be easy and you know come back be hard and leave me be easy and you know come back be hard and leave me be easy and you know come back be hard and leave me be easy and you know come back be hard and leave me be easy and you know come back be hard,0.27,0.207,0.9652,1,/lyric/2016234/Phil+Collins/If+Leaving+Me+Is+Easy,['Pop/Rock'],4:55,"['delicate', 'earnest', 'gentle', 'intimate', 'nocturnal', 'refined', 'reflective', 'sensual']",If Leaving Me Is Easy,https://www.allmusic.com/song/if-leaving-me-is-easy-mt0028586408
6,Phil Collins,earnest,Face Value,/album/face-value-mw0000189462,"Turn off your mind, relax and float downstream
It is not dying, it is not dying
Lay down all thoughts, surrender to the void
It is shining, oh it is shining
That you may see the meaning of within
It is beginning, oh it is beginning?

That love is all and love is everyone
It is knowing, oh it is knowing
And ignorance and hate may mourn the dead
It is believing, oh it is believing
So play the game, existence to the end
Of the beginning, of the beginning

Of the beginning, of the beginning
Of the beginning, of the beginning
Of the beginning, of the beginning
Of the beginning, of the beginning
Of the beginning, of the beginning
Of the beginning, of the beginning
Of the beginning
Somewhere over the rainbow
Way up high
There's a land that dreamed of once in a lullaby
Okay",turn mind relax float downstream not die not die lay thought surrender void shin oh shin may see meaning within begin oh begin love love everyone know oh know ignorance hate may mourn dead believe oh believe play game existence end beginning beginning beginning beginning beginning beginning beginning beginning beginning beginning beginning beginning beginning beginning beginning somewhere rainbow way high land dream lullaby okay,turn off your mind relax and float downstream it be not die it be not die lay down all thought surrender to the void it be shin oh it be shin that you may see the meaning of within it be begin oh it be begin that love be all and love be everyone it be know oh it be know and ignorance and hate may mourn the dead it be believe oh it be believe so play the game existence to the end of the beginning of the beginning of the beginning of the beginning of the beginning of the beginning of the beginning of the beginning of the beginning of the beginning of the beginning of the beginning of the beginning of the beginning of the beginning somewhere over the rainbow way up high there be a land that dream of once in a lullaby okay,0.268,0.149,0.8622,1,/lyric/32190315/Phil+Collins/Tomorrow+Never+Knows,['Pop/Rock'],4:47,"['earnest', 'intimate', 'nocturnal', 'refined', 'sensual', 'smooth', 'soothing', 'warm']",Tomorrow Never Knows,https://www.allmusic.com/song/tomorrow-never-knows-mt0031446556
7,Phil Collins,earnest,The Singles,/album/the-singles-mw0002965123,"Easy lover
She'll get a hold on you believe it
Like no other
Before you know it you'll be on your knees
She's an easy lover
She'll take your heart but you won't feel it
She's like no other
And I'm just trying to make you see

She's the kind of girl you dream of
Dream of keeping hold of
You'd better forget it
You'll never get it
She will play around and leave you
Leave you and deceive you
Better forget it
Oh you'll regret it

No you'll never change her, so leave it, leave it
Get out quick 'cause seeing is believing
It's the only way
You'll ever know

Easy lover
She'll get a hold on you believe it
Like no other
Before you know it you'll be on your knees
She's an easy lover
She'll take your heart but you won't feel it
She's like no other
And I'm just trying to make you see

You're the one that wants to hold her
Hold her and control her
You'd better forget it
You'll never get it
For she'll say there's no other
Till she finds another
Better forget it
Oh you'll regret it

And don't try to change her, just leave it, leave it
You're not the only one, cause seeing is believing
It's the only way
You'll ever know, oh

No don't try to change her, just leave it, leave it
You're not the only one, ooh seeing is believing
It's the only way
You'll ever know, oh

She's an easy lover (she's a easy lover)
She'll get a hold on you believe it (get a hold on you)
(She's) like no other
Before you know it you'll be on your knees (you'll be down on your knees)
She's an easy lover
She'll take your heart but you won't feel it (you won't feel it)
She's like no other
And I'm just trying to make you see (trying to make you see)

She's an easy lover (she's a easy lover)
She'll get a hold on you believe it (get a hold on you)
(She's) like no other
Before you know it you'll be on your knees (you'll be down on your knees)
She's an easy lover
She'll take your heart but you won't feel it (you won't feel it)
She's like no other
And I'm just trying to make you see (trying to make you see)",easy lover get hold believe like no know knee easy lover take heart not feel like no try make see kind girl dream dream keep hold would better forget never get play around leave leave deceive better forget oh regret no never change leave leave get quick ecause seeing believe way ever know easy lover get hold believe like no know knee easy lover take heart not feel like no try make see one want hold hold control would better forget never get say no till find another better forget oh regret not try change leave leave not one see believe way ever know oh no not try change leave leave not one ooh seeing believe way ever know oh easy lover easy lover get hold believe get hold like no know knee knee easy lover take heart not feel not feel like no try make see try make see easy lover easy lover get hold believe get hold like no know knee knee easy lover take heart not feel not feel like no try make see try make see,easy lover she will get a hold on you believe it like no other before you know it you will be on your knee she be an easy lover she will take your heart but you will not feel it she be like no other and i be just try to make you see she be the kind of girl you dream of dream of keep hold of you would better forget it you will never get it she will play around and leave you leave you and deceive you better forget it oh you will regret it no you will never change her so leave it leave it get out quick ecause seeing be believe it be the only way you will ever know easy lover she will get a hold on you believe it like no other before you know it you will be on your knee she be an easy lover she will take your heart but you will not feel it she be like no other and i be just try to make you see you be the one that want to hold her hold her and control her you would better forget it you will never get it for she will say there be no other till she find another better forget it oh you will regret it and do not try to change her just leave it leave it you be not the only one because see be believe it be the only way you will ever know oh no do not try to change her just leave it leave it you be not the only one ooh seeing be believe it be the only way you will ever know oh she be an easy lover she be a easy lover she will get a hold on you believe it get a hold on you she be like no other before you know it you will be on your knee you will be down on your knee she be an easy lover she will take your heart but you will not feel it you will not feel it she be like no other and i be just try to make you see try to make you see she be an easy lover she be a easy lover she will get a hold on you believe it get a hold on you she be like no other before you know it you will be on your knee you will be down on your knee she be an easy lover she will take your heart but you will not feel it you will not feel it she be like no other and i be just try to make you see try to make you see ,0.389,0.187,0.9966,1,/lyric/2264677/Phil+Collins/Easy+Lover,"['Pop/Rock', 'R&B;']",5:04,"['bright', 'confident', 'dramatic', 'earnest', 'energetic', 'urgent', 'exuberant', 'sophisticated']",Easy Lover,https://www.allmusic.com/song/easy-lover-mt0053442991
8,Phil Collins,earnest,The Singles,/album/the-singles-mw0002965123,"Well, there was no reason to believe she'd always be there
But if you don't put faith in what you believe in
It's getting you nowhere
'Cos it hurts, you never let go
Don't look down, just look up
Cos she's always there to behind you, just to remind you

Two hearts, believing in just one mind
You know we're two hearts believing in just one mind

'Cos there's no easy way to, to understand it
There's so much of my life in her, and it's like I'm blinded
And it teaches you to never let go
There's so much love you'll never know
She can reach you no matter how far
Wherever you are

Two hearts, believing in just one mind
Beating together till the end of time
You know we're two hearts believing in just one mind
Together forever till the end of time

She knows (she knows)
There'll always be a special place in my heart for her
She knows, she knows, she knows
Yeah, she knows (she knows)
No matter how far apart we are
She knows, I'm always right there beside her

We're two hearts, believing in just one mind
Beating together till the end of time
You know we're two hearts believing in just one mind
Together forever till the end of time

You know we're two hearts believing in just one mind
Together forever, til the end of time
Two hearts two hearts, believing in just one mind
Beating together til the end of time",well no reason believe would always not put faith believe get nowhere cos hurt never let go not look look cos always behind remind two heart believe one mind know two heart believe one mind cos no easy way understand much life like blind teach never let go much love never know reach no matter far wherever two heart believe one mind beat together till end time know two heart believe one mind together forever till end time know know always special place heart know know know yeah know know no matter far apart know always right beside two heart believe one mind beat together till end time know two heart believe one mind together forever till end time know two heart believe one mind together forever til end time two heart two heart believe one mind beat together til end time,well there be no reason to believe she would always be there but if you do not put faith in what you believe in it be get you nowhere cos it hurt you never let go do not look down just look up cos she be always there to behind you just to remind you two heart believe in just one mind you know we be two heart believe in just one mind cos there be no easy way to to understand it there be so much of my life in her and it be like i be blind and it teach you to never let go there be so much love you will never know she can reach you no matter how far wherever you be two heart believe in just one mind beat together till the end of time you know we be two heart believe in just one mind together forever till the end of time she know she know there will always be a special place in my heart for her she know she know she know yeah she know she know no matter how far apart we be she know i be always right there beside her we be two heart believe in just one mind beat together till the end of time you know we be two heart believe in just one mind together forever till the end of time you know we be two heart believe in just one mind together forever til the end of time two heart two heart believe in just one mind beat together til the end of time,0.133,0.092,0.7697,1,/lyric/2264679/Phil+Collins/Two+Hearts,['Pop/Rock'],3:24,"['amiable/good-natured', 'bright', 'cheerful', 'confident', 'dramatic', 'earnest', 'energetic', 'exuberant']",Two Hearts,https://www.allmusic.com/song/two-hearts-mt0053442992
9,Phil Collins,earnest,The Singles,/album/the-singles-mw0002965123,"I need love, love
Oh, ease my mind
And I need to find time
Someone to call mine

My mama said, ""you can't hurry love
No, you'll just have to wait""
She said, ""love don't come easy
But it's a game of give and take""
You can't hurry love
No, you'll just have to wait
Just trust in a good time
No matter how long it takes

How many heartaches must I stand
Before I find the love to let me live again
Right now the only thing that keeps me hanging on
When I feel my strength, ooh, it's almost gone

I remember mama said, ""you can't hurry love
No, you'll just have to wait""
She said, ""love don't come easy
It's a game of give and take""
How long must I wait
How much more must I take
Before loneliness
Will cause my heart, heart to break

No, I can't bear to live my life alone
I grow impatient for a love to call my own
But when I feel that i, I can't go on
Well these precious words keep me hanging on

I remember mama said, ""you can't hurry love
No, you'll just have to wait""
She said, ""love don't come easy
But it's a game of give and take""
You can't hurry love
No, you'll just have to wait
Just trust in a good time
No matter how long it takes

Now wait
Now love, love don't come easy
But I keep on waiting
Anticipating for that soft voice
To talk to me at night
For some tender arms
Hold me tight
I keep waiting
Ooh, till that day
But it ain't easy (love don't come easy)
No, you know it ain't easy

My mama said you can't hurry love
No, you'll just have to wait
She said ""love don't come easy
But it's a game of give and take""
You can't hurry love
No, you'll just have to wait
She said ""love don't come easy
But it's a game of give and take""
You can't hurry love, no you'll just have to wait",need love love oh ease mind need find time someone call mine mama say not hurry love no wait say love not come easy game give take not hurry love no wait trust good time no matter long take many heartache must stand find love let live right thing keep hang feel strength ooh almost go remember mama say not hurry love no wait say love not come easy game give take long must wait much must take loneliness heart heart break no not bear live life alone grow impatient love call feel not go well precious word keep hang remember mama say not hurry love no wait say love not come easy game give take not hurry love no wait trust good time no matter long take wait love love not come easy keep wait anticipate soft voice talk night tender arm hold tight keep wait ooh till day not easy love not come easy no know not easy mama say not hurry love no wait say love not come easy game give take not hurry love no wait say love not come easy game give take not hurry love no wait,i need love love oh ease my mind and i need to find time someone to call mine my mama say you can not hurry love no you will just have to wait she say love do not come easy but it be a game of give and take you can not hurry love no you will just have to wait just trust in a good time no matter how long it take how many heartache must i stand before i find the love to let me live again right now the only thing that keep me hang on when i feel my strength ooh it be almost go i remember mama say you can not hurry love no you will just have to wait she say love do not come easy it be a game of give and take how long must i wait how much more must i take before loneliness will because my heart heart to break no i can not bear to live my life alone i grow impatient for a love to call my own but when i feel that i i can not go on well these precious word keep me hang on i remember mama say you can not hurry love no you will just have to wait she say love do not come easy but it be a game of give and take you can not hurry love no you will just have to wait just trust in a good time no matter how long it take now wait now love love do not come easy but i keep on wait anticipate for that soft voice to talk to me at night for some tender arm hold me tight i keep wait ooh till that day but it as not easy love do not come easy no you know it as not easy my mama say you can not hurry love no you will just have to wait she say love do not come easy but it be a game of give and take you can not hurry love no you will just have to wait she say love do not come easy but it be a game of give and take you can not hurry love no you will just have to wait,0.424,0.112,0.9984,1,/lyric/2018489/Phil+Collins/You+Can%27t+Hurry+Love,['Pop/Rock'],2:54,"['amiable/good-natured', 'bright', 'cheerful', 'confident', 'dramatic', 'earnest', 'energetic', 'exuberant']",You Can't Hurry Love,https://www.allmusic.com/song/you-cant-hurry-love-mt0053442997
