,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics(normalized_no_stopwords),lyrics(normalized_with_stopwords),positive_score,negative_score,compound_score,sentiment_label,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,The Beatles,fun,1,/album/1-mw0000096318,"Da-da da, da-da da da da
Da-da da, da-da da da da

If there's anything that you want
If there's anything I can do
Just call on me and I'll send it along
With love, from me to you

I got everything that you want
Like a heart that's oh so true
Just call on me and I'll send it along
With love, from me to you

I got arms that long to hold you
And keep you by my side
I got lips that long to kiss you
And keep you satisfied, ooh

If there's anything that you want
If there's anything I can do
Just call on me and I'll send it along
With love, from me to you

Call on me
To you
Just call on me and I'll send it along
With love, from me to you

I got arms that long to hold you
And keep you by my side
I got lips that long to kiss you
And keep you satisfied, ooh

If there's anything that you want
If there's anything I can do
Just call on me and I'll send it along
With love, from me to you
To you, to you, to you",da da da da da da da da da da da da da da da da anything want anything call send along love get everything want like heart oh true call send along love get arm long hold keep side get lip long kiss keep satisfied ooh anything want anything call send along love call call send along love get arm long hold keep side get lip long kiss keep satisfied ooh anything want anything call send along love,da da da da da da da da da da da da da da da da if there be anything that you want if there be anything i can do just call on me and i will send it along with love from me to you i get everything that you want like a heart that be oh so true just call on me and i will send it along with love from me to you i get arm that long to hold you and keep you by my side i get lip that long to kiss you and keep you satisfied ooh if there be anything that you want if there be anything i can do just call on me and i will send it along with love from me to you call on me to you just call on me and i will send it along with love from me to you i get arm that long to hold you and keep you by my side i get lip that long to kiss you and keep you satisfied ooh if there be anything that you want if there be anything i can do just call on me and i will send it along with love from me to you to you to you to you,0.4,0.0,0.9904,1,/lyric/32537564/The+Beatles/From+Me+to+You+%5BMono%5D,['Pop/Rock'],1:56,"['bright', 'cheerful', 'effervescent', 'fun', 'warm', 'earnest', 'exuberant', 'happy']",From Me to You,https://www.allmusic.com/song/from-me-to-you-mt0041928479
1,The Beatles,fun,1,/album/1-mw0000096318,"She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah

You think you've lost your love
Well, I saw her yesterday-yi-yay
It's you she's thinking of
And she told me what to say-yi-yay

She says she loves you
And you know that can't be bad
Yes, she loves you
And you know you should be glad

She said you hurt her so
She almost lost her mind
And now she says she knows
You're not the hurting kind

She says she loves you
And you know that can't be bad
Yes, she loves you
And you know you should be glad

Oo, she loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
With a love like that
You know you should be glad

You know it's up to you
I think it's only fair
Pride can hurt you too
Apologize to her

Because she loves you
And you know that can't be bad
Yes, she loves you
And you know you should be glad

Oo, she loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
With a love like that
You know you should be glad
With a love like that
You know you should be glad
With a love like that
You know you should be glad
Yeah, yeah, yeah,
Yeah, yeah, yeah, yeah",love yeah yeah yeah love yeah yeah yeah love yeah yeah yeah think lose love well see yesterday yi yay think tell say yi yay say love know not bad yes love know glad say hurt almost lose mind say know not hurting kind say love know not bad yes love know glad oo love yeah yeah yeah love yeah yeah yeah love like know glad know think fair pride hurt apologize love know not bad yes love know glad oo love yeah yeah yeah love yeah yeah yeah love like know glad love like know glad love like know glad yeah yeah yeah yeah yeah yeah yeah,she love you yeah yeah yeah she love you yeah yeah yeah she love you yeah yeah yeah you think you have lose your love well i see her yesterday yi yay it be you she be think of and she tell me what to say yi yay she say she love you and you know that can not be bad yes she love you and you know you should be glad she say you hurt her so she almost lose her mind and now she say she know you be not the hurting kind she say she love you and you know that can not be bad yes she love you and you know you should be glad oo she love you yeah yeah yeah she love you yeah yeah yeah with a love like that you know you should be glad you know it be up to you i think it be only fair pride can hurt you too apologize to her because she love you and you know that can not be bad yes she love you and you know you should be glad oo she love you yeah yeah yeah she love you yeah yeah yeah with a love like that you know you should be glad with a love like that you know you should be glad with a love like that you know you should be glad yeah yeah yeah yeah yeah yeah yeah,0.78,0.087,0.9994,1,/lyric/836987/The+Beatles/She+Loves+You,['Pop/Rock'],2:21,"['bright', 'cheerful', 'effervescent', 'exciting', 'exuberant', 'fun', 'rollicking', 'energetic']",She Loves You,https://www.allmusic.com/song/she-loves-you-mt0041928480
2,The Beatles,fun,1,/album/1-mw0000096318,"Oh yeah I tell you somethin'
I think you'll understand
When I say that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand

Oh please say to me
You'll let me be your man
And please say to me
You'll let me hold your hand
Now, let me hold your hand
I want to hold your hand

And when I touch you
I feel happy inside
It's such a feelin' that my love
I can't hide
I can't hide
I can't hide

Yeah, you got that somethin'
I think you'll understand
When I say that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand

And when I touch you
I feel happy inside
It's such a feelin' that my love
I can't hide
I can't hide
I can't hide

Yeah, you got that somethin'
I think you'll understand
When I feel that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand
I want to hold your hand",oh yeah tell something think understand say something want hold hand want hold hand want hold hand oh please say let man please say let hold hand let hold hand want hold hand touch feel happy inside feelin love not hide not hide not hide yeah get something think understand say something want hold hand want hold hand want hold hand touch feel happy inside feelin love not hide not hide not hide yeah get something think understand feel something want hold hand want hold hand want hold hand want hold hand,oh yeah i tell you something i think you will understand when i say that something i want to hold your hand i want to hold your hand i want to hold your hand oh please say to me you will let me be your man and please say to me you will let me hold your hand now let me hold your hand i want to hold your hand and when i touch you i feel happy inside it be such a feelin that my love i can not hide i can not hide i can not hide yeah you get that something i think you will understand when i say that something i want to hold your hand i want to hold your hand i want to hold your hand and when i touch you i feel happy inside it be such a feelin that my love i can not hide i can not hide i can not hide yeah you get that something i think you will understand when i feel that something i want to hold your hand i want to hold your hand i want to hold your hand i want to hold your hand,0.635,0.0,0.9973,1,/lyric/2762401/The+Beatles/I+Want+to+Hold+Your+Hand,['Pop/Rock'],2:25,"['bright', 'effervescent', 'energetic', 'exciting', 'exuberant', 'fun', 'giddy', 'gleeful']",I Want to Hold Your Hand,https://www.allmusic.com/song/i-want-to-hold-your-hand-mt0041928481
3,The Beatles,fun,1,/album/1-mw0000096318,"Can't buy me love, love
Can't buy me love

I'll buy you a diamond ring my friend
If it makes you feel all right
I'll get you anything my friend
If it makes you feel all right
Cause I don't care too much for money
For money can't buy me love

I'll give you all I've got to give
If you say you love me too
I may not have a lot to give
But what I've got I'll give to you
I don't care too much for money
For money can't buy me love

Can't buy me love
Everybody tells me so
Can't buy me love
No, no, no, no

Say you don't need no diamond ring
And I'll be satisfied
Tell me that you want those kind of things
That money just can't buy
I don't care too much for money
For money can't buy me love

Can't buy me love
Everybody tells me so
Can't buy me love
No, no, no, no

Say you don't need no diamond ring
And I'll be satisfied
Tell me that you want those kind of things
That money just can't buy
I don't care too much for money
Cause money can't buy me love
Oh, can't buy me love, love
Can't buy me love, no",not buy love love not buy love buy diamond ring friend make feel right get anything friend make feel right not care much money money not buy love give get give say love may not lot give get give not care much money money not buy love not buy love everybody tell not buy love no no no no say not need no diamond ring satisfied tell want kind thing money not buy not care much money money not buy love not buy love everybody tell not buy love no no no no say not need no diamond ring satisfied tell want kind thing money not buy not care much money money not buy love oh not buy love love not buy love no,can not buy me love love can not buy me love i will buy you a diamond ring my friend if it make you feel all right i will get you anything my friend if it make you feel all right because i do not care too much for money for money can not buy me love i will give you all i have get to give if you say you love me too i may not have a lot to give but what i have get i will give to you i do not care too much for money for money can not buy me love can not buy me love everybody tell me so can not buy me love no no no no say you do not need no diamond ring and i will be satisfied tell me that you want those kind of thing that money just can not buy i do not care too much for money for money can not buy me love can not buy me love everybody tell me so can not buy me love no no no no say you do not need no diamond ring and i will be satisfied tell me that you want those kind of thing that money just can not buy i do not care too much for money because money can not buy me love oh can not buy me love love can not buy me love no,0.255,0.316,-0.9668,0,/lyric/14698437/The+Beatles/Can%27t+Buy+Me+Love+%5BLive+1965%5D,['Pop/Rock'],2:11,"['amiable/good-natured', 'bright', 'energetic', 'fun', 'innocent', 'joyous', 'rollicking', 'romantic']",Can't Buy Me Love,https://www.allmusic.com/song/cant-buy-me-love-mt0041928482
4,The Beatles,fun,1,/album/1-mw0000096318,"It's been a hard day's night, and I've been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I'll find the things that you do
Will make me feel alright

You know I work all day to get you money to buy you things
And it's worth it just to hear you say you're going to give me everything
So why on earth should I moan, 'cause when I get you alone
You know I feel ok

When I'm home everything seems to be right
When I'm home feeling you holding me tight, tight, yeah

It's been a hard day's night, and I've been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I'll find the things that you do
Will make me feel alright, oww!

So why on earth should I moan, 'cause when I get you alone
You know I feel ok

When I'm home everything seems to be right
When I'm home feeling you holding me tight, tight, yeah

Oh, it's been a hard day's night, and I've been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I'll find the things that you do
Will make me feel alright
You know I feel alright
You know I feel alright",hard day night work like dog hard day night sleep like log get home find thing make feel alright know work day get money buy thing worth hear say go give everything earth moan ecause get alone know feel ok home everything seem right home feel hold tight tight yeah hard day night work like dog hard day night sleep like log get home find thing make feel alright oww earth moan ecause get alone know feel ok home everything seem right home feel hold tight tight yeah oh hard day night work like dog hard day night sleep like log get home find thing make feel alright know feel alright know feel alright,it be be a hard day night and i have be work like a dog it be be a hard day night i should be sleep like a log but when i get home to you i will find the thing that you do will make me feel alright you know i work all day to get you money to buy you thing and it be worth it just to hear you say you be go to give me everything so why on earth should i moan ecause when i get you alone you know i feel ok when i be home everything seem to be right when i be home feel you hold me tight tight yeah it be be a hard day night and i have be work like a dog it be be a hard day night i should be sleep like a log but when i get home to you i will find the thing that you do will make me feel alright oww so why on earth should i moan ecause when i get you alone you know i feel ok when i be home everything seem to be right when i be home feel you hold me tight tight yeah oh it be be a hard day night and i have be work like a dog it be be a hard day night i should be sleep like a log but when i get home to you i will find the thing that you do will make me feel alright you know i feel alright you know i feel alright,0.256,0.112,0.9643,1,/lyric/742906/The+Beatles/A+Hard+Day%27s+Night,['Pop/Rock'],2:32,"['amiable/good-natured', 'bright', 'energetic', 'exciting', 'exuberant', 'fun', 'innocent', 'joyous']",A Hard Day's Night,https://www.allmusic.com/song/a-hard-days-night-mt0041928483
5,The Beatles,fun,1,/album/1-mw0000096318,"In the town where I was born
Lived a man who sailed to sea
And he told us of his life
In the land of submarines
So we sailed up to the sun
Till we found a sea of green
And we lived beneath the waves
In our yellow submarine

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine

And our friends are all aboard
Many more of them live next door
And the band begins to play

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine

(Full speed ahead Mr. Boatswain, full speed ahead
Full speed ahead it is, Sergeant.
Cut the cable, drop the cable
Aye, Sir, aye
Captain, captain)

As we live a life of ease
Every one of us has all we need
Sky of blue and sea of green
In our yellow submarine

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine",town bear live man sail sea tell us life land submarine sail sun till find sea green live beneath wave yellow submarine live yellow submarine yellow submarine yellow submarine live yellow submarine yellow submarine yellow submarine friend aboard many live next door band begin play live yellow submarine yellow submarine yellow submarine live yellow submarine yellow submarine yellow submarine full speed ahead mr boatswain full speed ahead full speed ahead sergeant cut cable drop cable aye sir aye captain captain live life ease every one us need sky blue sea green yellow submarine live yellow submarine yellow submarine yellow submarine live yellow submarine yellow submarine yellow submarine live yellow submarine yellow submarine yellow submarine,in the town where i be bear live a man who sail to sea and he tell us of his life in the land of submarine so we sail up to the sun till we find a sea of green and we live beneath the wave in our yellow submarine we all live in a yellow submarine yellow submarine yellow submarine we all live in a yellow submarine yellow submarine yellow submarine and our friend be all aboard many more of them live next door and the band begin to play we all live in a yellow submarine yellow submarine yellow submarine we all live in a yellow submarine yellow submarine yellow submarine full speed ahead mr boatswain full speed ahead full speed ahead it be sergeant cut the cable drop the cable aye sir aye captain captain as we live a life of ease every one of us have all we need sky of blue and sea of green in our yellow submarine we all live in a yellow submarine yellow submarine yellow submarine we all live in a yellow submarine yellow submarine yellow submarine we all live in a yellow submarine yellow submarine yellow submarine,0.076,0.035,0.6124,1,/lyric/819421/The+Beatles/Yellow+Submarine,"['Pop/Rock', 'Folk']",2:37,"['amiable/good-natured', 'carefree', 'cheerful', 'fun', 'giddy', 'humorous', 'playful', 'rousing']",Yellow Submarine,https://www.allmusic.com/song/yellow-submarine-mt0041928492
6,The Beatles,fun,1,/album/1-mw0000096318,"Lady Madonna, children at your feet
Wonder how you manage to make ends meet
Who find the money when you pay the rent
Did you think that money was heaven sent

Friday night arrives without a suitcase
Sunday morning creeping like a nun
Monday's child has learned to tie his bootlace
See how they run

Lady Madonna, baby at your breast
Wonders how you manage to feed the rest
Pa pa pa pa,
See how they run

Lady Madonna lying on the bed
Listen to the music playing in your head

Tuesday afternoon is never ending
Wednesday morning papers didn't come
Thursday night you stocking needed mending
See how they run

Lady Madonna, children at your feet
Wonder how you manage to make ends meet",lady madonna child foot wonder manage make end meet find money pay rent think money heaven send friday night arrive without suitcase sunday morning creep like nun monday child learn tie bootlace see run lady madonna baby breast wonder manage feed rest pa pa pa pa see run lady madonna lie bed listen music play head tuesday afternoon never end wednesday morning paper not come thursday night stock need mend see run lady madonna child foot wonder manage make end meet,lady madonna child at your foot wonder how you manage to make end meet who find the money when you pay the rent do you think that money be heaven send friday night arrive without a suitcase sunday morning creep like a nun monday child have learn to tie his bootlace see how they run lady madonna baby at your breast wonder how you manage to feed the rest pa pa pa pa see how they run lady madonna lie on the bed listen to the music play in your head tuesday afternoon be never end wednesday morning paper do not come thursday night you stock need mend see how they run lady madonna child at your foot wonder how you manage to make end meet,0.095,0.016,0.7783,1,/lyric/232880/The+Beatles/Lady+Madonna,['Pop/Rock'],2:16,"['amiable/good-natured', 'cheerful', 'rollicking', 'rousing', 'whimsical', 'carefree', 'freewheeling', 'fun']",Lady Madonna,https://www.allmusic.com/song/lady-madonna-mt0041928497
7,The Beatles,fun,1,/album/1-mw0000096318,"Jojo was a man who thought he was a loner
But he knew it wouldn't last
Jojo left his home in Tucson, Arizona
For some California grass

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged
Get back Jojo, go home

Get back, get back
Back to where you once belonged
Get back, get back
Back to where you once belonged
Get back Jo

Sweet Loretta Martin thought she was a woman
But she was another man
All the girls around her say she's got it coming
But she gets it while she can

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged
Get back Loretta, go home

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged

Get back, get back
Get back to where you once belonged
Get back, get back, get back",jojo man think loner know would not last jojo leave home tucson arizona california grass get back get back get back belong get back get back get back belong get back jojo go home get back get back back belong get back get back back belong get back jo sweet loretta martin think woman another man girl around say get come get get back get back get back belong get back get back get back belong get back loretta go home get back get back get back belong get back get back get back belong get back get back get back belong get back get back get back,jojo be a man who think he be a loner but he know it would not last jojo leave his home in tucson arizona for some california grass get back get back get back to where you once belong get back get back get back to where you once belong get back jojo go home get back get back back to where you once belong get back get back back to where you once belong get back jo sweet loretta martin think she be a woman but she be another man all the girl around her say she be get it come but she get it while she can get back get back get back to where you once belong get back get back get back to where you once belong get back loretta go home get back get back get back to where you once belong get back get back get back to where you once belong get back get back get back to where you once belong get back get back get back,0.037,0.021,0.2139,1,/lyric/757846/The+Beatles/Get+Back+%5BAka+No+Pakistanis%5D,['Pop/Rock'],3:11,"['freewheeling', 'humorous', 'irreverent', 'playful', 'rollicking', 'rousing', 'fun', 'warm']",Get Back,https://www.allmusic.com/song/get-back-mt0041928499
8,The Beach Boys,fun,Sounds of Summer: The Very?,/album/sounds-of-summer-the-very-best-of-the-beach-boys-mw0000032970,"If everybody had an ocean
Across the U. S. A.
Then everybody'd be surfin'
Like Californi-a
You'd seem 'em wearing their baggies
Huarachi sandals too
A bushy bushy blonde hairdo
Surfin' U. S. A.

You'd catch 'em surfin' at Del Mar
Ventura County line
Santa Cruz and Trestle
Australia's Narabine
All over Manhattan
And down Doheny Way

Everybody's gone surfin'
Surfin' U.S. A.

We'll all be planning that route
We're gonna take real soon
We're waxing down our surfboards
We can't wait for June
We'll all be gone for the summer
We're on surfari to stay
Tell the teacher we're surfin'
Surfin' U. S. A.

Haggerties and Swamies
Pacific Palisades
San Anofree and Sunset
Redondo Beach L. A.
All over La Jolla
At Waimia Bay

Everybody's gone surfin'
Surfin' U.S. A.

Everybody's gone surfin'
Surfin' U.S. A.

Everybody's gone surfin'
Surfin' U.S. A.",everybody ocean across u everybodyd surfin like californi would seem em wear baggie huarachi sandal bushy bushy blonde hairdo surfin u would catch em surfin del mar ventura county line santa cruz trestle australia narabine manhattan doheny way everybody go surfin surfin u plan route go take real soon wax surfboard not wait june go summer surfari stay tell teacher surfin surfin u haggertie swami pacific palisade san anofree sunset redondo beach l la jolla waimia bay everybody go surfin surfin u everybody go surfin surfin u everybody go surfin surfin u,if everybody have an ocean across the u s a then everybodyd be surfin like californi a you would seem em wear their baggie huarachi sandal too a bushy bushy blonde hairdo surfin u s a you would catch em surfin at del mar ventura county line santa cruz and trestle australia narabine all over manhattan and down doheny way everybody go surfin surfin u s a we will all be plan that route we be go to take real soon we be wax down our surfboard we can not wait for june we will all be go for the summer we be on surfari to stay tell the teacher we be surfin surfin u s a haggertie and swami pacific palisade san anofree and sunset redondo beach l a all over la jolla at waimia bay everybody go surfin surfin u s a everybody go surfin surfin u s a everybody go surfin surfin u s a ,0.029,0.0,0.3612,1,/lyric/905198/The+Beach+Boys/Surfin%27+U.S.A.+%5BDemo+Version%5D,['Pop/Rock'],2:28,"['exciting', 'fun', 'summery', 'confident', 'energetic', 'playful', 'carefree', 'cheerful']",Surfin' U.S.A.,https://www.allmusic.com/song/surfin-usa-mt0005830738
9,The Beach Boys,fun,Sounds of Summer: The Very?,/album/sounds-of-summer-the-very-best-of-the-beach-boys-mw0000032970,"Well she got her daddy's car
And she cruised through the hamburger stand now
Seems she forgot all about the library
Like she told her old man now
And with the radio blasting
Goes cruising just as fast as she can now

And she'll have fun fun fun
'Til her daddy takes the T-bird away
(Fun fun fun 'til her daddy takes the T-bird away)

Well the girls can't stand her
'Cause she walks looks and drives like an ace now
(You walk like an ace now you walk like an ace)
She makes the Indy 500 look like a Roman chariot race now
(You look like an ace now you look like an ace)
A lotta guys try to catch her
But she leads them on a wild goose chase now
(You drive like an ace now you drive like an ace)

And she'll have fun fun fun
'Til her daddy takes the T-bird away
(Fun fun fun 'til her daddy takes the T-bird away)

Well you knew all along
That your dad was gettin' wise to you now
(You shouldn't have lied now you shouldn't have lied)
And since he took your set of keys
You've been thinking that your fun is all through now
(You shouldn't have lied now you shouldn't have lied)

But you can come along with me
'Cause we gotta a lot of things to do now
(You shouldn't have lied now you shouldn't have lied)

And we'll have fun fun fun now that daddy took the T-bird away
(Fun fun fun now that daddy took the T-bird away)
And we'll have fun fun fun now that daddy took the T-bird away
(Fun fun fun now that daddy took the T-bird away)
(Wo wo wo wo woo woo woo)
(Fun fun now that daddy took the T-bird away)
(Fun fun now that daddy took the T-bird away)
(Fun fun now that daddy took the T-bird away)
(Fun fun now that daddy took the T-bird away)
(Fun fun now that daddy took the T-bird away)
(Fun fun now that daddy took the T-bird away)",well get daddys car cruise hamburger stand seem forget library like tell old man radio blasting go cruise fast fun fun fun til daddy take bird away fun fun fun til daddy take bird away well girl not stand ecause walk look drive like ace walk like ace walk like ace make indy look like roman chariot race look like ace look like ace lotta guy try catch lead wild goose chase drive like ace drive like ace fun fun fun til daddy take bird away fun fun fun til daddy take bird away well know along dad gettin wise not lie not lie since take set key think fun not lie not lie come along ecause get lot thing not lie not lie fun fun fun daddy take bird away fun fun fun daddy take bird away fun fun fun daddy take bird away fun fun fun daddy take bird away wo wo wo wo woo woo woo fun fun daddy take bird away fun fun daddy take bird away fun fun daddy take bird away fun fun daddy take bird away fun fun daddy take bird away fun fun daddy take bird away,well she get her daddys car and she cruise through the hamburger stand now seem she forget all about the library like she tell her old man now and with the radio blasting go cruise just as fast as she can now and she will have fun fun fun til her daddy take the t bird away fun fun fun til her daddy take the t bird away well the girl can not stand her ecause she walk look and drive like an ace now you walk like an ace now you walk like an ace she make the indy look like a roman chariot race now you look like an ace now you look like an ace a lotta guy try to catch her but she lead them on a wild goose chase now you drive like an ace now you drive like an ace and she will have fun fun fun til her daddy take the t bird away fun fun fun til her daddy take the t bird away well you know all along that your dad be gettin wise to you now you should not have lie now you should not have lie and since he take your set of key you have be think that your fun be all through now you should not have lie now you should not have lie but you can come along with me ecause we get to a lot of thing to do now you should not have lie now you should not have lie and we will have fun fun fun now that daddy take the t bird away fun fun fun now that daddy take the t bird away and we will have fun fun fun now that daddy take the t bird away fun fun fun now that daddy take the t bird away wo wo wo wo woo woo woo fun fun now that daddy take the t bird away fun fun now that daddy take the t bird away fun fun now that daddy take the t bird away fun fun now that daddy take the t bird away fun fun now that daddy take the t bird away fun fun now that daddy take the t bird away ,0.533,0.006,0.9994,1,/lyric/773041/The+Beach+Boys/Fun%2C+Fun%2C+Fun+%5BSingle+Version%5D%5B%2A%5D,['Pop/Rock'],2:21,"['bright', 'carefree', 'exciting', 'joyous', 'boisterous', 'celebratory', 'energetic', 'fun']","Fun, Fun, Fun",https://www.allmusic.com/song/fun-fun-fun-mt0008401069
