,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics(normalized_no_stopwords),lyrics(normalized_with_stopwords),positive_score,negative_score,compound_score,sentiment_label,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,The Monkees,happy,The Monkees,/album/the-monkees-mw0000187061,"Monday had a sad child
Always feeling low down,
Tuesday had a dream child
She's always on the go
Now I'm in love with Saturday's child
She drives me wild
Gonna spend my time
Makin' sure that Saturday's child is mine.

If you love a Wednesday
You'll live your life apart now
And if you love a Thursday
She's gonna break your heart,
So I'm in love with Saturday's child
She drives me wild
Gonna spend my time
Makin' sure that Saturday's child is mine.

Seven days of the week made to choose from
But only one is right for me
I know that Saturday's got what it takes, babe.
I can tell by the way she looks at me

Friday likes the good life
She'll take you for a ride now
And Sunday makes a good wife
But she wants to be a bride
So I'm in love with Saturday's child
She drives me wild
Gonna spend my time
Makin' sure that Saturday's child is mine.",monday sad child always feel low tuesday dream child always go love saturday child drive wild go spend time makin sure saturday child mine love wednesday live life apart love thursday go break heart love saturday child drive wild go spend time makin sure saturday child mine seven day week make choose one right know saturday get take babe tell way look friday like good life take ride sunday make good wife want bride love saturday child drive wild go spend time makin sure saturday child mine,monday have a sad child always feel low down tuesday have a dream child she be always on the go now i be in love with saturday child she drive me wild go to spend my time makin sure that saturday child be mine if you love a wednesday you will live your life apart now and if you love a thursday she be go to break your heart so i be in love with saturday child she drive me wild go to spend my time makin sure that saturday child be mine seven day of the week make to choose from but only one be right for me i know that saturday get what it take babe i can tell by the way she look at me friday like the good life she will take you for a ride now and sunday make a good wife but she want to be a bride so i be in love with saturday child she drive me wild go to spend my time makin sure that saturday child be mine ,0.338,0.045,0.9865,1,/lyric/886164/The+Monkees/Saturday%27s+Child,"['Pop/Rock', 'Stage & Screen']",2:45,"['amiable/good-natured', 'earnest', 'bright', 'giddy', 'confident', 'freewheeling', 'happy', 'innocent']",Saturday's Child,https://www.allmusic.com/song/saturdays-child-mt0001811211
1,The Monkees,happy,The Monkees,/album/the-monkees-mw0000187061,"I'm gonna pack up my pain,
I been a keepin' in my heart,
I'm gonna catch me the fastest train
And make me a brand new start
But that's okay,
Tomorrow's gonna be another day,
Hey, hey, hey.
And I don't care what they say
Tomorrow's gonna be, tomorrow's gonna be,
Tomorrow's gonna be another day.
Yay, yay, yay,
Yay, yay, yay.

They say there's a lotta fish,
Swimmin' in the deep blue sea,
I'm gonna catch me a pretty one
And she'll be good to me.
But that's okay,
Tomorrow's gonna be another day,
Hey, hey, hey.
And I don't care what they say
Tomorrow's gonna be, tomorrow's gonna be,
Tomorrow's gonna be another day.
Yay, yay, yay,
Yay, yay, yay.

Well, I ain't gonna think about ya,
'Cause it ain't no use no more,
I'm gonna make it fine without ya,
Just like I did before,
I'm on my way.
Tomorrow's gonna be another day,
Hey, hey, hey.
And I don't care what they say
Tomorrow's gonna be, tomorrow's gonna be,
Tomorrow's gonna be another day.
Yay, yay, yay,
Yay, yay, yay.",go pack pain keepin heart go catch fast train make brand new start okay tomorrow go another day hey hey hey not care say tomorrow go tomorrow go tomorrow go another day yay yay yay yay yay yay say lotta fish swimmin deep blue sea go catch pretty one good okay tomorrow go another day hey hey hey not care say tomorrow go tomorrow go tomorrow go another day yay yay yay yay yay yay well not go think ya ecause not no use no go make fine without ya like way tomorrow go another day hey hey hey not care say tomorrow go tomorrow go tomorrow go another day yay yay yay yay yay yay,i be go to pack up my pain i be a keepin in my heart i be go to catch me the fast train and make me a brand new start but that be okay tomorrow go to be another day hey hey hey and i do not care what they say tomorrow go to be tomorrow go to be tomorrow go to be another day yay yay yay yay yay yay they say there be a lotta fish swimmin in the deep blue sea i be go to catch me a pretty one and she will be good to me but that be okay tomorrow go to be another day hey hey hey and i do not care what they say tomorrow go to be tomorrow go to be tomorrow go to be another day yay yay yay yay yay yay well i as not go to think about ya ecause it as not no use no more i be go to make it fine without ya just like i do before i be on my way tomorrow go to be another day hey hey hey and i do not care what they say tomorrow go to be tomorrow go to be tomorrow go to be another day yay yay yay yay yay yay ,0.445,0.075,0.9962,1,/lyric/886166/The+Monkees/Tomorrow%27s+Gonna+Be+Another+Day,['Pop/Rock'],2:39,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",Tomorrow's Gonna Be Another Day,https://www.allmusic.com/song/tomorrows-gonna-be-another-day-mt0004505758
2,The Monkees,happy,The Monkees,/album/the-monkees-mw0000187061,"I guess I should have stayed in bed,
My pillow wrapped 'round my head.
Instead of waking up to find 
A nightmare of a different kind.
She went away,
This just doesn't seem to be my day.

She didn't have to say a lot,
Her pretty eyes revealed the plot.
'Twas someone else she want more,
And so I walked her to the door.
What can I say?
This just doesn't seem to be my day.

My, oh my, how sad am I.
How I wish she would have stayed
This just doesn't seem to be my day.

My whole world is upside down,
She turned my smile into a frown.
It's such a pity the shape I'm in,
I must get on my feet again.
Can't stay this way
This just doesn't seem to be my day.",guess stay bed pillow wrap round head instead wake find nightmare different kind go away not seem day not say lot pretty eye reveal plot twa someone else want walk door say not seem day oh sad wish would stay not seem day whole world upside turn smile frown pity shape must get foot not stay way not seem day,i guess i should have stay in bed my pillow wrap round my head instead of wake up to find a nightmare of a different kind she go away this just do not seem to be my day she do not have to say a lot her pretty eye reveal the plot twa someone else she want more and so i walk her to the door what can i say this just do not seem to be my day my oh my how sad be i how i wish she would have stay this just do not seem to be my day my whole world be upside down she turn my smile into a frown it be such a pity the shape i be in i must get on my foot again can not stay this way this just do not seem to be my day ,0.14,0.112,0.2434,1,/lyric/886170/The+Monkees/This+Just+Doesn%27t+Seem+to+Be+My+Day,['Pop/Rock'],2:09,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",This Just Doesn't Seem to Be My Day,https://www.allmusic.com/song/this-just-doesnt-seem-to-be-my-day-mt0009374199
3,The Monkees,happy,The Monkees,/album/the-monkees-mw0000187061,"Let's dance on,
Oh, baby, come on.
Let's dance on 'til the dawn,
Have fun 'til the music's all gone.

We've been dancin',
Nearly all night long.
Let's keep it up baby,
Cause the music's still strong.
We're doin' the Pony
Now you're doing the Jerk.
A come on, baby,
Let me see how you work.

Let's dance on,
Oh, baby, come on.
Let's dance on 'til the dawn,
Have fun 'til the music's all gone.

The way you're movin'
Girl, you look so fine.
You been doin' the Shotgun,
Let me see you do the Twine,
Let's see the Watusi,
And the Action too,
Now hang on, baby,
I'll do the sloopy with you.

Let's dance on,
Oh, baby, come on.
Let's dance on 'til the dawn,
Have fun 'til the music's all gone.",let us dance oh baby come let us dance til dawn fun til music go dancin nearly night long let us keep baby music still strong pony jerk come baby let see work let us dance oh baby come let us dance til dawn fun til music go way movin girl look fine shotgun let see twine let us see watusi action hang baby sloopy let us dance oh baby come let us dance til dawn fun til music go,let us dance on oh baby come on let us dance on til the dawn have fun til the music all go we have be dancin nearly all night long let us keep it up baby because the music still strong we be do the pony now you be do the jerk a come on baby let me see how you work let us dance on oh baby come on let us dance on til the dawn have fun til the music all go the way you be movin girl you look so fine you be do the shotgun let me see you do the twine let us see the watusi and the action too now hang on baby i will do the sloopy with you let us dance on oh baby come on let us dance on til the dawn have fun til the music all go ,0.164,0.026,0.9118,1,/lyric/886171/The+Monkees/Let%27s+Dance+On,['Pop/Rock'],2:32,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",Let's Dance On,https://www.allmusic.com/song/lets-dance-on-mt0005231165
4,The Monkees,happy,The Monkees,/album/the-monkees-mw0000187061,"I'll be true to you, yes I will
I'll be true to you, yes I will
I won't look twice when
The other girls go by
I'll be true to you, yes I will

Somehow this time, it's all so clear to me
The way to go is easy to see
My heart is sure you're
The girl I've waited for
And I'll be true to you, yes I will

Yes I will
I used to be the kind
Who said that every girl's the same
And love was just a game for having fun
But when I looked at you
I knew that I was wrong
And that I really could belong to only one

I'll be true to you, yes I will
Every dream that you have, I'll fulfill
I never promised this to anyone before
But I'll be true to you, yes I will

I'll be true to you, yes I will
Every dream that you have, I'll fulfill

I never promised this to anyone before
But I'll be true to you, yes I will
Yes I will, yes I will",true yes true yes not look twice girl go true yes somehow time clear way go easy see heart sure girl wait true yes yes use kind say every girl love game fun look know wrong really could belong one true yes every dream fulfill never promise anyone true yes true yes every dream fulfill never promise anyone true yes yes yes,i will be true to you yes i will i will be true to you yes i will i will not look twice when the other girl go by i will be true to you yes i will somehow this time it be all so clear to me the way to go be easy to see my heart be sure you be the girl i have wait for and i will be true to you yes i will yes i will i use to be the kind who say that every girl the same and love be just a game for have fun but when i look at you i know that i be wrong and that i really could belong to only one i will be true to you yes i will every dream that you have i will fulfill i never promise this to anyone before but i will be true to you yes i will i will be true to you yes i will every dream that you have i will fulfill i never promise this to anyone before but i will be true to you yes i will yes i will yes i will,0.685,0.06,0.9967,1,/lyric/886172/The+Monkees/I%27ll+Be+True+to+You,['Pop/Rock'],2:49,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",I'll Be True to You,https://www.allmusic.com/song/ill-be-true-to-you-mt0005420932
5,The Monkees,happy,The Monkees,/album/the-monkees-mw0000187061,"(M: Now?
CR: Just a minute...
M: You know my girl...Now?
CR: Jus'...Now!
M: Now?)
You know my girl just called me up,
And she woke me from my sleep,
(D: *SNORE*
M: ...You should...)
You should have heard the things she said,
You know she hurt my feelings deep.
I'm gonna buy me a dog
(D: A dog?
M: A dog!
D: Why?
M: Why?)
'Cause I need a friend now,
(D: Babe, you need all the friends you can get, I'm telling you)
I'm gonna buy me a dog,
My girl, my girl, don't love me no how.
(M: Don't ruin my song, man, it's the only song I have!
D: It was already ruined before it was wrote!)
(M: Uh, where's the verse...)
She used to bring me my, my newspaper,
(M: Here it is...
D: You don't even know where it's at)
'Cause she knew where it was at,
She used to keep me so contented,
But, I can teach a dog to do that.
I'm gonna buy me a dog,
(D: You couldn't teach a dog to do that, you can only train elephants)
'Cause I need a friend, now,
(D: I need a friend, now...
M: Now!
D: Yeah!)
I'm gonna buy me a dog,
(D: A dog. Here, Rover, Fido, Spot...
M: A dog. Here boy!)
My girl, my girl, don't love me no how.
(M: One
D: Two
M: Three
D: Four-Six-Eight-Nine
M: 1-2-3-4-5-6-7-Hike!
D: Hike?
M: Hike!
D: I was late on that one...
M: Oh, yeah...
D: I just got back from Africa, y'know?
I was playing cards with the natives...
M: Oh! Zulus?
D: No, I usually won, ha-ha
M: Gee...I wish I had a glass of water...
D: Why, are you thirsty?
M: No, I want to see if my neck leaks...
M: I'd buy a raccoon, but, John already has one...
D: 35 bucks!
M: Where...where do I come in?
CR: Get ready...
M: ...Get ready...Ah!)
I'm gonna buy me a dog,
(D: Dog...
M: A dog...Hmmm...
D: Yeah...)
'Cause I need a friend, now,
(D: Yeah-yeah
M: Yeah, boop-boop, sh-bop-bop, ram-a-lam)
I'm gonna buy me a dog,
(CR: Try the next verse again...
M: What?)
My girl, my girl don't love me no how.
(M: How
D: Now brown cow...
M: How now, brown cow...I think I'm gonna buy me a dog, yessir!
I'm gonna buy me a dog!
If I was looking for a word to describe what I'm gonna buy,
I think dog would be the word.
D: Would it...would it be dog?
M: It would be dog..
D: Definitely dog...
M: It would come springing from my lips...dog...
D: Springing from...let's get out of here, c'mon...
M: Boing! Boing! Boing! It would be springing from my..
D: Is that it, Tommy? Can you turn it off, please?
Can someone open the door and let us out?
They're coming to take us away, ha-ha, hee-hee, ho-ho...
fade out....Sheesh!!!!",cr minute know girl cr ju know girl call wake sleep snore hear thing say know hurt feeling deep go buy dog dog dog ecause need friend babe need friend get tell go buy dog girl girl not love no not ruin song man song already ruin write uh verse use bring newspaper not even know ecause know use keep contented teach dog go buy dog could not teach dog train elephant ecause need friend need friend yeah go buy dog dog rover fido spot dog boy girl girl not love no one two three four six eight nine hike hike hike late one oh yeah get back africa yknow play card native oh zulus no usually win ha ha gee wish glass water thirsty no want see neck leak would buy raccoon john already one buck come cr get ready get ready ah go buy dog dog dog hmmm yeah ecause need friend yeah yeah yeah boop boop sh bop bop ram lam go buy dog cr try next verse girl girl not love no brown cow brown cow think go buy dog yessir go buy dog look word describe go buy think dog would word would would dog would dog definitely dog would come spring lip dog spring let us get cmon bo bo bo would spring tommy turn please someone open door let us come take us away ha ha hee hee ho ho fade sheesh, m now cr just a minute m you know my girl now cr ju now m now you know my girl just call me up and she wake me from my sleep d snore m you should you should have hear the thing she say you know she hurt my feeling deep i be go to buy me a dog d a dog m a dog d why m why ecause i need a friend now d babe you need all the friend you can get i be tell you i be go to buy me a dog my girl my girl do not love me no how m do not ruin my song man it be the only song i have d it be already ruin before it be write m uh where be the verse she use to bring me my my newspaper m here it be d you do not even know where it be at ecause she know where it be at she use to keep me so contented but i can teach a dog to do that i be go to buy me a dog d you could not teach a dog to do that you can only train elephant ecause i need a friend now d i need a friend now m now d yeah i be go to buy me a dog d a dog here rover fido spot m a dog here boy my girl my girl do not love me no how m one d two m three d four six eight nine m hike d hike m hike d i be late on that one m oh yeah d i just get back from africa yknow i be play card with the native m oh zulus d no i usually win ha ha m gee i wish i have a glass of water d why be you thirsty m no i want to see if my neck leak m i would buy a raccoon but john already have one d buck m where where do i come in cr get ready m get ready ah i be go to buy me a dog d dog m a dog hmmm d yeah ecause i need a friend now d yeah yeah m yeah boop boop sh bop bop ram a lam i be go to buy me a dog cr try the next verse again m what my girl my girl do not love me no how m how d now brown cow m how now brown cow i think i be go to buy me a dog yessir i be go to buy me a dog if i be look for a word to describe what i be go to buy i think dog would be the word d would it would it be dog m it would be dog d definitely dog m it would come spring from my lip dog d spring from let us get out of here cmon m bo bo bo it would be spring from my d be that it tommy can you turn it off please can someone open the door and let us out they be come to take us away ha ha hee hee ho ho fade out sheesh ,0.265,0.054,0.9941,1,/lyric/9037630/The+Monkees/Gonna+Buy+Me+a+Dog+%5B%23%5D%5B%2A%5D%5BInstrumental%5D,['Pop/Rock'],2:44,"['amiable/good-natured', 'earnest', 'innocent', 'rousing', 'naive', 'summery', 'happy', 'whimsical']",Gonna Buy Me a Dog,https://www.allmusic.com/song/gonna-buy-me-a-dog-mt0004821134
6,The Monkees,happy,The Monkees,/album/the-monkees-mw0000187061,"If you think I want the life you choose to live 
I don't think I want the love you've got to give 
If you think my goals could be so trivial and small 
Then, I don't think you know me at all 
Born between the covers of your fashion books 
You think you can make it, girl, on just your looks 
But you could never bring me up 
Between us stands a wall 
No, I don't think you know me at all 
Believing in the promise painted in your smile 
I've chased what I was running from, girl, all my life 
I've known you a hundred times in memories I recall, but 
I don't think you know me at all 
I don't think you know me at all. 
",think want life choose live not think want love get give think goal could trivial small not think know bear cover fashion book think make girl look could never bring us stand wall no not think know believe promise paint smile chase run girl life know hundred time memory recall not think know not think know,if you think i want the life you choose to live i do not think i want the love you have get to give if you think my goal could be so trivial and small then i do not think you know me at all bear between the cover of your fashion book you think you can make it girl on just your look but you could never bring me up between us stand a wall no i do not think you know me at all believe in the promise paint in your smile i have chase what i be run from girl all my life i have know you a hundred time in memory i recall but i do not think you know me at all i do not think you know me at all ,0.117,0.106,-0.069,0,/lyric/875662/The+Monkees/I+Don%27t+Think+You+Know+Me,['Pop/Rock'],2:18,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",I Don't Think You Know Me,https://www.allmusic.com/song/i-dont-think-you-know-me-mt0001043984
7,Louis Jordan,happy,The Best of Louis Jordan,/album/the-best-of-louis-jordan-mw0000200578,"Let the good times roll, let the good times roll
I don't care if you're young or old
Get together, let the good times roll

Don't sit there mumblin', talkin' trash
If you wanna have a ball
You gotta go out and spend some cash, and
Let the good times roll, let the good times roll
I don't care if you're young or old
Get together, let the good times roll

Hey Mr. Landlord, lock up all the doors
When the police comes around
Just tell 'em that the joint is closed
Let the good times roll, let the good times roll
I don't care if you're young or old
Get together, let the good times roll

Hey tell everybody
Mr. King's in town
I got a dollar and a quarter
Just rarin' to clown
But don't let nobody play me cheap
I got fifty cents more that I'm gonna keep, so

Let the good times roll, let the good times roll
I don't care if you're young or old
Get together, let the good times roll

No matter whether rainy weather
Birds of a feather gotta stick together
So get yourself under control
Go out and get together and let the good times roll",let good time roll let good time roll not care young old get together let good time roll not sit mumblin talkin trash wanna ball get go spend cash let good time roll let good time roll not care young old get together let good time roll hey mr landlord lock door police come around tell em joint closed let good time roll let good time roll not care young old get together let good time roll hey tell everybody mr king town get dollar quarter rarin clown not let nobody play cheap get fifty cent go keep let good time roll let good time roll not care young old get together let good time roll no matter whether rainy weather bird feather get stick together get control go get together let good time roll,let the good time roll let the good time roll i do not care if you be young or old get together let the good time roll do not sit there mumblin talkin trash if you wanna have a ball you get to go out and spend some cash and let the good time roll let the good time roll i do not care if you be young or old get together let the good time roll hey mr landlord lock up all the door when the police come around just tell em that the joint be closed let the good time roll let the good time roll i do not care if you be young or old get together let the good time roll hey tell everybody mr king in town i get a dollar and a quarter just rarin to clown but do not let nobody play me cheap i get fifty cent more that i be go to keep so let the good time roll let the good time roll i do not care if you be young or old get together let the good time roll no matter whether rainy weather bird of a feather get to stick together so get yourself under control go out and get together and let the good time roll,0.23,0.095,0.9711,1,/lyric/72796/Louis+Jordan/Let+the+Good+Times+Roll,['Blues'],2:45,"['celebratory', 'exuberant', 'gleeful', 'happy', 'fun', 'joyous', 'innocent', 'swaggering']",Let the Good Times Roll,https://www.allmusic.com/song/let-the-good-times-roll-mt0002525073
8,Louis Jordan,happy,The Best of Louis Jordan,/album/the-best-of-louis-jordan-mw0000200578,"Find a wheel and it goes round, round, round
As it skims along with a happy sound
As it goes along the ground, ground, ground
Till it leads you to the one you love

Then your love will hold you round, round, round
In your heart's a song with a brand new sound
And your head goes spinning round, round, round
'cause you've found what you've been dreamin' of

In the night you see the oval moon
Going round and round in tune 
And the ball of sun in the day
Makes a girl and boy want to say

Find a ring and put it round, round, round
And with ties so strong that two hearts are bound
Put it on the one you've found, found, found
For you know that this is really love

Find a wheel and it goes round, round, round
As it skims along with a happy sound
As it goes along the ground, ground, ground
Till it leads you to the one you love

Then your love, you'll hold her round, round, round
In your heart's a song with a brand new sound
And your head goes spinning round, round, round
'cause you've found what you've been dreamin' of

In the night you see the oval moon
Going round and round in tune 
And the ball of sun in the day
Makes a girl and boy want to say

Find a ring and put it round, round, round
And with ties so strong your two hearts are bound
Put it on the one you've found, found, found
For you know that this is really love

Find a ring, out it on
For you know that this is really love, really love, really love",find wheel go round round round skim along happy sound go along ground ground ground till lead one love love hold round round round heart song brand new sound head go spin round round round ecause find dreamin night see oval moon go round round tune ball sun day make girl boy want say find ring put round round round tie strong two heart bind put one find find find know really love find wheel go round round round skim along happy sound go along ground ground ground till lead one love love hold round round round heart song brand new sound head go spin round round round ecause find dreamin night see oval moon go round round tune ball sun day make girl boy want say find ring put round round round tie strong two heart bind put one find find find know really love find ring know really love really love really love,find a wheel and it go round round round as it skim along with a happy sound as it go along the ground ground ground till it lead you to the one you love then your love will hold you round round round in your heart a song with a brand new sound and your head go spin round round round ecause you have find what you have be dreamin of in the night you see the oval moon go round and round in tune and the ball of sun in the day make a girl and boy want to say find a ring and put it round round round and with tie so strong that two heart be bind put it on the one you have find find find for you know that this be really love find a wheel and it go round round round as it skim along with a happy sound as it go along the ground ground ground till it lead you to the one you love then your love you will hold her round round round in your heart a song with a brand new sound and your head go spin round round round ecause you have find what you have be dreamin of in the night you see the oval moon go round and round in tune and the ball of sun in the day make a girl and boy want to say find a ring and put it round round round and with tie so strong your two heart be bind put it on the one you have find find find for you know that this be really love find a ring out it on for you know that this be really love really love really love,0.28,0.0,0.9952,1,/lyric/3283529/Louis+Jordan/Caldonia+Boogie,['Blues'],2:40,"['boisterous', 'carefree', 'amiable/good-natured', 'exuberant', 'gleeful', 'happy', 'humorous', 'playful']",Caldonia,https://www.allmusic.com/song/caldonia-mt0003024107
9,The Turtles,happy,The Turtles' Greatest Hits,/album/the-turtles-greatest-hits-mw0000192146,"From the time I fall asleep
'Til the morning comes I dream about
You baby
And I feel all right
'Cause I know tonight I'll be with
You baby
And who makes me feel like smiling
When the weary day is through

You baby, no-one but you, baby, nobody but you
You baby, no-one but you, baby, nobody but you

They say candy is sweet
But it just can't compete with
You baby
You've got everything I need
And nobody can please like
You do, baby
And who believes all my wildest dreams
And my craziest schemes will come true

You baby, no-one but you, baby, nobody but you
You baby, no-one but you, baby, nobody but you

A little ray of sunshine
A little bit of soul
Add just a touch of magic
You got the greatest thing since rock 'n' roll

You baby, no-one but you, baby, nobody but you
You baby, no-one but you, baby, nobody but you

You baby, no-one but you, baby, nobody but you
You baby, no-one but you, baby, nobody but you",time fall asleep til morning come dream baby feel right ecause know tonight baby make feel like smile weary day baby no one baby nobody baby no one baby nobody say candy sweet not compete baby get everything need nobody please like baby believe wild dream crazy scheme come true baby no one baby nobody baby no one baby nobody little ray sunshine little bit soul add touch magic get great thing since rock n roll baby no one baby nobody baby no one baby nobody baby no one baby nobody baby no one baby nobody,from the time i fall asleep til the morning come i dream about you baby and i feel all right ecause i know tonight i will be with you baby and who make me feel like smile when the weary day be through you baby no one but you baby nobody but you you baby no one but you baby nobody but you they say candy be sweet but it just can not compete with you baby you have get everything i need and nobody can please like you do baby and who believe all my wild dream and my crazy scheme will come true you baby no one but you baby nobody but you you baby no one but you baby nobody but you a little ray of sunshine a little bit of soul add just a touch of magic you get the great thing since rock n roll you baby no one but you baby nobody but you you baby no one but you baby nobody but you you baby no one but you baby nobody but you you baby no one but you baby nobody but you,0.215,0.179,0.7595,1,/lyric/149936/The+Turtles/You+Baby,['Pop/Rock'],2:19,"['soothing', 'sugary', 'summery', 'sweet', 'amiable/good-natured', 'happy', 'springlike', 'carefree']",You Baby,https://www.allmusic.com/song/you-baby-mt0001854468
