,Unnamed: 0,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics(normalized_no_stopwords),lyrics(normalized_with_stopwords),lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,0,Charles Mingus,circular,East Coasting,/album/east-coasting-mw0000188431,"Waking skies at sunrise
Every sunset too
Seems to be bringing me
Memories of you

Here and there, everywhere
Scenes that we once knew
And they all just recall
Memories of you

How I wish, I could forget those
Those happy yesteryears
That have left a rosary of tears

Your face beams in my dreams
'Spite of all I do
Everything seems to bring
Memories of you

And your face beams in my dreams
'Spite of all I do
Everything seems to bring
Memories, just memories of you",wake sky sunrise every sunset seem bring memory everywhere scen know recall memory wish could forget happy yesteryear leave rosary tear face beam dream spite everything seem bring memory face beam dream spite everything seem bring memory memory,wake sky at sunrise every sunset too seem to be bring me memory of you here and there everywhere scen that we once know and they all just recall memory of you how i wish i could forget those those happy yesteryear that have leave a rosary of tear your face beam in my dream spite of all i do everything seem to bring memory of you and your face beam in my dream spite of all i do everything seem to bring memory just memory of you,/lyric/3102622/Charles+Mingus/Memories+of+You,['Jazz'],4:27,"['circular', 'complex', 'ambitious', 'passionate', 'aggressive', 'fiery', 'intense', 'volatile']",Memories of You,https://www.allmusic.com/song/memories-of-you-mt0003185865
1,1,Charles Mingus,circular,East Coasting,/album/east-coasting-mw0000188431,"Waking skies at sunrise
Every sunset too
Seems to be bringing me
Memories of you

Here and there, everywhere
Scenes that we once knew
And they all just recall
Memories of you

How I wish, I could forget those
Those happy yesteryears
That have left a rosary of tears

Your face beams in my dreams
'Spite of all I do
Everything seems to bring
Memories of you

And your face beams in my dreams
'Spite of all I do
Everything seems to bring
Memories, just memories of you",wake sky sunrise every sunset seem bring memory everywhere scen know recall memory wish could forget happy yesteryear leave rosary tear face beam dream spite everything seem bring memory face beam dream spite everything seem bring memory memory,wake sky at sunrise every sunset too seem to be bring me memory of you here and there everywhere scen that we once know and they all just recall memory of you how i wish i could forget those those happy yesteryear that have leave a rosary of tear your face beam in my dream spite of all i do everything seem to bring memory of you and your face beam in my dream spite of all i do everything seem to bring memory just memory of you,/lyric/3102622/Charles+Mingus/Memories+of+You,['Jazz'],4:42,"['circular', 'complex', 'ambitious', 'passionate', 'aggressive', 'fiery', 'intense', 'volatile']",Memories of You,https://www.allmusic.com/song/memories-of-you-mt0008532980
2,2,Enya,circular,Shepherd Moons,/album/shepherd-moons-mw0000275476,"Eurus
Afer Ventus

So the world goes round and round
With all you ever knew
They say the sky high above
Is Caribbean blue

If every man says all he can
If every man is true
Do I believe the sky above
Is Caribbean blue 

Boreas 
Zephryus 

If all you told was turned to gold
If all you dreamed was new
Imagine sky high above
In Caribbean blue",eurus afer ventus world go round round ever know say sky high caribbean blue every man say every man true believe sky caribbean blue boreas zephryus tell turn gold dream new imagine sky high caribbean blue,eurus afer ventus so the world go round and round with all you ever know they say the sky high above be caribbean blue if every man say all he can if every man be true do i believe the sky above be caribbean blue boreas zephryus if all you tell be turn to gold if all you dream be new imagine sky high above in caribbean blue,/lyric/2775752/Enya/Caribbean+Blue,"['New Age', 'Pop/Rock', 'International']",3:59,"['calm/peaceful', 'atmospheric', 'circular', 'complex', 'dreamy', 'elegant', 'ethereal', 'gentle']",Caribbean Blue,https://www.allmusic.com/song/caribbean-blue-mt0007071918
3,3,Enya,circular,Shepherd Moons,/album/shepherd-moons-mw0000275476,"Eww harlay eyuwee heewah oohah sharlay marc toh cheeteeh woodenuh.
Aran doi dig coh hoh partenuh ooh lee ah ooh harlorh.
Eww harlay eyuwee heewah oohah harlay mwahnee kahah montenah.
Ooh de keewah! Ooh de keewah!
Oohnah li ansai angrass de la ooh hoo lee ah ooh harlorh.

Ahh

Amharc, mn ag obair l ?s mall san och?,
Ceolann siad ar laetha geal, a bh,
Bealach fada annon ?s anall a choch?.

Ahh

Eww harlay eyuwee heewah oohah harlay wooneenchi doidig dohtenuh, dohtenuh, dohtenuh
Ooh de keewah!
Woohnah wui an jaeshah woodenuh ooh lee ah ooh harlorh.
Eww harlay eyuwee heewah oohah sharlay marc toh cheeteeh woodenuh.
Ooh de keewah! Ooh de keewah!
Aran doi dig coh hoh partenuh ooh lee ah ooh harlorh.
Ooh, eww harlay eyuwee heewah oohah
Ooh, li ah, kahah montenah.",eww harlay eyuwee heewah oohah sharlay marc toh cheeteeh woodenuh aran doi dig coh hoh partenuh ooh lee ah ooh harlorh eww harlay eyuwee heewah oohah harlay mwahnee kahah montenah ooh de keewah ooh de keewah oohnah li ansai angrass de la ooh hoo lee ah ooh harlorh ahh amharc mn ag obair l mall san och ceolann siad ar laetha geal bh bealach fada annon anall choch ahh eww harlay eyuwee heewah oohah harlay wooneenchi doidig dohtenuh dohtenuh dohtenuh ooh de keewah woohnah wui jaeshah woodenuh ooh lee ah ooh harlorh eww harlay eyuwee heewah oohah sharlay marc toh cheeteeh woodenuh ooh de keewah ooh de keewah aran doi dig coh hoh partenuh ooh lee ah ooh harlorh ooh eww harlay eyuwee heewah oohah ooh li ah kahah montenah,eww harlay eyuwee heewah oohah sharlay marc toh cheeteeh woodenuh aran doi dig coh hoh partenuh ooh lee ah ooh harlorh eww harlay eyuwee heewah oohah harlay mwahnee kahah montenah ooh de keewah ooh de keewah oohnah li ansai angrass de la ooh hoo lee ah ooh harlorh ahh amharc mn ag obair l s mall san och ceolann siad ar laetha geal a bh bealach fada annon s anall a choch ahh eww harlay eyuwee heewah oohah harlay wooneenchi doidig dohtenuh dohtenuh dohtenuh ooh de keewah woohnah wui an jaeshah woodenuh ooh lee ah ooh harlorh eww harlay eyuwee heewah oohah sharlay marc toh cheeteeh woodenuh ooh de keewah ooh de keewah aran doi dig coh hoh partenuh ooh lee ah ooh harlorh ooh eww harlay eyuwee heewah oohah ooh li ah kahah montenah ,/lyric/145813/Enya/Ebudae,"['International', 'New Age', 'Pop/Rock']",1:56,"['atmospheric', 'circular', 'complex', 'dreamy', 'elegant', 'gentle', 'hypnotic', 'light']",Ebudae,https://www.allmusic.com/song/ebudae-mt0007069111
4,4,Enya,circular,Shepherd Moons,/album/shepherd-moons-mw0000275476,"One day, one night, one moment
My dreams could be tomorrow
One step, one fall, one falter
East or west,
Over earth or by ocean
One way to be my journey
This way could be my
Book of days

No day, no night, no moment
Can hold me back from trying
I'll flag, I'll fall, I'll falter
I'll find my day maybe
Far and away
Far and away

One day, one night, one moment
With a dream to be living
One step, one fall, one falter
And a new world that cross a wide ocean
This sway became my journey
This day ends together
Far and away

This day ends together
Far and away
Far and away.",one day one night one moment dream could tomorrow one step one fall one falter east west earth ocean one way journey way could book day no day no night no moment hold back try flag fall falter find day maybe far away far away one day one night one moment dream live one step one fall one falter new world cross wide ocean sway become journey day end together far away day end together far away far away,one day one night one moment my dream could be tomorrow one step one fall one falter east or west over earth or by ocean one way to be my journey this way could be my book of day no day no night no moment can hold me back from try i will flag i will fall i will falter i will find my day maybe far and away far and away one day one night one moment with a dream to be live one step one fall one falter and a new world that cross a wide ocean this sway become my journey this day end together far and away this day end together far and away far and away ,/lyric/45949/Enya/Book+of+Days+%5BFrom+Far+and+Away%5D,"['International', 'New Age', 'Pop/Rock']",2:56,"['atmospheric', 'circular', 'complex', 'dreamy', 'elegant', 'gentle', 'hypnotic', 'light']",Book of Days,https://www.allmusic.com/song/book-of-days-mt0008464604
5,5,Enya,circular,Shepherd Moons,/album/shepherd-moons-mw0000275476,"I dreamt I dwelt in marble halls
With vassals and serfs at my side,
And of all who assembled within those walls
That I was the hope and the pride.
I had riches all too great to count
And a high ancestral name. 

But I also dreamt which pleased me most
That you loved me still the same,
That you loved me
You loved me still the same,
That you loved me
You loved me still the same.

I dreamt that suitors sought my hand,
That knights upon bended knee
And with vows no maidens heart could withstand,
They pledged their faith to me.
And I dreamt that one of that noble host
Came forth my hand to claim. 

But I also dreamt which charmed me most
That you loved me still the same
That you loved me
You loved me still the same,
That you loved me
You loved me still the same.
",dream dwelt marble hall vassal serf side assemble within wall hope pride rich great count high ancestral name also dream please love still love love still love love still dream suitor seek hand knight upon bended knee vow no maiden heart could withstand pledge faith dream one noble host come forth hand claim also dream charm love still love love still love love still,i dream i dwelt in marble hall with vassal and serf at my side and of all who assemble within those wall that i be the hope and the pride i have rich all too great to count and a high ancestral name but i also dream which please me most that you love me still the same that you love me you love me still the same that you love me you love me still the same i dream that suitor seek my hand that knight upon bended knee and with vow no maiden heart could withstand they pledge their faith to me and i dream that one of that noble host come forth my hand to claim but i also dream which charm me most that you love me still the same that you love me you love me still the same that you love me you love me still the same ,/lyric/469621/Enya/Marble+Halls,"['International', 'New Age', 'Pop/Rock']",3:54,"['atmospheric', 'circular', 'complex', 'dreamy', 'elegant', 'gentle', 'hypnotic', 'light']",Marble Halls,https://www.allmusic.com/song/marble-halls-mt0007007968
6,6,Enya,circular,Shepherd Moons,/album/shepherd-moons-mw0000275476,"Mare Nubium. Umbriel.
Mare Imbrium. Ariel.
Et itur ad astra.
Et itur ad astra.
Mare Undarum. Io. Vela.

Mirabile dictu. Mirabilia.
Mirabile visu. Mirabilia.
Et itur ad astra.
Et itur ad astra.
Sempervirent. Rosetum.

Afer Ventus. Zephyrus.
Volturnus. Africus.
Et itur ad astra.
Et itur ad astra.
Etesiarum. Eurus. 
 
Suus cuique mos. Suum cuique.
Meus mihi, suus cuique carus.
Mememto, terrigena.
Mememto, vita brevis.
Meus mihi, suus cuique carus.
",mare nubium umbriel mare imbrium ariel et itur ad astra et itur ad astra mare undarum io vela mirabile dictu mirabilia mirabile visu mirabilia et itur ad astra et itur ad astra sempervirent rosetum afer ventus zephyrus volturnus africus et itur ad astra et itur ad astra etesiarum eurus suus cuique mo suum cuique meus mihi suus cuique carus mememto terrigena mememto vita brevis meus mihi suus cuique carus,mare nubium umbriel mare imbrium ariel et itur ad astra et itur ad astra mare undarum io vela mirabile dictu mirabilia mirabile visu mirabilia et itur ad astra et itur ad astra sempervirent rosetum afer ventus zephyrus volturnus africus et itur ad astra et itur ad astra etesiarum eurus suus cuique mo suum cuique meus mihi suus cuique carus mememto terrigena mememto vita brevis meus mihi suus cuique carus ,/lyric/4388301/Enya/After+Ventus,"['International', 'New Age', 'Pop/Rock']",4:06,"['atmospheric', 'circular', 'dramatic', 'dreamy', 'elegant', 'ethereal', 'gentle', 'hypnotic']",After Ventus,https://www.allmusic.com/song/after-ventus-mt0006893085
7,7,Enya,circular,Shepherd Moons,/album/shepherd-moons-mw0000275476,"Eist le mo chroi
Go bronach a choich
Ta me cailte gan ta
's do bhean cheile
An gro mor i do shaoil
Threorai si me
Bigi liomsa i gconai
La 's oich",eist le mo chroi go bronach choich ta cailte gan ta bhean cheile gro mor shaoil threorai si bigi liomsa gconai la oich,eist le mo chroi go bronach a choich ta me cailte gan ta s do bhean cheile an gro mor i do shaoil threorai si me bigi liomsa i gconai la s oich,/lyric/2538274/Enya/Smaointe,"['International', 'New Age', 'Pop/Rock']",6:07,"['atmospheric', 'circular', 'dramatic', 'dreamy', 'elegant', 'ethereal', 'gentle', 'hypnotic']",Smaointe,https://www.allmusic.com/song/smaointe-mt0008279890
8,8,Enya,circular,Watermark,/album/watermark-mw0000198831,"Cursum perficio 
Cursum perficio 
Cursum perficio 
Cursum perficio 
Cursum perficio 

Verbum sapienti (eo plus cupiunt) 
Verbum sapienti 
Quo plus habent, eo plus cupiunt 
Verbum sapienti 
Quo plus habent, eo plus cupiunt 

Post nubila, Phoebus 
Post nubila, Phoebus 
Post nubila, Phoebus 

Quo plus habent, eo plus cupiunt 
Quo plus habent, eo plus cupiunt 
Quo plus habent, eo plus cupiunt 

Post nubila, Phoebus 
Post nubila, Phoebus 
Post nubila, Phoebus 
Post nubila, Phoebus 
Post nubila, Phoebus 
Post nubila, Phoebus 

Iternum 
Iternum 
Iternum",cursum perficio cursum perficio cursum perficio cursum perficio cursum perficio verbum sapienti eo plus cupiunt verbum sapienti quo plus habent eo plus cupiunt verbum sapienti quo plus habent eo plus cupiunt post nubila phoebus post nubila phoebus post nubila phoebus quo plus habent eo plus cupiunt quo plus habent eo plus cupiunt quo plus habent eo plus cupiunt post nubila phoebus post nubila phoebus post nubila phoebus post nubila phoebus post nubila phoebus post nubila phoebus iternum iternum iternum,cursum perficio cursum perficio cursum perficio cursum perficio cursum perficio verbum sapienti eo plus cupiunt verbum sapienti quo plus habent eo plus cupiunt verbum sapienti quo plus habent eo plus cupiunt post nubila phoebus post nubila phoebus post nubila phoebus quo plus habent eo plus cupiunt quo plus habent eo plus cupiunt quo plus habent eo plus cupiunt post nubila phoebus post nubila phoebus post nubila phoebus post nubila phoebus post nubila phoebus post nubila phoebus iternum iternum iternum,/lyric/1544554/Enya/Cursum+Perficio,"['International', 'New Age', 'Pop/Rock']",4:06,"['atmospheric', 'circular', 'dramatic', 'dreamy', 'elegant', 'ethereal', 'hypnotic', 'lush']",Cursum Perficio,https://www.allmusic.com/song/cursum-perficio-mt0007207968
9,9,Enya,circular,Watermark,/album/watermark-mw0000198831,"Strange how my heart beats 
To find myself upon your shore. 
Strange how I still feel 
My loss of comfort gone before. 
Cool waves wash over 
And drift away with dreams of youth 
So time is stolen 
I cannot hold you long enough. 
And so this is where I should be now 

Days and nights falling by 
Days and nights falling by me. 
I know of a dream I should be holding 
Days and nights falling by 
Days and nights falling by me. 

Cool waves wash over 
And drift away with reams of youth 
So time is stolen 
I cannot hold you long enough. 
Soft blue horizons 
Reach far into my childhood days 
As you are rising 
To bring me my forgotten ways 

Strange how I falter 
To find I'm standing in deep water 
Strange how my heart beats 
To find I'm standing on your shore 
",strange heart beat find upon shore strange still feel loss comfort go cool wave wash drift away dream youth time steal not hold long enough day night fall day night fall know dream hold day night fall day night fall cool wave wash drift away ream youth time steal not hold long enough soft blue horizon reach far childhood day rise bring forget way strange falter find stand deep water strange heart beat find stand shore,strange how my heart beat to find myself upon your shore strange how i still feel my loss of comfort go before cool wave wash over and drift away with dream of youth so time be steal i can not hold you long enough and so this be where i should be now day and night fall by day and night fall by me i know of a dream i should be hold day and night fall by day and night fall by me cool wave wash over and drift away with ream of youth so time be steal i can not hold you long enough soft blue horizon reach far into my childhood day as you be rise to bring me my forget way strange how i falter to find i be stand in deep water strange how my heart beat to find i be stand on your shore ,/lyric/1544555/Enya/On+Your+Shore,"['International', 'New Age', 'Pop/Rock']",3:59,"['atmospheric', 'circular', 'dramatic', 'dreamy', 'elegant', 'ethereal', 'gentle', 'hypnotic']",On Your Shore,https://www.allmusic.com/song/on-your-shore-mt0008403628
