,Unnamed: 0,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics(normalized_no_stopwords),lyrics(normalized_with_stopwords),lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,0,The Prodigy,fiery,The Fat of the Land,/album/the-fat-of-the-land-mw0000054699,"Change my pitch up
Smack my bitch up
Change my pitch up
Smack my bitch up
Change my pitch up
Smack my bitch up
Change my pitch up
Smack my bitch up
Smack my bitch up
Eaaaheeyheeaheyyyee
Aaahaaahaaaaaaaaaaahha
Eaaaheeyheeaheyyyee
Aaahhaaaaa
Aaahhaaaaaaaaaaaaaaaaaaa
Aaaaaaaaaaaaaaaaaaaaaaaa
Aaaaaaaaaaaaaaaaaaaaaaaa
Smack my bitch up
Change my pitch up
Smack my bitch up
Change my pitch up
Smack my bitch up",change pitch smack bitch change pitch smack bitch change pitch smack bitch change pitch smack bitch smack bitch eaaaheeyheeaheyyyee aaahaaahaaaaaaaaaaahha eaaaheeyheeaheyyyee aaahhaaaaa aaahhaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaaaaaaaaaaaaaa smack bitch change pitch smack bitch change pitch smack bitch,change my pitch up smack my bitch up change my pitch up smack my bitch up change my pitch up smack my bitch up change my pitch up smack my bitch up smack my bitch up eaaaheeyheeaheyyyee aaahaaahaaaaaaaaaaahha eaaaheeyheeaheyyyee aaahhaaaaa aaahhaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaaaaaaaaaaaaaa smack my bitch up change my pitch up smack my bitch up change my pitch up smack my bitch up,/lyric/1751127/The+Prodigy/Smack+My+Bitch+Up,['Electronic'],5:42,"['confrontational', 'fiery', 'harsh', 'tense/anxious', 'aggressive', 'dramatic', 'fierce', 'swaggering']",Smack My Bitch Up,https://www.allmusic.com/song/smack-my-bitch-up-mt0000092888
1,1,The Prodigy,fiery,The Fat of the Land,/album/the-fat-of-the-land-mw0000054699,"Breathe with me

Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Come play my game
Inhale, inhale, you're the victim
Come play my game
Exhale, exhale, exhale

Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Come play my game
Inhale, inhale, you're the victim
Come play my game
Exhale, exhale, exhale

Come breathe with me
Breathe with me

Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Come play my game
Inhale, inhale, you're the victim
Come play my game
Exhale, exhale, exhale

Breathe with me

Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Come play my game
Inhale, inhale, you're the victim
Come play my game
Exhale, exhale, exhale",breathe breathe pressure come play game test ya psychosomatic addict insane breathe pressure come play game test ya psychosomatic addict insane come play game inhale inhale victim come play game exhale exhale exhale breathe pressure come play game test ya psychosomatic addict insane breathe pressure come play game test ya psychosomatic addict insane come play game inhale inhale victim come play game exhale exhale exhale come breathe breathe breathe pressure come play game test ya psychosomatic addict insane breathe pressure come play game test ya psychosomatic addict insane come play game inhale inhale victim come play game exhale exhale exhale breathe breathe pressure come play game test ya psychosomatic addict insane breathe pressure come play game test ya psychosomatic addict insane come play game inhale inhale victim come play game exhale exhale exhale,breathe with me breathe the pressure come play my game i will test ya psychosomatic addict insane breathe the pressure come play my game i will test ya psychosomatic addict insane come play my game inhale inhale you be the victim come play my game exhale exhale exhale breathe the pressure come play my game i will test ya psychosomatic addict insane breathe the pressure come play my game i will test ya psychosomatic addict insane come play my game inhale inhale you be the victim come play my game exhale exhale exhale come breathe with me breathe with me breathe the pressure come play my game i will test ya psychosomatic addict insane breathe the pressure come play my game i will test ya psychosomatic addict insane come play my game inhale inhale you be the victim come play my game exhale exhale exhale breathe with me breathe the pressure come play my game i will test ya psychosomatic addict insane breathe the pressure come play my game i will test ya psychosomatic addict insane come play my game inhale inhale you be the victim come play my game exhale exhale exhale,/lyric/1707373/The+Prodigy/Breathe+%5BEdit%5D,['Electronic'],5:35,"['aggressive', 'confident', 'confrontational', 'dramatic', 'energetic', 'exciting', 'fierce', 'fiery']",Breathe,https://www.allmusic.com/song/breathe-mt0002223612
2,2,The Prodigy,fiery,The Fat of the Land,/album/the-fat-of-the-land-mw0000054699,"Yo! I used to check out lyrics and pump the format 
Build with skill with technique, computer A-DAT 
My lyrical form is clouds on your brainstorm 
I get hyped think thought flow, acrobat, sink the track, pump the track 
Transmissions, close like spores react, past strong visions 
And hurrying more reflects on the dance floor 
Blowing up and having mad people showing up 
Packing crowds jam packed venues 
Needles collapse, while atmosphere continues 
To sprinkle that, 
Winnin' like that, movin' like that, hittin' like that 
The melody is phat 
Yo, I'm on the energy source 
The cosmic boss 
With Prodigy 
Given astrology 
My intellect's devour
With Diesel Power 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
Blows your mind drastically, fanta.. 
We spin back rewind. Diesel Power 
Blows your mind drastically, fantasically 
It has to be, automatically 
Check it out. You better work it out 
Change to another bout
My techniques, strategies, abilities. 
Will leave cordless mics hanging like spring leads
Do a track so fast. Beyond from you and I
Lyrical tactics, vocal gymnastics 
Ease and pepped up 
You get swept up 
Smacked up, backed up, your crew's all cracked up 
Check it slow 
Pick choose quick 
You can't stick 
My medical range is strange as angles
You get tangled. Twist inside a fraction
Channels repeat, complete. Can't compete 
Check the hour texture 
Mind adventure 
Exploit the point 
Into tracks to devour 
My intellectual proceed
With diesel power 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
Blows your mind drastically, fanta... 
Back attack the wack
Pack the fax to me
You don't want none 
High quality action, b, still standing 
Damaging your other manner
Quick reverse 
Potent as the first verse 
My amplifier blows on your world's higher 
World's sire 
Cuts like a barbed wire 
Record play
I pull up on you every day 
Fast forward 
I move and I swing torward 
Exit load 
Put your brain in right mode 
Selective mix 
The man will perfect the fix, heads lightly, bite me 
Copy Xereos. Cops' sandblocks 
You can't knocks them out there 
I'll keep lifting, shifting, persistant
Intelligent kingpin 
Given astrology 
As I roll with Prodigy 
With Diesel Power 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
Blows your mind drastically, fanta... 
Mono 706 
8073421 Robot sonic 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
",yo use check lyric pump format build skill technique computer dat lyrical form cloud brainstorm get hype think thought flow acrobat sink track pump track transmission close like spore react past strong vision hurry reflect dance floor blow mad people show pack crowd jam packed venue needle collapse atmosphere continue sprinkle winnin like movin like hittin like melody phat yo energy source cosmic boss prodigy give astrology intellect devour diesel power blow mind drastically fantastically blow mind drastically fantastically blow mind drastically fantastically blow mind drastically fanta spin back rewind diesel power blow mind drastically fantasically automatically check better work change another bout technique strategy ability leave cordless mic hang like spring lead track fast beyond lyrical tactic vocal gymnastic ease pep get sweep smack back crew crack check slow pick choose quick not stick medical range strange angle get tangled twist inside fraction channel repeat complete not compete check hour texture mind adventure exploit point track devour intellectual proceed diesel power blow mind drastically fantastically blow mind drastically fantastically blow mind drastically fantastically blow mind drastically fanta back attack wack pack fax not want none high quality action b still stand damage manner quick reverse potent first verse amplifier blow world high world sire cut like barbed wire record play pull every day fast forward move swing torward exit load put brain right mode selective mix man perfect fix head lightly bite copy xereos cop sandblock not knock keep lift shift persistant intelligent kingpin give astrology roll prodigy diesel power blow mind drastically fantastically blow mind drastically fantastically blow mind drastically fantastically blow mind drastically fanta mono robot sonic blow mind drastically fantastically blow mind drastically fantastically blow mind drastically fantastically blow mind drastically fantastically,yo i use to check out lyric and pump the format build with skill with technique computer a dat my lyrical form be cloud on your brainstorm i get hype think thought flow acrobat sink the track pump the track transmission close like spore react past strong vision and hurry more reflect on the dance floor blow up and have mad people show up pack crowd jam packed venue needle collapse while atmosphere continue to sprinkle that winnin like that movin like that hittin like that the melody be phat yo i be on the energy source the cosmic boss with prodigy give astrology my intellect devour with diesel power blow your mind drastically fantastically blow your mind drastically fantastically blow your mind drastically fantastically blow your mind drastically fanta we spin back rewind diesel power blow your mind drastically fantasically it have to be automatically check it out you better work it out change to another bout my technique strategy ability will leave cordless mic hang like spring lead do a track so fast beyond from you and i lyrical tactic vocal gymnastic ease and pep up you get sweep up smack up back up your crew all crack up check it slow pick choose quick you can not stick my medical range be strange as angle you get tangled twist inside a fraction channel repeat complete can not compete check the hour texture mind adventure exploit the point into track to devour my intellectual proceed with diesel power blow your mind drastically fantastically blow your mind drastically fantastically blow your mind drastically fantastically blow your mind drastically fanta back attack the wack pack the fax to me you do not want none high quality action b still stand damage your other manner quick reverse potent as the first verse my amplifier blow on your world high world sire cut like a barbed wire record play i pull up on you every day fast forward i move and i swing torward exit load put your brain in right mode selective mix the man will perfect the fix head lightly bite me copy xereos cop sandblock you can not knock them out there i will keep lift shift persistant intelligent kingpin give astrology as i roll with prodigy with diesel power blow your mind drastically fantastically blow your mind drastically fantastically blow your mind drastically fantastically blow your mind drastically fanta mono robot sonic blow your mind drastically fantastically blow your mind drastically fantastically blow your mind drastically fantastically blow your mind drastically fantastically ,/lyric/1751129/The+Prodigy/Diesel+Power,['Electronic'],4:17,"['aggressive', 'confident', 'confrontational', 'fiery', 'dramatic', 'swaggering', 'urgent', 'reckless']",Diesel Power,https://www.allmusic.com/song/diesel-power-mt0001872779
3,3,The Prodigy,fiery,The Fat of the Land,/album/the-fat-of-the-land-mw0000054699,"Damage destructor 
Crowd disruptor 
You corruptor 
Everytimer.. 
Yea! 
Damage destructor 
Crowd disruptor 
Mainliner 
Everytimer.. 
Taste Me, Taste Me! 
Succumb to me, Succumb to me! 
Taste Me, Taste Me! 
Succumb to me, Succumb to me! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
Damage destructor 
Crowd disruptor 
Mainliner 
Everytimer.. 
Taste Me, Taste Me! 
Succumb to me, Succumb to me! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
Damage Destructor 
Crowd disruptor 
Mainliner 
Everytimer.. 
Taste Me, Taste Me! 
Succumb to me, Succumb to me! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
",damage destructor crowd disruptor corruptor everytimer yea damage destructor crowd disruptor mainliner everytimer taste taste succumb succumb taste taste succumb succumb serial thrilla serious killa serial thrilla serious killa serial thrilla serious killa serial thrilla serious killa damage destructor crowd disruptor mainliner everytimer taste taste succumb succumb serial thrilla serious killa serial thrilla serious killa serial thrilla serious killa serial thrilla serious killa damage destructor crowd disruptor mainliner everytimer taste taste succumb succumb serial thrilla serious killa serial thrilla serious killa serial thrilla serious killa serial thrilla serious killa,damage destructor crowd disruptor you corruptor everytimer yea damage destructor crowd disruptor mainliner everytimer taste me taste me succumb to me succumb to me taste me taste me succumb to me succumb to me serial thrilla serious killa serial thrilla serious killa serial thrilla serious killa serial thrilla serious killa damage destructor crowd disruptor mainliner everytimer taste me taste me succumb to me succumb to me serial thrilla serious killa serial thrilla serious killa serial thrilla serious killa serial thrilla serious killa damage destructor crowd disruptor mainliner everytimer taste me taste me succumb to me succumb to me serial thrilla serious killa serial thrilla serious killa serial thrilla serious killa serial thrilla serious killa ,/lyric/1751131/The+Prodigy/Serial+Thrilla,['Electronic'],5:11,"['aggressive', 'confident', 'confrontational', 'fiery', 'harsh', 'tense/anxious', 'dramatic', 'fierce']",Serial Thrilla,https://www.allmusic.com/song/serial-thrilla-mt0001703264
4,4,The Prodigy,fiery,The Fat of the Land,/album/the-fat-of-the-land-mw0000054699,"This is dangerous, 
Open up your head feel the shell shock! 
This is dangerous, 
I walk through mindfields so watch your head rock! 
This is dangerous, 
Open up your head feel the shell shock! 
This is dangerous, 
Open up your head feel the shell shock! 
This is dangerous, 
I walk through mindfields so watch your head rock! 
This is dangerous, 
Open up your head feel the shell shock! 
This is dangerous, 
I walk through mindfields so watch your head rock! 
So watch your head rock! 
This is dangerous, 
Open up your head feel the shell shock! 
This is dangerous, 
Open up your head feel the shell shock! 
This is dangerous, 
I walk through mindfields so watch your head rock! 
This is dangerous, 
Open up your head feel the shell shock! 
This is dangerous, 
I walk through mindfields so watch your head rock! 
OOCHA! 
OOCHA! 
Ha ha ha, I walk through mindfields! 
OOCHA! 
OOCHA! 
OOCHA... 
I walk through mindfields so watch your head rock! 
I walk through mindfields so watch your head rock! 
OOCHA! 
I walk through mindfields so watch your head rock! 
I walk through mindfields so watch your head rock! 
OOCHA! 
",dangerous open head feel shell shock dangerous walk mindfield watch head rock dangerous open head feel shell shock dangerous open head feel shell shock dangerous walk mindfield watch head rock dangerous open head feel shell shock dangerous walk mindfield watch head rock watch head rock dangerous open head feel shell shock dangerous open head feel shell shock dangerous walk mindfield watch head rock dangerous open head feel shell shock dangerous walk mindfield watch head rock oocha oocha ha ha ha walk mindfield oocha oocha oocha walk mindfield watch head rock walk mindfield watch head rock oocha walk mindfield watch head rock walk mindfield watch head rock oocha,this be dangerous open up your head feel the shell shock this be dangerous i walk through mindfield so watch your head rock this be dangerous open up your head feel the shell shock this be dangerous open up your head feel the shell shock this be dangerous i walk through mindfield so watch your head rock this be dangerous open up your head feel the shell shock this be dangerous i walk through mindfield so watch your head rock so watch your head rock this be dangerous open up your head feel the shell shock this be dangerous open up your head feel the shell shock this be dangerous i walk through mindfield so watch your head rock this be dangerous open up your head feel the shell shock this be dangerous i walk through mindfield so watch your head rock oocha oocha ha ha ha i walk through mindfield oocha oocha oocha i walk through mindfield so watch your head rock i walk through mindfield so watch your head rock oocha i walk through mindfield so watch your head rock i walk through mindfield so watch your head rock oocha ,/lyric/1751132/The+Prodigy/Mindfields,['Electronic'],5:40,"['aggressive', 'confident', 'confrontational', 'fierce', 'fiery', 'harsh', 'tense/anxious', 'dramatic']",Mindfields,https://www.allmusic.com/song/mindfields-mt0008418485
5,5,The Prodigy,fiery,The Fat of the Land,/album/the-fat-of-the-land-mw0000054699,"If you believe the Western Sun 
is falling down on everyone 
If you're breaking free 
And the morning's come 
If you would know 
Your time has come. 
If you believe in the Western Sun 
is falling down on everyone 
And you feel it burn, don't try to run 
And you feel it burn, your time has come. 
And I feel it. 
I feel another energy 
and I feel power through it 
I feel another energy 
and I feel power through it 
You feel another energy 
and I feel power through it 
If you believe in the Western Sun 
is falling down on everyone 
If you're breaking free 
And the morning's come 
If you would know 
Your time has come. 
If you believe in the Western Sun 
is falling down on everyone 
And you feel it burn, don't try to run 
And you feel it burn, your time has come. 
And I feel it. 
You feel another energy 
And I feel power through it 
You feel another energy 
And I feel power through it 
You feel another energy 
And I feel power through it 
Umm Naman Narayanna 
Umm Naman Narayanna 
Umm Naman Narayanna... 
And I feel it. 
And I feel it. 
And I feel it. 
I feel another energy. 
You feel another energy 
And I feel power through it 
You feel another energy 
And I feel power through it 
",believe western sun fall everyone break free morning come would know time come believe western sun fall everyone feel burn not try run feel burn time come feel feel another energy feel power feel another energy feel power feel another energy feel power believe western sun fall everyone break free morning come would know time come believe western sun fall everyone feel burn not try run feel burn time come feel feel another energy feel power feel another energy feel power feel another energy feel power umm naman narayanna umm naman narayanna umm naman narayanna feel feel feel feel another energy feel another energy feel power feel another energy feel power,if you believe the western sun be fall down on everyone if you be break free and the morning come if you would know your time have come if you believe in the western sun be fall down on everyone and you feel it burn do not try to run and you feel it burn your time have come and i feel it i feel another energy and i feel power through it i feel another energy and i feel power through it you feel another energy and i feel power through it if you believe in the western sun be fall down on everyone if you be break free and the morning come if you would know your time have come if you believe in the western sun be fall down on everyone and you feel it burn do not try to run and you feel it burn your time have come and i feel it you feel another energy and i feel power through it you feel another energy and i feel power through it you feel another energy and i feel power through it umm naman narayanna umm naman narayanna umm naman narayanna and i feel it and i feel it and i feel it i feel another energy you feel another energy and i feel power through it you feel another energy and i feel power through it ,/lyric/1751133/The+Prodigy/Narayan,['Electronic'],9:05,"['aggressive', 'confident', 'confrontational', 'fiery', 'harsh', 'tense/anxious', 'dramatic', 'fierce']",Narayan,https://www.allmusic.com/song/narayan-mt0000716481
6,6,The Prodigy,fiery,The Fat of the Land,/album/the-fat-of-the-land-mw0000054699,"I've got word of thanks 
Thanks that I'd like to say 
For the rage that I feel 
The rage that I feel today 

Gotta stack, gotta stack 
Stack of chips on my shoulder 
In everything I do 'cause I made, I made 
I made the mistake of trusting you 

Yeah, people like you just fuel my fire 
Yeah, people like you just fuel my fire 
Yeah, people like you just fuel my fire 
People like you just burn! 
You liar, you liar, you liar, you liar! 

Yeah, my layers are thick 
And I got a bad attitude 
Yeah, that knife in my back 
Has fingerprints that belong to you 

Got a grudge, got a grudge 
Got a grudge that I'm holding for as long as I live 
'Cause you lied, you lied, you lied to my face 
And that's something that I can't forgive 

Yeah, people like you just fuel my fire 
Yeah, people like you just fuel my fire 
Yeah, people like you just fuel my fire 
People like you just burn! 
You liar, you liar, you liar, you liar! 

Yeah, people like you just fuel my fire 
Yeah, people like you just fuel my fire 
People like you just fuel my fire 
While people like you just burn! 
You liar, you liar, you liar, you liar!",get word thank thank would like say rage feel rage feel today get stack get stack stack chip shoulder everything ecause make make make mistake trust yeah people like fuel fire yeah people like fuel fire yeah people like fuel fire people like burn liar liar liar liar yeah layer thick get bad attitude yeah knife back fingerprint belong get grudge get grudge get grudge hold long live ecause lie lie lie face something not forgive yeah people like fuel fire yeah people like fuel fire yeah people like fuel fire people like burn liar liar liar liar yeah people like fuel fire yeah people like fuel fire people like fuel fire people like burn liar liar liar liar,i have get word of thank thank that i would like to say for the rage that i feel the rage that i feel today get to stack get to stack stack of chip on my shoulder in everything i do ecause i make i make i make the mistake of trust you yeah people like you just fuel my fire yeah people like you just fuel my fire yeah people like you just fuel my fire people like you just burn you liar you liar you liar you liar yeah my layer be thick and i get a bad attitude yeah that knife in my back have fingerprint that belong to you get a grudge get a grudge get a grudge that i be hold for as long as i live ecause you lie you lie you lie to my face and that be something that i can not forgive yeah people like you just fuel my fire yeah people like you just fuel my fire yeah people like you just fuel my fire people like you just burn you liar you liar you liar you liar yeah people like you just fuel my fire yeah people like you just fuel my fire people like you just fuel my fire while people like you just burn you liar you liar you liar you liar ,/lyric/1751136/The+Prodigy/Fuel+My+Fire,['Electronic'],4:19,"['aggressive', 'confident', 'confrontational', 'fiery', 'harsh', 'tense/anxious', 'dramatic', 'fierce']",Fuel My Fire,https://www.allmusic.com/song/fuel-my-fire-mt0005261585
7,7,Nirvana,fiery,Nevermind,/album/nevermind-mw0000185616,"Load up on guns, bring your friends
It's fun to lose and to pretend
She's over-bored and self-assured
Oh no, I know a dirty word

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino, a mosquito, my libido
Yeah, hey

I'm worse at what I do best
And for this gift I feel blessed
Our little group has always been
And always will until the end

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino, a mosquito, my libido
Yeah, hey

And I forget just why I taste
Oh yeah, I guess it makes me smile
I found it hard, it's hard to find
Oh well, whatever, never mind

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino, a mosquito, my libido
A denial, a denial, a denial, a denial, a denial
A denial, a denial, a denial, a denial",load gun bring friend fun lose pretend bored self assure oh no know dirty word hello hello hello low hello hello hello low hello hello hello low hello hello hello light less dangerous entertain us feel stupid contagious entertain us mulatto albino mosquito libido yeah hey bad best gift feel bless little group always always end hello hello hello low hello hello hello low hello hello hello low hello hello hello light less dangerous entertain us feel stupid contagious entertain us mulatto albino mosquito libido yeah hey forget taste oh yeah guess make smile find hard hard find oh well whatev never mind hello hello hello low hello hello hello low hello hello hello low hello hello hello light less dangerous entertain us feel stupid contagious entertain us mulatto albino mosquito libido denial denial denial denial denial denial denial denial denial,load up on gun bring your friend it be fun to lose and to pretend she be over bored and self assure oh no i know a dirty word hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello with the light out it be less dangerous here we be now entertain us i feel stupid and contagious here we be now entertain us a mulatto an albino a mosquito my libido yeah hey i be bad at what i do best and for this gift i feel bless our little group have always be and always will until the end hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello with the light out it be less dangerous here we be now entertain us i feel stupid and contagious here we be now entertain us a mulatto an albino a mosquito my libido yeah hey and i forget just why i taste oh yeah i guess it make me smile i find it hard it be hard to find oh well whatev never mind hello hello hello how low hello hello hello how low hello hello hello how low hello hello hello with the light out it be less dangerous here we be now entertain us i feel stupid and contagious here we be now entertain us a mulatto an albino a mosquito my libido a denial a denial a denial a denial a denial a denial a denial a denial a denial,/lyric/759865/Nirvana/Smells+Like+Teen+Spirit,['Pop/Rock'],5:02,"['angst-ridden', 'cathartic', 'fiery', 'aggressive', 'raucous', 'rousing', 'snide', 'urgent']",Smells Like Teen Spirit,https://www.allmusic.com/song/smells-like-teen-spirit-mt0003050787
8,8,Nirvana,fiery,Nevermind,/album/nevermind-mw0000185616,"I'm so happy because today
I've found my friends
They're in my head
I'm so ugly, but that's okay, 'cause so are you
We've broken our mirrors
Sunday morning is everyday for all I care
And I'm not scared
Light my candles in a daze
'Cause I've found god
Hey, hey, hey

I'm so lonely but that's okay I shaved my head
And I'm not sad
And just maybe I'm to blame for all I've heard
But I'm not sure
I'm so excited, I can't wait to meet you there
But I don't care
I'm so horny but that's okay
My will is good
Hey, hey, hey

I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack

I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack

I'm so happy 'cause today
I've found my friends,
They're in my head
I'm so ugly, that's okay, 'cause so are you,
Broke our mirrors
Sunday morning is everyday for all I care,
And I'm not scared
Light my candles in a daze
'Cause I've found god

Yeah, yeah,
Yeah, yeah,
Yeah, yeah,
Yeah, yeah,
Yeah, yeah,
Yeah, yeah, yeah

I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack

I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack",happy today find friend head ugly okay ecause break mirror sunday morning everyday care not scared light candle daze ecause find god hey hey hey lonely okay shave head not sad maybe blame hear not sure excited not wait meet not care horny okay good hey hey hey like not go crack miss not go crack love not go crack kill not go crack like not go crack miss not go crack love not go crack kill not go crack happy ecause today find friend head ugly okay ecause break mirror sunday morning everyday care not scared light candle daze ecause find god yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah like not go crack miss not go crack love not go crack kill not go crack like not go crack miss not go crack love not go crack kill not go crack,i be so happy because today i have find my friend they be in my head i be so ugly but that be okay ecause so be you we have break our mirror sunday morning be everyday for all i care and i be not scared light my candle in a daze ecause i have find god hey hey hey i be so lonely but that be okay i shave my head and i be not sad and just maybe i be to blame for all i have hear but i be not sure i be so excited i can not wait to meet you there but i do not care i be so horny but that be okay my will be good hey hey hey i like it i be not go to crack i miss you i be not go to crack i love you i be not go to crack i kill you i be not go to crack i like it i be not go to crack i miss you i be not go to crack i love you i be not go to crack i kill you i be not go to crack i be so happy ecause today i have find my friend they be in my head i be so ugly that be okay ecause so be you break our mirror sunday morning be everyday for all i care and i be not scared light my candle in a daze ecause i have find god yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah yeah i like it i be not go to crack i miss you i be not go to crack i love you i be not go to crack i kill you i be not go to crack i like it i be not go to crack i miss you i be not go to crack i love you i be not go to crack i kill you i be not go to crack,/lyric/2547268/Nirvana/Lithium,['Pop/Rock'],4:17,"['fiery', 'volatile', 'witty', 'aggressive', 'brooding', 'yearning', 'visceral', 'acerbic']",Lithium,https://www.allmusic.com/song/lithium-mt0004699567
9,9,Nirvana,fiery,Nevermind,/album/nevermind-mw0000185616,"Polly wants a cracker
I think I should get off her first
I think she wants some water
To put out the blow torch

It isn't me
We have some seed
Let me clip
Your dirty wings
Let me take a ride
Don't cut yourself
I want some help
To please myself
I've got some rope
You have been told
I promise you
I have been true
Let me take a ride
Don't cut yourself
I want some help
To please myself

Polly wants a cracker
Maybe she would like some food
She asks me to untie her
A chase would be nice for a few

It isn't me
We have some seed
Let me clip
Your dirty wings
Let me take a ride
Don't cut yourself
I want some help
To please myself
I've got some rope
You have been told
I promise you
I have been true
Let me take a ride
Don't cut yourself
I want some help
To please myself

Polly said

Polly says her back hurts
And she's just as bored as me
She caught me off my guard
It amazes me, the will of instinct

It isn't me
We have some seed
Let me clip
Your dirty wings
Let me take a ride
Don't cut yourself
I want some help
To please myself
I've got some rope
You have been told
I promise you
I have been true
Let me take a ride
Don't cut yourself
I want some help
To please myself",polly want cracker think get first think want water put blow torch not seed let clip dirty wing let take ride not cut want help please get rope tell promise true let take ride not cut want help please polly want cracker maybe would like food ask untie chase would nice not seed let clip dirty wing let take ride not cut want help please get rope tell promise true let take ride not cut want help please polly say polly say back hurt bored catch guard amaze instinct not seed let clip dirty wing let take ride not cut want help please get rope tell promise true let take ride not cut want help please,polly want a cracker i think i should get off her first i think she want some water to put out the blow torch it be not me we have some seed let me clip your dirty wing let me take a ride do not cut yourself i want some help to please myself i have get some rope you have be tell i promise you i have be true let me take a ride do not cut yourself i want some help to please myself polly want a cracker maybe she would like some food she ask me to untie her a chase would be nice for a few it be not me we have some seed let me clip your dirty wing let me take a ride do not cut yourself i want some help to please myself i have get some rope you have be tell i promise you i have be true let me take a ride do not cut yourself i want some help to please myself polly say polly say her back hurt and she be just as bored as me she catch me off my guard it amaze me the will of instinct it be not me we have some seed let me clip your dirty wing let me take a ride do not cut yourself i want some help to please myself i have get some rope you have be tell i promise you i have be true let me take a ride do not cut yourself i want some help to please myself,/lyric/2547269/Nirvana/Polly,['Pop/Rock'],2:56,"['bleak', 'angst-ridden', 'eerie', 'fiery', 'somber', 'aggressive', 'austere', 'brooding']",Polly,https://www.allmusic.com/song/polly-mt0005237798
