,Unnamed: 0,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics(normalized_no_stopwords),lyrics(normalized_with_stopwords),lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,0,The Monkees,naive,More of the Monkees,/album/more-of-the-monkees-mw0000651540,"When love comes knockin' at your door
Just open up and let I'm in.
Its gonna be a magic carpet ride;
So little girl now don't you run and hide.

I know that you've been hurt before
But don't you be afraid no more.
Throw off the chains that bind
And leave the past behind;
When love comes knocking at your door.

When love comes knocking at your door
Just open up and let I'm in.
Its gonna be a magic carpet ride;
So little girl now don't you run and hide.
You'll see a rainbow every day,
The sun will shine in every way.
Throw off the chains that bind
And leave the past behind;
No need to worry anymore,
When love comes knocking at your door
At your door,
At your door,
At your door.",love come knockin door open let go magic carpet ride little girl not run hide know hurt not afraid no throw chain bind leave past behind love come knock door love come knock door open let go magic carpet ride little girl not run hide see rainbow every day sun shine every way throw chain bind leave past behind no need worry anymore love come knock door door door door,when love come knockin at your door just open up and let i am in its go to be a magic carpet ride so little girl now do not you run and hide i know that you have be hurt before but do not you be afraid no more throw off the chain that bind and leave the past behind when love come knock at your door when love come knock at your door just open up and let i am in its go to be a magic carpet ride so little girl now do not you run and hide you will see a rainbow every day the sun will shine in every way throw off the chain that bind and leave the past behind no need to worry anymore when love come knock at your door at your door at your door at your door ,/lyric/2052724/The+Monkees/When+Love+Comes+Knockin%27+%28At+Your+Door%29,['Pop/Rock'],1:49,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",When Love Comes Knockin' (At Your Door),https://www.allmusic.com/song/when-love-comes-knockin-at-your-door-mt0004264817
1,1,The Monkees,naive,More of the Monkees,/album/more-of-the-monkees-mw0000651540,"I know about the guy who treated you so bad
He took your love and then just walked away
I know that you have got a reason to be sad
But help is on its way

Hold on, girl; be a little bit stronger
Hold on, girl; wait a little bit longer
Hold on, girl, help is on its way

I know you feel as though your world is at an end
But you don't have to live with yesterday
I promise you the sun is gonna shine again
And help is on its way

Hold on, girl; now that we are together
Hold on, girl; things are gonna be better
Hold on, girl, help is on its way",know guy treat bad take love walk away know get reason sad help way hold girl little bit strong hold girl wait little bit longer hold girl help way know feel though world end not live yesterday promise sun go shine help way hold girl together hold girl thing go good hold girl help way,i know about the guy who treat you so bad he take your love and then just walk away i know that you have get a reason to be sad but help be on its way hold on girl be a little bit strong hold on girl wait a little bit longer hold on girl help be on its way i know you feel as though your world be at an end but you do not have to live with yesterday i promise you the sun be go to shine again and help be on its way hold on girl now that we be together hold on girl thing be go to be good hold on girl help be on its way,/lyric/887280/The+Monkees/Hold+on+Girl+%5B%2A%5D,['Pop/Rock'],2:29,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",Hold on Girl,https://www.allmusic.com/song/hold-on-girl-mt0000528081
2,2,The Monkees,naive,More of the Monkees,/album/more-of-the-monkees-mw0000651540,"Girl, you look mighty good to me
And I know that you've got to be
The kind of girl I could love.

You've got the sweetest pair of eyes
And your kiss would be paradise
You're the kind of girl I could love.

You do something to my soul
That no one's ever done.
If you're looking for true love
Then let me be the one.

Girl, deep in my soul I'm sure
And my heart has no doubt that you're
The kind of girl I could love.
The kind of girl I could love.
[Repeat until fade]",girl look mighty good know get kind girl could love get sweet pair eye kiss would paradise kind girl could love something soul no one ever look true love let one girl deep soul sure heart no doubt kind girl could love kind girl could love [ repeat fade ],girl you look mighty good to me and i know that you have get to be the kind of girl i could love you have get the sweet pair of eye and your kiss would be paradise you be the kind of girl i could love you do something to my soul that no one ever do if you be look for true love then let me be the one girl deep in my soul i be sure and my heart have no doubt that you be the kind of girl i could love the kind of girl i could love [ repeat until fade ],/lyric/9037624/The+Monkees/The+Kind+of+Girl+I+Could+Love+%5BAlternate+Mix%5D%5B%23%5D%5B%2A%5D,['Pop/Rock'],1:53,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",The Kind of Girl I Could Love,https://www.allmusic.com/song/the-kind-of-girl-i-could-love-mt0004074720
3,3,The Monkees,naive,More of the Monkees,/album/more-of-the-monkees-mw0000651540,"There'll be birds singin' everywhere,
And the wind will be blowin' through your hair.
I'll look in your eyes 
And wait for the prize
Your lips kissing mine 
With a love that is real.
And you'll look so young and fair

On the day we fall in love!
You and me
On the day we fall in love.
You'll see!

There'll be rainbows reachin' cross the sky
And we'll both be so happy we will cry.
We'll walk hand in hand
In snow or in sand
Whether roses are blooming
Or snowmen stand by.
Time will stop, for you and I

On the day we fall in love!
It will be on the day we fall in love.
You'll see!

And if the lines that I say fall apart,
It's because I won't know where to start.
But you'll understand when I say them to you,
'Cause they'll come straight from my heart.

On the day we fall in love,
You and me,
On the day we fall in love,
You'll see,
You'll see.",bird singin everywhere wind blowin hair look eye wait prize lip kiss mine love real look young fair day fall love day fall love see rainbow reachin cross sky happy cry walk hand hand snow sand whether rose bloom snowman stand time stop day fall love day fall love see line say fall apart not know start understand say ecause come straight heart day fall love day fall love see see,there will be bird singin everywhere and the wind will be blowin through your hair i will look in your eye and wait for the prize your lip kiss mine with a love that be real and you will look so young and fair on the day we fall in love you and me on the day we fall in love you will see there will be rainbow reachin cross the sky and we will both be so happy we will cry we will walk hand in hand in snow or in sand whether rose be bloom or snowman stand by time will stop for you and i on the day we fall in love it will be on the day we fall in love you will see and if the line that i say fall apart it be because i will not know where to start but you will understand when i say them to you ecause they will come straight from my heart on the day we fall in love you and me on the day we fall in love you will see you will see ,/lyric/2052732/The+Monkees/The+Day+We+Fall+in+Love,['Pop/Rock'],2:26,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",The Day We Fall in Love,https://www.allmusic.com/song/the-day-we-fall-in-love-mt0000567132
4,4,The Monkees,naive,More of the Monkees,/album/more-of-the-monkees-mw0000651540,"Ev'ry face that I see is all wrapped up in frowns,
And unfortunately, it kind of gets me down.
Laugh,
'Cause the music is funny
Yeah, the bass sounds off-beat.
Ain't that neat.
Laugh,
When you lose all your money,
Or you can't find your shoes
To cover your feet.

It's not so hard to see exactly what I'm after.
Sometimes a tear should fall, but I require giggles and chuckles
Laugh,
When you're keepin' a secret
And it seems to be known
By the rest of the world.
Laugh,
When you go to a party,
And you can't tell the boys 
From the girls.

Every face that I see is all wrapped up in frowns
And unfortunately, it kind of gets me down.
Laugh,
At the things that are wrong.
If you thinks it's this song,
Then laugh.
Then laugh.
Then laugh.

[Repeat to fade]",evry face see wrap frowns unfortunately kind get laugh ecause music funny yeah bass sound beat not neat laugh lose money not find shoe cover foot not hard see exactly sometimes tear fall require giggle chuckle laugh keepin secret seem know rest world laugh go party not tell boy girl every face see wrap frowns unfortunately kind get laugh thing wrong think song laugh laugh laugh [ repeat fade ],evry face that i see be all wrap up in frowns and unfortunately it kind of get me down laugh ecause the music be funny yeah the bass sound off beat as not that neat laugh when you lose all your money or you can not find your shoe to cover your foot it be not so hard to see exactly what i be after sometimes a tear should fall but i require giggle and chuckle laugh when you be keepin a secret and it seem to be know by the rest of the world laugh when you go to a party and you can not tell the boy from the girl every face that i see be all wrap up in frowns and unfortunately it kind of get me down laugh at the thing that be wrong if you think it be this song then laugh then laugh then laugh [ repeat to fade ],/lyric/2052734/The+Monkees/Laugh,['Pop/Rock'],2:30,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",Laugh,https://www.allmusic.com/song/laugh-mt0005457301
5,5,The Monkees,naive,More of the Monkees,/album/more-of-the-monkees-mw0000651540,"Don't listen to Linda
She said all those things before
She's just a pretender,
And though you couldn't love her more
She'll lead you on, and then one day
She'll say you'll have to part
Don't listen to Linda
She'll only break your heart.

Don't listen to Linda
If you want some good advice,
Just try to remember,
She did it once, she'll do it twice
There's more to her little games,
Than your eyes can see,
Don't listen to Linda,
Or you'll end up like me.

You'll never understand her
All the presents you could hand her,
Could never be enough, oh no,
So, don't underestimate her,
'cause sooner or later,
The goings gonna start to get rough.

Don't listen to Linda,
Don't believe the things you hear.
You'll end up, contender,
For the Loser Of The Year.
I've said everything I can
To try and make you see
Don't listen to Linda,
Or you'll end up like me.",not listen linda say thing pretender though could not love lead one day say part not listen linda break heart not listen linda want good advice try remember twice little game eye see not listen linda end like never understand present could hand could never enough oh no not underestimate ecause sooner later going go start get rough not listen linda not believe thing hear end contender loser year say everything try make see not listen linda end like,do not listen to linda she say all those thing before she be just a pretender and though you could not love her more she will lead you on and then one day she will say you will have to part do not listen to linda she will only break your heart do not listen to linda if you want some good advice just try to remember she do it once she will do it twice there be more to her little game than your eye can see do not listen to linda or you will end up like me you will never understand her all the present you could hand her could never be enough oh no so do not underestimate her ecause sooner or later the going go to start to get rough do not listen to linda do not believe the thing you hear you will end up contender for the loser of the year i have say everything i can to try and make you see do not listen to linda or you will end up like me ,/lyric/9037669/The+Monkees/Don%27t+Listen+to+Linda+%5BFirst+Recorded+Version%5D%5B%2A%5D,['Pop/Rock'],2:28,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",Don't Listen to Linda,https://www.allmusic.com/song/dont-listen-to-linda-mt0004143416
6,6,The Monkees,naive,More of the Monkees,/album/more-of-the-monkees-mw0000651540,"People come and people go
Movin' fast and movin' slow
I'm in a crowd yet I'm all alone
The road is long the road is rough
I do believe I've had enough
I'm gonna turn around and head for home.

And I hope you're there
And you still care
And if you do,
I'll spend my life with you.

I've had all the time I need
To rearrange my mind and lead
The life I thought I wanted yesterday
I played a game that couldn't last
And now some mem'ries from the past
Have turned my thoughts around a different way.

And girl, I find
You're still on my mind.
And if you want me to
I'll spend my life with you.

And girl, I find
You're still on my mind.
And if you want me to
I'll spend my life with you.",people come people go movin fast movin slow crowd yet alone road long road rough believe enough go turn around head home hope still care spend life time need rearrange mind lead life think want yesterday play game could not last memrie past turn thought around different way girl find still mind want spend life girl find still mind want spend life,people come and people go movin fast and movin slow i be in a crowd yet i be all alone the road be long the road be rough i do believe i have have enough i be go to turn around and head for home and i hope you be there and you still care and if you do i will spend my life with you i have have all the time i need to rearrange my mind and lead the life i think i want yesterday i play a game that could not last and now some memrie from the past have turn my thought around a different way and girl i find you be still on my mind and if you want me to i will spend my life with you and girl i find you be still on my mind and if you want me to i will spend my life with you ,/lyric/887228/The+Monkees/I%27ll+Spend+My+Life+With+You,['Pop/Rock'],2:30,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",I'll Spend My Life With You,https://www.allmusic.com/song/ill-spend-my-life-with-you-mt0001440679
7,7,The Monkees,naive,More of the Monkees,/album/more-of-the-monkees-mw0000651540,"If you think I want the life you choose to live 
I don't think I want the love you've got to give 
If you think my goals could be so trivial and small 
Then, I don't think you know me at all 
Born between the covers of your fashion books 
You think you can make it, girl, on just your looks 
But you could never bring me up 
Between us stands a wall 
No, I don't think you know me at all 
Believing in the promise painted in your smile 
I've chased what I was running from, girl, all my life 
I've known you a hundred times in memories I recall, but 
I don't think you know me at all 
I don't think you know me at all. 
",think want life choose live not think want love get give think goal could trivial small not think know bear cover fashion book think make girl look could never bring us stand wall no not think know believe promise paint smile chase run girl life know hundred time memory recall not think know not think know,if you think i want the life you choose to live i do not think i want the love you have get to give if you think my goal could be so trivial and small then i do not think you know me at all bear between the cover of your fashion book you think you can make it girl on just your look but you could never bring me up between us stand a wall no i do not think you know me at all believe in the promise paint in your smile i have chase what i be run from girl all my life i have know you a hundred time in memory i recall but i do not think you know me at all i do not think you know me at all ,/lyric/875662/The+Monkees/I+Don%27t+Think+You+Know+Me,['Pop/Rock'],2:19,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",I Don't Think You Know Me,https://www.allmusic.com/song/i-dont-think-you-know-me-mt0000324521
8,8,Donny Osmond,naive,Somewhere in Time,/album/somewhere-in-time-mw0000662029,"Could I be right, could I be right ?bout you, baby?
Could I be right, could I be right for sure?
Could I be right, could I be right ?bout you, baby?

Since I met you I've begun to feel so strange
Every time I speak your name
You say that you are so helpless too
That you don't know what to do

Each night I pray there will never come a day
When you up and take your love away
Say you feel the same way too and I wonder
What it is I feel for you?

Could it be I'm falling in love?
Could it be I'm falling in love?
Could it be I'm falling in love with you?
With you, with you

I don't need all those things that used to bring me joy
You made me such a happy boy
And honey, you'll always be the only one for me
Meeting you was my destiny

You can be sure I will never let you down
When you need me I?ll be around
And you'll always be the only one for me
Heaven made you specially

Could it be I'm falling in love?
Could it be I'm falling in love?
Could it be I'm falling in love with you?
With you, with you

With you, babe
Could I be right, could I be right ?bout you, baby?
Could I be right, could I be right for sure?
Could I be right, could I be right ?bout you, baby?

I'm in love with you, baby
Every time I see you
I'm in love with you, baby

Could it be I'm falling in love?
Could it be I'm falling in love?
Could it be I'm falling in love with you?
With you, with you

With you, with you, with you",could right could right bout baby could right could right sure could right could right bout baby since meet begin feel strange every time speak name say helpless not know night pray never come day take love away say feel way wonder feel could fall love could fall love could fall love not need thing use bring joy make happy boy honey always one meet destiny sure never let need ill around always one heaven make specially could fall love could fall love could fall love babe could right could right bout baby could right could right sure could right could right bout baby love baby every time see love baby could fall love could fall love could fall love,could i be right could i be right bout you baby could i be right could i be right for sure could i be right could i be right bout you baby since i meet you i have begin to feel so strange every time i speak your name you say that you be so helpless too that you do not know what to do each night i pray there will never come a day when you up and take your love away say you feel the same way too and i wonder what it be i feel for you could it be i be fall in love could it be i be fall in love could it be i be fall in love with you with you with you i do not need all those thing that use to bring me joy you make me such a happy boy and honey you will always be the only one for me meet you be my destiny you can be sure i will never let you down when you need me ill be around and you will always be the only one for me heaven make you specially could it be i be fall in love could it be i be fall in love could it be i be fall in love with you with you with you with you babe could i be right could i be right bout you baby could i be right could i be right for sure could i be right could i be right bout you baby i be in love with you baby every time i see you i be in love with you baby could it be i be fall in love could it be i be fall in love could it be i be fall in love with you with you with you with you with you with you,/lyric/5861089/Donny+Osmond/Could+It+Be+I%27m+Falling+in+Love,['Pop/Rock'],3:40,"['innocent', 'naive', 'light', 'sugary', 'atmospheric', 'confident', 'dreamy', 'refined']",Could It Be I'm Falling in Love,https://www.allmusic.com/song/could-it-be-im-falling-in-love-mt0013123295
9,9,Donny Osmond,naive,Somewhere in Time,/album/somewhere-in-time-mw0000662029,"And they called it puppy love
Oh, I guess they'll never know
How a young heart really feels
And why I love her so

And they called it puppy love
Just because we're in our teens
Tell them all, please tell them it isn't fair
To take away my only dream

I cry each night my tears for you
My tears are all in vain
I'll hope and I'll pray that maybe someday
You'll be back in my arms once again

Someone, help me, help me, help me please
Is the answer up above
How can I, oh how can I tell them
This is not a puppy love

Someone, help me, help me, help me please
Is the answer up above
How can I, oh how can I tell them
This is not a puppy love, not a puppy love",call puppy love oh guess never know young heart really feel love call puppy love teen tell please tell not fair take away dream cry night tear tear vain hope pray maybe someday back arm someone help help help please answer oh tell not puppy love someone help help help please answer oh tell not puppy love not puppy love,and they call it puppy love oh i guess they will never know how a young heart really feel and why i love her so and they call it puppy love just because we be in our teen tell them all please tell them it be not fair to take away my only dream i cry each night my tear for you my tear be all in vain i will hope and i will pray that maybe someday you will be back in my arm once again someone help me help me help me please be the answer up above how can i oh how can i tell them this be not a puppy love someone help me help me help me please be the answer up above how can i oh how can i tell them this be not a puppy love not a puppy love,/lyric/18470049/Donny+Osmond/Puppy+Love,['Pop/Rock'],2:49,"['innocent', 'naive', 'light', 'sugary', 'atmospheric', 'confident', 'dreamy', 'refined']",Puppy Love,https://www.allmusic.com/song/puppy-love-mt0030267658
