,Unnamed: 0,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics(normalized_no_stopwords),lyrics(normalized_with_stopwords),lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,0,The Flying Burrito Brothers,sad,Hot Burritos! The Flying?,/album/hot-burritos%21-the-flying-burrito-brothers-anthology-1969-1972-mw0000060947,"All alone she waits at the window
While the sun sets in the sea
Is that the sound of his foot steps 
That echoes in the hall
And then they fade away 
No, it wasn't him after all

He was gone in the early morning
And he said he wouldn't be long
But that was spring and now 
That the leaves have all turned brown
She only shares her bed with 
The loneliness she has found

Still she waits alone at the window
For the one who wandered away
Each day the room grows colder 
Her tears grow harder to hold
And still she saves her love 
For the day she knows he'll come home",alone wait window sun set sea sound foot step echo hall fade away no not go early morning say would not long spring leaf turn brown share bed loneliness find still wait alone window one wander away day room grow cold tear grow harder hold still save love day know come home,all alone she wait at the window while the sun set in the sea be that the sound of his foot step that echo in the hall and then they fade away no it be not him after all he be go in the early morning and he say he would not be long but that be spring and now that the leaf have all turn brown she only share her bed with the loneliness she have find still she wait alone at the window for the one who wander away each day the room grow cold her tear grow harder to hold and still she save her love for the day she know he will come home,/lyric/514532/The+Flying+Burrito+Brothers/All+Alone,['Pop/Rock'],2:23,"['sad', 'yearning']",All Alone,https://www.allmusic.com/song/all-alone-mt0008518093
1,1,The Cure,sad,Disintegration,/album/disintegration-mw0000203095,"Hey hey, just one more and I'll walk away 
All the everything you win turns to nothing today 
And I forget when to move when my mouth is this 
Dry and my eyes are bursting hearts in a blood-stained sky 
Oh it was sweet, it was wild and oh how we

I trembled, stuck in honey 
Honey cling to me, so just one more
Just one more go 
Inspire in me the desire in me to never go home 
(Doo doo doo doo doo doo)
(Doo doo doo doo doo)
Oh just one more and I'll walk away 
All the everything you win turns to nothing today 
So just one more, just one more go inspire in me 
The desire in me to never go home
To never go home
(Doo doo doo doo doo doo)",hey hey one walk away everything win turn nothing today forget move mouth dry eye burst heart blood stain sky oh sweet wild oh tremble stick honey honey cl one one go inspire desire never go home doo doo doo doo doo doo doo doo doo doo doo oh one walk away everything win turn nothing today one one go inspire desire never go home never go home doo doo doo doo doo doo,hey hey just one more and i will walk away all the everything you win turn to nothing today and i forget when to move when my mouth be this dry and my eye be burst heart in a blood stain sky oh it be sweet it be wild and oh how we i tremble stick in honey honey cl to me so just one more just one more go inspire in me the desire in me to never go home doo doo doo doo doo doo doo doo doo doo doo oh just one more and i will walk away all the everything you win turn to nothing today so just one more just one more go inspire in me the desire in me to never go home to never go home doo doo doo doo doo doo ,/lyric/2327489/The+Cure/Homesick+%5B%2A%5D,['Pop/Rock'],7:08,"['bleak', 'reflective', 'poignant', 'bittersweet', 'gloomy', 'melancholy', 'sad', 'brooding']",Homesick,https://www.allmusic.com/song/homesick-mt0039680802
2,2,George Jones,sad,Cup of Loneliness: The?,/album/cup-of-loneliness-the-classic-mercury-years-mw0000119481,"I've been living a new way
Of life that I love so
But I can see the clouds are gathering
And the storm will wreck our home

For last night he held you tightly
And you didn't even shove
This is true for I've been watching (watching you)
From the window up above

You must have thought that I was sleeping
And I wish that I had been
But it's guess to get to know you
And the way your heart can sin

I thought we belonged together
And our hearts fit like a glove
But I was wrong for I've been watching (watching you)
From the window up above

From my eyes the teardrops started
As I listened on and on
I heard you whisper to him softly
That our marriage was all wrong

But I hope he makes you happy
And you will never lose his love
I lost mine while I was watching (watching you)
From the window up above

How I wish I could be dreaming
And wake up to an honest love that's true
But I'm wrong for I've been watching (watching you)
From the window up above",live new way life love see cloud gather storm wreck home last night hold tightly not even shove true watch watch window must think sleep wish guess get know way heart sin think belong together heart fit like glove wrong watch watch window eye teardrop start listen hear whisper softly marriage wrong hope make happy never lose love lose mine watch watch window wish could dream wake honest love true wrong watch watch window,i have be live a new way of life that i love so but i can see the cloud be gather and the storm will wreck our home for last night he hold you tightly and you do not even shove this be true for i have be watch watch you from the window up above you must have think that i be sleep and i wish that i have be but it be guess to get to know you and the way your heart can sin i think we belong together and our heart fit like a glove but i be wrong for i have be watch watch you from the window up above from my eye the teardrop start as i listen on and on i hear you whisper to him softly that our marriage be all wrong but i hope he make you happy and you will never lose his love i lose mine while i be watch watch you from the window up above how i wish i could be dream and wake up to an honest love that be true but i be wrong for i have be watch watch you from the window up above,/lyric/72730/George+Jones/Window+up+Above,"['Country', 'Pop/Rock']",2:33,"['bittersweet', 'melancholy', 'nocturnal', 'plaintive', 'poignant', 'sad', 'wistful', 'yearning']",Window up Above,https://www.allmusic.com/song/window-up-above-mt0007867001
3,3,George Jones,sad,Cup of Loneliness: The?,/album/cup-of-loneliness-the-classic-mercury-years-mw0000119481,"Heartache number one was when you left me
I never knew that I could hurt this way
And heartache number two was when you come back again
You came back and never meant to stay

[Chorus]
Now I've got heartaches by the number, troubles by the score
Everyday you love me less, each day I love you more
Yes I've got heartaches by the number, a love that I can't win
But the day that I stop counting, that's the day my world will end

Heartache number three was when you called me
And said that you were coming back to stay
With hopeful heart I waited for your knock on the door
I waited but you must have lost your way

[Chorus]",heartache number one leave never know could hurt way heartache number two come back come back never mean stay [ chorus ] get heartache number trouble score everyday love less day love yes get heartache number love not win day stop count day world end heartache number three call say come back stay hopeful heart wait knock door wait must lose way [ chorus ],heartache number one be when you leave me i never know that i could hurt this way and heartache number two be when you come back again you come back and never mean to stay [ chorus ] now i have get heartache by the number trouble by the score everyday you love me less each day i love you more yes i have get heartache by the number a love that i can not win but the day that i stop count that be the day my world will end heartache number three be when you call me and say that you be come back to stay with hopeful heart i wait for your knock on the door i wait but you must have lose your way [ chorus ],/lyric/754838/George+Jones/Heartaches+by+the+Number,['Country'],2:34,"['sad', 'yearning']",Heartaches by the Number,https://www.allmusic.com/song/heartaches-by-the-number-mt0008391599
4,4,George Jones,sad,Cup of Loneliness: The?,/album/cup-of-loneliness-the-classic-mercury-years-mw0000119481,"You keep saying you love him
I believe that it's true
And it just doesn't matter
How much I love you

But in time you'll understand, dear
When you shed a tear
Then you'll know you were living
In your tender years (tender years)

In your eyes there's a love light
That's shining for him
But how long will it stay there?
Will that love light grow dim?

You can just see the happiness
You can't see the tears
It's true, 'cause you're living
In your tender years (tender years)

So if I can't be your first love
I'll wait and be your last
I'll be somewhere in your future
To help you forget the past

And you'll know that I love you
With a love that's sincere
'Cause I'll wait till you're through living
In your tender years (tender years)

Yes, you'll know that I love you
With a love that's sincere
Yes, I'll wait till you're through living
In your tender years (tender years)",keep say love believe true not matter much love time understand dear shed tear know live tender year tender year eye love light shin long stay love light grow dim see happiness not see tear true ecause live tender year tender year not first love wait last somewhere future help forget past know love love sincere ecause wait till live tender year tender year yes know love love sincere yes wait till live tender year tender year,you keep say you love him i believe that it be true and it just do not matter how much i love you but in time you will understand dear when you shed a tear then you will know you be live in your tender year tender year in your eye there be a love light that be shin for him but how long will it stay there will that love light grow dim you can just see the happiness you can not see the tear it be true ecause you be live in your tender year tender year so if i can not be your first love i will wait and be your last i will be somewhere in your future to help you forget the past and you will know that i love you with a love that be sincere ecause i will wait till you be through live in your tender year tender year yes you will know that i love you with a love that be sincere yes i will wait till you be through live in your tender year tender year ,/lyric/76175/George+Jones/Tender+Years,['Country'],2:22,"['bittersweet', 'melancholy', 'nocturnal', 'plaintive', 'poignant', 'reflective', 'sad', 'searching']",Tender Years,https://www.allmusic.com/song/tender-years-mt0007864626
5,5,Jennifer Warnes,sad,Famous Blue Raincoat: The?,/album/famous-blue-raincoat-the-songs-of-leonard-cohen-mw0000192376,"Now the flames they followed Joan of Arc
 as she came riding through the dark;
 no moon to keep her armour bright,
 no man to get her through this dark and smoky night.
 She said, ""I'm tired of the war,
 I want the kind of work I had before,
 a wedding dress or something white
 to wear upon my swollen appetite.""

 Well, I'm glad to hear you talk this way,
 you know I've watched you riding every day
 and something in me yearns to win
 such a cold and lonesome heroine.
 ""And who are you?"" she sternly spoke
 to the one beneath the smoke.
 ""Why, I'm fire,"" he replied,
 ""And I love your solitude, I love your pride.""

 ""Well then fire, make your body cold,
 I'm gonna give you mine to hold,""
 saying this she climbed inside
 to be his one, to be his only bride.
 And deep into his fiery heart
 he took the dust of Joan of Arc,
 and high above all these wedding guests
 he hung the ashes of her lovely wedding dress.
 La...

 It was deep into his fiery heart
 he took the dust of Joan of Arc,
 and then she clearly understood
 if he was fire, oh she must be wood.
 I saw her wince, I saw her cry,
 I saw the glory in her eye.
 Myself I long for love and light,
 but must it come so cruel, must it be so brave?
 La...",flame follow joan arc come rid dark no moon keep armour bright no man get dark smoky night say tired war want kind work wedding dress something white wear upon swollen appetite well glad hear talk way know watch rid every day something yearn win cold lonesome heroine sternly speak one beneath smoke fire reply love solitude love pride well fire make body cold go give mine hold say climb inside one bride deep fiery heart take dust joan arc high wedding guest hang ash lovely wedding dress la deep fiery heart take dust joan arc clearly understand fire oh must wood see wince see cry see glory eye long love light must come cruel must brave la,now the flame they follow joan of arc as she come rid through the dark no moon to keep her armour bright no man to get her through this dark and smoky night she say i be tired of the war i want the kind of work i have before a wedding dress or something white to wear upon my swollen appetite well i be glad to hear you talk this way you know i have watch you rid every day and something in me yearn to win such a cold and lonesome heroine and who be you she sternly speak to the one beneath the smoke why i be fire he reply and i love your solitude i love your pride well then fire make your body cold i be go to give you mine to hold say this she climb inside to be his one to be his only bride and deep into his fiery heart he take the dust of joan of arc and high above all these wedding guest he hang the ash of her lovely wedding dress la it be deep into his fiery heart he take the dust of joan of arc and then she clearly understand if he be fire oh she must be wood i see her wince i see her cry i see the glory in her eye myself i long for love and light but must it come so cruel must it be so brave la ,/lyric/834209/Jennifer+Warnes/Joan+of+Arc,"['Pop/Rock', 'Country', 'Easy Listening']",7:57,"['cerebral', 'elegant', 'nocturnal', 'relaxed', 'smooth', 'sophisticated', 'wistful', 'sad']",Joan of Arc,https://www.allmusic.com/song/joan-of-arc-mt0005496022
6,6,The Ink Spots,sad,The Anthology,/album/the-anthology-mw0000597190,"Just for a thrill
You changed the sunshine to rain
Just for a thrill
You filled my heart with pain

To me you were my pride and joy
But to you, I was merely a toy
A plaything, that you could toss around at will

Just for a thrill
You made my life one sad song
Just for a thrill
You just led me along

Although you're free and havin' your fun
To me you're still the only one
Cause you made my heart stand still
Just for a thrill

Although you're free and havin' your fun
To me you're still the only one
Cause you made my heart stand still
Well, it was just for a thrill

And baby you, you, made my heart stand still
Just for a thrill",thrill change sunshine rain thrill fill heart pain pride joy merely toy plaything could toss around thrill make life one sad song thrill lead along although free fun still one make heart stand still thrill although free fun still one make heart stand still well thrill baby make heart stand still thrill,just for a thrill you change the sunshine to rain just for a thrill you fill my heart with pain to me you be my pride and joy but to you i be merely a toy a plaything that you could toss around at will just for a thrill you make my life one sad song just for a thrill you just lead me along although you be free and have your fun to me you be still the only one because you make my heart stand still just for a thrill although you be free and have your fun to me you be still the only one because you make my heart stand still well it be just for a thrill and baby you you make my heart stand still just for a thrill,/lyric/2822100/The+Ink+Spots/Just+for+a+Thrill,['Vocal'],2:47,"['bitter', 'dramatic', 'sad', 'weary', 'intimate', 'melancholy', 'restrained', 'delicate']",Just for a Thrill,https://www.allmusic.com/song/just-for-a-thrill-mt0007740119
7,7,The Ink Spots,sad,The Anthology,/album/the-anthology-mw0000597190,"Waking skies
At Sunrise,
Ev'ry sunset too,
Seems to be
Bringing me
Memories of you.

Here and there,
Ev'rywhere,
Scenes that we once knew,
And they all
Just recall
Memories of you.

How I wish I could forget
Those happy yesteryears
That have left a rosary of tears.

Your face beams
In my dreams,
Spite of all I do!
Ev'rything
Seems to bring
Memories of you.

How I wish I could forget
Those happy yesteryears
That have left a rosary of tears.

Your face beams
In my dreams,
Spite of all I do!
Ev'rything
Seems to bring
Memories,
All those memories of you.",wake sky sunrise evry sunset seem bring memory evrywhere scene know recall memory wish could forget happy yesteryear leave rosary tear face beam dream spite evrything seem bring memory wish could forget happy yesteryear leave rosary tear face beam dream spite evrything seem bring memory memory,wake sky at sunrise evry sunset too seem to be bring me memory of you here and there evrywhere scene that we once know and they all just recall memory of you how i wish i could forget those happy yesteryear that have leave a rosary of tear your face beam in my dream spite of all i do evrything seem to bring memory of you how i wish i could forget those happy yesteryear that have leave a rosary of tear your face beam in my dream spite of all i do evrything seem to bring memory all those memory of you ,/lyric/4239165/The+Ink+Spots/Memories+of+You,['Vocal'],2:59,"['bittersweet', 'melancholy', 'reflective', 'sad', 'yearning', 'delicate', 'dramatic', 'gloomy']",Memories of You,https://www.allmusic.com/song/memories-of-you-mt0007771128
8,8,The Ink Spots,sad,The Anthology,/album/the-anthology-mw0000597190,"I'm making believe that you're in my arms though I know you're so far away
Making believe I'm talking to you, wish you could hear what I say
And here in the gloom of my lonely room we're dancing like we used to do
Making believe is just another way of dreaming, so till my dreams come true

I'll whisper ""Good night"", turn out the light, and kiss my pillow
Making believe it's you
I'm making believe that you're in my arms though I know you're so far away
Making believe I'm talkin' to you, wish you could hear what I say

And here in the gloom of my lonely room we're dancing like we used to do
Making believe is just another way of dreamin', so till my dreams come true
I'll whisper ""Good night"", turn out the light, and kiss my pillow
Making believe it's you

And here in the gloom of my lonely room we're dancing like we used to do
Making believe is just another way of dreamin', so till my dreams come true
I'll whisper ""Good night"", turn out the light, and kiss my pillow
Making believe it's you",make believe arm though know far away make believe talk wish could hear say gloom lonely room dance like use making believe another way dream till dream come true whisper good night turn light kiss pillow making believe make believe arm though know far away make believe talkin wish could hear say gloom lonely room dance like use making believe another way dreamin till dream come true whisper good night turn light kiss pillow making believe gloom lonely room dance like use making believe another way dreamin till dream come true whisper good night turn light kiss pillow making believe,i be make believe that you be in my arm though i know you be so far away make believe i be talk to you wish you could hear what i say and here in the gloom of my lonely room we be dance like we use to do making believe be just another way of dream so till my dream come true i will whisper good night turn out the light and kiss my pillow making believe it be you i be make believe that you be in my arm though i know you be so far away make believe i be talkin to you wish you could hear what i say and here in the gloom of my lonely room we be dance like we use to do making believe be just another way of dreamin so till my dream come true i will whisper good night turn out the light and kiss my pillow making believe it be you and here in the gloom of my lonely room we be dance like we use to do making believe be just another way of dreamin so till my dream come true i will whisper good night turn out the light and kiss my pillow making believe it be you,/lyric/1361556/Ella+Fitzgerald/I%27m+Making+Believe,['Vocal'],3:12,"['gentle', 'reserved', 'sad', 'wistful', 'yearning', 'bittersweet', 'delicate', 'dreamy']",I'm Making Believe,https://www.allmusic.com/song/im-making-believe-mt0007827727
9,9,The Ink Spots,sad,The Anthology,/album/the-anthology-mw0000597190,"Alone from night to night you'll find me
Too weak to break the chains that bind me
I need no shackles to remind me
I'm just a prisoner of love

For one command I stand and wait now
From one who's master of my fate now
I can't escape for it's too late now
I'm just a prisoner of love

What's the good of my caring if someone is sharing those arms with me
Although she has another, I can't have another for I'm not free

She's in my dreams awake or sleeping
Upon my knees to her I'm creeping
My very life is in her keeping
I'm just a prisoner of love

What's the good of my caring if someone is sharing those arms with me
Although she has another, I can't have another for I'm not free

She's in my dreams awake or sleeping
Upon my knees to her I'm creeping
My very life is in her keeping
I'm just a prisoner of love",alone night night find weak break chain bind need no shackle remind prisoner love one command stand wait one master fate not escape late prisoner love good caring someone share arm although another not another not free dream awake sleep upon knee creep life keeping prisoner love good caring someone share arm although another not another not free dream awake sleep upon knee creep life keeping prisoner love,alone from night to night you will find me too weak to break the chain that bind me i need no shackle to remind me i be just a prisoner of love for one command i stand and wait now from one who be master of my fate now i can not escape for it be too late now i be just a prisoner of love what be the good of my caring if someone be share those arm with me although she have another i can not have another for i be not free she be in my dream awake or sleep upon my knee to her i be creep my very life be in her keeping i be just a prisoner of love what be the good of my caring if someone be share those arm with me although she have another i can not have another for i be not free she be in my dream awake or sleep upon my knee to her i be creep my very life be in her keeping i be just a prisoner of love,/lyric/1965602/The+Ink+Spots/Prisoner+of+Love,['Vocal'],3:01,"['dramatic', 'gloomy', 'nocturnal', 'sad', 'yearning', 'delicate', 'poignant', 'reflective']",Prisoner of Love,https://www.allmusic.com/song/prisoner-of-love-mt0009088971
