,Unnamed: 0,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics(normalized_no_stopwords),lyrics(normalized_with_stopwords),lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,0,The Beatles,warm,1967-1970,/album/1967-1970-mw0000263501,"Billy Shears

What would you think if I sang out of tune?
Would you stand up and walk out on me?
Lend me your ears and I'll sing you a song
And I'll try not to sing out of key

Oh, I get by with a little help from my friends
Mm, I get high with a little help from my friends
Mm, gonna try with a little help from my friends

What do I do when my love is away?
Does it worry you to be alone?
How do I feel by the end of the day?
Are you sad because you're on your own?

No, I get by with a little help from my friends
Mm, get high with a little help from my friends
Mm, gonna try with a little help from my friends

Do you need anybody?
I need somebody to love
Could it be anybody?
I want somebody to love

Would you believe in a love at first sight?
Yes, I'm certain that it happens all the time
What do you see when you turn out the light?
I can't tell you, but I know it's mine

Oh, I get by with a little help from my friends
Mm, get high with a little help from my friends
Oh, I'm gonna try with a little help from my friends

Do you need anybody?
I just need someone to love
Could it be anybody?
I want somebody to love

Oh, I get by with a little help from my friends
Mm, gonna try with a little help from my friends
Oh, I get high with a little help from my friends
Yes, I get by with a little help from my friends
With a little help from my friends",billy shear would think sing tune would stand walk lend ear sing song try not sing key oh get little help friend mm get high little help friend mm go try little help friend love away worry alone feel end day sad no get little help friend mm get high little help friend mm go try little help friend need anybody need somebody love could anybody want somebody love would believe love first sight yes certain happen time see turn light not tell know mine oh get little help friend mm get high little help friend oh go try little help friend need anybody need someone love could anybody want somebody love oh get little help friend mm go try little help friend oh get high little help friend yes get little help friend little help friend,billy shear what would you think if i sing out of tune would you stand up and walk out on me lend me your ear and i will sing you a song and i will try not to sing out of key oh i get by with a little help from my friend mm i get high with a little help from my friend mm go to try with a little help from my friend what do i do when my love be away do it worry you to be alone how do i feel by the end of the day be you sad because you be on your own no i get by with a little help from my friend mm get high with a little help from my friend mm go to try with a little help from my friend do you need anybody i need somebody to love could it be anybody i want somebody to love would you believe in a love at first sight yes i be certain that it happen all the time what do you see when you turn out the light i can not tell you but i know it be mine oh i get by with a little help from my friend mm get high with a little help from my friend oh i be go to try with a little help from my friend do you need anybody i just need someone to love could it be anybody i want somebody to love oh i get by with a little help from my friend mm go to try with a little help from my friend oh i get high with a little help from my friend yes i get by with a little help from my friend with a little help from my friend,/lyric/23439/The+Beatles/With+a+Little+Help+from+My+Friends,['Pop/Rock'],2:44,"['amiable/good-natured', 'playful', 'quirky', 'sweet', 'warm', 'whimsical', 'earnest', 'rollicking']",With a Little Help from My Friends,https://www.allmusic.com/song/with-a-little-help-from-my-friends-mt0039448899
1,1,The Beatles,warm,1967-1970,/album/1967-1970-mw0000263501,"Jojo was a man who thought he was a loner
But he knew it wouldn't last
Jojo left his home in Tucson, Arizona
For some California grass

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged
Get back Jojo, go home

Get back, get back
Back to where you once belonged
Get back, get back
Back to where you once belonged
Get back Jo

Sweet Loretta Martin thought she was a woman
But she was another man
All the girls around her say she's got it coming
But she gets it while she can

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged
Get back Loretta, go home

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged

Get back, get back
Get back to where you once belonged
Get back, get back, get back",jojo man think loner know would not last jojo leave home tucson arizona california grass get back get back get back belong get back get back get back belong get back jojo go home get back get back back belong get back get back back belong get back jo sweet loretta martin think woman another man girl around say get come get get back get back get back belong get back get back get back belong get back loretta go home get back get back get back belong get back get back get back belong get back get back get back belong get back get back get back,jojo be a man who think he be a loner but he know it would not last jojo leave his home in tucson arizona for some california grass get back get back get back to where you once belong get back get back get back to where you once belong get back jojo go home get back get back back to where you once belong get back get back back to where you once belong get back jo sweet loretta martin think she be a woman but she be another man all the girl around her say she be get it come but she get it while she can get back get back get back to where you once belong get back get back get back to where you once belong get back loretta go home get back get back get back to where you once belong get back get back get back to where you once belong get back get back get back to where you once belong get back get back get back,/lyric/757846/The+Beatles/Get+Back+%5BAka+No+Pakistanis%5D,['Pop/Rock'],3:12,"['freewheeling', 'humorous', 'irreverent', 'playful', 'rollicking', 'rousing', 'fun', 'warm']",Get Back,https://www.allmusic.com/song/get-back-mt0039448913
2,2,The Beatles,warm,1967-1970,/album/1967-1970-mw0000263501,"Don't let me down, don't let me down
Don't let me down, don't let me down

Nobody ever loved me like she does
Oh, she does, yeah, she does
And if somebody loved me like she do me
Oh, she do me, yes, she does

Don't let me down, don't let me down
Don't let me down, don't let me down

I'm in love for the first time
Don't you know it's gonna last
It's a love that lasts forever
It's a love that had no past

Don't let me down, don't let me down
Don't let me down, don't let me down

And from the first time that she really done me
Oh, she done me, she done me good
I guess nobody ever really done me
Oh, she done me, she done me good

Don't let me down, don't let me down
Don't let me down",not let not let not let not let nobody ever love like oh yeah somebody love like oh yes not let not let not let not let love first time not know go last love last forever love no past not let not let not let not let first time really oh good guess nobody ever really oh good not let not let not let,do not let me down do not let me down do not let me down do not let me down nobody ever love me like she do oh she do yeah she do and if somebody love me like she do me oh she do me yes she do do not let me down do not let me down do not let me down do not let me down i be in love for the first time do not you know it be go to last it be a love that last forever it be a love that have no past do not let me down do not let me down do not let me down do not let me down and from the first time that she really do me oh she do me she do me good i guess nobody ever really do me oh she do me she do me good do not let me down do not let me down do not let me down,/lyric/757909/The+Beatles/Don%27t+Let+Me+Down+%5BFragment%5D,['Pop/Rock'],3:35,"['passionate', 'searching', 'urgent', 'yearning', 'warm', 'earnest', 'poignant']",Don't Let Me Down,https://www.allmusic.com/song/dont-let-me-down-mt0039448914
3,3,Van Morrison,warm,Moondance,/album/moondance-mw0000191087,"Half a mile from the county fair
And the rain came pourin' down
Me and Billy standin' there
With a silver half a crown

Hands are full of a fishin' rod
And the tackle on our backs
We just stood there gettin' wet
With our backs against the fence

Oh, the water
Oh, the water
Oh, the water
Hope it don't rain all day

And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me
And it stoned me to my soul
Stoned me just like goin' home
And it stoned me

Then the rain let up and the sun came up
And we were gettin' dry
Almost let a pick-up truck nearly pass us by
So we jumped right in and the driver grinned

And he dropped us up the road
Yeah, we looked at the swim and we jumped right in
Not to mention fishing poles

Oh, the water
Oh, the water
Oh, the water
Let it run all over me

And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me
And it stoned me to my soul
Stoned me just like goin' home
And it stoned me

On the way back home we sang a song
But our throats were getting dry
Then we saw the man from across the road
With the sunshine in his eyes

Well he lived all alone in his own little home
With a great big gallon jar
There were bottles too, one for me and you
And he said Hey! There you are

Oh, the water
Oh, the water
Oh, the water
Get it myself from the mountain stream

And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me
And it stoned me to my soul
Stoned me just like goin' home
And it stoned me

And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me
And it stoned me to my soul
Stoned me just like goin' home
And it stoned me",half mile county fair rain come pourin billy standin silver half crown hand full fishin rod tackle back stand gettin wet back fence oh water oh water oh water hope not rain day stone soul stone like jelly roll stone stone soul stone like go home stone rain let sun come gettin dry almost let pick truck nearly pass us jump right driver grin drop us road yeah look swim jump right not mention fishing pole oh water oh water oh water let run stone soul stone like jelly roll stone stone soul stone like go home stone way back home sing song throat get dry see man across road sunshine eye well live alone little home great big gallon jar bottle one say hey oh water oh water oh water get mountain stream stone soul stone like jelly roll stone stone soul stone like go home stone stone soul stone like jelly roll stone stone soul stone like go home stone,half a mile from the county fair and the rain come pourin down me and billy standin there with a silver half a crown hand be full of a fishin rod and the tackle on our back we just stand there gettin wet with our back against the fence oh the water oh the water oh the water hope it do not rain all day and it stone me to my soul stone me just like jelly roll and it stone me and it stone me to my soul stone me just like go home and it stone me then the rain let up and the sun come up and we be gettin dry almost let a pick up truck nearly pass us by so we jump right in and the driver grin and he drop us up the road yeah we look at the swim and we jump right in not to mention fishing pole oh the water oh the water oh the water let it run all over me and it stone me to my soul stone me just like jelly roll and it stone me and it stone me to my soul stone me just like go home and it stone me on the way back home we sing a song but our throat be get dry then we see the man from across the road with the sunshine in his eye well he live all alone in his own little home with a great big gallon jar there be bottle too one for me and you and he say hey there you be oh the water oh the water oh the water get it myself from the mountain stream and it stone me to my soul stone me just like jelly roll and it stone me and it stone me to my soul stone me just like go home and it stone me and it stone me to my soul stone me just like jelly roll and it stone me and it stone me to my soul stone me just like go home and it stone me,/lyric/101722/Van+Morrison/And+It+Stoned+Me,"['Pop/Rock', 'R&B;']",4:32,"['enigmatic', 'nostalgic', 'warm', 'yearning', 'earnest', 'sensual', 'summery', 'literate']",And It Stoned Me,https://www.allmusic.com/song/and-it-stoned-me-mt0047966627
4,4,Van Morrison,warm,Moondance,/album/moondance-mw0000191087,"Well, it's a marvelous night for a moondance
With the stars up above in your eyes
A fantabulous night to make romance
'Neath the cover of October skies
And all the leaves on the trees are falling
To the sound of the breezes that blow
And I'm trying to please to the calling
Of your heart-strings that play soft and low
And all the night's magic seems to whisper and hush
And all the soft moonlight seems to shine in your blush 

Can I just have one more moondance with you, my love
Can I just make some more romance with you, my love 

Well, I want to make love to you tonight
I can't wait 'til the morning has come
And I know now the time is just right
And straight into my arms you will run
And when you come my heart will be waiting
To make sure that you're never alone
There and then all my dreams will come true, dear
There and then I will make you my own
And every time I touch you, you just tremble inside
And I know how much you want me that you can't hide 

Can I just have one more moondance with you, my love
Can I just make some more romance with you, my love 

Well, it's a marvelous night for a moondance
With the stars up above in your eyes
A fantabulous night to make romance
'Neath the cover of October skies
And all the leaves on the trees are falling
To the sound of the breezes that blow
And I'm trying to please to the calling
Of your heart-strings that play soft and low
And all the night's magic seems to whisper and hush
And all the soft moonlight seems to shine in your blush 

Can I just have one more moondance with you, my love
Can I just make some more romance with you, my love 

One more moondance with you in the moonlight
On a magic night
La, la, la, la in the moonlight
On a magic night
Can't I just have one more dance with you my love",well marvelous night moondance star eye fantabulous night make romance neath cover october sky leaf tree fall sound breeze blow try please calling heart string play soft low night magic seem whisper hush soft moonlight seem shine blush one moondance love make romance love well want make love tonight not wait til morning come know time right straight arm run come heart wait make sure never alone dream come true dear make every time touch tremble inside know much want not hide one moondance love make romance love well marvelous night moondance star eye fantabulous night make romance neath cover october sky leaf tree fall sound breeze blow try please calling heart string play soft low night magic seem whisper hush soft moonlight seem shine blush one moondance love make romance love one moondance moonlight magic night la la la la moonlight magic night not one dance love,well it be a marvelous night for a moondance with the star up above in your eye a fantabulous night to make romance neath the cover of october sky and all the leaf on the tree be fall to the sound of the breeze that blow and i be try to please to the calling of your heart string that play soft and low and all the night magic seem to whisper and hush and all the soft moonlight seem to shine in your blush can i just have one more moondance with you my love can i just make some more romance with you my love well i want to make love to you tonight i can not wait til the morning have come and i know now the time be just right and straight into my arm you will run and when you come my heart will be wait to make sure that you be never alone there and then all my dream will come true dear there and then i will make you my own and every time i touch you you just tremble inside and i know how much you want me that you can not hide can i just have one more moondance with you my love can i just make some more romance with you my love well it be a marvelous night for a moondance with the star up above in your eye a fantabulous night to make romance neath the cover of october sky and all the leaf on the tree be fall to the sound of the breeze that blow and i be try to please to the calling of your heart string that play soft and low and all the night magic seem to whisper and hush and all the soft moonlight seem to shine in your blush can i just have one more moondance with you my love can i just make some more romance with you my love one more moondance with you in the moonlight on a magic night la la la la in the moonlight on a magic night can not i just have one more dance with you my love,/lyric/29627107/Van+Morrison/Moondance+%5BTake+22%5D+%5B%23%5D%5BTake%5D,"['Jazz', 'Pop/Rock', 'R&B;', 'Stage & Screen']",4:34,"['laid-back/mellow', 'organic', 'romantic', 'soothing', 'sophisticated', 'warm', 'calm/peaceful', 'gentle']",Moondance,https://www.allmusic.com/song/moondance-mt0047966628
5,5,Van Morrison,warm,Moondance,/album/moondance-mw0000191087,"When all the dark clouds roll away
And the sun begins to shine
I see my freedom from across the way
And it comes right in on time
Well it shines so bright and it gives so much light
And it comes from the sky above
Make me feel so free make me feel like me
And it lights my life with love

And it seems like (seems like) and it feels like (feels like)
And it seems like (seems like), yes it feels like (feels like)
A brand new day
A brand new day, yeah, yeah

I was lost and double crossed
With my hands behind my back
I was longtime hurt and thrown in the dirt
Shoved out on the railroad track
I've been used, abused and so confused
And I didn't have nowhere to run
But I stood and looked
And my eyes got hooked
On that beautiful morning sun

And it seems like (seems like) and it feels like (feels like)
And it seems like (seems like), yes it feels like (feels like)
A brand new day
A brand new day, yeah, yeah

And the sun shines down all on the ground
Yeah and the grass is oh so green
And my heart is still and I've got the will
And I don't really feel so mean
Here it comes, here it comes
Here it comes right now
And it comes right in on time
Well it eases me and it pleases me
And it satisfies my mind

And it seems like (seems like) yes it feels like (feels like)
And it seems like (seems like), yes it feels like (feels like)
A brand new day
A brand new day, yeah, yeah, brand new day",dark cloud roll away sun begin shine see freedom across way come right time well shin bright give much light come sky make feel free make feel like light life love seem like seem like feel like feel like seem like seem like yes feel like feel like brand new day brand new day yeah yeah lose double cross hand behind back longtime hurt throw dirt shove railroad track use abused confused not nowhere run stand look eye get hooked beautiful morning sun seem like seem like feel like feel like seem like seem like yes feel like feel like brand new day brand new day yeah yeah sun shin ground yeah grass oh green heart still get not really feel mean come come come right come right time well ease please satisfy mind seem like seem like yes feel like feel like seem like seem like yes feel like feel like brand new day brand new day yeah yeah brand new day,when all the dark cloud roll away and the sun begin to shine i see my freedom from across the way and it come right in on time well it shin so bright and it give so much light and it come from the sky above make me feel so free make me feel like me and it light my life with love and it seem like seem like and it feel like feel like and it seem like seem like yes it feel like feel like a brand new day a brand new day yeah yeah i be lose and double cross with my hand behind my back i be longtime hurt and throw in the dirt shove out on the railroad track i have be use abused and so confused and i do not have nowhere to run but i stand and look and my eye get hooked on that beautiful morning sun and it seem like seem like and it feel like feel like and it seem like seem like yes it feel like feel like a brand new day a brand new day yeah yeah and the sun shin down all on the ground yeah and the grass be oh so green and my heart be still and i have get the will and i do not really feel so mean here it come here it come here it come right now and it come right in on time well it ease me and it please me and it satisfy my mind and it seem like seem like yes it feel like feel like and it seem like seem like yes it feel like feel like a brand new day a brand new day yeah yeah brand new day,/lyric/29627121/Van+Morrison/Brand+New+Day+%5BTake+7%5D+%5B%23%5D%5BTake%5D,"['R&B;', 'Pop/Rock']",5:10,"['bright', 'warm', 'organic', 'soothing', 'spiritual', 'amiable/good-natured', 'passionate', 'poignant']",Brand New Day,https://www.allmusic.com/song/brand-new-day-mt0047966634
6,6,Van Morrison,warm,Moondance,/album/moondance-mw0000191087,"And they'll lay you down low in the easy
And the lips that you kiss will say Christmas.
And the miles that you traveled the distance

So believe no lies, dry your eyes and realize
That surprise
La, la, la, la la, la, la, la, la, la, la, la
And the businessmen will shake hands and talk in numbers
And the princess will wake up from her slumber
Then all the knights will step forth with their arm bands
And ev'ry stranger you meet in the street will make demands
So believe no lies, then dry your eyes and realize
That surprise
La, la, la, la la, la, la, la, la, la, la, la

And we'll send you glad tidings from New York
Open up your eyes so you may see
Ask you not to read between the lines
Hope that you will come in right on time
And they'll talk to you while you're in trances
And you'll visualize not taking any chances
But meet them halfway with love, peace and persuasion
And expect them to rise for the occasion
Don't it gratify when you see it materialize
Right in front of your eyes
That surprise

La, la, la, la la, la, la, la, la, la, la, la

And we'll send you glad tidings from New York
Open up your eyes so you may see
Ask you not to read between the lines
Hope that you will come in right on time
And they'll lay you down low and easy",lay low easy lip kiss say christma mile travel distance believe no lie dry eye realize surprise la la la la la la la la la la la la businessman shake hand talk number princess wake slumber knight step forth arm band evry stranger meet street make demand believe no lie dry eye realize surprise la la la la la la la la la la la la send glad tiding new york open eye may see ask not read line hope come right time talk trance visualize not take chance meet halfway love peace persuasion expect rise occasion not gratify see materialize right front eye surprise la la la la la la la la la la la la send glad tiding new york open eye may see ask not read line hope come right time lay low easy,and they will lay you down low in the easy and the lip that you kiss will say christma and the mile that you travel the distance so believe no lie dry your eye and realize that surprise la la la la la la la la la la la la and the businessman will shake hand and talk in number and the princess will wake up from her slumber then all the knight will step forth with their arm band and evry stranger you meet in the street will make demand so believe no lie then dry your eye and realize that surprise la la la la la la la la la la la la and we will send you glad tiding from new york open up your eye so you may see ask you not to read between the line hope that you will come in right on time and they will talk to you while you be in trance and you will visualize not take any chance but meet them halfway with love peace and persuasion and expect them to rise for the occasion do not it gratify when you see it materialize right in front of your eye that surprise la la la la la la la la la la la la and we will send you glad tiding from new york open up your eye so you may see ask you not to read between the line hope that you will come in right on time and they will lay you down low and easy,/lyric/29627117/Van+Morrison/Glad+Tidings+%5BTake+9%5D+%5B%23%5D%5BTake%5D,['Pop/Rock'],3:40,"['warm', 'calm/peaceful', 'elegant', 'passionate', 'sophisticated', 'gentle', 'laid-back/mellow', 'soothing']",Glad Tidings,https://www.allmusic.com/song/glad-tidings-mt0047966636
7,7,Van Morrison,warm,Still on Top: The Greatest?,/album/still-on-top-the-greatest-hits-mw0000491040,"Well, it's a marvelous night for a moondance
With the stars up above in your eyes
A fantabulous night to make romance
'Neath the cover of October skies
And all the leaves on the trees are falling
To the sound of the breezes that blow
And I'm trying to please to the calling
Of your heart-strings that play soft and low
And all the night's magic seems to whisper and hush
And all the soft moonlight seems to shine in your blush 

Can I just have one more moondance with you, my love
Can I just make some more romance with you, my love 

Well, I want to make love to you tonight
I can't wait 'til the morning has come
And I know now the time is just right
And straight into my arms you will run
And when you come my heart will be waiting
To make sure that you're never alone
There and then all my dreams will come true, dear
There and then I will make you my own
And every time I touch you, you just tremble inside
And I know how much you want me that you can't hide 

Can I just have one more moondance with you, my love
Can I just make some more romance with you, my love 

Well, it's a marvelous night for a moondance
With the stars up above in your eyes
A fantabulous night to make romance
'Neath the cover of October skies
And all the leaves on the trees are falling
To the sound of the breezes that blow
And I'm trying to please to the calling
Of your heart-strings that play soft and low
And all the night's magic seems to whisper and hush
And all the soft moonlight seems to shine in your blush 

Can I just have one more moondance with you, my love
Can I just make some more romance with you, my love 

One more moondance with you in the moonlight
On a magic night
La, la, la, la in the moonlight
On a magic night
Can't I just have one more dance with you my love",well marvelous night moondance star eye fantabulous night make romance neath cover october sky leaf tree fall sound breeze blow try please calling heart string play soft low night magic seem whisper hush soft moonlight seem shine blush one moondance love make romance love well want make love tonight not wait til morning come know time right straight arm run come heart wait make sure never alone dream come true dear make every time touch tremble inside know much want not hide one moondance love make romance love well marvelous night moondance star eye fantabulous night make romance neath cover october sky leaf tree fall sound breeze blow try please calling heart string play soft low night magic seem whisper hush soft moonlight seem shine blush one moondance love make romance love one moondance moonlight magic night la la la la moonlight magic night not one dance love,well it be a marvelous night for a moondance with the star up above in your eye a fantabulous night to make romance neath the cover of october sky and all the leaf on the tree be fall to the sound of the breeze that blow and i be try to please to the calling of your heart string that play soft and low and all the night magic seem to whisper and hush and all the soft moonlight seem to shine in your blush can i just have one more moondance with you my love can i just make some more romance with you my love well i want to make love to you tonight i can not wait til the morning have come and i know now the time be just right and straight into my arm you will run and when you come my heart will be wait to make sure that you be never alone there and then all my dream will come true dear there and then i will make you my own and every time i touch you you just tremble inside and i know how much you want me that you can not hide can i just have one more moondance with you my love can i just make some more romance with you my love well it be a marvelous night for a moondance with the star up above in your eye a fantabulous night to make romance neath the cover of october sky and all the leaf on the tree be fall to the sound of the breeze that blow and i be try to please to the calling of your heart string that play soft and low and all the night magic seem to whisper and hush and all the soft moonlight seem to shine in your blush can i just have one more moondance with you my love can i just make some more romance with you my love one more moondance with you in the moonlight on a magic night la la la la in the moonlight on a magic night can not i just have one more dance with you my love,/lyric/29627107/Van+Morrison/Moondance+%5BTake+22%5D+%5B%23%5D%5BTake%5D,"['Jazz', 'Pop/Rock', 'R&B;', 'Stage & Screen']",4:32,"['laid-back/mellow', 'organic', 'romantic', 'soothing', 'sophisticated', 'warm', 'calm/peaceful', 'gentle']",Moondance,https://www.allmusic.com/song/moondance-mt0009683358
8,8,Eric Clapton,warm,MTV Unplugged,/album/mtv-unplugged-mw0000081583,"Hey hey. Hey hey, baby, hey.
Hey hey. Hey hey, baby, hey.
I love you baby,
Sure ain't gonna be your dog.

Hey hey. Hey hey, baby, hey.
Hey hey. Hey hey, baby, hey.
My arms around you baby,
All I can say is hey.

Hey hey. Hey hey, baby, hey.
Hey hey. Hey hey, baby, hey.
I love you baby,
Sure ain't gonna be your dog.

Hey hey. You lost your good thing now.
Hey hey. You lost your good thing now.
You had me fooled,
I found it out somehow.",hey hey hey hey baby hey hey hey hey hey baby hey love baby sure not go dog hey hey hey hey baby hey hey hey hey hey baby hey arm around baby say hey hey hey hey hey baby hey hey hey hey hey baby hey love baby sure not go dog hey hey lose good thing hey hey lose good thing fool find somehow,hey hey hey hey baby hey hey hey hey hey baby hey i love you baby sure as not go to be your dog hey hey hey hey baby hey hey hey hey hey baby hey my arm around you baby all i can say be hey hey hey hey hey baby hey hey hey hey hey baby hey i love you baby sure as not go to be your dog hey hey you lose your good thing now hey hey you lose your good thing now you have me fool i find it out somehow ,/lyric/2738912/Eric+Clapton/Hey+Hey,['Pop/Rock'],3:16,"['laid-back/mellow', 'light', 'organic', 'relaxed', 'warm', 'amiable/good-natured', 'cheerful', 'intimate']",Hey Hey,https://www.allmusic.com/song/hey-hey-mt0008323533
9,9,Eric Clapton,warm,MTV Unplugged,/album/mtv-unplugged-mw0000081583,"I must be invisible
No one knows me.
I have crawled down dead-end streets
On my hands and knees.

I was born with a ragin' thirst,
A hunger to be free,
But I've learned through the years.
Don't encourage me.

[Chorus:]
'cause I'm a lonely stranger here,
Well beyond my day.
And I don't know what's goin' on,
So I'll be on my way.

When I walk, stay behind;
Don't get close to me,
'cause it's sure to end in tears,
So just let me be.

Some will say that I'm no good;
Maybe I agree.
Take a look then walk away.
That's all right with me.

[Chorus]",must invisible no one know crawl dead end street hand knee bear ragin thirst hunger free learn year not encourage [ chorus ] ecause lonely stranger well beyond day not know go way walk stay behind not get close ecause sure end tear let say no good maybe agree take look walk away right [ chorus ],i must be invisible no one know me i have crawl down dead end street on my hand and knee i be bear with a ragin thirst a hunger to be free but i have learn through the year do not encourage me [ chorus ] ecause i be a lonely stranger here well beyond my day and i do not know what be go on so i will be on my way when i walk stay behind do not get close to me ecause it be sure to end in tear so just let me be some will say that i be no good maybe i agree take a look then walk away that be all right with me [ chorus ],/lyric/2738914/Eric+Clapton/Lonely+Stranger,['Pop/Rock'],5:27,"['laid-back/mellow', 'light', 'organic', 'relaxed', 'warm', 'amiable/good-natured', 'cheerful', 'intimate']",Lonely Stranger,https://www.allmusic.com/song/lonely-stranger-mt0003135700
