,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,Primal Scream,ambitious,Screamadelica,/album/screamadelica-mw0000270548,"I was blind, now I can see
You made a believer out of me
I was blind, now I can see
You made a believer out of me

I'm movin' on up now
Getting out of the darkness
My light shines on
My light shines on
My light shines on

I was lost
Now I'm found
I believe in you 
I got no bounds
I was lost
Now I'm found
I believe in you
I got no bounds 

I'm movin' on up now
Getting out of the darkness
My light shines on 
My light shines on 
My light shines on (my light shines on)
My light shines on (my light shines on)
My light shines on 

(My light shines on)
(My light shines on)
(My light shines on)
(My light shines on)

I'm gettin' out of the darkness (my light shines on)
I'm gettin' out of the darkness (my light shines on)
I'm gettin' out of the darkness (my light shines on)
I'm gettin' out of the darkness (my light shines on)
I'm gettin' out of the darkness (my light shines on)
I'm gettin' out of the darkness (my light shines on)
I'm gettin' out of the darkness (my light shines on)
I'm gettin' out of the darkness (my light shines on)
I'm gettin' out of the darkness (my light shines on)
I'm gettin' out of the darkness (my light shines on)
I'm gettin' out of the darkness (my light shines on)
I'm gettin' out of the darkness (my light shines on)",/lyric/7390644/Primal+Scream/Movin%27+on+Up+%5BDVD%5D,"['Electronic', 'Pop/Rock']",3:51,"['carefree', 'earnest', 'exuberant', 'stylish', 'trippy', 'ambitious', 'brash', 'celebratory']",Movin' on Up,https://www.allmusic.com/song/movin-on-up-mt0011991008
1,Primal Scream,ambitious,Screamadelica,/album/screamadelica-mw0000270548,"Gonna dance to the music all night long
Gettin' high, gettin' happy, gettin' gone
Gonna dance to the music all night long
Gettin' up , gettin' down, gonna get it on
I'm gonna leave the life I live
I'm gonna love the life I live
Gonna get high 'til the day I die
Rama lama lama fa fa fa
Gonna get high 'til the day I die
Rama lama lama fa fa fa
Gonna get high 'til the day I die
Rama lama lama fa fa fa
Gonna get high 'til the day I die",/lyric/999573/Primal+Scream/Don%27t+Fight+It%2C+Feel+It,"['Electronic', 'Pop/Rock']",6:53,"['carefree', 'earnest', 'exuberant', 'stylish', 'trippy', 'ambitious', 'brash', 'celebratory']","Don't Fight It, Feel It",https://www.allmusic.com/song/dont-fight-it-feel-it-mt0030176572
2,Primal Scream,ambitious,Screamadelica,/album/screamadelica-mw0000270548,"My brightest star's my inner light
Let it guide me
Experience and innocence bleed inside me
Hallucinogens can open me or untie me
I drift in inner space free of time
I find a higher state of grace in my mind

I'm beautiful 
I wasn't born to follow
I live just for today
I don't care about tomorrow
What I got in my head 
You can't buy, steal or borrow
I believe in life and let live
I believe you get what you give

I've glimpsed I have tasted 
Fantastical places
My soul's an oasis
Higher than the sun
I'm higher than the sun

I'm higher than the sun
Higher than the sun
Higher than the sun 
Higher than the sun
Higher than the sun
Higher than the sun
Higher than the sun
Higher than the sun 
Higher than the sun
Higher than the sun",/lyric/999574/Primal+Scream/Higher+Than+the+Sun,"['Electronic', 'Pop/Rock']",3:38,"['ambitious', 'lush', 'trippy', 'carefree', 'earnest', 'exuberant', 'stylish', 'brash']",Higher Than the Sun,https://www.allmusic.com/song/higher-than-the-sun-mt0030414492
3,Primal Scream,ambitious,Screamadelica,/album/screamadelica-mw0000270548,"Come together oh oh
Come together oh oh
Come together oh oh
Come together 

Kiss me, won't you won't you kiss me
Won't you won't you kiss me
Lift me right out of this world
Trip me, won't you won't you trip me
Won't you won't you trip me
Lift me ride me to the stars 

I'm free you're free
I'm free I want you to touch me
Come touch me
Now it's all too much
All too much
All too much

Kiss me, won't you won't you kiss me
Won't you won't you kiss me
Lift me right out of this world
Trip me, won't you won't you trip me
Won't you won't you trip me
Lift me ride me to the stars

I'm free you're free
I'm free I want you to touch me
Come touch me
Now it's all too much
All too much
All too much

Come together oh oh
Come together oh oh
Come together as one
Come together as one
Up and away
Come together oh yeah
Up and away",/lyric/4633273/Primal+Scream/Come+Together+%5B7%22+Version%5D,"['Electronic', 'Pop/Rock']",10:21,"['ambitious', 'carefree', 'earnest', 'exuberant', 'stylish', 'trippy', 'brash', 'celebratory']",Come Together,https://www.allmusic.com/song/come-together-mt0011985801
4,Primal Scream,ambitious,Screamadelica,/album/screamadelica-mw0000270548,"Just what is it that you want to do?
Well, we wanna be free, we wanna be free to do what we wanna do
And we wanna get loaded and we wanna have a good time
And that's what we're gonna do (away baby, let's go)
We're gonna have a good time, we're gonna have a party

I don't wanna lose your love
I don't wanna lose your love
I don't wanna lose your love
I don't wanna lose your love

Just what is it that you wanna do?

I'm gonna get deep down, deep down I said
I'm gonna get deep down, deep down woo hey

We wanna be free to do what we wanna do
Away baby, let's go

I don't wanna lose your love
I don't wanna lose your love

We wanna be free to do what we wanna do

Oh yeah

We wanna be free to do what we wanna do
I don't wanna lose your love
I don't wanna lose your love
I don't wanna lose your love
I don't wanna lose your love
I don't wanna lose your love
I don't wanna lose your love
I don't wanna lose your love
I don't wanna lose your love
I don't wanna lose your love
I don't wanna lose your love

Just what is it that you want to do?
We wanna get loaded and we wanna have a good time",/lyric/999577/Primal+Scream/Loaded,"['Electronic', 'Pop/Rock']",7:02,"['celebratory', 'trippy', 'carefree', 'earnest', 'exuberant', 'stylish', 'ambitious', 'brash']",Loaded,https://www.allmusic.com/song/loaded-mt0012027546
5,Primal Scream,ambitious,Screamadelica,/album/screamadelica-mw0000270548,"Sweet summer days
When I was feeling so fine
Just you and me girl
Was a beautiful time
Oh yeah
Said I felt so happy
My my my 

I was through with doubt and pain
All the love I felt hadn't been in vain
Got damaged
I got damaged
I got damaged
I lost myself in you
I'd wake up beside you
You'd hold me in your arms
Nothing and nobody's gonna do me
Any harm oh yeah
Said I felt so happy
My my my 

And the way I felt inside
Made me feel so glad to be alive
Got damaged
I got damaged
I got damaged
I lost myself in you 

Do do doo
I'd never felt so happy
Do do doo
I'd never felt so happy
Do do doo
I'd never felt so happy
I'll never feel that way again
No, no, no, no, no, no 
 
My my my
People can be precious
But they ain't for keeping
I got too possessive
But souls ain't for stealing
You were my addiction
I got strung out and crazy
Hit me like a fever
When you left me baby

Stone, stone, stone in love with you
I was stone, stone, stone in love with you
I was stone, stone, stone in love with you
I was stone, stone, stone in love with you 
[Repeat to End]",/lyric/999578/Primal+Scream/Damaged,"['Electronic', 'Pop/Rock']",5:39,"['earnest', 'stylish', 'ambitious', 'brash', 'dramatic', 'earthy', 'freewheeling', 'hedonistic']",Damaged,https://www.allmusic.com/song/damaged-mt0011985719
6,Primal Scream,ambitious,Screamadelica,/album/screamadelica-mw0000270548,"Driftin', driftin'
Driftin', driftin'

I've been so high, I never wanted to come down
I've been so lost, I never wanted to be found
I'm all hung over with bad dreams
I stumble in to messy scenes

[Chorus]
I'm coming down
I can't face the dawn
I'm coming down
I feel too far gone

I've been driftin'
I've been strung-out, I've been burned
I've been lonely, to the point of no return
I drank myself to sleep last night
I see the the world through bloodshot eyes

[Chorus]

Highs(?) and pills won't heal my ills
But they make me feel better for a little while

[Chorus]

I'm coming down
I'm coming down
I'm coming down",/lyric/999579/Primal+Scream/I%27m+Comin%27+Down,"['Electronic', 'Pop/Rock']",6:00,"['carefree', 'earnest', 'exuberant', 'stylish', 'trippy', 'ambitious', 'brash', 'freewheeling']",I'm Comin' Down,https://www.allmusic.com/song/im-comin-down-mt0030212487
7,Primal Scream,ambitious,Screamadelica,/album/screamadelica-mw0000270548,"I watch you sleep
You look so peaceful
You look so vulnerable
I feel scared for you

To me you're precious
May you always
Shine like stars
Shine like stars
Shine like stars

I watch you dance
You look so happy
Lost in the moment of abandon
You're set free

To me you're precious
May you always
Shine like stars
Shine like stars
Shine like stars",/lyric/999581/Primal+Scream/Shine+Like+Stars,"['Electronic', 'Pop/Rock']",3:45,"['carefree', 'earnest', 'exuberant', 'stylish', 'trippy', 'ambitious', 'brash', 'celebratory']",Shine Like Stars,https://www.allmusic.com/song/shine-like-stars-mt0026901314
8,Kanye West,ambitious,Graduation,/album/graduation-mw0000484496,"Uh, good morning

Wake up, Mr. West, Mr. West, Mr. Fresh
Mr. by-his-self-he-so-impressed
I mean, damn, did you even see the test
You got D's motherfucker, D's, Rosie Perez
And yes, barely pass any and every class
Lookin' at every ass
Cheated on every test
I guess this is my dissertation
Homie, this shit is basic
Welcome to graduation

Good morning
Good morning
Good morning
Good morning

Good morning

On this day we become legendary
Everything we dreamed of
I'm like a fly Malcolm X
Buy any jeans necessary
Detroit wear cleaned up
From the streets of the league
From an eighth to a key
But you graduate when you make it up outta the streets
From the moments of pain
Look how far we done came
Haters sayin' ya changed
Now ya doin' ya thang

Good morning
Good morning

Good morning
Good morning

Good morning
Look at the valedictorian scared of the future
While I hop in the Delorean
Scared-to-face-the-world complacent career student
Some people graduate, but we still stupid
They tell you read this, eat this, don't look around
Just peep this, preach us, teach us, Jesus
Okay, look up now, they done stole your streetness
After all of that, you receive this

Good morning
Hustlers, that's if you're still livin'
Get on down
Every time that we hear them
Good morning
Hustlers, that's if you're still livin'
Get on down
Every time that we hear them
Good morning
Hustlers, that's if you're still livin'
Get on down
Every time that we hear them
Good morning
Hustlers, that's if you're still livin'
Get on down

Get on down
Get, get on down
Get on down
Get, get on down",/lyric/12224801/Kanye+West/Good+Morning,['Rap'],3:15,"['ambitious', 'brash', 'dramatic', 'humorous', 'irreverent', 'outrageous', 'swaggering', 'uncompromising']",Good Morning,https://www.allmusic.com/song/good-morning-mt0016934008
9,Kanye West,ambitious,Graduation,/album/graduation-mw0000484496,"Yeah
DJ Clue
Desert Storm
The Roc
This shit right here
The Roc Army
Dame Dash Presents
The Dream Team niggas
Word

Time after time 
I've done my sentence 
But committed no crime
I've done my sentence 
But committed no crime
I've done my sentence 
But committed no crime, crime, crime
And we mean to go on and on and on and on

Sup y'all? Yo, this is Dame Dash the C-E-O
Here to welcome y'all to the Dream Team
What y'all niggas thought I was gonna rap? Never
I'm just a little mad at niggaz comin at my neck
Like my Team ain't the best in the world... y'knahmsayin?
Like we ain't got Beans, Cam, Jay, Bleek, Freeway

We are the champions, my friend
And we'll keep on fighting, to the end
We are the champions, we are the champions
No time for losers 
Cause we are the champions, of the world

Got damn Kanye! 
I bet niggas didn't know you could rap huh? (They didn't)
That's my motherfuckin producer
This the producer on the Roc, he rap better than most rappers!

Well Dame if these niggas thought about they self for a change
Then maybe they can finally figure out how to get they self some change
I done seen jealousy make niggas do t-terrible things
How the song go, I do a hoe, oh yea shit'll never change
That so, worry though, we are the cham-p-ions
Spend a lot of time in Hampt-I-ons, do a lot of beats you can't be on
Damn all these fans can't be wrong, damn B.I.G. you can't be gone
Make those beats thugs want to rock, make a nigga feal just like 'Pac
Make it street but it just might pop, make it straight to the mountain top
Had the Chi' on lock, when they finally heard our sound with Roc
Came in the game, changed it again, changed everything, yeah
If you feelin this here, throw your fuckin hands in the air

We are the champions, my friend
And we'll keep on fighting, to the end
We are the champions, we are the champions
No time for losers 
Cause we are the champions, of the world

Its the Roc-a-Fella label baby fuck them other labels baby
And we been duckin' shots from all them haters lately
We gettin' paper baby, them others tryin to keep up
We on top, so I guess we they saviors - NOPE!
We labeled as the Roc-A-Fellas, Jacob, watch's colors
Everywhere hell yea, test us and the gauges BLOW!
Fuck they hatin fo'? Don't make me pop a fella
Roc-A-Fella, stop a fella, could get hot for fellas, sig!

What? Don't make me chop up fellas, have to call the cops on fellas
Order helicopter fellas, nig-ga! I'm a Roc-A-Fella
What nigga for Roc-A-Fella shit I will rock a fella
Dame! (God damn Beans I got this let me talk my shit one time)
No we the illest niggas realest, I will kill these niggas!

Now that's what the fuck I'm talkin bout!
And you wonder why I'm proud of my family?
And you wonder why I ain't gotta rap?
I got niggaz that will assassinate you B, lyrically!
Really shut you the fuck down!! Don't get your career ended
Leave us the fuck alone, let us roc!
We are Roc-Heusen, we're the R., O., C. holla!

I'm here Dame, I'm here, Killa
This is just fate, how I would sit on a crate
Listen to tapes everyday a frisk was at stake
Chicks cuffs risk gettin raped my mission was straight thug
Visit them states near them great Michigan lakes
And fuck a bathroom, I pissed on the gate
Flipped a bird outta flip a bird switch up my plates
I got plans that was better than jail
Now look we like Bird, Parish, Kevin McHale
Scott, Worthy, Jabbar, and Magic
Oh my god it's Magic, Isiah, Dumars, I will carve your casket
Feel Scotty and Mike, feel Shaq and Kobe
My gats will de-tatch you homie
And I'm friends with thugs, I sell endless drugs
For the Roc Fam dog I extend my love
Jay, Bleek, beef I'll be crossin the bridge
Tossin they wigs make corpse of they kids
Free, O, Sparks and Mack Mittens
I'm 95 south, no doubt, mac clip in
I stack chips and, I'm Sacs Fifth-in
Louis Vuitton loughers, hat drippin
I go retrieve a duck, tell her proceed and suck
I don't just beat my cases, I beat 'em up
My lawyer eat 'em up put bars behind me
I'm glad they didn't stop that car behind me
Shit, it had three felons, gun shooters no
50 cal. A.C.P. Bazooka Joe
Don't be stupid though, I get scrilla man
I'm for'rilla man, yeah it's killa Cam
Uh dick suck bitch!

We are the champions, my friend
And we'll keep on fighting, to the end
We are the champions, we are the champions
No time for losers 
'Cause we are the champions, of the world

What y'all thought I was finished?
I'm not! I just recuited somebody new!
I'm like the George Steinbrenner of this shit
I mean I'm rich like him, HOLLA!

Everybody's swarmin' oh my god
It's the newest power forward of the squad
A legacy like Jordan with the mob
That be known for breakin' motherfuckers hard
Put Roc-A-Fella on my pinky ring
Fuck a battle nigga I'm a get them thangs
Rollin with them Lords and them folks up out the Chi
Twista gone make em spit the game
I represent the mob to the fullest
You don't want it with that boy who's known to pull it
With Kanye on the track of the Dream Team
I'm fin' to be the shit no matter which way you put it
They blessed a nigga in, now I'm fin' to go into a zone
Takin it to some motherfuckers domes
Cause it's on, I will rock until I'm gone
Fillin my body with lead, clutchin' chrome
Take it to your gut, take it to your chest
I be more provokin' when I'm smokin' sess
And we gettin' stronger hope you got a vest
Already got them macs, already got them techs
Served a few dimes, Beans got pearls
Legendary we on top of the world
How could you haters think we can be done
Hold it down because we got champions!!

We are the champions, my friend
And we'll keep on fighting, to the end
We are the champions, we are the champions
No time for losers 
'Cause we are the champions, of the world

Dame dash, presents the dream team, part one!",/lyric/5939326/Twista/Champions,['Rap'],2:48,"['ambitious', 'brash', 'dramatic', 'humorous', 'irreverent', 'outrageous', 'swaggering', 'uncompromising']",Champion,https://www.allmusic.com/song/champion-mt0027760520
