,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,Public Enemy,angry,It Takes a Nation of…,/album/it-takes-a-nation-of-millions-to-hold-us-back-mw0000196315,"You're blind, baby
You're blind from the facts on who you are
'Cause you're watchin' that garbage

The woman makes the men all pause
And if you got a woman
She might make you forget yours
There's a 5 letter word
To describe her character
But her brains being washed by an actor
And every real man that tries to approach
Come the closer he comes
He gets dissed like a roach

I don't think I can handle
She goes channel to channel
Cold lookin' for that hero
She watch channel zero

She watch, she watch
She watch, she watch
She watch, she watch
She watch, she watch

Yo baby, you got to cut that garbage off
Yo! I want to watch the game
Hey yo, lemme tell you a little som'in: I'm
'a take all your soaps
An' then I'm gonna hang 'em on a rope
You know what I'm sayin'?
'Cause that garbage your watchin' don't make no sense
Hey yo, lemme tell you a little som'in baby
I'm 'a take your set an' I'm 'a throw it
Out the window
G's

Two, seven, five, four, eight
She watched she said
All added up to zero
And nothing in her head
She turns and turns
And she hopes the soaps
Are for real, she learns
That it ain't true, nope
But she won't survive
And rather die in a lie
Falls a fool, for some dude, on a tube

I don't think I can handle
She goes channel to channel
Cold lookin' for that hero
She watch channel zero

She watch, she watch
She watch, she watch
She watch, she watch
She watch, she watch

Yo baby, you think I'm jokin'?
Do it look like I'm jokin'?
I ain't jokin', word up, baby
Yo, cut that garbage off now
Yo, I got the Tyson fight on, you know what I'm sayin'?
Yo, so you can't be comin' in here stackin' {aid} like that
You know what I'm sayin'?
Yo, we gettin' ready to watch the Super Bowl
We got a black quarterback so step back

Trouble vision for a sister
'Cause I know she don't know, I quote
Her brains retrained
By a 24 inch remote
Revolution a solution
For all of our children
But her children
Don't mean as much as the show, I mean
Watch her worship the screen, and fiend
For a TV ad
And it just makes me mad

I don't think I can handle
She goes channel to channel
Cold lookin' for that hero
She watch channel zero

She watch, she watch
She watch, she watch
She watch, she watch
She watch, she watch

Yo baby, can't you that's nonsense you watchin'?
Look, don't nobody look like that
Nobody even live that, you know what I'm sayin'?
You watchin' garbage, not'in' but garbage
Straight up garbage
Yo, why don't you just back up from the TV
Read a book or som'in
Read about yourself
Learn your culture, you know what I'm sayin'?",/lyric/1691710/Public+Enemy/She+Watch+Channel+Zero%3F%21,['Rap'],3:49,"['acerbic', 'aggressive', 'angry', 'bitter', 'brash', 'bravado', 'confrontational', 'fiery']",She Watch Channel Zero?!,https://www.allmusic.com/song/she-watch-channel-zero%21-mt0044871622
1,Public Enemy,angry,It Takes a Nation of…,/album/it-takes-a-nation-of-millions-to-hold-us-back-mw0000196315,"Here it is
Bam!
And you say, Goddamn
This is the dope jam
But lets define the term called dope
And you think it mean funky now, no
Here is a true tale
Of the ones that deal
Are the ones that fail
Yeah
You can move if you want to move
What it prove
It's here like the groove
The problem is this, we gotta' fix it
Check out the justice, and how they run it
Sellin', smellin'
Sniffin', riffin'
And brothers try to get swift an'
Sell to their own, rob a home
While some shrivel to bone
Like comatose walkin' around
Please don't confuse this with the sound
I'm talking about BASS

I put this together to
Rock the bells of those that
Boost the dose
Of lack a lack
And those that sell to Black
Shame on a brother when he dealin'
The same block where my 98 be wheelin'
And everybody know
Another kilo
From a corner from a brother to keep another,
Below
Stop illin' and killin'
Stop grillin'
Yo, black, yo (we are willin')
4, 5 o'clock in the mornin'
Wait a minute y'all
The fiends are fiendin'
Day to day they say no other way
This stuff
Is really bad
I'm talkin' 'bout bass!

Yo, listen
I see it on their faces
(First come first serve basis)
Standin' in line
Checkin' the time
Homeboys playin' the curb
The same ones that used to do herb
Now they're gone
Passin' it on
Poison attack, the Black word bond
Daddy-O
Once said to me
He knew a brother who stayed all day in his jeep
And at night he went to sleep
And in the mornin' all he had was
The sneakers on his feet
The culprit used to jam and rock the mike, yo
He stripped the jeep to fill his pipe
And wander around to find a place
Where they rocked to a different kind of bass",/lyric/1691711/Public+Enemy/Night+of+the+Living+Baseheads,['Rap'],3:15,"['aggressive', 'angry', 'bravado', 'cathartic', 'complex', 'confrontational', 'difficult', 'exciting']",Night of the Living Baseheads,https://www.allmusic.com/song/night-of-the-living-baseheads-mt0044871634
2,Public Enemy,angry,It Takes a Nation of…,/album/it-takes-a-nation-of-millions-to-hold-us-back-mw0000196315,"I got a letter from the government
The other day
I opened and read it
It said they were suckers
They wanted me for their army or whatever
Picture me given' a damn, I said never
Here is a land that never gave a damn
About a brother like me and myself
Because they never did
I wasn't wit' it, but just that very minute
It occurred to me
The suckers had authority
Cold sweatin' as I dwell in my cell
How long has it been?
They got me sittin' in the state pen
I gotta get out, but that thought was thought before
I contemplated a plan on the cell floor
I'm not a fugitive on the run
But a brother like me begun, to be another one
Public enemy servin' time, they drew the line y'all
To criticize me some crime, never the less
They could not understand that I'm a Black man
And I could never be a veteran
On the strength, the situation's unreal
I got a raw deal, so I'm goin' for the steel

They got me rottin' in the time that I'm servin'
Tellin' you what happened the same time they're throwin'
Four of us packed in a cell like slaves, oh well
The same motherfucker got us livin' is his hell
You have to realize, what its a form of slavery
Organized under a swarm of devils
Straight up, word 'em up on the level
The reasons are several, most of them federal
Here is my plan anyway and I say
I got gusto, but only some I can trust, yo
Some do a bid from one to ten
And I never did, and plus I never been
I'm on a tier where no tears should ever fall
Cell block and locked, I never clock it y'all
'Cause time and time again time
They got me servin' to those and to them
I'm not a citizen
But ever when I catch a see-O
Sleepin' on the job, my plan is on go-ahead
On the strength, I'ma tell you the deal
I got nothin' to lose
'Cause I'm goin' for the steel

You know I caught a C-O
Fallin' asleep on death row
I grabbed his gun, then he did what I said so
And everyman's got served
Along with the time they served
Decency was deserved
To understand my demands
I gave a warnin', I wanted the governor, y'all
And plus the warden to know
That I was innocent,
Because I'm militant
Posing a threat, you bet it's fuckin' up the government
My plan said I had to get out and break north
Just like with Oliver's neck
I had to get off, my boys had the feds in check
They couldn't do nothin'
We had a force to instigate a prison riot
This is what it takes for peace
So I just took the piece
Black for Black inside time to cut the leash
Freedom to get out, to the ghetto, no sell out
6 see-Os we got we ought to put their head out
But I'll give 'em a chance, 'cause I'm civilized
As for the rest of the world, they can't realize
A cell is hell, I'm a rebel so I rebel
Between bars, got me thinkin' like an animal
Got a woman C-O to call me a copter
She tried to get away, and I popped her
Twice, right
Now who want to get nice?
I had six C-O's, now it's 5 to go
And I'm serious, call me delirious
But I'm still a captive
I gotta rap this
Time to break as time grows intense
I got the steel in my right hand
Now I'm lookin' for the fence

I ventured into the courtyard
Followed by fifty two brothers
Bruised, battered, and scarred but hard
Goin' out with a bang
Ready to bang out
But power from the sky
And from the tower shots rang out
A high number of dose, yes
And some came close
Figure I trigger my steel
Stand and hold my post
This is what I mean, an anti-nigger machine
If I come out alive and then they won't, come clean
And then I threw up my steel bullets, flew up
Blew up, who shot
What, who, the bazooka was who
And to my rescue, it was the S1Ws
Secured my getaway, so I just got away
The joint broke, from the black smoke
Then they saw it was rougher that the average bluffer
'Cause the steel was black, the attitude exact
Now the chase is on tellin' you to c'mon
53 brothers on the run, and we are gone",/lyric/1691712/Public+Enemy/Black+Steel+in+the+Hour+of+Chaos,['Rap'],6:24,"['acerbic', 'aggressive', 'angry', 'bitter', 'bravado', 'cathartic', 'complex', 'confrontational']",Black Steel in the Hour of Chaos,https://www.allmusic.com/song/black-steel-in-the-hour-of-chaos-mt0044871633
3,Black Flag,angry,Damaged,/album/damaged-mw0000198777,"Jealous cowards try to control
Rise above, we're gonna rise above
They distort what we say
Rise above, we're gonna rise above
Try and stop what we do
Rise above, we're gonna rise above
When they can't do it themselves
Rise above, we're gonna rise above

We are tired of your abuse
Try to stop us, it's no use

Society's arms of control
Rise above, we're gonna rise above
Think they're smart, can't think for themselves
Rise above, we're gonna rise above
Laugh at us behind our backs
Rise above, we're gonna rise above
I find satisfaction in what they lack
Rise above, we're gonna rise above

We are tired of your abuse
Try to stop us, but it's no use

We are tired of your abuse
Try to stop us, but it's no use

We're born with a chance
Rise above, we're gonna rise above
I am gonna have my chance 
Rise above, we're gonna rise above
We are born with a chance
Rise above, we're gonna rise above
And I am gonna have my chance 
Rise above, we're gonna rise above

We are tired of your abuse
Try to stop us, it's no use
Rise above
Rise above
Rise above
We're gonna rise above
We're gonna rise above
We're gonna rise above",/lyric/2281475/Black+Flag/Rise+Above,['Pop/Rock'],2:26,"['aggressive', 'angry', 'brooding', 'cathartic', 'confrontational', 'fiery', 'harsh', 'intense']",Rise Above,https://www.allmusic.com/song/rise-above-mt0008059211
4,Black Flag,angry,Damaged,/album/damaged-mw0000198777,"It feels good to say what I want
It feels good to knock things down
It feels good to see the disgust in their eyes
It feels good, I'm gonna go wild
Spraypaint the walls!
Don't want to see the plan succeed
Won't be room for people like me
My life is their disease

It feels good and I'm gonna go wild
Spraypaint the walls!
Feels so good to say what I want
Feels so good to knock things down
It feels good to see the disgust in their eyes
It feels good and I'm gonna go wild
Spraypaint the walls
It feels good and I'm gonna go wild",/lyric/2281476/Black+Flag/Spray+Paint,['Pop/Rock'],0:33,"['aggressive', 'brooding', 'provocative', 'street-smart', 'swaggering', 'tense/anxious', 'angry', 'rebellious']",Spray Paint,https://www.allmusic.com/song/spray-paint-mt0007993204
5,Black Flag,angry,Damaged,/album/damaged-mw0000198777,"I got a six-pack
And nothing to do!
I've got a six-pack
And I don't need you

Thrity-five dollards and a six pack to my name (six-pack!) 
Spent the rest on beer so who's to blame? (six-pack!) 
They say I'm fucked up all the time (six-pack!) 
""Well, the dude's a waste of time"" (six-pack!) 

I know it'll be okay
I get a six pack in me, all right 
My girlfriend asked me which one do I like better? (sixpack!)
I hope the answer don't upset her (six-pack!)
I was born with a bottle in my mouth (six-pack!)  
Now I've got six so I'll never run out (six-pack!) 

I know it'll be okay
When I get a six pack in me, well, all right!

Aah, thrity-five dollars and a six pack to my name six pack! 
Spent the rest on beer so who's to blame six pack! 
They say I'm fucked up all the time six pack! 
But I know they're a waste of time six pack! 

Six-pack
Six-pack
Six-pack

What do they know about partying
Or anything else?",/lyric/915538/Black+Flag/Six+Pack,['Pop/Rock'],2:20,"['angry', 'irreverent', 'street-smart', 'swaggering', 'aggressive', 'confrontational', 'harsh', 'menacing']",Six Pack,https://www.allmusic.com/song/six-pack-mt0007990953
6,Black Flag,angry,Damaged,/album/damaged-mw0000198777,"TV party tonight
TV party tonight
TV party tonight
TV party tonight!

We're gonna have a TV party tonight
All right!
We're gonna have a TV party, all right
Tonight!

We've got nothing better to do
Than watch TV and have a couple of brews

Everybody's gonna hang out here tonight
All right!
We'll pass out on the couch, all right
Tonight!

We've got nothing better to do
Than watch TV and have a couple of brews

Don't talk about anything else
We don't want to know
We're dedicated to our favorite shows

That's incredible!
Hill Street Blues!
Dallas!
Fridays!

We sit glued to the TV set all night
And every night
Why go into the outside world at all
It's such a fright

We've got nothing better to do
Than watch TV and have a couple of brews

TV news shows
What it's like out there
It's a scare
You can go out if you want
We wouldn't dare

We've got nothing better to do
Than watch TV and have a couple of brews

Don't talk about anything else
We don't want to know
We're dedicated to our favorite shows

Saturday Night Live!
Monday Night Football!
Jeffersons!
Vegas!

I wouldn't be without my TV for a day
Or even a minute
Don't even bother to use my brain any more
There's nothing left in it

We've got nothing better to do
Than watch TV and have a couple of brews

Hey, wait a minute, my TV doesn't work!
It's broken!
What are we gonna do tonight, this isn't fair!
We're hurtin'

We've got nothing left to do
Left with no TV just a couple of brews

What are we gonna talk about?
I don't know!
We're gonna miss our favorite shows!

No That's Incredible!
No Monday Night Football!
No Jeffersons!
No Friday!

No TV party tonight!",/lyric/2281479/Black+Flag/TV+Party,['Pop/Rock'],3:31,"['angry', 'brash', 'cynical/sarcastic', 'street-smart', 'swaggering', 'cathartic', 'confrontational', 'irreverent']",TV Party,https://www.allmusic.com/song/tv-party-mt0008027967
7,Black Flag,angry,Damaged,/album/damaged-mw0000198777,"Aah, thirsty and miserable
You drop to the floor

You drink till you can't even see anymore
Thirsty and miserable, always wanting more
Thirsty and miserable, always wanting more, ah

My brother wants a ride to the liquor store
You pity him for what he wants it for
Yeah, thirsty and miserable, always wanting more
Thirsty and miserable, always wanting more, ah

It's one-thirty and we're all getting nervous
The store closes at two, there's not enough to last us
Oh, shit!

Thirsty and miserable, always wanting more
Thirsty and miserable, always wanting more, go!

See if you can find the key to your mother's liquor cabinet!",/lyric/1265192/Black+Flag/Thirsty+and+Miserable,['Pop/Rock'],2:05,"['aggressive', 'provocative', 'tense/anxious', 'angry', 'brooding', 'rebellious', 'street-smart', 'swaggering']",Thirsty and Miserable,https://www.allmusic.com/song/thirsty-and-miserable-mt0007998682
8,Black Flag,angry,Damaged,/album/damaged-mw0000198777,"Fucking city is run by pigs
They take the rights away from all the kids
Understand that we're fighting a war we can't win
They hate us, we hate them

We can't win, no way, aah
Walk down the street
I flip them off
They hit me across the head with a billyclub
Understand, we're fighting a war we can't win
They hate us, we hate them

Nothing I do, nothing I say
I tell them to go get fucked
They put me away
Understand, we're fighting a war we can't win
They hate us, we hate them

We can't win, no way
Gonna fucking pay, motherfuckers gonna pay
I got to court, I did my crime
Stand in line, pay bail
I may serve time

Understand we're fighting a war we can't win
They hate us, we hate them
We can't win, no way",/lyric/2281481/Black+Flag/Police+Story,['Pop/Rock'],1:32,"['aggressive', 'provocative', 'tense/anxious', 'angry', 'rebellious', 'street-smart', 'swaggering', 'urgent']",Police Story,https://www.allmusic.com/song/police-story-mt0008104203
9,Black Flag,angry,Damaged,/album/damaged-mw0000198777,"Gimme gimme gimme
I need some more
Gimme gimme gimme
Don't ask what for

One-two-three-four!

Standing here like a loaded gun
Waiting to go off
I've got nothing to do but 
Shoot my mouth off

Gimme gimme gimme
Gimme some more
Gimme gimme gimme
Don't ask what for

I'm gonna go out
Get something for my head
If I keep on doing this, I'm gonna end up dead

So, gimme gimme gimme
Gimme some more
Gimme gimme gimme
Don't ask what for

I know the world's got problems
I've got problems of my own
Not the kind that can be solved with an atom bomb

So, gimme gimme gimme
Gimme some more
Gimme gimme gimme
Don't ask what for

Gimme gimme gimme
I need some more
Gimme gimme gimme
Don't ask what for

One-two-three-four!

Standing here like a loaded gun
Waiting to go off
I've got nothing to do but 
Shoot my mouth off

So, gimme gimme gimme
Gimme some more
Gimme gimme gimme
Don't ask what for",/lyric/2281482/Black+Flag/Gimmie+Gimmie+Gimmie,['Pop/Rock'],1:47,"['angry', 'brash', 'brooding', 'street-smart', 'swaggering', 'cathartic', 'confrontational', 'intense']",Gimmie Gimmie Gimmie,https://www.allmusic.com/song/gimmie-gimmie-gimmie-mt0008012076
