,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,Kraftwerk,austere,Radio-Aktivität,/album/radio-aktivit%C3%A4t-mw0000462593,"Radioactivity
Is in the air for you and me

Radioactivity
Discovered by Madame Curie

Radioactivity
Tune in to the melody

Radioactivity
Is in the air for you and me

Morse:
	Radioactivity is in the air for you and me
	Radioactivity discovered by madame curie
	Radioactivity tune in to the ... Kraftwerk

Radio Aktivitaet
Fuer dich und mich in All entsteht
(=For you and me in Space comes into being)

Radio Aktivitaet
Strahlt Wellen zum Empfangsgeraet
(=Sends waves to the receiver)

Radio Aktivitaet
Wenn's um unsere Zukunft geht
(=When its about our future)

Morse:
	Radioactivity is in the air for you and me
	Radioactivity discovered by madame curie
	Radioactivity tune in to the ... Kraftwerk

Radioactivity
Is in the air for you and me

Radioactivity
Discovered by Madame Curie

Radioactivity
Tune in to the melody

Radioactivity
Is in the air for you and me",/lyric/1542693/Kraftwerk/Radioactivity+%5BRare+Extended+Version%5D,"['Avant-Garde', 'Pop/Rock']",6:42,"['austere', 'plaintive', 'refined', 'soft/quiet', 'stately', 'cerebral', 'hypnotic', 'quirky']",Radioactivity,https://www.allmusic.com/song/radioactivity-mt0033432016
1,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"Saw it written and I saw it say
Pink moon is on its way
And none of you stand so tall
Pink moon gonna get ye all
And it’s a pink moon
Hey it's a pink moon
Pink, pink, pink, pink, pink moon
Pink, pink, pink, pink, pink moon

I saw it written and I saw it say
Pink moon is on its way
And none of you stand so tall
Pink moon gonna get ye all
It’s a pink moon
Yea, it's a pink moon",/lyric/2388219/Nick+Drake/Pink+Moon,"['Folk', 'Pop/Rock']",2:05,"['austere', 'insular', 'autumnal', 'intimate', 'literate', 'melancholy', 'nocturnal', 'reflective']",Pink Moon,https://www.allmusic.com/song/pink-moon-mt0030328404
2,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"When I was younger, younger than before
I never saw the truth hanging from the door
And now I'm older see it face to face
And now I'm older gotta get up clean the place.

And I was green, greener than the hill
Where the flowers grew and the sun shone still
Now I'm darker than the deepest sea
Just hand me down, give me a place to be.

And I was strong, strong in the sun
I thought I'd see when day is done
Now I'm weaker than the palest blue
Oh, so weak in this need for you.",/lyric/4089653/Nick+Drake/Place+to+Be,"['Folk', 'Pop/Rock']",2:43,"['austere', 'laid-back/mellow', 'pastoral', 'calm/peaceful', 'elegant', 'gentle', 'reflective', 'reserved']",Place to Be,https://www.allmusic.com/song/place-to-be-mt0011300740
3,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"You can say the sun is shining if you really want to
I can see the moon and it seems so clear
You can take the road that takes you to the stars now
I can take a road that'll see me through
I can take a road that'll see me through.

You can take a road that takes you to the stars now
I can take a road that'll see me through
I can take a road that'll see me through
I can take a road that'll see me through.",/lyric/51988/Nick+Drake/Road,"['Folk', 'Pop/Rock']",2:02,"['austere', 'laid-back/mellow', 'pastoral', 'elegant', 'reflective', 'reserved']",Road,https://www.allmusic.com/song/road-mt0034033679
4,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"Which will you go for
Which will you love
Which will you choose from
From the stars above
Which will you answer
Which will you call
Which will you take for
For your one and all
And tell me now
Which will you love the best.

Which do you dance for
Which makes you shine
Which will you choose now
If you won't choose mine
Which will you hope for
Which can it be
Which will you take now
If you won't take me
And tell now
Which will you love the best.",/lyric/742354/Nick+Drake/Which+Will,"['Folk', 'Pop/Rock']",2:58,"['austere', 'laid-back/mellow', 'pastoral', 'calm/peaceful', 'elegant', 'gentle', 'intimate', 'reflective']",Which Will,https://www.allmusic.com/song/which-will-mt0011302120
5,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"Please beware of them that stare
They'll only smile to see you while
Your time away
And once you've seen what they have been
To win the earth just won't seem worth
Your night or your day
Who'll hear what I say.
Look around you find the ground
Is not so far from where you are
But not too wise
For down below they never grow
They're always tired and charms are hired
From out of their eyes
Never surprise.

Take your time and you'll be fine
And say a prayer for people there
Who live on the floor
And if you see what's meant to be
Don't name the day or try to say
It happened before.

Don't be shy you learn to fly
And see the sun when day is done
If only you see
Just what you are beneath a star
That came to stay one rainy day
In autumn for free
Yes, be what you'll be.
Please beware of them that stare
They'll only smile to see you while
Your time away
And once you've seen what they have been
To win the earth just won't seem worth
Your night or your day
Who'll hear what I say.

Open up the broken cup
Let goodly sin and sunshine in
Yes that's today.
And open wide the hymns you hide
You find renown while people frown
At things that you say
But say what you'll say
About the farmers and the fun
And the things behind the sun
And the people around your head
Who say everything's been said
And the movement in your brain
Sends you out into the rain.",/lyric/742355/Nick+Drake/Things+Behind+the+Sun,"['Folk', 'Pop/Rock']",3:57,"['austere', 'laid-back/mellow', 'pastoral', 'calm/peaceful', 'elegant', 'gentle', 'reflective', 'reserved']",Things Behind the Sun,https://www.allmusic.com/song/things-behind-the-sun-mt0031053872
6,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"Know 
Know
Know
Know
Know 
Know 
Know
Know 
Know that I love you
Know I don't care
Know that I see you
Know I'm not there
Know 
Know
Know
Know",/lyric/4089658/Nick+Drake/Know,"['Folk', 'Pop/Rock']",2:25,"['austere', 'laid-back/mellow', 'pastoral', 'calm/peaceful', 'elegant', 'gentle', 'reflective', 'reserved']",Know,https://www.allmusic.com/song/know-mt0011300321
7,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"Lifting the mask from from a local clown
Feeling down like him
Seeing the light in a station bar
And travelling far in sin
Sailing downstairs to the northern line
Watching the shine of the shoes
And hearing the trial of the people there
Who's to care if they lose.
And take a look you may see me on the ground
For I am the parasite of this town.

Dancing a jig in a church with chimes
A sign of the times today
And hearing no bell from a steeple tall
People all in dismay
Falling so far on a silver spoon
Making the moon for fun
And changing a rope for a size too small
People all get hung.
Take a look and see me coming through
For I am the parasite who travels two by two.

When lifting the mask from a local clown
And feeling down like him
And I'm seeing the light in a station bar
And travelling far in sin
And I'm sailing downstairs to the northern line
Watching the shine of the shoes
And hearing the trials of the people there
Who's to care if they lose.
And take a look you may see me on the ground
For I am the parasite of this town.
And take a look you may see me in the dirt
For i am the parasite who hangs from your skirt.",/lyric/4089659/Nick+Drake/Parasite,"['Folk', 'Pop/Rock']",3:36,"['austere', 'laid-back/mellow', 'pastoral', 'calm/peaceful', 'elegant', 'gentle', 'reflective', 'reserved']",Parasite,https://www.allmusic.com/song/parasite-mt0028686830
8,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"I know you
I care too
I see through
All of the pictures that you keep on the wall
All of the people that will come to the ball
But hear me calling
Won't you give me
A free ride.

I know too
What you do
When you're through
Counting the cattle as they go by the door
Keeping a carpet that's so thick on the floor
But hear me calling
Won't you give me
A free ride.

I know you 
I care too
I see through
All of the pictures that you keep on the wall
All of the pictures that you keep on the wall
But hear me calling
Won't you give me
A free ride.",/lyric/534907/Nick+Drake/Free+Ride,"['Folk', 'Pop/Rock']",3:06,"['austere', 'laid-back/mellow', 'pastoral', 'calm/peaceful', 'elegant', 'gentle', 'reflective', 'reserved']",Free Ride,https://www.allmusic.com/song/free-ride-mt0011305175
9,Nick Drake,austere,Pink Moon,/album/pink-moon-mw0000315191,"Falling fast and falling free you look to find a friend
Falling fast and falling free this could just be the end
Falling fast you stoop to touch and kiss the flowers that bend
And you're ready now
For the harvest breed.",/lyric/4089661/Nick+Drake/Harvest+Breed,"['Folk', 'Pop/Rock']",1:37,"['austere', 'laid-back/mellow', 'pastoral', 'calm/peaceful', 'elegant', 'gentle', 'reflective', 'reserved']",Harvest Breed,https://www.allmusic.com/song/harvest-breed-mt0011309503
