,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,Cher,brassy,The Greatest Hits,/album/the-greatest-hits-mw0000461223,"If I could turn back time
If I could find a way
I'd take back those words that'll hurt you and you'd stay
I don't know why I did the things I did
I don't know why I said the things I said
Love's like a knife it can cut deep inside
Words are like weapons, they wound sometimes

I didn't really mean to hurt you
I didn't want to see you go
I know I made you cry, but baby

If I could turn back time
If I could find a way
I'd take back those words that'd hurt you
And you'd stay
If I could reach the stars
I'd give 'em all to you
Then you'd love me, love me, like you used to do
If I could turn back time

My world was shattered I was torn apart
Like someone took a knife and drove it deep in my heart
You walked out that door I swore that I didn't care
But I lost everything darling then and there

Too strong to tell you I was sorry
Too proud to tell you I was wrong
I know that I was blind,
And darling

If I could turn back time
If I could find a way
I'd take back those words that'll hurt you
And you'd stay
If I could reach the stars
I'd give them all to you
Then you'd love me, love me, like you used to do, oh

If I could turn back time
If I could turn back time
If I could turn back time, whoa baby

I didn't really mean to hurt you
I didn't want to see you go
I know I made you cry, but baby

If I could turn back time
If I could find a way
I'd take back those words that hurt you
If I could reach the stars
I'd give 'em all to you
Then you'd love me, love me, like you used to do

If I could turn back time
If I could find a way
Then maybe, maybe, maybe
You'd stay
(Reach the stars) If I could reach the stars
(All to you) I'd give 'em all to you",/lyric/27566382/Cher/If+I+Could+Turn+Back+Time+%5BAlbum+Version%5D,['Pop/Rock'],3:59,"['dramatic', 'sentimental', 'theatrical', 'passionate', 'reflective', 'romantic', 'stylish', 'brassy']",If I Could Turn Back Time,https://www.allmusic.com/song/if-i-could-turn-back-time-mt0031707139
1,Cher,brassy,The Greatest Hits,/album/the-greatest-hits-mw0000461223,"Beneath the white fire of the moon 
Love's wings are broken all too soon 
We never learn 
Hurt together, hurt alone 
Don't you sometimes 

Wish your heart was a heart of stone 
We turn the wheel, and break the chain 
Put steel to steel, and laugh at pain 
We're dreamers in castle's made of sand 
The road to Eden's overgrown 

Don't you sometimes 
Wish your heart was a heart of stone 
Look at the headlines 
Big crowd at the crazy house 
Long cue for the joker's shoe 
Ten rounds in the ring with love 
Do you lose and win 

Or win and lose 
Sweet rain, like mercy in the night 
(Lay me down, wash away the sorrow) 
Caress my soul and set it right 
(Lay me down, show me your tomorrow) 
Summer tears, winter and the moment's flown 

Don't you sometimes 
Wish your heart was a heart of stone 
Mercy, mercy, wish your heart was a heart of stone 

Get the picture 
No room for the innocent 
Peak season in lonely town 
Knocked out of the ring by love 
Are you down and up 

Or up and down 
I ask the river for a sign 
(In a dream, we go on together) 
How long is love supposed to shine 
(In a dream, diamonds are forever 
But you and I, hurt together, hurt alone 

Don't you sometimes 
Wish you heart was a heart of stone 
Mercy, mercy, wish your heart was a heart of stone 
(With a heart of stone, you'll be well protected) 

Don't you sometimes 
Wish your heart was made of stone 
(With a heart of stone, you'll be well connected)",/lyric/164988/Cher/Heart+of+Stone,['Pop/Rock'],4:15,"['dramatic', 'theatrical', 'literate', 'passionate', 'reflective', 'rousing', 'stylish', 'brassy']",Heart of Stone,https://www.allmusic.com/song/heart-of-stone-mt0011658371
2,Cher,brassy,The Greatest Hits,/album/the-greatest-hits-mw0000461223,"You're struttin' into town like you're slingin' a gun
Just a small town dude with a big city attitude
Honey are you lookin' for some trouble tonight
Well alright

You think you're so bad, drive the women folk wild
Shoot 'em all down with the flash of your pearly smile
Honey but you met your match tonight
Oh, that's right

You think you'll knock me off my feet
'Til I'm flat on the floor
'Til my heart is cryin' Indian and I'm begin' for more
So come on baby
Come on baby
Come on baby show me what that loaded gun is for

If you can give it
I can take it
'Cause if this heart is gonna break it's gonna take a lot to break it
I know tonight
Somebody's gonna win the fight
So if you're so tough
Come on and prove it

Your heart is down for the count and you know you're gonna lose it
Tonight you're gonna go down in flames
Just like Jesse James

You're an outlaw lover and I'm after your hide
Well you ain't so strong, won't be long 'til your hands are tied
Tonight I'm gonna take you in
Dead or Alive
That's right

You break the laws of love in the name of desire
Take ten steps back
'Cause I'm ready baby
Aim and fire
Baby there's nowhere you gonna run tonight
Ooh That's right

Well you've had your way with love but it's the end of the day
Now a team of wild horses couldn't drag your heart away

So come on baby
Come on baby

Come on baby you know there ain't nothing left to say

If you can give it
I can take it
'Cause if this heart is gonna break it's gonna take a lot to break it
I know tonight
Somebody's gonna win the fight
So if you're so tough
Come on and prove it

Your heart is down for the count and you know you're gonna lose it
Tonight you're gonna go down in flames
Just like Jesse James

You think you'll knock me off my feet
'til I'm flat on the floor
'Til my heart is cryin' Indian and I'm begin' for more
So come on baby
Come on baby
Come on baby
Come on

If you can give it
I can take it
'Cause if this heart is gonna break it's gonna take a lot to break it

I know tonight
Somebody's gonna win the fight
So if you're so tough
Come on and prove it
Your heart is down for the count and you know you're gonna lose it
Tonight you're gonna go down in flames
Just like Jesse James
Tonight you're gonna go down in flames
Just like Jesse James
Tonight you're gonna go down in flames
Just like Jesse James

I'm gonna shoot ya down Jesse James",/lyric/1298679/Cher/Just+Like+Jesse+James,['Pop/Rock'],4:06,"['brassy', 'bravado', 'confident', 'dramatic', 'swaggering', 'theatrical', 'passionate', 'playful']",Just Like Jesse James,https://www.allmusic.com/song/just-like-jesse-james-mt0011664783
3,Bette Midler,brassy,The Rose [Original…,/album/the-rose-original-soundtrack-mw0000191650,"Some say love, it is a river, that drowns the tender reed
Some say love, it is a razor, that leaves your soul to bleed
Some say love, it is a hunger, an endless aching need
I say love, it is a flower, and you, its only seed

Its the heart afraid of breaking, that never learns to dance
Its the dream afraid of waking, that never takes the chance
Its the one who won't be taking, who cannot seem to give
And the soul afraid of dying, that never learns to live

When the night has been too lonely and the road has been too long
And you think that love is only for the lucky and the strong
Just remember in the winter, far beneath the bitter snows
Lies the seed, that with the sun's love in the spring becomes the rose",/lyric/1169142/Bette+Midler/The+Rose,['Pop/Rock'],3:40,"['brassy', 'calm/peaceful', 'literate', 'passionate', 'sad', 'searching', 'self-conscious', 'somber']",The Rose,https://www.allmusic.com/song/the-rose-mt0003644083
4,Bette Midler,brassy,A Gift of Love,/album/a-gift-of-love-mw0002896730,"Some say love, it is a river, that drowns the tender reed
Some say love, it is a razor, that leaves your soul to bleed
Some say love, it is a hunger, an endless aching need
I say love, it is a flower, and you, its only seed

Its the heart afraid of breaking, that never learns to dance
Its the dream afraid of waking, that never takes the chance
Its the one who won't be taking, who cannot seem to give
And the soul afraid of dying, that never learns to live

When the night has been too lonely and the road has been too long
And you think that love is only for the lucky and the strong
Just remember in the winter, far beneath the bitter snows
Lies the seed, that with the sun's love in the spring becomes the rose",/lyric/1169142/Bette+Midler/The+Rose,['Pop/Rock'],3:34,"['brassy', 'calm/peaceful', 'literate', 'passionate', 'sad', 'searching', 'self-conscious', 'somber']",The Rose,https://www.allmusic.com/song/the-rose-mt0052623256
5,Cher,brassy,The Very Best of Cher…,/album/the-very-best-of-cher-warner-bros-1-mw0000021651,"If I could turn back time
If I could find a way
I'd take back those words that'll hurt you and you'd stay
I don't know why I did the things I did
I don't know why I said the things I said
Love's like a knife it can cut deep inside
Words are like weapons, they wound sometimes

I didn't really mean to hurt you
I didn't want to see you go
I know I made you cry, but baby

If I could turn back time
If I could find a way
I'd take back those words that'd hurt you
And you'd stay
If I could reach the stars
I'd give 'em all to you
Then you'd love me, love me, like you used to do
If I could turn back time

My world was shattered I was torn apart
Like someone took a knife and drove it deep in my heart
You walked out that door I swore that I didn't care
But I lost everything darling then and there

Too strong to tell you I was sorry
Too proud to tell you I was wrong
I know that I was blind,
And darling

If I could turn back time
If I could find a way
I'd take back those words that'll hurt you
And you'd stay
If I could reach the stars
I'd give them all to you
Then you'd love me, love me, like you used to do, oh

If I could turn back time
If I could turn back time
If I could turn back time, whoa baby

I didn't really mean to hurt you
I didn't want to see you go
I know I made you cry, but baby

If I could turn back time
If I could find a way
I'd take back those words that hurt you
If I could reach the stars
I'd give 'em all to you
Then you'd love me, love me, like you used to do

If I could turn back time
If I could find a way
Then maybe, maybe, maybe
You'd stay
(Reach the stars) If I could reach the stars
(All to you) I'd give 'em all to you",/lyric/27566382/Cher/If+I+Could+Turn+Back+Time+%5BAlbum+Version%5D,['Pop/Rock'],4:00,"['dramatic', 'sentimental', 'theatrical', 'passionate', 'reflective', 'romantic', 'stylish', 'brassy']",If I Could Turn Back Time,https://www.allmusic.com/song/if-i-could-turn-back-time-mt0000537578
6,Cher,brassy,The Very Best of Cher…,/album/the-very-best-of-cher-warner-bros-1-mw0000021651,"Beneath the white fire of the moon 
Love's wings are broken all too soon 
We never learn 
Hurt together, hurt alone 
Don't you sometimes 

Wish your heart was a heart of stone 
We turn the wheel, and break the chain 
Put steel to steel, and laugh at pain 
We're dreamers in castle's made of sand 
The road to Eden's overgrown 

Don't you sometimes 
Wish your heart was a heart of stone 
Look at the headlines 
Big crowd at the crazy house 
Long cue for the joker's shoe 
Ten rounds in the ring with love 
Do you lose and win 

Or win and lose 
Sweet rain, like mercy in the night 
(Lay me down, wash away the sorrow) 
Caress my soul and set it right 
(Lay me down, show me your tomorrow) 
Summer tears, winter and the moment's flown 

Don't you sometimes 
Wish your heart was a heart of stone 
Mercy, mercy, wish your heart was a heart of stone 

Get the picture 
No room for the innocent 
Peak season in lonely town 
Knocked out of the ring by love 
Are you down and up 

Or up and down 
I ask the river for a sign 
(In a dream, we go on together) 
How long is love supposed to shine 
(In a dream, diamonds are forever 
But you and I, hurt together, hurt alone 

Don't you sometimes 
Wish you heart was a heart of stone 
Mercy, mercy, wish your heart was a heart of stone 
(With a heart of stone, you'll be well protected) 

Don't you sometimes 
Wish your heart was made of stone 
(With a heart of stone, you'll be well connected)",/lyric/164988/Cher/Heart+of+Stone,['Pop/Rock'],4:11,"['dramatic', 'theatrical', 'literate', 'passionate', 'reflective', 'rousing', 'stylish', 'brassy']",Heart of Stone,https://www.allmusic.com/song/heart-of-stone-mt0005499942
7,Cher,brassy,The Very Best of Cher…,/album/the-very-best-of-cher-warner-bros-1-mw0000021651,"You're struttin' into town like you're slingin' a gun
Just a small town dude with a big city attitude
Honey are you lookin' for some trouble tonight
Well alright

You think you're so bad, drive the women folk wild
Shoot 'em all down with the flash of your pearly smile
Honey but you met your match tonight
Oh, that's right

You think you'll knock me off my feet
'Til I'm flat on the floor
'Til my heart is cryin' Indian and I'm begin' for more
So come on baby
Come on baby
Come on baby show me what that loaded gun is for

If you can give it
I can take it
'Cause if this heart is gonna break it's gonna take a lot to break it
I know tonight
Somebody's gonna win the fight
So if you're so tough
Come on and prove it

Your heart is down for the count and you know you're gonna lose it
Tonight you're gonna go down in flames
Just like Jesse James

You're an outlaw lover and I'm after your hide
Well you ain't so strong, won't be long 'til your hands are tied
Tonight I'm gonna take you in
Dead or Alive
That's right

You break the laws of love in the name of desire
Take ten steps back
'Cause I'm ready baby
Aim and fire
Baby there's nowhere you gonna run tonight
Ooh That's right

Well you've had your way with love but it's the end of the day
Now a team of wild horses couldn't drag your heart away

So come on baby
Come on baby

Come on baby you know there ain't nothing left to say

If you can give it
I can take it
'Cause if this heart is gonna break it's gonna take a lot to break it
I know tonight
Somebody's gonna win the fight
So if you're so tough
Come on and prove it

Your heart is down for the count and you know you're gonna lose it
Tonight you're gonna go down in flames
Just like Jesse James

You think you'll knock me off my feet
'til I'm flat on the floor
'Til my heart is cryin' Indian and I'm begin' for more
So come on baby
Come on baby
Come on baby
Come on

If you can give it
I can take it
'Cause if this heart is gonna break it's gonna take a lot to break it

I know tonight
Somebody's gonna win the fight
So if you're so tough
Come on and prove it
Your heart is down for the count and you know you're gonna lose it
Tonight you're gonna go down in flames
Just like Jesse James
Tonight you're gonna go down in flames
Just like Jesse James
Tonight you're gonna go down in flames
Just like Jesse James

I'm gonna shoot ya down Jesse James",/lyric/1298679/Cher/Just+Like+Jesse+James,['Pop/Rock'],4:07,"['brassy', 'bravado', 'confident', 'dramatic', 'swaggering', 'theatrical', 'passionate', 'playful']",Just Like Jesse James,https://www.allmusic.com/song/just-like-jesse-james-mt0002930629
8,Bette Midler,brassy,The Divine Miss M,/album/the-divine-miss-m-mw0000650495,"He was a famous trumpet man from out Chicago way
He had a boogie style that no one else could play
He was the top man at his craft
But then his number came up, and he was gone with the draft
He's in the army now, a-blowin' reveille
He's the boogie woogie bugle boy of Company B

They made him blow a bugle for his Uncle Sam
It really brought him down because he couldn't jam
The captain seemed to understand
Because the next day the cap' went out and drafted a band
And now the company jumps when he plays reveille
He's the boogie woogie bugle boy of Company B

A-toot, a-toot, a-toot-diddleyada-toot
He blows it eight-to-the-bar, in boogie rhythm
He can't blow a note unless the bass and guitar is playin' with him
He makes the company jump when he plays reveille
He's the boogie woogie bugle boy of Company B

He was our boogie woogie bugle boy of Company B
And when he plays boogie woogie bugle, he was buzy as a 'bzz' bee
And when he plays, he makes the company jump eight-to-the-bar
He's the boogie woogie bugle boy of Company B

Toot-toot-toot, toot-diddleyada, toot-diddleyada
Toot, toot, he blows it eight-to-the-bar
He can't blow a note if the bass and guitar isn't with him
A-a-a-and the company jumps when he plays reveille
He's the boogie woogie bugle boy of Company B

He puts the boys asleep with boogie every night
And wakes 'em up the same way in the early bright
They clap their hands and stamp their feet
Because they know how he plays when someone gives him a beat
He really breaks it up when he plays reveille
He's the boogie woogie bugle boy of Company B

Da-doo-da, da-doo-da-da, da
Da-doo-da, da-doo-da-da, da
Da-doo-da, da-doo-da-da, da
Da-doo-da, da-doo-da-da
A-a-a-and the company jumps when he plays reveille
He's the boogie woogie bugle boy of Company B!",/lyric/3566930/Bette+Midler/Boogie+Woogie+Bugle+Boy,['Pop/Rock'],2:25,"['brassy', 'bright', 'confident', 'effervescent', 'energetic', 'exciting', 'freewheeling', 'fun']",Boogie Woogie Bugle Boy,https://www.allmusic.com/song/boogie-woogie-bugle-boy-mt0011099855
9,Michael Bublé,brassy,Michael Bublé,/album/michael-bubl%C3%A9-mw0000592979,"Never know how much I love you, never know how much I care
When you put your arms around me, I get a fever that's so hard to bear
You give me fever when you kiss me, fever when you hold me tight
Fever in the the morning, fever all through the night

Sun lights up the daytime, moon lights up the night
I light up when you call my name, and you know I'm gonna treat you right
You give me fever when you kiss me, fever when you hold me tight
Fever in the the morning, fever all through the night

Everybody's got the fever, that is something you all know
Fever isn't such a new thing, fever started long ago
Romeo loved Juliet, Juliet she felt the same
When he put his arms around her, he said ""Julie baby you're my flame""

Thou givest fever, when we kisseth, fever with thy flaming youth
Fever I'm afire, fever yea I burn forsooth
Captain Smith and Pocahontas had a very mad affair
When her Daddy tried to kill him, she said ""daddy-o don't you dare""

Give me fever with his kisses, fever when he holds me tight
Fever I'm his Missus, Oh daddy won't you treat him right

Now you've listened to my story, here's the point I have made:
Chicks were born to give you fever, be it Fahrenheit or Centigrade
They give you fever when you kiss them, fever if you live and learn
Fever till you sizzle, what a lovely way to burn
What a lovely way to burn
What a lovely way to burn",/lyric/6053477/Michael+Bubl%C3%A9/Fever,"['Vocal', 'Pop/Rock', 'Jazz']",3:52,"['smooth', 'stylish', 'confident', 'dramatic', 'sophisticated', 'swaggering', 'theatrical', 'brassy']",Fever,https://www.allmusic.com/song/fever-mt0007509391
