,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,Tori Amos,cathartic,Boys for Pele,/album/boys-for-pele-mw0000179033,"Muhammad my friend
It's time to tell the world
We both know it was a girl
Back in Bethlehem
And on that fateful day
When she was crucified
She wore Shiseido Red
And we drank tea by her side

Sweet sweet
Used to be so sweet to me

Muhammad my friend
I'm getting very scared
Teach me how to love
My brothers who don't know the law
And what about the deal
On the flying trapeze
Got a peanut butter hand
But honey do drop in
At the Dew Drop Inn

Sweet sweet
Between the boys and the bees

Moses I know
I know you've seen the fire
But you've never seen fire
Until you've seen Pele blow
And I've never seen light
But I sure have seen gold
And Gladys save a place for me on your grapevine
Till I get my own TV show
Ashre ashre ashre ashre
And if I lose my Cracker Jacks at the tidal wave
I got a place in the Pope's rubber robe

Muhammad my friend
It's time to tell the world
We both know it was a girl
Back in Bethlehem",/lyric/1577114/Tori+Amos/Muhammad+My+Friend,['Pop/Rock'],3:49,"['bittersweet', 'cathartic', 'intimate', 'poignant', 'reflective', 'dramatic', 'springlike', 'sprawling']",Muhammad My Friend,https://www.allmusic.com/song/muhammad-my-friend-mt0050959486
1,John Lennon,cathartic,Imagine,/album/imagine-mw0000198860,"You can shine your shoes and wear a suit
You can comb your hair and look quite cute
You can hide your face behind a smile
One thing you can't hide
Is when you're crippled inside

You can wear a mask and paint your face
You can call yourself the human race
You can wear a collar and a tie
One thing you can't hide
Is when you're crippled inside

Well now you know that your
Cat has nine lives
Nine lives to itself
But you only got one
And a dog's life ain't fun
Momma take a look outside

You can go to church and sing a hymn
You can judge me by the color of my skin
You can live a lie until you die
One thing you can't hide
Is when you're crippled inside

Well now you know that your
Cat has nine lives
Nine lives to itself
But you only got one
And a dog's life ain't fun
Momma take a look outside

You can go to church and sing a hymn
Judge me by the color of my skin
You can live a lie until you die
One thing you can't hide
Is when you're crippled inside

One thing you can't hide
Is when you're crippled inside
One thing you can't hide
Is when you're crippled inside",/lyric/21194099/John+Lennon/Crippled+Inside,['Pop/Rock'],3:49,"['rollicking', 'quirky', 'earthy', 'confrontational', 'cathartic']",Crippled Inside,https://www.allmusic.com/song/crippled-inside-mt0032005711
2,John Lennon,cathartic,Imagine,/album/imagine-mw0000198860,"I was dreaming of the past
And my heart was beating fast
I began to lose control
I began to lose control
I didn't mean to hurt you
I'm sorry that I made you cry
Oh my I didn't want to hurt you
I'm just a jealous guy

I was feeling insecure
You might not love me anymore
I was shivering inside
I was shivering inside
Oh I didn't mean to hurt you
I'm sorry that I made you cry
Oh my I didn't want to hurt you
I'm just a jealous guy

I didn't mean to hurt you
I'm sorry that I made you cry
Oh my I didn't want to hurt you
I'm just a jealous guy

I was trying to catch your eyes
Thought that you was trying to hide
I was swallowing my pain
I was swallowing my pain
I didn't mean to hurt you
I'm sorry that I made you cry
Oh no I didn't want to hurt you
I'm just a jealous guy
Watch out baby I'm just a jealous guy
Look out baby I'm just a jealous guy",/lyric/3403162/John+Lennon/Jealous+Guy,['Pop/Rock'],4:14,"['warm', 'weary', 'acerbic', 'bitter', 'cathartic', 'passionate', 'poignant', 'reflective']",Jealous Guy,https://www.allmusic.com/song/jealous-guy-mt0010987916
3,John Lennon,cathartic,Imagine,/album/imagine-mw0000198860,"You gotta live
You gotta love
You gotta be somebody
You gotta shove
But it's so hard, it's really hard
Sometimes I feel like going down

You gotta eat
You gotta drink
You gotta feel something
You gotta worry
But it's so hard, it's really hard
Sometimes I feel like going down

But when it's good
It's really good
And when I hold you in my arms baby
Sometimes I feel like going down

You gotta run
You gotta hide
You gotta keep your woman satisfied
But it's so hard, it's really hard
Sometimes I feel like going down",/lyric/35458593/John+Lennon/It%27s+So+Hard+%5BTake+11%5D+%5BTake%5D,['Pop/Rock'],2:27,"['cathartic', 'rollicking', 'earthy', 'confrontational', 'self-conscious']",It's So Hard,https://www.allmusic.com/song/its-so-hard-mt0010995896
4,John Lennon,cathartic,Imagine,/album/imagine-mw0000198860,"Well, I don't want to be a soldier mama, I don't want to die
Well, I don't want to be a sailor mama, I don't want to fly
Well, I don't want to be a failure mama, I don't want to cry
Well, I don't want to be a soldier mama, I don't want to die
Oh no, oh no, oh no, oh no

Well, I don't want to be a rich man mama, I don't want to cry
Well, I don't want to be a poor man mama, I don't want to fly
Well, I don't want to be a lawyer mama, I don't want to lie
Well, I don't want to be a soldier mama, I don't want to die
Oh no, oh no, oh no, oh no, hey

Well, I don't want to be a soldier mama, I don't want to die
Well, I don't want to be a thief now mama, I don't want to fly
Well, I don't want to be a churchman mama, I don't want to cry
Well, I don't want to be a soldier mama, I don't want to die
Oh no, oh no, oh no, oh no, oh no, hey

Oh well, I don't want to be a soldier mama, I don't want to die
Well, I don't want to be a sailor mama, I don't want to fly
Well, I don't want to be a failure mama, I don't want to cry
I don't want to be a soldier mama, I don't want to die
Oh no, oh no, oh no, oh no, oh no",/lyric/3403164/John+Lennon/I+Don%27t+Wanna+Be+a+Soldier,['Pop/Rock'],6:08,"['cathartic', 'angst-ridden', 'anguished/distraught', 'confrontational', 'earthy', 'self-conscious']",I Don't Wanna Be a Soldier,https://www.allmusic.com/song/i-dont-wanna-be-a-soldier-mt0010997052
5,John Lennon,cathartic,Imagine,/album/imagine-mw0000198860,"So Sgt. Pepper took you by surprise
You better see right through that mother's eyes
Those freaks was right when they said you was dead
The one mistake you made was in your head

Ah, how do you sleep
Ah, how do you sleep at night

You live with straights who tell you, you was king
Jump when your momma tell you anything
The only thing you done was yesterday
And since you're gone you're just another day

Ah, how do you sleep
Ah, how do you sleep at night

Ah, how do you sleep
Ah, how do you sleep at night

A pretty face may last a year or two
But pretty soon they'll see what you can do
The sound you make is muzak to my ears
You must have learned something in all those years

Ah, how do you sleep
Ah, how do you sleep at night",/lyric/21194093/John+Lennon/How+Do+You+Sleep%3F,['Pop/Rock'],5:36,"['angry', 'literate', 'acerbic', 'bitter', 'cathartic', 'hostile', 'passionate', 'reflective']",How Do You Sleep?,https://www.allmusic.com/song/how-do-you-sleep-mt0011009629
6,R.E.M.,cathartic,Complete Rarities I.R.S.,/album/complete-rarities-irs-1982-1987-mw0002657858,"A public service Announcement followed me home the other day
I paid it never mind
Go away
Shit so thick you could stir it with a stick- free Teflon whitewashed presidency
We're sick of being jerked around
Wear that on your sleeve

Broadcast me a joyful noise unto the times, Lord
Count your blessings
We're sick of being jerked around
We all fall down

Have you ever seen the televised St. Vitus Subcommittee Prize
Investigation dance? Those-ants-in-pants glances
Well, look behind the eyes
It's a hallowed, hollow anesthetized
""Save my own ass, screw these guys""
Smoke and mirror lock down

Broadcast me a joyful noise unto the times, Lord
Count your blessings
The papers wouldn't lie!
I sigh
Not one more

It's been a bad day
Please don't take a picture
It's been a bad day
Please

It's been a bad day
Please don't take a picture
It's been a bad day
Please

We're dug in the deep, the price is steep
The auctioneer is such a creep
The lights went out, the oil ran dry
We blamed it on the other guy
Sure, all men are created equal
Here's the church, here's the steeple
""Please stay tuned - we cut to sequel""
Ashes to ashes, we all fall down

Broadcast me a joyful noise unto the times, Lord
Count your blessings
Ignore the lower fears
Oh, this means war

It's been a bad day
Please don't take a picture
It's been a bad day
Please

It's been a bad day
Please don't take a picture
It's been a bad day
Please

Broadcast me a joyful noise unto the times, Lord
Count your blessings
We're sick of being jerked around
We all fall down

It's been a bad day
Please don't take a picture
It's been a bad day
Please

It's been a bad day
Please don't take a picture
It's been a bad day
Please

It's been a bad day
Please don't take a picture
It's been a bad day
Please

It's been a bad day
Please don't take a picture
It's been a bad day
Please",/lyric/6739286/R.E.M./Bad+Day+%5BMultimedia+Track%5D,['Pop/Rock'],3:03,"['atmospheric', 'enigmatic', 'intimate', 'melancholy', 'autumnal', 'brooding', 'cathartic', 'literate']",Bad Day,https://www.allmusic.com/song/bad-day-mt0049181299
7,R.E.M.,cathartic,Complete Rarities I.R.S.,/album/complete-rarities-irs-1982-1987-mw0002657858,"The time to rise has been engaged
You're better best to rearrange
I'm talking here to me alone
I listen to the finest work song
Your finest hour, your finest hour

Another chance has been engaged
To throw Thoreau and rearrange
You are following this time
I beg you not, beg to rhyme (blow your horn)
Your finest hour (blow your horn), your finest hour

Take your instinct by the reins
Your better best to rearrange
What we want and what we need
Has been confused been confused (blow your horn)
Your finest hour (blow your horn), your finest hour

Take your instinct by the reins
Better best to rearrange
What we want and what we need
Has been confused been confused (blow your horn)
Your finest hour (blow your song)
Your finest hour (blow your horn)
Your finest hour (blow your song)
Your finest hour",/lyric/1637820/R.E.M./Finest+Worksong+%5BOther+Mix%5D,['Pop/Rock'],3:46,"['aggressive', 'cathartic', 'earnest', 'angry', 'fiery', 'literate', 'raucous', 'outraged']",Finest Worksong [Other Mix],https://www.allmusic.com/song/finest-worksong-other-mix-mt0049181311
8,R.E.M.,cathartic,Complete Rarities I.R.S.,/album/complete-rarities-irs-1982-1987-mw0002657858,"This one goes out to the one I love
This one goes out to the one I've left behind
A simple prop to occupy my time
This one goes out to the one I love

Fire (she's comin' down on her own, now)
Fire (she's comin' down on her own, now)

This one goes out to the one I love
This one goes out to the one I've left behind
A simple prop to occupy my time
This one goes out to the one I love

Fire (she's comin' down on her own, now)
Fire (she's comin' down on her own, now)

This one goes out to the one I love
This one goes out to the one I've left behind
Another prop has occupied my time
This one goes out to the one I love

Fire (she's comin' down on her own, now)
Fire (she's comin' down on her own, now)
Fire (she's comin' down on her own, now)
Fire (she's comin' down on her own, now)",/lyric/1637830/R.E.M./The+One+I+Love+%5BLive%5D,['Pop/Rock'],4:07,"['atmospheric', 'detached', 'enigmatic', 'intimate', 'bittersweet', 'cathartic', 'freewheeling', 'literate']",The One I Love [Live],https://www.allmusic.com/song/the-one-i-love-live-mt0049181314
9,R.E.M.,cathartic,"Part Lies, Part Heart,…",/album/part-lies-part-heart-part-truth-part-garbage-1982-2011-mw0002232417,"The time to rise has been engaged
You're better best to rearrange
I'm talking here to me alone
I listen to the finest work song
Your finest hour, your finest hour

Another chance has been engaged
To throw Thoreau and rearrange
You are following this time
I beg you not, beg to rhyme (blow your horn)
Your finest hour (blow your horn), your finest hour

Take your instinct by the reins
Your better best to rearrange
What we want and what we need
Has been confused been confused (blow your horn)
Your finest hour (blow your horn), your finest hour

Take your instinct by the reins
Better best to rearrange
What we want and what we need
Has been confused been confused (blow your horn)
Your finest hour (blow your song)
Your finest hour (blow your horn)
Your finest hour (blow your song)
Your finest hour",/lyric/3066713/R.E.M./Finest+Worksong,['Pop/Rock'],3:49,"['aggressive', 'cathartic', 'earnest', 'angry', 'fiery', 'literate', 'raucous', 'outraged']",Finest Worksong,https://www.allmusic.com/song/finest-worksong-mt0042665439
