,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,Charles Mingus,circular,East Coasting,/album/east-coasting-mw0000188431,"Waking skies at sunrise
Every sunset too
Seems to be bringing me
Memories of you

Here and there, everywhere
Scenes that we once knew
And they all just recall
Memories of you

How I wish, I could forget those
Those happy yesteryears
That have left a rosary of tears

Your face beams in my dreams
'Spite of all I do
Everything seems to bring
Memories of you

And your face beams in my dreams
'Spite of all I do
Everything seems to bring
Memories, just memories of you",/lyric/3102622/Charles+Mingus/Memories+of+You,['Jazz'],4:27,"['circular', 'complex', 'ambitious', 'passionate', 'aggressive', 'fiery', 'intense', 'volatile']",Memories of You,https://www.allmusic.com/song/memories-of-you-mt0003185865
1,Charles Mingus,circular,East Coasting,/album/east-coasting-mw0000188431,"Waking skies at sunrise
Every sunset too
Seems to be bringing me
Memories of you

Here and there, everywhere
Scenes that we once knew
And they all just recall
Memories of you

How I wish, I could forget those
Those happy yesteryears
That have left a rosary of tears

Your face beams in my dreams
'Spite of all I do
Everything seems to bring
Memories of you

And your face beams in my dreams
'Spite of all I do
Everything seems to bring
Memories, just memories of you",/lyric/3102622/Charles+Mingus/Memories+of+You,['Jazz'],4:42,"['circular', 'complex', 'ambitious', 'passionate', 'aggressive', 'fiery', 'intense', 'volatile']",Memories of You,https://www.allmusic.com/song/memories-of-you-mt0008532980
2,Enya,circular,Shepherd Moons,/album/shepherd-moons-mw0000275476,"Eurus
Afer Ventus

So the world goes round and round
With all you ever knew
They say the sky high above
Is Caribbean blue

If every man says all he can
If every man is true
Do I believe the sky above
Is Caribbean blue 

Boreas 
Zephryus 

If all you told was turned to gold
If all you dreamed was new
Imagine sky high above
In Caribbean blue",/lyric/2775752/Enya/Caribbean+Blue,"['New Age', 'Pop/Rock', 'International']",3:59,"['calm/peaceful', 'atmospheric', 'circular', 'complex', 'dreamy', 'elegant', 'ethereal', 'gentle']",Caribbean Blue,https://www.allmusic.com/song/caribbean-blue-mt0007071918
3,Enya,circular,Shepherd Moons,/album/shepherd-moons-mw0000275476,"Eww harlay eyuwee heewah oohah sharlay marc toh cheeteeh woodenuh.
Aran doi dig coh hoh partenuh ooh lee ah ooh harlorh.
Eww harlay eyuwee heewah oohah harlay mwahnee kahah montenah.
Ooh de keewah! Ooh de keewah!
Oohnah li ansai angrass de la ooh hoo lee ah ooh harlorh.

Ahh

Amharc, mn ag obair l ‘s mall san och’,
Ceolann siad ar laetha geal, a bh,
Bealach fada annon ‘s anall a choch’.

Ahh

Eww harlay eyuwee heewah oohah harlay wooneenchi doidig dohtenuh, dohtenuh, dohtenuh
Ooh de keewah!
Woohnah wui an jaeshah woodenuh ooh lee ah ooh harlorh.
Eww harlay eyuwee heewah oohah sharlay marc toh cheeteeh woodenuh.
Ooh de keewah! Ooh de keewah!
Aran doi dig coh hoh partenuh ooh lee ah ooh harlorh.
Ooh, eww harlay eyuwee heewah oohah
Ooh, li ah, kahah montenah.",/lyric/145813/Enya/Ebudae,"['International', 'New Age', 'Pop/Rock']",1:56,"['atmospheric', 'circular', 'complex', 'dreamy', 'elegant', 'gentle', 'hypnotic', 'light']",Ebudae,https://www.allmusic.com/song/ebudae-mt0007069111
4,Enya,circular,Shepherd Moons,/album/shepherd-moons-mw0000275476,"One day, one night, one moment
My dreams could be tomorrow
One step, one fall, one falter
East or west,
Over earth or by ocean
One way to be my journey
This way could be my
Book of days

No day, no night, no moment
Can hold me back from trying
I'll flag, I'll fall, I'll falter
I'll find my day maybe
Far and away
Far and away

One day, one night, one moment
With a dream to be living
One step, one fall, one falter
And a new world that cross a wide ocean
This sway became my journey
This day ends together
Far and away

This day ends together
Far and away
Far and away.",/lyric/45949/Enya/Book+of+Days+%5BFrom+Far+and+Away%5D,"['International', 'New Age', 'Pop/Rock']",2:56,"['atmospheric', 'circular', 'complex', 'dreamy', 'elegant', 'gentle', 'hypnotic', 'light']",Book of Days,https://www.allmusic.com/song/book-of-days-mt0008464604
5,Enya,circular,Shepherd Moons,/album/shepherd-moons-mw0000275476,"I dreamt I dwelt in marble halls
With vassals and serfs at my side,
And of all who assembled within those walls
That I was the hope and the pride.
I had riches all too great to count
And a high ancestral name. 

But I also dreamt which pleased me most
That you loved me still the same,
That you loved me
You loved me still the same,
That you loved me
You loved me still the same.

I dreamt that suitors sought my hand,
That knights upon bended knee
And with vows no maidens heart could withstand,
They pledged their faith to me.
And I dreamt that one of that noble host
Came forth my hand to claim. 

But I also dreamt which charmed me most
That you loved me still the same
That you loved me
You loved me still the same,
That you loved me
You loved me still the same.
",/lyric/469621/Enya/Marble+Halls,"['International', 'New Age', 'Pop/Rock']",3:54,"['atmospheric', 'circular', 'complex', 'dreamy', 'elegant', 'gentle', 'hypnotic', 'light']",Marble Halls,https://www.allmusic.com/song/marble-halls-mt0007007968
6,Enya,circular,Shepherd Moons,/album/shepherd-moons-mw0000275476,"Mare Nubium. Umbriel.
Mare Imbrium. Ariel.
Et itur ad astra.
Et itur ad astra.
Mare Undarum. Io. Vela.

Mirabile dictu. Mirabilia.
Mirabile visu. Mirabilia.
Et itur ad astra.
Et itur ad astra.
Sempervirent. Rosetum.

Afer Ventus. Zephyrus.
Volturnus. Africus.
Et itur ad astra.
Et itur ad astra.
Etesiarum. Eurus. 
 
Suus cuique mos. Suum cuique.
Meus mihi, suus cuique carus.
Mememto, terrigena.
Mememto, vita brevis.
Meus mihi, suus cuique carus.
",/lyric/4388301/Enya/After+Ventus,"['International', 'New Age', 'Pop/Rock']",4:06,"['atmospheric', 'circular', 'dramatic', 'dreamy', 'elegant', 'ethereal', 'gentle', 'hypnotic']",After Ventus,https://www.allmusic.com/song/after-ventus-mt0006893085
7,Enya,circular,Shepherd Moons,/album/shepherd-moons-mw0000275476,"Eist le mo chroi
Go bronach a choich
Ta me cailte gan ta
's do bhean cheile
An gro mor i do shaoil
Threorai si me
Bigi liomsa i gconai
La 's oich",/lyric/2538274/Enya/Smaointe,"['International', 'New Age', 'Pop/Rock']",6:07,"['atmospheric', 'circular', 'dramatic', 'dreamy', 'elegant', 'ethereal', 'gentle', 'hypnotic']",Smaointe,https://www.allmusic.com/song/smaointe-mt0008279890
8,Enya,circular,Watermark,/album/watermark-mw0000198831,"Cursum perficio 
Cursum perficio 
Cursum perficio 
Cursum perficio 
Cursum perficio 

Verbum sapienti (eo plus cupiunt) 
Verbum sapienti 
Quo plus habent, eo plus cupiunt 
Verbum sapienti 
Quo plus habent, eo plus cupiunt 

Post nubila, Phoebus 
Post nubila, Phoebus 
Post nubila, Phoebus 

Quo plus habent, eo plus cupiunt 
Quo plus habent, eo plus cupiunt 
Quo plus habent, eo plus cupiunt 

Post nubila, Phoebus 
Post nubila, Phoebus 
Post nubila, Phoebus 
Post nubila, Phoebus 
Post nubila, Phoebus 
Post nubila, Phoebus 

Iternum 
Iternum 
Iternum",/lyric/1544554/Enya/Cursum+Perficio,"['International', 'New Age', 'Pop/Rock']",4:06,"['atmospheric', 'circular', 'dramatic', 'dreamy', 'elegant', 'ethereal', 'hypnotic', 'lush']",Cursum Perficio,https://www.allmusic.com/song/cursum-perficio-mt0007207968
9,Enya,circular,Watermark,/album/watermark-mw0000198831,"Strange how my heart beats 
To find myself upon your shore. 
Strange how I still feel 
My loss of comfort gone before. 
Cool waves wash over 
And drift away with dreams of youth 
So time is stolen 
I cannot hold you long enough. 
And so this is where I should be now 

Days and nights falling by 
Days and nights falling by me. 
I know of a dream I should be holding 
Days and nights falling by 
Days and nights falling by me. 

Cool waves wash over 
And drift away with reams of youth 
So time is stolen 
I cannot hold you long enough. 
Soft blue horizons 
Reach far into my childhood days 
As you are rising 
To bring me my forgotten ways 

Strange how I falter 
To find I'm standing in deep water 
Strange how my heart beats 
To find I'm standing on your shore 
",/lyric/1544555/Enya/On+Your+Shore,"['International', 'New Age', 'Pop/Rock']",3:59,"['atmospheric', 'circular', 'dramatic', 'dreamy', 'elegant', 'ethereal', 'gentle', 'hypnotic']",On Your Shore,https://www.allmusic.com/song/on-your-shore-mt0008403628
10,Enya,circular,Watermark,/album/watermark-mw0000198831,"Cá fhad é ó 
Cá fhad é ó 
Siúl tríd na stoirmeacha. 
Dul tríd na stoirmeacha. 
Cá fhad é ó 
an tús don stoirm. 
Cá fhad é ó 
an tús go deireadh. 

Tóg do Chroí. 
Siúl tríd na stoirmeacha. 
Tóg do chroísa. 
Dul tríd na stoirmeacha. 

Turas mór. 
Tor tríd na Stoirmeacha. 
Turas fada. 
Amharc tríd na Stoirmeacha
",/lyric/1162061/Enya/Storms+in+Africa,"['International', 'New Age', 'Pop/Rock']",4:03,"['atmospheric', 'circular', 'dramatic', 'dreamy', 'elegant', 'ethereal', 'gentle', 'hypnotic']",Storms in Africa,https://www.allmusic.com/song/storms-in-africa-mt0006921787
11,Enya,circular,Watermark,/album/watermark-mw0000198831,"Cold as the northern winds
in December mornings,
Cold is the cry that rings
from this far distand shore.


Winter has come too late
too close beside me.
How can I chase away
all these fears deep inside?


I'll wait the signs to come.
I'll find a way
I will wait the time to come.
I'll find a way home.


My light shall be the moon
and my path - the ocean.
My guide the morning star
as I sail home to you.


I'll wait the signs to come.
I'll find a way.
I will wait the time to come.
I'll find a way home.


Who then can warm my soul?
Who can quell my passion?
Out of these dreamsQa boat
I will sail home to you. ",/lyric/1538531/Enya/Exile+%5BFrom+L.A.+Story%5D,"['International', 'New Age', 'Pop/Rock']",4:20,"['atmospheric', 'circular', 'dramatic', 'dreamy', 'elegant', 'ethereal', 'gentle', 'hypnotic']",Exile,https://www.allmusic.com/song/exile-mt0008412251
12,Enya,circular,Watermark,/album/watermark-mw0000198831,"Let me sail, let me sail,
Let the Orinoco Flow,
Let me reach, let me beach
On the shores of Tripoli.
Let me sail, let me sail,
Let me crash upon your shore,
Let me reach, let me beach
Far beyond the Yellow Sea.

Sail away, sail away, sail away. [Repeat: x4]

From Bissau to Palau, in the shade of Avalon,
From Fiji to Tiree and the Isles of Ebony,
From Peru to Cebu hear the power of Babylon,
From Bali to Cali, far beneath the Coral Sea.

Turn it up, turn it up, turn it up, up, adieu. Oh. [Repeat: x3]

Sail away, sail away, sail away. [Repeat: x4]

From the North to the South, Ebudæ into Khartoum,
From the deep sea of Clouds to the island of the moon,
Carry me on the waves to the lands I've never been,
Carry me on the waves to the lands I've never seen.
We can sail, we can sail with the Orinoco Flow,
We can sail, we can sail.
(Sail away, sail away, sail away)

We can steer, we can near
With Rob Dickins at the wheel,
We can sigh, say goodbye Ross and his dependencies
We can sail, we can sail
(Sail away, sail away, sail away)

We can reach, we can beach,
On the shores of Tripoli,
We can sail, we can sail
(Sail away, sail away, sail away)
From Bali to Cali, far beneath the Coral Sea,
We can sail, we can sail
(Sail away, sail away, sail away)
From Bissau to Palau, in the shade of Avalon,
We can sail, we can sail
(Sail away, sail away, sail away)
We can reach, we can beach,
Far beyond the Yellow Sea,
We can sail, we can sail
(Sail away, sail away, sail away)
From Peru to Cebu hear the power of Babylon,
We can sail, we can sail.
(Sail away, sail away, sail away)
We can sail, we can sail.

Sail away, sail away, sail away. [Repeat: x5]",/lyric/547697/Enya/Orinoco+Flow,"['International', 'New Age', 'Pop/Rock']",4:25,"['atmospheric', 'circular', 'complex', 'dreamy', 'elegant', 'gentle', 'hypnotic', 'light']",Orinoco Flow,https://www.allmusic.com/song/orinoco-flow-mt0008384255
13,Enya,circular,Watermark,/album/watermark-mw0000198831,"When the evening falls 
And the daylight is fading,
From within me calls
Could it be I am sleeping?
For a moment I stray, 
Then it holds me completely
Close to home - I cannot say
Close to home feeling so far away

As I walk the room there before me a shadow
From another world, where no other can follow
Carry me to my own, to where I can cross over
Close to home - I cannot say
Close to home feeling so far away

Forever searching; never right,
I am lost in oceans of night. 
Forever hoping I can find memories
Those memories I left behind

Even though I leave will I go on believing
That this time is real - am I lost in this feeling?
Like a child passing through, 
Never knowing the reason
I am home - I know the way
I am home - feeling oh, so far away
",/lyric/28797941/Enya/Evening+Falls..,"['International', 'New Age', 'Pop/Rock']",3:46,"['atmospheric', 'circular', 'dramatic', 'dreamy', 'elegant', 'ethereal', 'gentle', 'hypnotic']",Evening Falls,https://www.allmusic.com/song/evening-falls-mt0006946756
