,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,Phil Collins,earnest,Face Value,/album/face-value-mw0000189462,"It must be love, I'm feeling
This must be love
Oh this must be love, I'm feeling
This must be love

Well I wait in every day, just in case
You decide to call
And I can hardly wait
'Cause I never thought time could pass so slowly 

It must be love, I'm feeling
This must be love
Oh this must be love, I'm feeling
This must be love 

Happiness is something I never thought I'd feel again,
But now I know, oh
It's you that I've been looking for
And day by day more and more
Well, I know what you think, you've heard it before
Don't tell me I know
But this feeling inside my heart
You know I'm never letting go
'Cause I think that

It must be love, I'm feeling
This must be love
Oh this must be love, I'm feeling
This must be love

Words can only say so much
It's hard to express, oh
The things you do to me
You're everything I could've ever dreamed you'd be and

This must be love, I'm feeling
This must be love, oh
This must be love, I'm feeling
This must be love

This must be love, I'm feeling
This must be love, oh
This must be love, I'm feeling
This must be love, oh

This must be love, I'm feeling
This must be love, oh
This must be love, I'm feeling
This must be love",/lyric/2016225/Phil+Collins/This+Must+Be+Love,['Pop/Rock'],3:56,"['delicate', 'earnest', 'gentle', 'intimate', 'nocturnal', 'refined', 'reflective', 'sensual']",This Must Be Love,https://www.allmusic.com/song/this-must-be-love-mt0012495229
1,Phil Collins,earnest,Face Value,/album/face-value-mw0000189462,"The roof is leaking and the wind is howling
Kids are crying 'cause the sheets are so cold
Woke this morning found my hands were frozen
I've tried to fix the fire, but you know the damn thing's too old 

It's been months now, since we heard from our Mary,
I wonder if she ever made the coast
Well, she and her young man, they both moved out there
I sure hope they write, just to let us know 

And me, I'm getting stronger by the minute
My wife's expecting, but I hope she can wait
'Cause this winter looks like it's gonna be another bad one
But spring'll soon be here,
Oh God I hope it's not late

Ma and pa lived here, and theirs before them
They tried their hardest to make it a home
Seems so long now since they passed over
Hope my children'll try to make it their own

The roof is leaking and the wind is howling
The kinds are crying, 'cause the sheets are so cold
Woke this morning found my hands were frozen
Oh, I've tried to fix the fire, but you know the damn thing's too old 

But me oh, I'm getting stronger by the minute
My wife's expecting, but I hope she can wait
'Cause this winter looks like it's gonna be another bad one
But spring'll soon be here,
Oh, God I hope it's not late",/lyric/30908490/Phil+Collins/The+Roof+Is+Leaking+%28Nicka%E2%80%99s+Stella+Polaris+Interpretation%29,['Pop/Rock'],3:18,"['earnest', 'intimate', 'nocturnal', 'refined', 'sensual', 'smooth', 'soothing', 'warm']",The Roof Is Leaking,https://www.allmusic.com/song/the-roof-is-leaking-mt0012481888
2,Phil Collins,earnest,Face Value,/album/face-value-mw0000189462,"Just as I thought I'd make it
You walk back into my life
Just like you never left 

Just as I'd learned to be lonely
You call up to tell me
You're not sure if you're ready
Oh, but ready or not, you'll take what you've got and leave 

Oh, leave me alone with my heart
I'm putting the pieces back together again
Just leave, leave me alone with my dreams
I can do without you, know what I mean

I wish I could write a love song
To show you the way I feel
Seems you don't like to listen
Oh but like it or not, take what you've got and you leave 

Oh, leave me alone with my heart
It's broken in two and I'm not, I'm not thinking too straight
Just leave, oh, leave me alone with my dreams
You've taken everything else, you know what I mean",/lyric/2016231/Phil+Collins/You+Know+What+I+Mean,['Pop/Rock'],2:33,"['earnest', 'intimate', 'nocturnal', 'refined', 'sensual', 'smooth', 'warm', 'atmospheric']",You Know What I Mean,https://www.allmusic.com/song/you-know-what-i-mean-mt0012499568
3,Phil Collins,earnest,Face Value,/album/face-value-mw0000189462,"Yeah
Aww
I never ever thought I'd ever get tired of playing games
Ooh, but I've been holding back for too long
Now the time has come I'm gonna get it right
Now's the time to show them all that they're wrong 

Oh oh 'cause they said thunder and they said lightning
It would never strike twice
Oh but if that's true, then why can't you tell me
How come this feels so nice, oh it feels alright 
Feels alright, alright

I never ever did believe in guiding lights
'Cause what you didn't hold, slipped away
Oh but there's a feeling deep down in my shoes
'Cause things look like they're going my way 

Ah ha, 'cause they say thunder and they say lightning
It would never strike twice
Oh but if that's true, then why can't you tell me
How come this feels so nice, so nice, it feels alright 

Yeah
Oh
I never ever did believe in a second chance
You get, just one crack of the whip, that's all
If you played the game, you got treated right
Oh, but I'm not playing the game, no more

Ah ho, and they say thunder and they say lightning
It would never strike twice
Oh, but if that's true, then why can't you tell me
How come this feels so nice
Ah ho, and they say thunder and they say lightning
It would never strike twice
Oh, but if that's true, then why can't you tell me
How come this feels so nice
So nice
When they say thunder, they say lightning
It would never strike twice",/lyric/2016232/Phil+Collins/Thunder+and+Lightning,['Pop/Rock'],4:13,"['earnest', 'intimate', 'nocturnal', 'refined', 'sensual', 'smooth', 'soothing', 'warm']",Thunder and Lightning,https://www.allmusic.com/song/thunder-and-lightning-mt0012480318
4,Phil Collins,earnest,Face Value,/album/face-value-mw0000189462,"If you feel it do it,
You don't need a reason
For all you know it could be good for you 

To show your feelings (oh)
Ooh, don't just leave them
Do the things you believe in, it's alright
Don't worry turn around (don't worry turn around), I will still be here 

I'm not moving (I'm not going anywhere), don't worry
Are you just trying and push me out (just trying)
No, I'm not moving (I'm not going anywhere)
No, I'm not going anywhere tonight

If you think it, say it (oh)
No-one can stop you
Don't keep quiet, just 'cause you think you ought to
Feel free to shout it loud, speak your mind, spit it out 

Oh, I'm not moving (I'm not going anywhere), don't worry
Are you just trying and push me out (just trying)
No, I'm not moving (I'm not going anywhere), don't worry
Ah, there's no hurry, I just sit it out
So don't worry turn around, I will still be here

If it hurts don't do it (oh)
'Cause no-one can take you make you drink
And no-one can tell you what you think
Remember if your spirit starts to sink
Don't you worry turn around, I will still be here",/lyric/2016233/Phil+Collins/I%27m+Not+Moving,['Pop/Rock'],2:35,"['earnest', 'intimate', 'nocturnal', 'refined', 'sensual', 'smooth', 'soothing', 'warm']",I'm Not Moving,https://www.allmusic.com/song/im-not-moving-mt0028648075
5,Phil Collins,earnest,Face Value,/album/face-value-mw0000189462,"I read all the letters, I read each word that you've sent to me
And though it's past now, and the words start to fade
All the memories I have still remain

I've kept all the pictures, but I hide my feelings so no-one knows
Oh sure my friends all come round, but I'm in a crowd on my own
It's 'cause you're gone now, but your heart, still remains
And it'll be here if you come again

You see, I'd heard the rumors, I knew before you let me know
But I didn't believe it, not you,
No you would not let me go
Seems I was wrong, but I love, I love you the same
And that's the one thing that you can't take away but just remember

If leaving me is easy,
And you know, coming back is harder

And leaving me is easy
And you know, coming back is harder

And leaving me is easy
And you know, coming back is harder

And leaving me is easy
And you know, coming back is harder

And leaving me is easy
And you know, coming back is harder

And leaving me is easy
And you know, coming back is harder

And leaving me is easy
And you know, coming back is harder",/lyric/2016234/Phil+Collins/If+Leaving+Me+Is+Easy,['Pop/Rock'],4:55,"['delicate', 'earnest', 'gentle', 'intimate', 'nocturnal', 'refined', 'reflective', 'sensual']",If Leaving Me Is Easy,https://www.allmusic.com/song/if-leaving-me-is-easy-mt0028586408
6,Phil Collins,earnest,Face Value,/album/face-value-mw0000189462,"Turn off your mind, relax and float downstream
It is not dying, it is not dying
Lay down all thoughts, surrender to the void
It is shining, oh it is shining
That you may see the meaning of within
It is beginning, oh it is beginning?

That love is all and love is everyone
It is knowing, oh it is knowing
And ignorance and hate may mourn the dead
It is believing, oh it is believing
So play the game, existence to the end
Of the beginning, of the beginning

Of the beginning, of the beginning
Of the beginning, of the beginning
Of the beginning, of the beginning
Of the beginning, of the beginning
Of the beginning, of the beginning
Of the beginning, of the beginning
Of the beginning
Somewhere over the rainbow
Way up high
There's a land that dreamed of once in a lullaby
Okay",/lyric/32190315/Phil+Collins/Tomorrow+Never+Knows,['Pop/Rock'],4:47,"['earnest', 'intimate', 'nocturnal', 'refined', 'sensual', 'smooth', 'soothing', 'warm']",Tomorrow Never Knows,https://www.allmusic.com/song/tomorrow-never-knows-mt0031446556
7,Phil Collins,earnest,The Singles,/album/the-singles-mw0002965123,"Easy lover
She'll get a hold on you believe it
Like no other
Before you know it you'll be on your knees
She's an easy lover
She'll take your heart but you won't feel it
She's like no other
And I'm just trying to make you see

She's the kind of girl you dream of
Dream of keeping hold of
You'd better forget it
You'll never get it
She will play around and leave you
Leave you and deceive you
Better forget it
Oh you'll regret it

No you'll never change her, so leave it, leave it
Get out quick 'cause seeing is believing
It's the only way
You'll ever know

Easy lover
She'll get a hold on you believe it
Like no other
Before you know it you'll be on your knees
She's an easy lover
She'll take your heart but you won't feel it
She's like no other
And I'm just trying to make you see

You're the one that wants to hold her
Hold her and control her
You'd better forget it
You'll never get it
For she'll say there's no other
Till she finds another
Better forget it
Oh you'll regret it

And don't try to change her, just leave it, leave it
You're not the only one, cause seeing is believing
It's the only way
You'll ever know, oh

No don't try to change her, just leave it, leave it
You're not the only one, ooh seeing is believing
It's the only way
You'll ever know, oh

She's an easy lover (she's a easy lover)
She'll get a hold on you believe it (get a hold on you)
(She's) like no other
Before you know it you'll be on your knees (you'll be down on your knees)
She's an easy lover
She'll take your heart but you won't feel it (you won't feel it)
She's like no other
And I'm just trying to make you see (trying to make you see)

She's an easy lover (she's a easy lover)
She'll get a hold on you believe it (get a hold on you)
(She's) like no other
Before you know it you'll be on your knees (you'll be down on your knees)
She's an easy lover
She'll take your heart but you won't feel it (you won't feel it)
She's like no other
And I'm just trying to make you see (trying to make you see)",/lyric/2264677/Phil+Collins/Easy+Lover,"['Pop/Rock', 'R&B;']",5:04,"['bright', 'confident', 'dramatic', 'earnest', 'energetic', 'urgent', 'exuberant', 'sophisticated']",Easy Lover,https://www.allmusic.com/song/easy-lover-mt0053442991
8,Phil Collins,earnest,The Singles,/album/the-singles-mw0002965123,"Well, there was no reason to believe she'd always be there
But if you don't put faith in what you believe in
It's getting you nowhere
'Cos it hurts, you never let go
Don't look down, just look up
Cos she's always there to behind you, just to remind you

Two hearts, believing in just one mind
You know we're two hearts believing in just one mind

'Cos there's no easy way to, to understand it
There's so much of my life in her, and it's like I'm blinded
And it teaches you to never let go
There's so much love you'll never know
She can reach you no matter how far
Wherever you are

Two hearts, believing in just one mind
Beating together till the end of time
You know we're two hearts believing in just one mind
Together forever till the end of time

She knows (she knows)
There'll always be a special place in my heart for her
She knows, she knows, she knows
Yeah, she knows (she knows)
No matter how far apart we are
She knows, I'm always right there beside her

We're two hearts, believing in just one mind
Beating together till the end of time
You know we're two hearts believing in just one mind
Together forever till the end of time

You know we're two hearts believing in just one mind
Together forever, til the end of time
Two hearts two hearts, believing in just one mind
Beating together til the end of time",/lyric/2264679/Phil+Collins/Two+Hearts,['Pop/Rock'],3:24,"['amiable/good-natured', 'bright', 'cheerful', 'confident', 'dramatic', 'earnest', 'energetic', 'exuberant']",Two Hearts,https://www.allmusic.com/song/two-hearts-mt0053442992
9,Phil Collins,earnest,The Singles,/album/the-singles-mw0002965123,"I need love, love
Oh, ease my mind
And I need to find time
Someone to call mine

My mama said, ""you can't hurry love
No, you'll just have to wait""
She said, ""love don't come easy
But it's a game of give and take""
You can't hurry love
No, you'll just have to wait
Just trust in a good time
No matter how long it takes

How many heartaches must I stand
Before I find the love to let me live again
Right now the only thing that keeps me hanging on
When I feel my strength, ooh, it's almost gone

I remember mama said, ""you can't hurry love
No, you'll just have to wait""
She said, ""love don't come easy
It's a game of give and take""
How long must I wait
How much more must I take
Before loneliness
Will cause my heart, heart to break

No, I can't bear to live my life alone
I grow impatient for a love to call my own
But when I feel that i, I can't go on
Well these precious words keep me hanging on

I remember mama said, ""you can't hurry love
No, you'll just have to wait""
She said, ""love don't come easy
But it's a game of give and take""
You can't hurry love
No, you'll just have to wait
Just trust in a good time
No matter how long it takes

Now wait
Now love, love don't come easy
But I keep on waiting
Anticipating for that soft voice
To talk to me at night
For some tender arms
Hold me tight
I keep waiting
Ooh, till that day
But it ain't easy (love don't come easy)
No, you know it ain't easy

My mama said you can't hurry love
No, you'll just have to wait
She said ""love don't come easy
But it's a game of give and take""
You can't hurry love
No, you'll just have to wait
She said ""love don't come easy
But it's a game of give and take""
You can't hurry love, no you'll just have to wait",/lyric/2018489/Phil+Collins/You+Can%27t+Hurry+Love,['Pop/Rock'],2:54,"['amiable/good-natured', 'bright', 'cheerful', 'confident', 'dramatic', 'earnest', 'energetic', 'exuberant']",You Can't Hurry Love,https://www.allmusic.com/song/you-cant-hurry-love-mt0053442997
