,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,PJ Harvey,eerie,White Chalk,/album/white-chalk-mw0000486087,"As soon as I'm left alone
The Devil wanders into my soul
And I pretend to myself
And I pretend to myself

I go out to the old milestone
Insanely expecting you to come there knowing
That I wait for you there
That I wait for you there

Come, come
Come here at once
Come, come
On a night with no moon

Because all of my being
Is now in pining
All of my being
Is now in pining

What finally cheered me
Now seems
Insignificant
Insignificant",/lyric/12186202/PJ+Harvey/The+Devil,['Pop/Rock'],2:55,"['atmospheric', 'eerie', 'spooky', 'weary', 'angst-ridden', 'austere', 'hypnotic', 'intense']",The Devil,https://www.allmusic.com/song/the-devil-mt0016910513
1,PJ Harvey,eerie,White Chalk,/album/white-chalk-mw0000486087,"Dear darkness, dear darkness
Won't you cover, cover me again?
Dear darkness, dear
I've been your friend for many years

Won't you do this for me, dearest darkness?
And cover me from the sun
And though the words tightening
The words are tightening around my throat and, and

Around the throat of the one I love
Tightening, tightening, tightening
Around the throat of the one I love
Tightening, tightening, tightening

Dear darkness, dear darkness
Now it's your time to look after us
?Cause we kept your clothes, we kept your business
When everyone else was having good luck

So now it's your time, time to pay
To pay me and the one I love
With the worldly goods you stashed away
With all the things you took from us",/lyric/12186203/PJ+Harvey/Dear+Darkness,['Pop/Rock'],3:09,"['atmospheric', 'eerie', 'spooky', 'weary', 'angst-ridden', 'austere', 'hypnotic', 'intense']",Dear Darkness,https://www.allmusic.com/song/dear-darkness-mt0016891915
2,PJ Harvey,eerie,White Chalk,/album/white-chalk-mw0000486087,"I sowed a seed
Underneath the oak tree
I trod it in
With my boots I trampled it down

Grow
Grow
Grow

I sowed a rose
Underneath the oak grove
With my boots on the ground
Into the earth I trampled it down

Grow
Grow
Grow

Teach me how to...
Teach me how to...

Teach me, Mommy
How to grow
How to catch someone's fancy
Underneath the twisted oak grove",/lyric/12186204/PJ+Harvey/Grow+Grow+Grow,['Pop/Rock'],3:21,"['atmospheric', 'eerie', 'spooky', 'weary', 'angst-ridden', 'austere', 'hypnotic', 'intense']",Grow Grow Grow,https://www.allmusic.com/song/grow-grow-grow-mt0028178558
3,PJ Harvey,eerie,White Chalk,/album/white-chalk-mw0000486087,"The ceiling is moving
Moving in time
Like a conveyor belt
Above my eyes

When under ether
The mind comes alive
But conscious of nothing
But the will to survive

I lay on the bed
Waist down undressed
Look up at the ceiling
Feeling happiness
Human kindness

The woman beside me
Is holding my hand
I point at the ceiling
She smiles so kind

Something's inside me
Unborn and unblessed
Disappears in the ether
This world to the next

Disappears in the ether
One world to the next
Human kindness",/lyric/12186205/PJ+Harvey/When+Under+Ether,['Pop/Rock'],2:22,"['atmospheric', 'eerie', 'spooky', 'weary', 'angst-ridden', 'austere', 'hypnotic', 'intense']",When Under Ether,https://www.allmusic.com/song/when-under-ether-mt0016888808
4,PJ Harvey,eerie,White Chalk,/album/white-chalk-mw0000486087,"White chalk hills are all I've known
White chalk hills will rot my bones
White chalk sticking to my shoes
White chalk playing as a child with you

White chalk stands against time
White chalk cutting down the sea at Lyme
I walk families by the Cerne
On a path cut fifteen hundred years ago

And I know
These chalk hills will rot my bones

Dorset's cliffs meet at the sea
Where I walked our unborn child in me
White chalk, gorse-scattered land
Scratched my palms, there's blood on my hands",/lyric/12186206/PJ+Harvey/White+Chalk,['Pop/Rock'],3:07,"['atmospheric', 'eerie', 'spooky', 'weary', 'angst-ridden', 'austere', 'hypnotic', 'intense']",White Chalk,https://www.allmusic.com/song/white-chalk-mt0016906876
5,PJ Harvey,eerie,White Chalk,/album/white-chalk-mw0000486087,"Please don't reproach me
For, for how empty
My life has become

I don?t know what really happened
I watched your disappointment
At being misunderstood
I forgive you

Oh, something metal
Tearing my stomach out
If you think ill of me

Can you, can you forgive me?
Forgive me
Can you, can you forgive me
Too, too?

I tried to learn your language
But fell asleep half-undressed
Unrecognizable to myself",/lyric/12186207/PJ+Harvey/Broken+Harp,['Pop/Rock'],1:57,"['atmospheric', 'eerie', 'spooky', 'weary', 'angst-ridden', 'austere', 'hypnotic', 'intense']",Broken Harp,https://www.allmusic.com/song/broken-harp-mt0028932809
6,PJ Harvey,eerie,White Chalk,/album/white-chalk-mw0000486087,"All those places
Where I recall
The memories that grip me
And pin me down

I go to these places
Intending to think
And think of nothing
But anticipate

Somehow expect you'll
Find me there
That by some miracle
You'd be aware

I'd risen this morning
Intending to break
The spell, my longing
Not to think

I freed myself from my family
I freed myself from work
I freed myself, I freed myself
And remained alone

And in my thinking
Steal you away
Though you never wanted me
Anyway

Silence, silence
Silence, silence
Silence, silence
Silence, silence",/lyric/12186208/PJ+Harvey/Silence,['Pop/Rock'],3:05,"['atmospheric', 'eerie', 'spooky', 'weary', 'angst-ridden', 'austere', 'hypnotic', 'intense']",Silence,https://www.allmusic.com/song/silence-mt0028033272
7,PJ Harvey,eerie,White Chalk,/album/white-chalk-mw0000486087,"Oh, Grandmother
How I miss you
Under the earth
Wish I was with you

To talk to you
To talk to you

I found somebody
Tried to give myself to
Many a times
I wanted to talk to you

If I laid on the earth
Could you hear?

Oh, Grandmother
I?m so lonely
All my life

If I laid on the earth
Could you hear?
If I lay
Mary",/lyric/12186209/PJ+Harvey/To+Talk+to+You,['Pop/Rock'],4:00,"['atmospheric', 'eerie', 'spooky', 'weary', 'angst-ridden', 'austere', 'hypnotic', 'intense']",To Talk to You,https://www.allmusic.com/song/to-talk-to-you-mt0029787692
8,PJ Harvey,eerie,White Chalk,/album/white-chalk-mw0000486087,"Hit her with a hammer
Teeth smashed in
Red tongues twitching
Look inside a skeleton

My fingers sting
Where I feel your fingers have been
Ghostly fingers
Moving my limbs

Oh God, I miss you
Oh God, I miss you
Oh God, I miss you
Oh God, I miss you
Oh God, I miss you

Daddy's in the corner
Rattling his keys
Mummy's in the doorway
Trying to leave

Nobody's listening
Nobody's listening
Nobody's listening

Oh God, I miss you
Oh God, I miss you
Oh God, I miss you",/lyric/12186210/PJ+Harvey/The+Piano,['Pop/Rock'],2:36,"['atmospheric', 'eerie', 'spooky', 'weary', 'angst-ridden', 'austere', 'hypnotic', 'intense']",The Piano,https://www.allmusic.com/song/the-piano-mt0016896722
9,PJ Harvey,eerie,White Chalk,/album/white-chalk-mw0000486087,"Farewell, my friends
Farewell, my dear ones
If I was rude
Forgive my weakness

Goodbye, my friends
Goodbye to evening parties
Remember me
In the spring

To work for your bread
Soon you must leave
Remember your families
And work for your children

I don't need much
And the older I become
I realize
My friendships

Will carry me over
In a course of distance
In a cause of sorrow
Friends that last

Will dance one more time
With me
I don't need much
But this I need",/lyric/12186211/PJ+Harvey/Before+Departure,['Pop/Rock'],3:45,"['atmospheric', 'eerie', 'spooky', 'weary', 'angst-ridden', 'austere', 'hypnotic', 'intense']",Before Departure,https://www.allmusic.com/song/before-departure-mt0032816363
