,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,Ramones,exuberant,Road to Ruin,/album/road-to-ruin-mw0000004996,"I heard about the Ester bunny
Presents under a Christmas tree
It was dreaming and fantasy
There was no Mom or Daddy

I wanted everything
I wanted everything
I wanted everything

I had the world on my shoulder
But I was getting older
Knew I was ready for it
Some kind of envelopment

I wanted everything
I wanted everything
I wanted everything

All day working on a truck
Bringing the groceries up
Not much of a salary
No tip for the delivery

I wanted everything
I wanted everything
I wanted everything

There's no success for me
Involved in a robbery
There's money in the supermarket
And I'm goin' after it

I wanted everything
I wanted everything
I wanted everything

I wanted everything
I wanted everything
(7x)",/lyric/2731593/Ramones/I+Wanted+Everything,['Pop/Rock'],3:18,"['boisterous', 'energetic', 'exuberant', 'irreverent', 'reckless', 'swaggering', 'celebratory', 'playful']",I Wanted Everything,https://www.allmusic.com/song/i-wanted-everything-mt0011405667
1,Ramones,exuberant,Road to Ruin,/album/road-to-ruin-mw0000004996,"Twenty twenty twenty four hours to go
I wanna be sedated
Nothing to do, no where to go o,
I wanna be sedated

Just get me to the airport, put me on a plane
Hurry hurry hurry, before I go insane
I can't control my fingers, I can't control my brain
Oh no oh oh oh oh

Twenty twenty twenty four hours to go
I wanna be sedated
Nothing to do, no where to go o,
I wanna be sedated

Just put me in a wheelchair, get me on a plane
Hurry hurry hurry, before I go insane
I can't control my fingers, I can't control my brain
Oh no oh oh oh oh

Twenty twenty twenty four hours to go
I wanna be sedated
Nothing to do, no where to go o,
I wanna be sedated

Just put me in a wheelchair, get me to the show
Hurry hurry hurry, before I go loco
I can't control my fingers, I can't control my toes
Oh no oh oh oh oh

Twenty twenty twenty four hours to go
I wanna be sedated
Nothing to do, no where to go o,
I wanna be sedated

Just put me in a wheelchair, get me to the show
Hurry hurry hurry, before I go loco
I can't control my fingers, I can't control my toes
Oh no oh oh oh oh

Ba ba baba, baba ba baba, I wanna be sedated
Ba ba baba, baba ba baba, I wanna be sedated
Ba ba baba, baba ba baba, I wanna be sedated
Ba ba baba, baba ba baba, I wanna be sedated",/lyric/889760/Ramones/I+Wanna+Be+Sedated,"['Pop/Rock', 'Electronic']",2:29,"['boisterous', 'energetic', 'exuberant', 'irreverent', 'swaggering', 'celebratory', 'reckless', 'playful']",I Wanna Be Sedated,https://www.allmusic.com/song/i-wanna-be-sedated-mt0011397129
2,Ramones,exuberant,Road to Ruin,/album/road-to-ruin-mw0000004996,"I used to be an A student
I never used to complain
I used to be a truant
But I'm still the same

Bad bad brain
Bad bad brain

I used to go to parties
I used to drink champagne
Now I'm beginning to feel the strain

Bad bad brain
Bad bad brain

I used to be in show biz
I used to have fortune and fame
I used to have pleasure and pain
I used to have a name

Bad bad brain
Bad bad brain

Now I'm on the Bowery
I can't remember my name

Bad bad brain
Bad bad brain",/lyric/2731602/Ramones/Bad+Brain,['Pop/Rock'],2:25,"['boisterous', 'energetic', 'exuberant', 'irreverent', 'reckless', 'swaggering', 'celebratory', 'playful']",Bad Brain,https://www.allmusic.com/song/bad-brain-mt0011378886
3,Ramones,exuberant,Road to Ruin,/album/road-to-ruin-mw0000004996,"You by the phone
Are you all alone?
It's a long way back to Germany
It's a long way back to Germany",/lyric/2731603/Ramones/It%27s+a+Long+Way+Back,['Pop/Rock'],2:20,"['boisterous', 'energetic', 'exuberant', 'irreverent', 'reckless', 'swaggering', 'celebratory', 'playful']",It's a Long Way Back,https://www.allmusic.com/song/its-a-long-way-back-mt0033331942
4,Tina Turner,exuberant,Private Dancer,/album/private-dancer-mw0000196120,"Let me say since, babe
Since we've been together
Ooo loving you forever
Is all I need
Let me be the one you come running to
I'll never be untrue, oh baby

Let's, let's stay together
Loving you whether, whether
Times are good or bad, happy or sad

I'm so in love with you
Whatever you want to do
Is alright with me
Let me be the one you come running to
I'll never be untrue, oh baby

Let's, let's stay together
Loving you whether, whether
Times are good or bad, happy or sad

Why, oh tell me, why do people break up
Oh then turn around and make up
I just came to see
You'd never do that to me, would you baby?
'Cause being around you is all I see

So baby, let's, we oughta together
Loving you whether, whether
Times are good or bad, happy or sad

Let's, ooo, stay together
Loving you whether, whether
Times are good or bad, happy or sad",/lyric/1288689/Tina+Turner/Let%27s+Stay+Together,"['Pop/Rock', 'R&B;']",5:16,"['amiable/good-natured', 'bright', 'calm/peaceful', 'confident', 'dreamy', 'earnest', 'elaborate', 'exuberant']",Let's Stay Together,https://www.allmusic.com/song/lets-stay-together-mt0008569829
5,Tina Turner,exuberant,Private Dancer,/album/private-dancer-mw0000196120,"A prisoner of your love
Entangled in your web
Hot whispers in the night
I'm captured by your spell
Oh yes I'm touched by this show of emotion
Should I be fractured by your lack of devotion
Should i, should i?

You better be good to me
That's how it's gotta be now
Cause I don't have no use
For what you losely call the truth
You better be good to me

I think it's also right
That we don't need to fight
We stand face to face
And you present your case
And I know you keep telling me that you love me
And I really do wanna believe
But did you think I'd just accept you in blind faith
Oh sure babe, anything to please you

You better be good to me
That's how it's gotta be now
Cause I don't have the time
For your over loaded lines
You better be good to me

And I really don't see why it's so hard to be good to me
And I don't understand what's your plan that you can't be good to me
What I can't feel I surely cannot see, why can't you be good to me
And if it's not real I do not wish to see, why can't you be good to me",/lyric/3427172/Tina+Turner/Better+Be+Good+to+Me+%5BExtended+Version%5D+%5B%2A%5D,"['Pop/Rock', 'R&B;']",5:12,"['amiable/good-natured', 'bravado', 'bright', 'brooding', 'confident', 'earnest', 'exuberant', 'gutsy']",Better Be Good to Me,https://www.allmusic.com/song/better-be-good-to-me-mt0004946963
6,Tina Turner,exuberant,Private Dancer,/album/private-dancer-mw0000196120,"A prisoner of your love
Entangled in your web
Hot whispers in the night
I'm captured by your spell
Oh yes I'm touched by this show of emotion
Should I be fractured by your lack of devotion
Should i, should i?

You better be good to me
That's how it's gotta be now
Cause I don't have no use
For what you losely call the truth
You better be good to me

I think it's also right
That we don't need to fight
We stand face to face
And you present your case
And I know you keep telling me that you love me
And I really do wanna believe
But did you think I'd just accept you in blind faith
Oh sure babe, anything to please you

You better be good to me
That's how it's gotta be now
Cause I don't have the time
For your over loaded lines
You better be good to me

And I really don't see why it's so hard to be good to me
And I don't understand what's your plan that you can't be good to me
What I can't feel I surely cannot see, why can't you be good to me
And if it's not real I do not wish to see, why can't you be good to me",/lyric/3427172/Tina+Turner/Better+Be+Good+to+Me+%5BExtended+Version%5D+%5B%2A%5D,"['Pop/Rock', 'R&B;']",7:02,"['amiable/good-natured', 'bravado', 'bright', 'brooding', 'confident', 'earnest', 'exuberant', 'gutsy']",Better Be Good to Me [Extended Version],https://www.allmusic.com/song/better-be-good-to-me-extended-version-mt0003749524
7,The Beach Boys,exuberant,Summer Days (And Summer…,/album/summer-days-and-summer-nights%21%21-mw0000116156,"Well I walked up to her and I asked her if she wanted to dance
She looked awful nice and so I hoped she might take a chance

When we danced I held her tight
Then I walked her home that night
And all the stars were shining bright
And then I kissed her

Each time I saw her I couldn't wait to see her again
I wanted to let her know that I was more than a friend

I didn't know just what to do
And so I whispered I love you
And she said that she loved me too
And then I kissed her

I kissed her in a way that I'd never kissed a girl before
I kissed her in a way that I hope she liked for evermore

I knew that she was mine so I gave her all the love that I had
Then one day she'll take me home to meet her mom and her dad

Then I asked her to be my bride
And always be right by my side
I felt so happy that I almost cried
And then I kissed her

And then I kissed her
And then I kissed her",/lyric/540490/The+Beach+Boys/Then+I+Kissed+Her,['Pop/Rock'],2:18,"['cheerful', 'earnest', 'innocent', 'joyous', 'poignant', 'romantic', 'sentimental', 'exuberant']",Then I Kissed Her,https://www.allmusic.com/song/then-i-kissed-her-mt0045331692
8,The Beach Boys,exuberant,Summer Days (And Summer…,/album/summer-days-and-summer-nights%21%21-mw0000116156,"Well East coast girls are hip
I really dig those styles they wear
And the Southern girls with the way they talk
They knock me out when I'm down there

The Mid-West farmer's daughters really make you feel alright
And the Northern girls with the way they kiss
They keep their boyfriends warm at night

I wish they all could be California girls
I wish they all could be California
I wish they all could be California girls

The West coast has the sunshine
And the girls all get so tanned
I dig a french bikini on Hawaiin island dolls 
By a palm tree in the sand

I been all around this great big world
And I seen all kinds of girls
Yeah, but I couldn't wait to get back in the States
Back to the cutest girls in the world

I wish they all could be California girls
I wish they all could be California
I wish they all could be California girls

I wish they all could be California girls
I wish they all could be California girls
I wish they all could be California girls
I wish they all could be California girls
I wish they all could be California girls
I wish they all could be California girls
I wish they all could be California girls",/lyric/35436776/The+Beach+Boys/California+Girls+%5BStereo%5D,['Pop/Rock'],2:40,"['summery', 'warm', 'effervescent', 'exuberant', 'rousing', 'sweet', 'boisterous', 'cheerful']",California Girls,https://www.allmusic.com/song/california-girls-mt0045331696
9,The Beach Boys,exuberant,Summer Days (And Summer…,/album/summer-days-and-summer-nights%21%21-mw0000116156,"You're kinda small
And your such a doll
I'm glad you're mine
You're so good to me
How come you are

You take my hand
And you understand
When I get in a bad mood
You're so good to me
And I love it, love it

You're my baby, oh yeah
Don't mean maybe, oh yeah

I know your eyes
Are not on 'ther guys
When we're apart
You're so true to me
How come you are

And every night
You hold me so tight
When I kiss you goodbye
You're so good to me
And I love it, love it

You're my baby, oh yeah
Don't mean maybe, oh yeah

You're my baby, oh yeah
Don't mean maybe, oh yeah

You're my baby, oh yeah
Don't mean maybe, oh yeah",/lyric/540486/The+Beach+Boys/You%27re+So+Good+to+Me,['Pop/Rock'],2:16,"['cheerful', 'happy', 'joyous', 'sentimental', 'sweet', 'earnest', 'exuberant', 'poignant']",You're So Good to Me,https://www.allmusic.com/song/youre-so-good-to-me-mt0045331698
10,The Beach Boys,exuberant,Summer Days (And Summer…,/album/summer-days-and-summer-nights%21%21-mw0000116156,"Well East coast girls are hip
I really dig those styles they wear
And the Southern girls with the way they talk
They knock me out when I'm down there

The Mid-West farmer's daughters really make you feel alright
And the Northern girls with the way they kiss
They keep their boyfriends warm at night

I wish they all could be California girls
I wish they all could be California
I wish they all could be California girls

The West coast has the sunshine
And the girls all get so tanned
I dig a french bikini on Hawaiin island dolls 
By a palm tree in the sand

I been all around this great big world
And I seen all kinds of girls
Yeah, but I couldn't wait to get back in the States
Back to the cutest girls in the world

I wish they all could be California girls
I wish they all could be California
I wish they all could be California girls

I wish they all could be California girls
I wish they all could be California girls
I wish they all could be California girls
I wish they all could be California girls
I wish they all could be California girls
I wish they all could be California girls
I wish they all could be California girls",/lyric/35436776/The+Beach+Boys/California+Girls+%5BStereo%5D,['Pop/Rock'],2:47,"['summery', 'warm', 'effervescent', 'exuberant', 'rousing', 'sweet', 'boisterous', 'cheerful']",California Girls [Stereo],https://www.allmusic.com/song/california-girls-stereo-mt0045572499
11,Van Morrison,exuberant,His Band and the Street…,/album/his-band-and-the-street-choir-mw0000191086,"Don't want to discuss it
I think it's time for a change
You may get disgusted
Start thinkin' that I'm strange

In that case I'll go underground
Get some heavy rest
Never have to worry
About what is worst and what is best (get it)

Oh oh Domino (all right)
Roll me over Romeo
There you go
Lord have mercy

I said oh oh Domino
Roll me over Romeo
There you go
Say it again

I said oh oh Domino
I said oh oh Domino, dig it

There's no need for argument
There's no argument at all
And if you never hear from him
That just means he didn't call or vice versa
That depends on wherever you're at
Or and if you never hear from me
That just means I would rather not

Oh oh Domino
Roll me over Romeo
There you go
Lord have mercy
I said oh oh Domino
Roll me over Romeo

There you go
Say it again
Oh oh Domino
I said oh oh Domino.

Hey Mr. DJ 
I just want to hear some rhythm and blues music 
On the radio
On the radio
On the radio
Uh-uh, all right
Uh-uh, all right
Uh-uh, all right
Uh-uh
Hear the band
One more time",/lyric/5938077/Van+Morrison/Domino+%5BWith+Flute%5D,['R&B;'],3:06,"['confident', 'exuberant', 'happy', 'rollicking', 'rowdy']",Domino,https://www.allmusic.com/song/domino-mt0011949210
12,Van Morrison,exuberant,His Band and the Street…,/album/his-band-and-the-street-choir-mw0000191086,"The photographer smiles
Take a break for a while
Take a rest, do your very best
Take five, honey
Five, honey

You search in your bag
Light up a fag
Think it's a drag, but you're so glad
To be alive honey
Alive honey

Said when this is all over
You'll be in clover
We'll go out and spend
All of your blue money
Blue money
Blue money

Do-do-you-do, n'-do-do-you-do
N' do-do-do-you do, n' do-do-do-you-do
N' do-do

Alright, (do-do) do-it

Do-do-you-do, n'-do-do-you-do
N' do-do-do-you do, n' do-do-do-you-do
N' do-do, do-do

Alright, (do-do) do-it

Well the cameraman smiles
Take a break for a while
Do your best, do your very best
Take five, honey
Take five

You search in your bag
Light up a fag
Say it's a drag, but you're so glad
To be alive honey
Alive honey

Said when this is all over
You'll be in clover
We'll go on out and spend
All of your blue money
Blue money
Blue money alright

Do-do-you-do, n'-do-do-you-do
N' do-do-do-you do, n' do-do-do-you-do
N' do-do

Alright, (do-do) do-it

Do-do-you-do, n'-do-do-you-do
N' do-do-do-you do, n' do-do-do-you-do
N' do-do, do-do
Alright, (do-do) do-it

One more time

Do-do-you-do, n'-do-do-you-do
N' do-do-do-you do, n' do-do-do-you-do
'N-do-do (do-do)

Hey (do-do)

Do-do-you-do, n'-do-do-you-do
N' do-do-do-you-do, n' do-do-do-you-do
'N-do-do

Alright, do-do

Say, when this is all over
We'll be in clover
We'll go out and spend all your

(Blue money) blue money

Blue money (blue money)

Ooh juice money, loose money

Juice money, loose money, honey

(Do-do-do, do-do-do-do)
What kind a money, honey?

(Do-do-do, do-do-do-do)
Juice money, loose money

Blue money (do-do-do, do-do-do-do)

Juice money

Loose money (do-do-do, do-do-do-do)

Blue money

Hey, alright

Juice money
Ow
Long as you wanna be",/lyric/877924/Van+Morrison/Blue+Money,['R&B;'],3:40,"['celebratory', 'exuberant', 'happy']",Blue Money,https://www.allmusic.com/song/blue-money-mt0011951109
13,Phil Collins,exuberant,"Hello, I Must Be Going!",/album/hello-i-must-be-going%21-mw0000650001,"I need love, love
Oh, ease my mind
And I need to find time
Someone to call mine

My mama said, ""you can't hurry love
No, you'll just have to wait""
She said, ""love don't come easy
But it's a game of give and take""
You can't hurry love
No, you'll just have to wait
Just trust in a good time
No matter how long it takes

How many heartaches must I stand
Before I find the love to let me live again
Right now the only thing that keeps me hanging on
When I feel my strength, ooh, it's almost gone

I remember mama said, ""you can't hurry love
No, you'll just have to wait""
She said, ""love don't come easy
It's a game of give and take""
How long must I wait
How much more must I take
Before loneliness
Will cause my heart, heart to break

No, I can't bear to live my life alone
I grow impatient for a love to call my own
But when I feel that i, I can't go on
Well these precious words keep me hanging on

I remember mama said, ""you can't hurry love
No, you'll just have to wait""
She said, ""love don't come easy
But it's a game of give and take""
You can't hurry love
No, you'll just have to wait
Just trust in a good time
No matter how long it takes

Now wait
Now love, love don't come easy
But I keep on waiting
Anticipating for that soft voice
To talk to me at night
For some tender arms
Hold me tight
I keep waiting
Ooh, till that day
But it ain't easy (love don't come easy)
No, you know it ain't easy

My mama said you can't hurry love
No, you'll just have to wait
She said ""love don't come easy
But it's a game of give and take""
You can't hurry love
No, you'll just have to wait
She said ""love don't come easy
But it's a game of give and take""
You can't hurry love, no you'll just have to wait",/lyric/2018489/Phil+Collins/You+Can%27t+Hurry+Love,['Pop/Rock'],2:50,"['amiable/good-natured', 'bright', 'cheerful', 'confident', 'dramatic', 'earnest', 'energetic', 'exuberant']",You Can't Hurry Love,https://www.allmusic.com/song/you-cant-hurry-love-mt0010706380
14,INXS,exuberant,Kick,/album/kick-mw0000193443,"See the sound
It crashes in
All around
It gets in
Now take your hands
And raise them up
Into to the air
That's all around ya
Now bring them down
Like a clock at two
Shake your head
You know what to do
They want to put
Guns in the sky
Someone out there
Ain't gonna like it

But it could be good
Make us love each other
Have to realize
I own the future

Guns in the sky

Guns in the sky

Guns in the sky

Guns in the sky

Guns in the sky
Child grows up to see
Guns in the sky
Used to be on TV

Want to change
Forgot the joke
It's great to see you
I'm running late, da da da
Love your hair, da da da
Lend me a ten, da da da
I love your big house, da da da

Could you spare a dime
Well I'm sick of it, it's a load of shit
We could stop the world and let of all the fools
And let them go live with their guns in the sky

Guns in the sky
Guns in the sky
Guns in the sky
Guns in the sky
Guns in the sky
Guns in the sky
Guns in the sky",/lyric/1171398/INXS/Guns+in+the+Sky,['Pop/Rock'],2:20,"['stylish', 'boisterous', 'confident', 'slick', 'brassy', 'energetic', 'exuberant', 'freewheeling']",Guns in the Sky,https://www.allmusic.com/song/guns-in-the-sky-mt0012495202
15,INXS,exuberant,Kick,/album/kick-mw0000193443,"Take one step
Out the door
Look around
For a whole lot more

Off there in the distance
Fire burn bright
We make decisions
That's what we do, that's what we do

Wild life
Wild life
When it's bad it ain't bad enough

I'll be your one
Your one and only
Like animals
Locked in the zoo

Oh, give me freedom
Day and night
No one to tell me
What to do

Off in the distance
Fire burn bright
We make decisions

Wild life
Wild life
When it's bad it ain't bad enough

I got to learn
Some respect
That's what I have
I have for you

Motivation, it comes and goes
But the questions, they stay alive

Wild life
Wild life
When it's bad it ain't bad enough",/lyric/2019288/INXS/Wild+Life,['Pop/Rock'],3:07,"['stylish', 'confident', 'fun', 'boisterous', 'celebratory', 'brash', 'energetic', 'exuberant']",Wild Life,https://www.allmusic.com/song/wild-life-mt0012487806
16,INXS,exuberant,Kick,/album/kick-mw0000193443,"Come on
Come on
Come on
Come on

I look around
Unsatisfied
At what they're giving me
But then I think
To myself
Is there someone else
Oh, who feels the same as me
Do you feel the same baby

When my back is broken
When the mountain moves away
All the dreams and promises
That we give
We give away

Sometimes you kick
Sometimes you get kicked
Sometimes you kick
Sometimes you get kicked

Sometimes you kick
Sometimes you get kicked, oh
Sometimes you kick
Sometimes you get kicked, baby

Look ahead
But don't mix it up
Baby look ahead
To better days
And better ways
Make peace
With flesh and blood
Make peace
With your love

Nothing more I could ask of you
But in the end this is the truth

When my back is broken
When the mountain moves away
All the dreams and promises
That we give
We give away

Sometimes you kick
Sometimes you get kicked
Sometimes you kick
Sometimes you get kicked

Sometimes you kick
Sometimes you get kicked
Sometimes you kick, oh
Sometimes you get kicked

Sometimes you kick
Sometimes you get kicked, oh",/lyric/2019291/INXS/Kick,['Pop/Rock'],3:13,"['stylish', 'confident', 'fun', 'boisterous', 'celebratory', 'brash', 'energetic', 'exuberant']",Kick,https://www.allmusic.com/song/kick-mt0012497924
17,INXS,exuberant,Kick,/album/kick-mw0000193443,"Well you spent the whole day
With your axe to the wheel
Read the late paper
It was full of bad news
Excuse me but I think
What I'm saying is true
You've got to find some time
And devote it to you
So come on down
To the party
Callin' all nations
To put it on the line
Come on down
To the party
Callin' all nations
To put it on the line

So come on all you people
With the stars in your hair
You know what's going on
There's no need to despair
Take the chains from you mind
Take the chains from your feet
And do the sex dance
'Cause' it's necessary

You don't have to be rich
You don't have to be famous
No you just
Gotta have
A little bit of patience
Jump into your old car
Or take a cab train or boat
The only thing that matters
Is that ya really gotta go

So come on down
To the party
Callin' all nations
To put it on the line
Come on down
To the party
Callin' all nations
To put it on the line

Well you spent the whole day
With your axe to the wheel
Read the late paper
It was full of bad news
Excuse me but I think
What I'm saying is true
You've got to spend some time
And devote it to you

So come on down
To the party
Callin' all nations
To put it on the line
Come on down
To the party
Callin' all nations
To put it on the line

Callin' all nations
Callin' all nations
Callin' all nations
Callin' all nations

Callin' all nations
Put it on the line
Callin' all nations
Put it on the line
Callin' all nations
Put it on the line
Callin' all nations
Put it on the line",/lyric/2019292/INXS/Calling+All+Nations,['Pop/Rock'],3:00,"['stylish', 'confident', 'fun', 'boisterous', 'celebratory', 'brash', 'energetic', 'exuberant']",Calling All Nations,https://www.allmusic.com/song/calling-all-nations-mt0012483371
18,INXS,exuberant,Kick,/album/kick-mw0000193443,"Ever stop to wonder
Should I question
Move a stone look under
Should I judge

How you have changed my friend
You're not the same my friend
Do you lose sleep at night
Do you ever stop to think
Where it went wrong for you
Who turned your reds to blue

Who put those tiny daggers in your heart
Who put those tiny daggers in your heart
Who put those tiny daggers in your heart

Ever stop to wonder
I should not question
Move a stone look under
I should not judge

They say you're never lonely
They say you're with the best
But when they turn those lights out
I bet you spin and turn
And cry just like the rest
And cry just like a baby

Who put those tiny daggers in your heart
Who put those tiny daggers in your heart
Who put those tiny daggers in your heart

Ever stop to wonder
I should not question
Move a stone look under
I should not judge

No need for desperation
No need for sweet revenge
Please try to remember
The door is always there
Don't you walk on by
The door is always there

All you want to do is kick it in
All you got to do is walk right in

Who put those tiny daggers in your heart
Who put those tiny daggers in your heart
Who put those tiny daggers in your heart

Who put those tiny daggers in your heart
Who put those tiny daggers in your heart
Who put those tiny daggers in your heart

Who put those tiny daggers in your heart
Oh yeah
In your heart
Yeah",/lyric/2019293/INXS/Tiny+Daggers,['Pop/Rock'],3:29,"['stylish', 'confident', 'fun', 'boisterous', 'celebratory', 'brash', 'energetic', 'exuberant']",Tiny Daggers,https://www.allmusic.com/song/tiny-daggers-mt0012486263
