,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,The Prodigy,fiery,The Fat of the Land,/album/the-fat-of-the-land-mw0000054699,"Change my pitch up
Smack my bitch up
Change my pitch up
Smack my bitch up
Change my pitch up
Smack my bitch up
Change my pitch up
Smack my bitch up
Smack my bitch up
Eaaaheeyheeaheyyyee
Aaahaaahaaaaaaaaaaahha
Eaaaheeyheeaheyyyee
Aaahhaaaaa
Aaahhaaaaaaaaaaaaaaaaaaa
Aaaaaaaaaaaaaaaaaaaaaaaa
Aaaaaaaaaaaaaaaaaaaaaaaa
Smack my bitch up
Change my pitch up
Smack my bitch up
Change my pitch up
Smack my bitch up",/lyric/1751127/The+Prodigy/Smack+My+Bitch+Up,['Electronic'],5:42,"['confrontational', 'fiery', 'harsh', 'tense/anxious', 'aggressive', 'dramatic', 'fierce', 'swaggering']",Smack My Bitch Up,https://www.allmusic.com/song/smack-my-bitch-up-mt0000092888
1,The Prodigy,fiery,The Fat of the Land,/album/the-fat-of-the-land-mw0000054699,"Breathe with me

Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Come play my game
Inhale, inhale, you're the victim
Come play my game
Exhale, exhale, exhale

Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Come play my game
Inhale, inhale, you're the victim
Come play my game
Exhale, exhale, exhale

Come breathe with me
Breathe with me

Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Come play my game
Inhale, inhale, you're the victim
Come play my game
Exhale, exhale, exhale

Breathe with me

Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Breathe the pressure
Come play my game, I'll test ya
Psychosomatic, addict, insane
Come play my game
Inhale, inhale, you're the victim
Come play my game
Exhale, exhale, exhale",/lyric/1707373/The+Prodigy/Breathe+%5BEdit%5D,['Electronic'],5:35,"['aggressive', 'confident', 'confrontational', 'dramatic', 'energetic', 'exciting', 'fierce', 'fiery']",Breathe,https://www.allmusic.com/song/breathe-mt0002223612
2,The Prodigy,fiery,The Fat of the Land,/album/the-fat-of-the-land-mw0000054699,"Yo! I used to check out lyrics and pump the format 
Build with skill with technique, computer A-DAT 
My lyrical form is clouds on your brainstorm 
I get hyped think thought flow, acrobat, sink the track, pump the track 
Transmissions, close like spores react, past strong visions 
And hurrying more reflects on the dance floor 
Blowing up and having mad people showing up 
Packing crowds jam packed venues 
Needles collapse, while atmosphere continues 
To sprinkle that, 
Winnin' like that, movin' like that, hittin' like that 
The melody is phat 
Yo, I'm on the energy source 
The cosmic boss 
With Prodigy 
Given astrology 
My intellect's devour
With Diesel Power 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
Blows your mind drastically, fanta.. 
We spin back rewind. Diesel Power 
Blows your mind drastically, fantasically 
It has to be, automatically 
Check it out. You better work it out 
Change to another bout
My techniques, strategies, abilities. 
Will leave cordless mics hanging like spring leads
Do a track so fast. Beyond from you and I
Lyrical tactics, vocal gymnastics 
Ease and pepped up 
You get swept up 
Smacked up, backed up, your crew's all cracked up 
Check it slow 
Pick choose quick 
You can't stick 
My medical range is strange as angles
You get tangled. Twist inside a fraction
Channels repeat, complete. Can't compete 
Check the hour texture 
Mind adventure 
Exploit the point 
Into tracks to devour 
My intellectual proceed
With diesel power 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
Blows your mind drastically, fanta... 
Back attack the wack
Pack the fax to me
You don't want none 
High quality action, b, still standing 
Damaging your other manner
Quick reverse 
Potent as the first verse 
My amplifier blows on your world's higher 
World's sire 
Cuts like a barbed wire 
Record play
I pull up on you every day 
Fast forward 
I move and I swing torward 
Exit load 
Put your brain in right mode 
Selective mix 
The man will perfect the fix, heads lightly, bite me 
Copy Xereos. Cops' sandblocks 
You can't knocks them out there 
I'll keep lifting, shifting, persistant
Intelligent kingpin 
Given astrology 
As I roll with Prodigy 
With Diesel Power 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
Blows your mind drastically, fanta... 
Mono 706 
8073421 Robot sonic 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
Blows your mind drastically, fantastically 
",/lyric/1751129/The+Prodigy/Diesel+Power,['Electronic'],4:17,"['aggressive', 'confident', 'confrontational', 'fiery', 'dramatic', 'swaggering', 'urgent', 'reckless']",Diesel Power,https://www.allmusic.com/song/diesel-power-mt0001872779
3,The Prodigy,fiery,The Fat of the Land,/album/the-fat-of-the-land-mw0000054699,"Damage destructor 
Crowd disruptor 
You corruptor 
Everytimer.. 
Yea! 
Damage destructor 
Crowd disruptor 
Mainliner 
Everytimer.. 
Taste Me, Taste Me! 
Succumb to me, Succumb to me! 
Taste Me, Taste Me! 
Succumb to me, Succumb to me! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
Damage destructor 
Crowd disruptor 
Mainliner 
Everytimer.. 
Taste Me, Taste Me! 
Succumb to me, Succumb to me! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
Damage Destructor 
Crowd disruptor 
Mainliner 
Everytimer.. 
Taste Me, Taste Me! 
Succumb to me, Succumb to me! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
Serial Thrilla, serious killa! 
",/lyric/1751131/The+Prodigy/Serial+Thrilla,['Electronic'],5:11,"['aggressive', 'confident', 'confrontational', 'fiery', 'harsh', 'tense/anxious', 'dramatic', 'fierce']",Serial Thrilla,https://www.allmusic.com/song/serial-thrilla-mt0001703264
4,The Prodigy,fiery,The Fat of the Land,/album/the-fat-of-the-land-mw0000054699,"This is dangerous, 
Open up your head feel the shell shock! 
This is dangerous, 
I walk through mindfields so watch your head rock! 
This is dangerous, 
Open up your head feel the shell shock! 
This is dangerous, 
Open up your head feel the shell shock! 
This is dangerous, 
I walk through mindfields so watch your head rock! 
This is dangerous, 
Open up your head feel the shell shock! 
This is dangerous, 
I walk through mindfields so watch your head rock! 
So watch your head rock! 
This is dangerous, 
Open up your head feel the shell shock! 
This is dangerous, 
Open up your head feel the shell shock! 
This is dangerous, 
I walk through mindfields so watch your head rock! 
This is dangerous, 
Open up your head feel the shell shock! 
This is dangerous, 
I walk through mindfields so watch your head rock! 
OOCHA! 
OOCHA! 
Ha ha ha, I walk through mindfields! 
OOCHA! 
OOCHA! 
OOCHA... 
I walk through mindfields so watch your head rock! 
I walk through mindfields so watch your head rock! 
OOCHA! 
I walk through mindfields so watch your head rock! 
I walk through mindfields so watch your head rock! 
OOCHA! 
",/lyric/1751132/The+Prodigy/Mindfields,['Electronic'],5:40,"['aggressive', 'confident', 'confrontational', 'fierce', 'fiery', 'harsh', 'tense/anxious', 'dramatic']",Mindfields,https://www.allmusic.com/song/mindfields-mt0008418485
5,The Prodigy,fiery,The Fat of the Land,/album/the-fat-of-the-land-mw0000054699,"If you believe the Western Sun 
is falling down on everyone 
If you're breaking free 
And the morning's come 
If you would know 
Your time has come. 
If you believe in the Western Sun 
is falling down on everyone 
And you feel it burn, don't try to run 
And you feel it burn, your time has come. 
And I feel it. 
I feel another energy 
and I feel power through it 
I feel another energy 
and I feel power through it 
You feel another energy 
and I feel power through it 
If you believe in the Western Sun 
is falling down on everyone 
If you're breaking free 
And the morning's come 
If you would know 
Your time has come. 
If you believe in the Western Sun 
is falling down on everyone 
And you feel it burn, don't try to run 
And you feel it burn, your time has come. 
And I feel it. 
You feel another energy 
And I feel power through it 
You feel another energy 
And I feel power through it 
You feel another energy 
And I feel power through it 
Umm Naman Narayanna 
Umm Naman Narayanna 
Umm Naman Narayanna... 
And I feel it. 
And I feel it. 
And I feel it. 
I feel another energy. 
You feel another energy 
And I feel power through it 
You feel another energy 
And I feel power through it 
",/lyric/1751133/The+Prodigy/Narayan,['Electronic'],9:05,"['aggressive', 'confident', 'confrontational', 'fiery', 'harsh', 'tense/anxious', 'dramatic', 'fierce']",Narayan,https://www.allmusic.com/song/narayan-mt0000716481
6,The Prodigy,fiery,The Fat of the Land,/album/the-fat-of-the-land-mw0000054699,"I've got word of thanks 
Thanks that I'd like to say 
For the rage that I feel 
The rage that I feel today 

Gotta stack, gotta stack 
Stack of chips on my shoulder 
In everything I do 'cause I made, I made 
I made the mistake of trusting you 

Yeah, people like you just fuel my fire 
Yeah, people like you just fuel my fire 
Yeah, people like you just fuel my fire 
People like you just burn! 
You liar, you liar, you liar, you liar! 

Yeah, my layers are thick 
And I got a bad attitude 
Yeah, that knife in my back 
Has fingerprints that belong to you 

Got a grudge, got a grudge 
Got a grudge that I'm holding for as long as I live 
'Cause you lied, you lied, you lied to my face 
And that's something that I can't forgive 

Yeah, people like you just fuel my fire 
Yeah, people like you just fuel my fire 
Yeah, people like you just fuel my fire 
People like you just burn! 
You liar, you liar, you liar, you liar! 

Yeah, people like you just fuel my fire 
Yeah, people like you just fuel my fire 
People like you just fuel my fire 
While people like you just burn! 
You liar, you liar, you liar, you liar!",/lyric/1751136/The+Prodigy/Fuel+My+Fire,['Electronic'],4:19,"['aggressive', 'confident', 'confrontational', 'fiery', 'harsh', 'tense/anxious', 'dramatic', 'fierce']",Fuel My Fire,https://www.allmusic.com/song/fuel-my-fire-mt0005261585
7,Nirvana,fiery,Nevermind,/album/nevermind-mw0000185616,"Load up on guns, bring your friends
It's fun to lose and to pretend
She's over-bored and self-assured
Oh no, I know a dirty word

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino, a mosquito, my libido
Yeah, hey

I'm worse at what I do best
And for this gift I feel blessed
Our little group has always been
And always will until the end

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino, a mosquito, my libido
Yeah, hey

And I forget just why I taste
Oh yeah, I guess it makes me smile
I found it hard, it's hard to find
Oh well, whatever, never mind

Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello, how low
Hello, hello, hello

With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino, a mosquito, my libido
A denial, a denial, a denial, a denial, a denial
A denial, a denial, a denial, a denial",/lyric/759865/Nirvana/Smells+Like+Teen+Spirit,['Pop/Rock'],5:02,"['angst-ridden', 'cathartic', 'fiery', 'aggressive', 'raucous', 'rousing', 'snide', 'urgent']",Smells Like Teen Spirit,https://www.allmusic.com/song/smells-like-teen-spirit-mt0003050787
8,Nirvana,fiery,Nevermind,/album/nevermind-mw0000185616,"I'm so happy because today
I've found my friends
They're in my head
I'm so ugly, but that's okay, 'cause so are you
We've broken our mirrors
Sunday morning is everyday for all I care
And I'm not scared
Light my candles in a daze
'Cause I've found god
Hey, hey, hey

I'm so lonely but that's okay I shaved my head
And I'm not sad
And just maybe I'm to blame for all I've heard
But I'm not sure
I'm so excited, I can't wait to meet you there
But I don't care
I'm so horny but that's okay
My will is good
Hey, hey, hey

I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack

I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack

I'm so happy 'cause today
I've found my friends,
They're in my head
I'm so ugly, that's okay, 'cause so are you,
Broke our mirrors
Sunday morning is everyday for all I care,
And I'm not scared
Light my candles in a daze
'Cause I've found god

Yeah, yeah,
Yeah, yeah,
Yeah, yeah,
Yeah, yeah,
Yeah, yeah,
Yeah, yeah, yeah

I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack

I like it, I'm not gonna crack
I miss you, I'm not gonna crack
I love you, I'm not gonna crack
I killed you, I'm not gonna crack",/lyric/2547268/Nirvana/Lithium,['Pop/Rock'],4:17,"['fiery', 'volatile', 'witty', 'aggressive', 'brooding', 'yearning', 'visceral', 'acerbic']",Lithium,https://www.allmusic.com/song/lithium-mt0004699567
9,Nirvana,fiery,Nevermind,/album/nevermind-mw0000185616,"Polly wants a cracker
I think I should get off her first
I think she wants some water
To put out the blow torch

It isn't me
We have some seed
Let me clip
Your dirty wings
Let me take a ride
Don't cut yourself
I want some help
To please myself
I've got some rope
You have been told
I promise you
I have been true
Let me take a ride
Don't cut yourself
I want some help
To please myself

Polly wants a cracker
Maybe she would like some food
She asks me to untie her
A chase would be nice for a few

It isn't me
We have some seed
Let me clip
Your dirty wings
Let me take a ride
Don't cut yourself
I want some help
To please myself
I've got some rope
You have been told
I promise you
I have been true
Let me take a ride
Don't cut yourself
I want some help
To please myself

Polly said

Polly says her back hurts
And she's just as bored as me
She caught me off my guard
It amazes me, the will of instinct

It isn't me
We have some seed
Let me clip
Your dirty wings
Let me take a ride
Don't cut yourself
I want some help
To please myself
I've got some rope
You have been told
I promise you
I have been true
Let me take a ride
Don't cut yourself
I want some help
To please myself",/lyric/2547269/Nirvana/Polly,['Pop/Rock'],2:56,"['bleak', 'angst-ridden', 'eerie', 'fiery', 'somber', 'aggressive', 'austere', 'brooding']",Polly,https://www.allmusic.com/song/polly-mt0005237798
