,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,The Beatles,fun,1,/album/1-mw0000096318,"Da-da da, da-da da da da
Da-da da, da-da da da da

If there's anything that you want
If there's anything I can do
Just call on me and I'll send it along
With love, from me to you

I got everything that you want
Like a heart that's oh so true
Just call on me and I'll send it along
With love, from me to you

I got arms that long to hold you
And keep you by my side
I got lips that long to kiss you
And keep you satisfied, ooh

If there's anything that you want
If there's anything I can do
Just call on me and I'll send it along
With love, from me to you

Call on me
To you
Just call on me and I'll send it along
With love, from me to you

I got arms that long to hold you
And keep you by my side
I got lips that long to kiss you
And keep you satisfied, ooh

If there's anything that you want
If there's anything I can do
Just call on me and I'll send it along
With love, from me to you
To you, to you, to you",/lyric/32537564/The+Beatles/From+Me+to+You+%5BMono%5D,['Pop/Rock'],1:56,"['bright', 'cheerful', 'effervescent', 'fun', 'warm', 'earnest', 'exuberant', 'happy']",From Me to You,https://www.allmusic.com/song/from-me-to-you-mt0041928479
1,The Beatles,fun,1,/album/1-mw0000096318,"She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah

You think you've lost your love
Well, I saw her yesterday-yi-yay
It's you she's thinking of
And she told me what to say-yi-yay

She says she loves you
And you know that can't be bad
Yes, she loves you
And you know you should be glad

She said you hurt her so
She almost lost her mind
And now she says she knows
You're not the hurting kind

She says she loves you
And you know that can't be bad
Yes, she loves you
And you know you should be glad

Oo, she loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
With a love like that
You know you should be glad

You know it's up to you
I think it's only fair
Pride can hurt you too
Apologize to her

Because she loves you
And you know that can't be bad
Yes, she loves you
And you know you should be glad

Oo, she loves you, yeah, yeah, yeah
She loves you, yeah, yeah, yeah
With a love like that
You know you should be glad
With a love like that
You know you should be glad
With a love like that
You know you should be glad
Yeah, yeah, yeah,
Yeah, yeah, yeah, yeah",/lyric/836987/The+Beatles/She+Loves+You,['Pop/Rock'],2:21,"['bright', 'cheerful', 'effervescent', 'exciting', 'exuberant', 'fun', 'rollicking', 'energetic']",She Loves You,https://www.allmusic.com/song/she-loves-you-mt0041928480
2,The Beatles,fun,1,/album/1-mw0000096318,"Oh yeah I tell you somethin'
I think you'll understand
When I say that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand

Oh please say to me
You'll let me be your man
And please say to me
You'll let me hold your hand
Now, let me hold your hand
I want to hold your hand

And when I touch you
I feel happy inside
It's such a feelin' that my love
I can't hide
I can't hide
I can't hide

Yeah, you got that somethin'
I think you'll understand
When I say that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand

And when I touch you
I feel happy inside
It's such a feelin' that my love
I can't hide
I can't hide
I can't hide

Yeah, you got that somethin'
I think you'll understand
When I feel that somethin'
I want to hold your hand
I want to hold your hand
I want to hold your hand
I want to hold your hand",/lyric/2762401/The+Beatles/I+Want+to+Hold+Your+Hand,['Pop/Rock'],2:25,"['bright', 'effervescent', 'energetic', 'exciting', 'exuberant', 'fun', 'giddy', 'gleeful']",I Want to Hold Your Hand,https://www.allmusic.com/song/i-want-to-hold-your-hand-mt0041928481
3,The Beatles,fun,1,/album/1-mw0000096318,"Can't buy me love, love
Can't buy me love

I'll buy you a diamond ring my friend
If it makes you feel all right
I'll get you anything my friend
If it makes you feel all right
Cause I don't care too much for money
For money can't buy me love

I'll give you all I've got to give
If you say you love me too
I may not have a lot to give
But what I've got I'll give to you
I don't care too much for money
For money can't buy me love

Can't buy me love
Everybody tells me so
Can't buy me love
No, no, no, no

Say you don't need no diamond ring
And I'll be satisfied
Tell me that you want those kind of things
That money just can't buy
I don't care too much for money
For money can't buy me love

Can't buy me love
Everybody tells me so
Can't buy me love
No, no, no, no

Say you don't need no diamond ring
And I'll be satisfied
Tell me that you want those kind of things
That money just can't buy
I don't care too much for money
Cause money can't buy me love
Oh, can't buy me love, love
Can't buy me love, no",/lyric/14698437/The+Beatles/Can%27t+Buy+Me+Love+%5BLive+1965%5D,['Pop/Rock'],2:11,"['amiable/good-natured', 'bright', 'energetic', 'fun', 'innocent', 'joyous', 'rollicking', 'romantic']",Can't Buy Me Love,https://www.allmusic.com/song/cant-buy-me-love-mt0041928482
4,The Beatles,fun,1,/album/1-mw0000096318,"It's been a hard day's night, and I've been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I'll find the things that you do
Will make me feel alright

You know I work all day to get you money to buy you things
And it's worth it just to hear you say you're going to give me everything
So why on earth should I moan, 'cause when I get you alone
You know I feel ok

When I'm home everything seems to be right
When I'm home feeling you holding me tight, tight, yeah

It's been a hard day's night, and I've been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I'll find the things that you do
Will make me feel alright, oww!

So why on earth should I moan, 'cause when I get you alone
You know I feel ok

When I'm home everything seems to be right
When I'm home feeling you holding me tight, tight, yeah

Oh, it's been a hard day's night, and I've been working like a dog
It's been a hard day's night, I should be sleeping like a log
But when I get home to you I'll find the things that you do
Will make me feel alright
You know I feel alright
You know I feel alright",/lyric/742906/The+Beatles/A+Hard+Day%27s+Night,['Pop/Rock'],2:32,"['amiable/good-natured', 'bright', 'energetic', 'exciting', 'exuberant', 'fun', 'innocent', 'joyous']",A Hard Day's Night,https://www.allmusic.com/song/a-hard-days-night-mt0041928483
5,The Beatles,fun,1,/album/1-mw0000096318,"In the town where I was born
Lived a man who sailed to sea
And he told us of his life
In the land of submarines
So we sailed up to the sun
Till we found a sea of green
And we lived beneath the waves
In our yellow submarine

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine

And our friends are all aboard
Many more of them live next door
And the band begins to play

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine

(Full speed ahead Mr. Boatswain, full speed ahead
Full speed ahead it is, Sergeant.
Cut the cable, drop the cable
Aye, Sir, aye
Captain, captain)

As we live a life of ease
Every one of us has all we need
Sky of blue and sea of green
In our yellow submarine

We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine",/lyric/819421/The+Beatles/Yellow+Submarine,"['Pop/Rock', 'Folk']",2:37,"['amiable/good-natured', 'carefree', 'cheerful', 'fun', 'giddy', 'humorous', 'playful', 'rousing']",Yellow Submarine,https://www.allmusic.com/song/yellow-submarine-mt0041928492
6,The Beatles,fun,1,/album/1-mw0000096318,"Lady Madonna, children at your feet
Wonder how you manage to make ends meet
Who find the money when you pay the rent
Did you think that money was heaven sent

Friday night arrives without a suitcase
Sunday morning creeping like a nun
Monday's child has learned to tie his bootlace
See how they run

Lady Madonna, baby at your breast
Wonders how you manage to feed the rest
Pa pa pa pa,
See how they run

Lady Madonna lying on the bed
Listen to the music playing in your head

Tuesday afternoon is never ending
Wednesday morning papers didn't come
Thursday night you stocking needed mending
See how they run

Lady Madonna, children at your feet
Wonder how you manage to make ends meet",/lyric/232880/The+Beatles/Lady+Madonna,['Pop/Rock'],2:16,"['amiable/good-natured', 'cheerful', 'rollicking', 'rousing', 'whimsical', 'carefree', 'freewheeling', 'fun']",Lady Madonna,https://www.allmusic.com/song/lady-madonna-mt0041928497
7,The Beatles,fun,1,/album/1-mw0000096318,"Jojo was a man who thought he was a loner
But he knew it wouldn't last
Jojo left his home in Tucson, Arizona
For some California grass

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged
Get back Jojo, go home

Get back, get back
Back to where you once belonged
Get back, get back
Back to where you once belonged
Get back Jo

Sweet Loretta Martin thought she was a woman
But she was another man
All the girls around her say she's got it coming
But she gets it while she can

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged
Get back Loretta, go home

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged

Get back, get back
Get back to where you once belonged
Get back, get back, get back",/lyric/757846/The+Beatles/Get+Back+%5BAka+No+Pakistanis%5D,['Pop/Rock'],3:11,"['freewheeling', 'humorous', 'irreverent', 'playful', 'rollicking', 'rousing', 'fun', 'warm']",Get Back,https://www.allmusic.com/song/get-back-mt0041928499
8,The Beach Boys,fun,Sounds of Summer: The Very…,/album/sounds-of-summer-the-very-best-of-the-beach-boys-mw0000032970,"If everybody had an ocean
Across the U. S. A.
Then everybody'd be surfin'
Like Californi-a
You'd seem 'em wearing their baggies
Huarachi sandals too
A bushy bushy blonde hairdo
Surfin' U. S. A.

You'd catch 'em surfin' at Del Mar
Ventura County line
Santa Cruz and Trestle
Australia's Narabine
All over Manhattan
And down Doheny Way

Everybody's gone surfin'
Surfin' U.S. A.

We'll all be planning that route
We're gonna take real soon
We're waxing down our surfboards
We can't wait for June
We'll all be gone for the summer
We're on surfari to stay
Tell the teacher we're surfin'
Surfin' U. S. A.

Haggerties and Swamies
Pacific Palisades
San Anofree and Sunset
Redondo Beach L. A.
All over La Jolla
At Waimia Bay

Everybody's gone surfin'
Surfin' U.S. A.

Everybody's gone surfin'
Surfin' U.S. A.

Everybody's gone surfin'
Surfin' U.S. A.",/lyric/905198/The+Beach+Boys/Surfin%27+U.S.A.+%5BDemo+Version%5D,['Pop/Rock'],2:28,"['exciting', 'fun', 'summery', 'confident', 'energetic', 'playful', 'carefree', 'cheerful']",Surfin' U.S.A.,https://www.allmusic.com/song/surfin-usa-mt0005830738
9,The Beach Boys,fun,Sounds of Summer: The Very…,/album/sounds-of-summer-the-very-best-of-the-beach-boys-mw0000032970,"Well she got her daddy's car
And she cruised through the hamburger stand now
Seems she forgot all about the library
Like she told her old man now
And with the radio blasting
Goes cruising just as fast as she can now

And she'll have fun fun fun
'Til her daddy takes the T-bird away
(Fun fun fun 'til her daddy takes the T-bird away)

Well the girls can't stand her
'Cause she walks looks and drives like an ace now
(You walk like an ace now you walk like an ace)
She makes the Indy 500 look like a Roman chariot race now
(You look like an ace now you look like an ace)
A lotta guys try to catch her
But she leads them on a wild goose chase now
(You drive like an ace now you drive like an ace)

And she'll have fun fun fun
'Til her daddy takes the T-bird away
(Fun fun fun 'til her daddy takes the T-bird away)

Well you knew all along
That your dad was gettin' wise to you now
(You shouldn't have lied now you shouldn't have lied)
And since he took your set of keys
You've been thinking that your fun is all through now
(You shouldn't have lied now you shouldn't have lied)

But you can come along with me
'Cause we gotta a lot of things to do now
(You shouldn't have lied now you shouldn't have lied)

And we'll have fun fun fun now that daddy took the T-bird away
(Fun fun fun now that daddy took the T-bird away)
And we'll have fun fun fun now that daddy took the T-bird away
(Fun fun fun now that daddy took the T-bird away)
(Wo wo wo wo woo woo woo)
(Fun fun now that daddy took the T-bird away)
(Fun fun now that daddy took the T-bird away)
(Fun fun now that daddy took the T-bird away)
(Fun fun now that daddy took the T-bird away)
(Fun fun now that daddy took the T-bird away)
(Fun fun now that daddy took the T-bird away)",/lyric/773041/The+Beach+Boys/Fun%2C+Fun%2C+Fun+%5BSingle+Version%5D%5B%2A%5D,['Pop/Rock'],2:21,"['bright', 'carefree', 'exciting', 'joyous', 'boisterous', 'celebratory', 'energetic', 'fun']","Fun, Fun, Fun",https://www.allmusic.com/song/fun-fun-fun-mt0008401069
