,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,The Monkees,happy,The Monkees,/album/the-monkees-mw0000187061,"Monday had a sad child
Always feeling low down,
Tuesday had a dream child
She's always on the go
Now I'm in love with Saturday's child
She drives me wild
Gonna spend my time
Makin' sure that Saturday's child is mine.

If you love a Wednesday
You'll live your life apart now
And if you love a Thursday
She's gonna break your heart,
So I'm in love with Saturday's child
She drives me wild
Gonna spend my time
Makin' sure that Saturday's child is mine.

Seven days of the week made to choose from
But only one is right for me
I know that Saturday's got what it takes, babe.
I can tell by the way she looks at me

Friday likes the good life
She'll take you for a ride now
And Sunday makes a good wife
But she wants to be a bride
So I'm in love with Saturday's child
She drives me wild
Gonna spend my time
Makin' sure that Saturday's child is mine.",/lyric/886164/The+Monkees/Saturday%27s+Child,"['Pop/Rock', 'Stage & Screen']",2:45,"['amiable/good-natured', 'earnest', 'bright', 'giddy', 'confident', 'freewheeling', 'happy', 'innocent']",Saturday's Child,https://www.allmusic.com/song/saturdays-child-mt0001811211
1,The Monkees,happy,The Monkees,/album/the-monkees-mw0000187061,"I'm gonna pack up my pain,
I been a keepin' in my heart,
I'm gonna catch me the fastest train
And make me a brand new start
But that's okay,
Tomorrow's gonna be another day,
Hey, hey, hey.
And I don't care what they say
Tomorrow's gonna be, tomorrow's gonna be,
Tomorrow's gonna be another day.
Yay, yay, yay,
Yay, yay, yay.

They say there's a lotta fish,
Swimmin' in the deep blue sea,
I'm gonna catch me a pretty one
And she'll be good to me.
But that's okay,
Tomorrow's gonna be another day,
Hey, hey, hey.
And I don't care what they say
Tomorrow's gonna be, tomorrow's gonna be,
Tomorrow's gonna be another day.
Yay, yay, yay,
Yay, yay, yay.

Well, I ain't gonna think about ya,
'Cause it ain't no use no more,
I'm gonna make it fine without ya,
Just like I did before,
I'm on my way.
Tomorrow's gonna be another day,
Hey, hey, hey.
And I don't care what they say
Tomorrow's gonna be, tomorrow's gonna be,
Tomorrow's gonna be another day.
Yay, yay, yay,
Yay, yay, yay.",/lyric/886166/The+Monkees/Tomorrow%27s+Gonna+Be+Another+Day,['Pop/Rock'],2:39,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",Tomorrow's Gonna Be Another Day,https://www.allmusic.com/song/tomorrows-gonna-be-another-day-mt0004505758
2,The Monkees,happy,The Monkees,/album/the-monkees-mw0000187061,"I guess I should have stayed in bed,
My pillow wrapped 'round my head.
Instead of waking up to find 
A nightmare of a different kind.
She went away,
This just doesn't seem to be my day.

She didn't have to say a lot,
Her pretty eyes revealed the plot.
'Twas someone else she want more,
And so I walked her to the door.
What can I say?
This just doesn't seem to be my day.

My, oh my, how sad am I.
How I wish she would have stayed
This just doesn't seem to be my day.

My whole world is upside down,
She turned my smile into a frown.
It's such a pity the shape I'm in,
I must get on my feet again.
Can't stay this way
This just doesn't seem to be my day.",/lyric/886170/The+Monkees/This+Just+Doesn%27t+Seem+to+Be+My+Day,['Pop/Rock'],2:09,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",This Just Doesn't Seem to Be My Day,https://www.allmusic.com/song/this-just-doesnt-seem-to-be-my-day-mt0009374199
3,The Monkees,happy,The Monkees,/album/the-monkees-mw0000187061,"Let's dance on,
Oh, baby, come on.
Let's dance on 'til the dawn,
Have fun 'til the music's all gone.

We've been dancin',
Nearly all night long.
Let's keep it up baby,
Cause the music's still strong.
We're doin' the Pony
Now you're doing the Jerk.
A come on, baby,
Let me see how you work.

Let's dance on,
Oh, baby, come on.
Let's dance on 'til the dawn,
Have fun 'til the music's all gone.

The way you're movin'
Girl, you look so fine.
You been doin' the Shotgun,
Let me see you do the Twine,
Let's see the Watusi,
And the Action too,
Now hang on, baby,
I'll do the sloopy with you.

Let's dance on,
Oh, baby, come on.
Let's dance on 'til the dawn,
Have fun 'til the music's all gone.",/lyric/886171/The+Monkees/Let%27s+Dance+On,['Pop/Rock'],2:32,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",Let's Dance On,https://www.allmusic.com/song/lets-dance-on-mt0005231165
4,The Monkees,happy,The Monkees,/album/the-monkees-mw0000187061,"I'll be true to you, yes I will
I'll be true to you, yes I will
I won't look twice when
The other girls go by
I'll be true to you, yes I will

Somehow this time, it's all so clear to me
The way to go is easy to see
My heart is sure you're
The girl I've waited for
And I'll be true to you, yes I will

Yes I will
I used to be the kind
Who said that every girl's the same
And love was just a game for having fun
But when I looked at you
I knew that I was wrong
And that I really could belong to only one

I'll be true to you, yes I will
Every dream that you have, I'll fulfill
I never promised this to anyone before
But I'll be true to you, yes I will

I'll be true to you, yes I will
Every dream that you have, I'll fulfill

I never promised this to anyone before
But I'll be true to you, yes I will
Yes I will, yes I will",/lyric/886172/The+Monkees/I%27ll+Be+True+to+You,['Pop/Rock'],2:49,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",I'll Be True to You,https://www.allmusic.com/song/ill-be-true-to-you-mt0005420932
5,The Monkees,happy,The Monkees,/album/the-monkees-mw0000187061,"(M: Now?
CR: Just a minute...
M: You know my girl...Now?
CR: Jus'...Now!
M: Now?)
You know my girl just called me up,
And she woke me from my sleep,
(D: *SNORE*
M: ...You should...)
You should have heard the things she said,
You know she hurt my feelings deep.
I'm gonna buy me a dog
(D: A dog?
M: A dog!
D: Why?
M: Why?)
'Cause I need a friend now,
(D: Babe, you need all the friends you can get, I'm telling you)
I'm gonna buy me a dog,
My girl, my girl, don't love me no how.
(M: Don't ruin my song, man, it's the only song I have!
D: It was already ruined before it was wrote!)
(M: Uh, where's the verse...)
She used to bring me my, my newspaper,
(M: Here it is...
D: You don't even know where it's at)
'Cause she knew where it was at,
She used to keep me so contented,
But, I can teach a dog to do that.
I'm gonna buy me a dog,
(D: You couldn't teach a dog to do that, you can only train elephants)
'Cause I need a friend, now,
(D: I need a friend, now...
M: Now!
D: Yeah!)
I'm gonna buy me a dog,
(D: A dog. Here, Rover, Fido, Spot...
M: A dog. Here boy!)
My girl, my girl, don't love me no how.
(M: One
D: Two
M: Three
D: Four-Six-Eight-Nine
M: 1-2-3-4-5-6-7-Hike!
D: Hike?
M: Hike!
D: I was late on that one...
M: Oh, yeah...
D: I just got back from Africa, y'know?
I was playing cards with the natives...
M: Oh! Zulus?
D: No, I usually won, ha-ha
M: Gee...I wish I had a glass of water...
D: Why, are you thirsty?
M: No, I want to see if my neck leaks...
M: I'd buy a raccoon, but, John already has one...
D: 35 bucks!
M: Where...where do I come in?
CR: Get ready...
M: ...Get ready...Ah!)
I'm gonna buy me a dog,
(D: Dog...
M: A dog...Hmmm...
D: Yeah...)
'Cause I need a friend, now,
(D: Yeah-yeah
M: Yeah, boop-boop, sh-bop-bop, ram-a-lam)
I'm gonna buy me a dog,
(CR: Try the next verse again...
M: What?)
My girl, my girl don't love me no how.
(M: How
D: Now brown cow...
M: How now, brown cow...I think I'm gonna buy me a dog, yessir!
I'm gonna buy me a dog!
If I was looking for a word to describe what I'm gonna buy,
I think dog would be the word.
D: Would it...would it be dog?
M: It would be dog..
D: Definitely dog...
M: It would come springing from my lips...dog...
D: Springing from...let's get out of here, c'mon...
M: Boing! Boing! Boing! It would be springing from my..
D: Is that it, Tommy? Can you turn it off, please?
Can someone open the door and let us out?
They're coming to take us away, ha-ha, hee-hee, ho-ho...
fade out....Sheesh!!!!",/lyric/9037630/The+Monkees/Gonna+Buy+Me+a+Dog+%5B%23%5D%5B%2A%5D%5BInstrumental%5D,['Pop/Rock'],2:44,"['amiable/good-natured', 'earnest', 'innocent', 'rousing', 'naive', 'summery', 'happy', 'whimsical']",Gonna Buy Me a Dog,https://www.allmusic.com/song/gonna-buy-me-a-dog-mt0004821134
6,The Monkees,happy,The Monkees,/album/the-monkees-mw0000187061,"If you think I want the life you choose to live 
I don't think I want the love you've got to give 
If you think my goals could be so trivial and small 
Then, I don't think you know me at all 
Born between the covers of your fashion books 
You think you can make it, girl, on just your looks 
But you could never bring me up 
Between us stands a wall 
No, I don't think you know me at all 
Believing in the promise painted in your smile 
I've chased what I was running from, girl, all my life 
I've known you a hundred times in memories I recall, but 
I don't think you know me at all 
I don't think you know me at all. 
",/lyric/875662/The+Monkees/I+Don%27t+Think+You+Know+Me,['Pop/Rock'],2:18,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",I Don't Think You Know Me,https://www.allmusic.com/song/i-dont-think-you-know-me-mt0001043984
7,Louis Jordan,happy,The Best of Louis Jordan,/album/the-best-of-louis-jordan-mw0000200578,"Let the good times roll, let the good times roll
I don't care if you're young or old
Get together, let the good times roll

Don't sit there mumblin', talkin' trash
If you wanna have a ball
You gotta go out and spend some cash, and
Let the good times roll, let the good times roll
I don't care if you're young or old
Get together, let the good times roll

Hey Mr. Landlord, lock up all the doors
When the police comes around
Just tell 'em that the joint is closed
Let the good times roll, let the good times roll
I don't care if you're young or old
Get together, let the good times roll

Hey tell everybody
Mr. King's in town
I got a dollar and a quarter
Just rarin' to clown
But don't let nobody play me cheap
I got fifty cents more that I'm gonna keep, so

Let the good times roll, let the good times roll
I don't care if you're young or old
Get together, let the good times roll

No matter whether rainy weather
Birds of a feather gotta stick together
So get yourself under control
Go out and get together and let the good times roll",/lyric/72796/Louis+Jordan/Let+the+Good+Times+Roll,['Blues'],2:45,"['celebratory', 'exuberant', 'gleeful', 'happy', 'fun', 'joyous', 'innocent', 'swaggering']",Let the Good Times Roll,https://www.allmusic.com/song/let-the-good-times-roll-mt0002525073
8,Louis Jordan,happy,The Best of Louis Jordan,/album/the-best-of-louis-jordan-mw0000200578,"Find a wheel and it goes round, round, round
As it skims along with a happy sound
As it goes along the ground, ground, ground
Till it leads you to the one you love

Then your love will hold you round, round, round
In your heart's a song with a brand new sound
And your head goes spinning round, round, round
'cause you've found what you've been dreamin' of

In the night you see the oval moon
Going round and round in tune 
And the ball of sun in the day
Makes a girl and boy want to say

Find a ring and put it round, round, round
And with ties so strong that two hearts are bound
Put it on the one you've found, found, found
For you know that this is really love

Find a wheel and it goes round, round, round
As it skims along with a happy sound
As it goes along the ground, ground, ground
Till it leads you to the one you love

Then your love, you'll hold her round, round, round
In your heart's a song with a brand new sound
And your head goes spinning round, round, round
'cause you've found what you've been dreamin' of

In the night you see the oval moon
Going round and round in tune 
And the ball of sun in the day
Makes a girl and boy want to say

Find a ring and put it round, round, round
And with ties so strong your two hearts are bound
Put it on the one you've found, found, found
For you know that this is really love

Find a ring, out it on
For you know that this is really love, really love, really love",/lyric/3283529/Louis+Jordan/Caldonia+Boogie,['Blues'],2:40,"['boisterous', 'carefree', 'amiable/good-natured', 'exuberant', 'gleeful', 'happy', 'humorous', 'playful']",Caldonia,https://www.allmusic.com/song/caldonia-mt0003024107
9,The Turtles,happy,The Turtles' Greatest Hits,/album/the-turtles-greatest-hits-mw0000192146,"From the time I fall asleep
'Til the morning comes I dream about
You baby
And I feel all right
'Cause I know tonight I'll be with
You baby
And who makes me feel like smiling
When the weary day is through

You baby, no-one but you, baby, nobody but you
You baby, no-one but you, baby, nobody but you

They say candy is sweet
But it just can't compete with
You baby
You've got everything I need
And nobody can please like
You do, baby
And who believes all my wildest dreams
And my craziest schemes will come true

You baby, no-one but you, baby, nobody but you
You baby, no-one but you, baby, nobody but you

A little ray of sunshine
A little bit of soul
Add just a touch of magic
You got the greatest thing since rock 'n' roll

You baby, no-one but you, baby, nobody but you
You baby, no-one but you, baby, nobody but you

You baby, no-one but you, baby, nobody but you
You baby, no-one but you, baby, nobody but you",/lyric/149936/The+Turtles/You+Baby,['Pop/Rock'],2:19,"['soothing', 'sugary', 'summery', 'sweet', 'amiable/good-natured', 'happy', 'springlike', 'carefree']",You Baby,https://www.allmusic.com/song/you-baby-mt0001854468
