,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,Nick Lowe,humorous,Labour of Lust,/album/labour-of-lust-mw0000190755,"Cracking up, I'm getting ready to go
Had enough, I can't take any more
No pills that I can take
This is too real and there ain't no escape
It scares the daylights
It makes a nightmare
I'm tensioned an I'm nervous

Everybody all around me
Shakin' hands and sayin' howdie
I don't think it's funny no more
Cracking up, like a worn out shoe
Ain't wet, but the world's leakin' through
I'd run, but I find no pace
I laugh, but it's wrecking me

Wrecking me
It make a shiver, it make a shake
It make a monster, just like an earthquake
Everybody havin' fun
I don't know how they can carry on
'Cause f don't think it's funny no more

At dead of night time, at crack of dawn
It comes upon me without warning
If I were a gunman I would shoot
I'd tear the hair out by the root
I'd make a knife out of a notion
All at sea in an ocean of a emotion
I don't think it's funny no more
I don't think it's funny no more

Cracking up
I don't think it's funny no more
Cracking up
I don't think it's funny no more
Cracking up
I don't think it's funny no more
Cracking up
I don't think it's funny no more
Cracking up",/lyric/743544/Nick+Lowe/Cracking+Up,['Pop/Rock'],2:59,"['cynical/sarcastic', 'freewheeling', 'humorous', 'lively', 'paranoid', 'playful', 'quirky', 'rollicking']",Cracking Up,https://www.allmusic.com/song/cracking-up-mt0040551813
1,Nick Lowe,humorous,Labour of Lust,/album/labour-of-lust-mw0000190755,"Big kick, plain scrap
You better shut that trap
Or come and get it.
You kick like a mule.
You eat like a pig.
You drink like a fish.
Oh you're a queer one, baby.
Oh, when you hold me, in the night
On drugs.
You're so nice on drugs.

Big kick, plain scrap
You better cut this crap
Or come and get it.
You monkey around
You playin' with a horse
You fish, of course,
You're a cheap one, baby.

Oh when you kiss me, in the night.
On drugs.
You're so big on drugs.

When you clip me, in the night
Yeah, at the Crest Motel
On drugs.
On drugs.
Drugs, drugs.
So nice on drugs.

Big kick, plain scrap
You better cut this crap
Or come and get it.
You monkey around
You playin' with a horse
You fish, of course,
You're a deep one, baby.

Big kick.
Big kick, plain scrap.

Big kick, big kick, big kick, plain scrap.
When you kiss me,
In the night.",/lyric/743545/Nick+Lowe/Big+Kick%2C+Plain+Scrap%21,['Pop/Rock'],2:26,"['cynical/sarcastic', 'freewheeling', 'humorous', 'irreverent', 'lively', 'playful', 'quirky', 'rollicking']","Big Kick, Plain Scrap",https://www.allmusic.com/song/big-kick-plain-scrap-mt0040551814
2,Nick Lowe,humorous,Labour of Lust,/album/labour-of-lust-mw0000190755,"Well here she comes again
Blowing everybody's circuits
Girls like that bring a lump to m pocket
Everybody says I can never get her
I've been a lot of things
But I never was a quitter I'm a born fighter
I've gotta wriggle for my will now
I'm a born fighter
How I hate it on a plate

Shoe shopping,
lapping up the grooms and uppers
I don't want to have to get
Another pair of hush puppies
I keep on looking at 47-each
But one day, I'll be laughing
With the lizards on my feet

I'm a born fighter
I've gotta wriggle for my will now
I'm a born fighter
Now I hate it on a plate
I'm a born fighter
I've gotta wriggle for my will now
I'm a born fighter

How I hate it on a plate
Well in between the pages
of the glossy magazines
There's a coffee table world
I could never ever fit in
I shout about how I could never buy it
But I stand up and fight
For the right to go and try it
I'm a born fighter
I've gotta wriggle for my will now

Said I'm a born fighter
How I hate it on a plate
I'm a born fighter
I've gotta wriggle for my will now
I'm a born fighter
How I hate it on a plate",/lyric/743546/Nick+Lowe/Born+Fighter,['Pop/Rock'],3:08,"['brash', 'bravado', 'energetic', 'exciting', 'freewheeling', 'fun', 'gleeful', 'humorous']",Born Fighter,https://www.allmusic.com/song/born-fighter-mt0040551816
3,Beastie Boys,humorous,Paul's Boutique,/album/pauls-boutique-mw0000199269,"There's a girl over there
With long brown hair
I took her to the place
I threw the mattress in her face
Took off her shirt
Took off her bra
Took off her pants
You know what I saw?

Right about now I'd like to dedicate this song out to my main homie Mike D
Get on the mic, g-get on the mic
Just get on the mic, get on the mic, Mike

Let's be real and don't cloud the issue
The rhymes are dope an M.C. you must listen to
People say that they been missin' me and missin' you
Get on the mic and let's show them like we used to
You say fuck that yo Holmes fuck this
I'm the king Ad-Whammy you're Dick Butkus
One-half science and another half soul
His name's Mike D. not Fat Morton Jelly Roll
Got busy in Frisco fooled around in Fresno
Got over on your girlie cause you know she never says no

J-just get on the mic, just get on the mic
G-get on the mic, get on the mic Mike

Well, Mike D. is a special individual
Pulling out knots and pulling in residuals
Go to the movies get the Rolos
The cholos riding slow and low
Mike on the mic and bust with the solo
Mike my stromie don't be so selfish
Get on the mic cause you know you eat shellfish

It's 4:00 a.m. I've got the Dr. Hfuhruhurr Ale
I've got nothing to lose so I'm pissin' on the third rail
Groggy eyed and fried I'm headed for the station
D-Train ride to Coney Island vacation
Dedicated to the boofers in the back of the 1 train
They'll be kicking out windows high on cocaine
And then I jump the turnstile I lost my last token
Ride between the cars pissing, smoking
Head for the last car fluorescent light blackout
Policeman told my homeboy ""yo put that crack out""
You know you light up when the lights go down
And then you read the New York Post Fulton St. downtown
Same faces every day but you don't know their names
Party people going places on the D-Train

Stop that train, I wanna get on

Check it
Trench-coat wingtip going to work
And you'll be pulling a train like Captain Kirk
Pickpocket gangsters paying their debts
I caught a bullet in the lung from Bernie Goetz
Overworked and underpaid staring at the floor
Prostitutes' spandex caught in the slide doors
Now you're tuck between the stations
And it seems like an eternity
Sweating like sardines in a flophouse fraternity
Fifty-dollar fine for disturbing the peace
The neck tortoise your Lees are creased
Hot cup of coffee and the donuts are Dunkin'
Friday night and Jamaica Queen's funkin'
Elevated platform never gonna conform
Riding over the diner where I always get my toast warm
Bust into the conductor's booth and busted out rhymes
Over the loud speaker about the hard times
Sat across from a man readin' El Diario
Riding the train down from El Barrio
Went from the station straight to Orange Julius
I brought a hot dog from who - George Drakoulias

M.C. for what I am and do
The A is for Adam and the lyrics, true
So as pray and hope and the message is sent
And I am living in the dreams that I have dreamt
Because I'm down with the three, the unstoppable three
Me and Adam and D. were born to M.C.
And my body and soul and mind are pure
Not polluted or diluted or damaged beyond cure
Just lyrics from I to you recited
Arrested, bailed but cuffed and indicted
Enter the arena as I take center stage
The lights set low and the night has come of age
Take the microphone in hand as that I am a professional
Speak my knowledge to the crowd and the ed. is special
For I am a bard but not the last one
I'm am the king and this is my castle
Dwell in realms of now but vidi those of the past
Seen a glimpse from ahead and I don't think it's gonna last
And you can bet your ass

I drop the L. when I'm skiing
I'm smoking and peaking
I put the skis on the roof almost every single weekend
Can't stop the mind-fuck when it's rolling along
Can't stop the smooth runnin' when the shit's running strong
Broke my bindings, the lion with wings
Preaching his word in the B. Boy sing
I am one with myself as I turn to thee
Prefer the dreams to reality
I prefer my life don't need no other man's wife
Don't need no crazy lifestyle with stress and strife
But it's good to have turn to be a king for a day
Or for a week, or for a year, or for a year and a day
Come what may

I'm fishing with my boat and I'm fishing for trout
Mix the Bass Ale with the Guinness Stout
Fishing for a line inside my brain
And looking out at the world through my window pane
Every day has many colors 'cause the glass is stained
Everything has changed but remains the same
So once again the mirror raised and I see myself as clear as day
And I am going to the limits of my ultimate destiny
Feeling as though somebody were testing me
He who sees the end from the beginning of time
Looking forward through all the ages
Is, was and always shall be
Check the prophetic sections of the pages

He's in line for the Disco Day

Hello Brooklyn

New York, New York, it's a hell of a town
You know the Bronx is up and I'm Brooklyn down
Because they don't know my name they only know my initials
Building bombs in the attic for elected officials
I quit my job, I cut my hair
You know I cut my boss 'cause I don't care
You tried to get slick, you bust a little chuckle
You're gonna get smacked with my gold-finger knuckle
'Cause being as fly as me is something you never thought of
You'll be sticking up old ladies with the hand gun or the sawed-off
I'm a Buffalo Soldier, broader than Broadway
Keep keepin' on I don't care what they say
I play my stereo loud it disturbs my neighbors
I want to enjoy the fruits of my labor
'Cause I am the holder of the 3-pack Bonanza
If you open the book then you will get your hand slapped
I am the keeper of the 3-pack Bonanza
If you ask a question you will get the answer
Her breast I saw I reached I felt
M-O-N-E-Y, the belt
I stay at home just like a hermit
I got the jammy but I don't got the permit
You know why?
You got a boyfriend and his name is Slick Nick
Annabelle caught with the shrimpy limp dick
I ride around town 'cause my ride is fly
I shot a man in Brooklyn
Just to watch him die

He thrusts his fists against the post and still insists he sees a ghost
He thrusts his fists against the post and still insists he sees a ghost
She's slippin' through his fingers as she's movin' out to the coast
He thrusts his fists against the post and still insists he sees a ghost

Well if your world was all black and if your world was all white
Well then you wouldn't get much color out of life now right
Nicknamed Shamrock but my name is not Shamus
Girlies on the tippy cause my homie is famous
My name is not O'Houigheighi nor is it Brian
If I said that I was weak now, you know I'd be lyin'
Suckers try to bite they try to pursue it

You explain to a musician, they know it but they can't do it

I got Chinese eyes and Chinese suits
Smokin' much Buddha and smokin' much boots
More updated on the hip-hop lingo
My favorite New York Knick was Hawthorne Wingo
Met a girl at a party and I gave her my card
Man, you know that it said Napoleon Bonaparte
Peepin' out the colors I be buggin' on Cezanne
They call me Mike D Joe Blow the Lover Man
Your face turns red as your glass of wine
That you spilled on my lyrics as you wasted my time
You should be with me, you should drop that bum
'Cause I got more flavor than Fruit Striped Gum
With that big round butt of yours
I'd like to butter your muffin I'm not bluffin'
Serve you on a platter like Thanksgiving stuffin'

Here's another one for y'all to peep
It's called M-I-K-E on the M-I-C

I met this girl last night with a peculiar cackle
I laid the bait and then she took the tackle
Had too much to drink at the Red Lobster
Now the room is spinning around like the blades of a helicopter
I never met a girl that was too finicky
If the press has their way then they're going to finish me
You might know this but you've never been this see
If I ate spinach then I'd be called Spinach D
I shed light like cats shed fur
Ride around town like Raymond Burr
I'm so high that they call me Your Highness
So if you don't know me then pardon my shyness
I live in the Village wherever I go I walk to
I keep my friends around so I have someone to talk to
I play my music loud because you know it's got clout to it
It's a trip it's got a funky beat and I can bug out to it

DJ Hurricane
When Mike D's in the house, what you gonna do
I go AWOL
Adrock's in the house, what you gonna do
I go AWOL
When MCA's in the house, what you gonna do
I go AWOL
When Hurricane's in the house, what you gonna do
He goes AWOL
St. James in the house, what's you gonna do
Home-1, what you gonna do
Got busy in the house, what you gonna do
Dust Bros. in the house, what you gonna do
Warren G. in the house, what you gonna do
Lou Gains in the house, what you gonna do
Hollis crew, what you gonna do
John Mish in the house, what you gonna do
Killa Cutty in the house, what you gonna do
Jannet J. in the house
Pat Bain's in the house
Richard Consen's in the house
Good night Amsterdamn
Now I want you all to break this down
To all the girls
All the girls",/lyric/3976120/Beastie+Boys/B-Boy+Bouillabaisse,"['Rap', 'Pop/Rock']",12:33,"['bravado', 'celebratory', 'exciting', 'exuberant', 'freewheeling', 'fun', 'humorous', 'irreverent']",B-Boy Bouillabaisse,https://www.allmusic.com/song/b-boy-bouillabaisse-mt0001466121
4,Todd Rundgren,humorous,Something/Anything?,/album/something-anything-mw0000191577,"I am a Viking of some note
Knut's my name and here I float
Out on the sea in a great big boat
And I'm the one who beats the drum in time

To stroke the oars that drive our galleons on
And while we rowed we had our song
And we had our god, and it may seem odd
But at least there was a cause

Caught a wind and we upped the sail
Lost two ships when it turned to a gale
Down went a third when she rammed on a whale
Though we despaired we could not fail

And through it all we never faltered
Late at night I lay on the decke
Wondering whye I risk my necke
Picture myselfe in a sinkinge wrecke

Ande downe I'me goinge notte knowinge whye
I just can't quite recall the reason why
It's such a drag to carry on
But there was a cause, but there was a reason

If you like I'll be your Viking
Sit you down to a Nordic meal
Give you strength that you might wield
A Viking sword and a Viking shield

And off we'll sail in mighty ships of yore
Perhaps we shouldn't let our hands get sore
We need someone to pull the oars
And to do the chores

So we need a cause, so we need a reason why
(Erik is here!)",/lyric/852091/Todd+Rundgren/Song+of+the+Viking,['Pop/Rock'],2:35,"['cerebral', 'eccentric', 'freewheeling', 'humorous', 'irreverent', 'light', 'lively', 'playful']",Song of the Viking,https://www.allmusic.com/song/song-of-the-viking-mt0011928923
5,Todd Rundgren,humorous,Something/Anything?,/album/something-anything-mw0000191577,"We figure, my daddy and me
Things are still the same, it seems
As when he lived it in his teens as a kid in school
Aaron was a junior, the class of '32

His momma called him angel,
But everybody knew he was the
King king, the gross out king
They called him Piss Aaron

They always caught him pissin' in the hall
Piss Aaron, he never would refuse when nature called
Dumb Larry from homeroom 9
Kept his locker full of weeds

Just to satisfy his smoking needs and his love of fire
Went to a game and lit a stink bomb in the bleachers
The coach, the cheer leader, and
The chem teacher, and the

Dean dean, duh dean dean was after
Dumb Larry, they always caught him smokin' in the john
Dumb Larry, you never would have missed him
When he's gone

Chuck Biscuits, conservative-jive
The biggest pig in all the school
He would sit and smack his lips and drool
As he eyed your lunch

I left a bag in his desk one night
A raw egg sandwich and when Hungry took a bite
He had to
Up chuck, uh up up-chuck, a'pukin'

Chuck Biscuits, they always caught him eatin'
In the class",/lyric/852100/Todd+Rundgren/Piss+Aaron,['Pop/Rock'],3:26,"['cheerful', 'humorous', 'irreverent', 'playful', 'quirky', 'silly', 'eccentric', 'provocative']",Piss Aaron,https://www.allmusic.com/song/piss-aaron-mt0011942870
6,Todd Rundgren,humorous,Something/Anything?,/album/something-anything-mw0000191577,"There ain't a man alive today
Who doesn't want to have the world in his hand
And everything to go his way
And abuse what he don't understand
Some people never can be satisfied
Less they push somebody else around
But I can't give no aid or take no side
I just watch them drag each other down because

Some folks is even whiter than me
Some folks is even blacker than me
I got myself caught in the middle somewhere
And that's just where I want to be

I'm talking bout the outside
Talking bout the inside too

I spent a lot of time alone
And when I'm gone you won't remember my name
But I ain't never been nobody's boss but my own
And I hope that you can say the same
And I feel just like everyone around
I like so sing my songs of change like a crooner
But if we was all to live another mile uptown
I think we'd like to get it changed a whole lot sooner",/lyric/852102/Todd+Rundgren/Some+Folks+Is+Even+Whiter+Than+Me,"['Pop/Rock', 'R&B;']",3:56,"['humorous', 'irreverent', 'playful', 'quirky', 'rousing', 'brash', 'bravado', 'freewheeling']",Some Folks Is Even Whiter Than Me,https://www.allmusic.com/song/some-folks-is-even-whiter-than-me-mt0011926268
7,Todd Rundgren,humorous,Something/Anything?,/album/something-anything-mw0000191577,"Love is infectious and I was a victim
The worst case you'd ever see
But still I know no doctor or nurse
Could cure what you gave to me

'Cause you
Really, you left me sore
You really left me sore now baby
You messed me up for sure and I don't mean maybe

'Cause you really left me sore
You didn't tell me and I didn't ask so there's
Nobody left to blame
But still I know no place I can go

That helps to relieve the pain
But now I know no good ever comes
From love on a one night stand",/lyric/852103/Todd+Rundgren/You+Left+Me+Sore,['Pop/Rock'],3:13,"['bittersweet', 'laid-back/mellow', 'playful', 'quirky', 'humorous', 'cheerful', 'irreverent', 'messy']",You Left Me Sore,https://www.allmusic.com/song/you-left-me-sore-mt0026932150
8,Todd Rundgren,humorous,Something/Anything?,/album/something-anything-mw0000191577,"See that girl, watch her dance
If I knew her name I wouldn't have to sit on my hands
If my mouth don't work I get some help
And she don't mind if I don't keep my hands to myself

You're all right
You put up such a good clean fight
I'm afraid that you lose tonight

S-L-U-T

She may be a slut but she looks good to me
You're so clean, so refined
You don't care to get messy just to have a good time
She's got saggy thighs and baggy eyes
But she loves me in a way I can still recognize",/lyric/852104/Todd+Rundgren/Slut,['Pop/Rock'],4:03,"['freewheeling', 'hedonistic', 'humorous', 'irreverent', 'outrageous', 'rowdy', 'sleazy', 'snide']",Slut,https://www.allmusic.com/song/slut-mt0035014044
9,The Who,humorous,The Who Sell Out,/album/the-who-sell-out-mw0000652659,"If you're troubled and you can't relax
Close your eyes and think on this
If the rumors floating in your head all turn to facts
Close your eyes and think on this

Armenia, city in the sky
Armenia, city in the sky

If you ever want to lose some time
Just take off, there's no risk
If you ever want to disappear
Just take off and think of this

Armenia, city in the sky
Armenia, city in the sky

The sky is glass but the sea is brown
And everyone is upside down

Armenia, city in the sky
Armenia, city in the sky

Freak out!
Freak out!",/lyric/886024/The+Who/Armenia+City+in+the+Sky,['Pop/Rock'],3:48,"['irreverent', 'dreamy', 'eccentric', 'humorous', 'playful', 'theatrical', 'cynical/sarcastic', 'druggy']",Armenia City in the Sky,https://www.allmusic.com/song/armenia-city-in-the-sky-mt0006178503
