,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,The Monkees,naive,More of the Monkees,/album/more-of-the-monkees-mw0000651540,"When love comes knockin' at your door
Just open up and let I'm in.
Its gonna be a magic carpet ride;
So little girl now don't you run and hide.

I know that you've been hurt before
But don't you be afraid no more.
Throw off the chains that bind
And leave the past behind;
When love comes knocking at your door.

When love comes knocking at your door
Just open up and let I'm in.
Its gonna be a magic carpet ride;
So little girl now don't you run and hide.
You'll see a rainbow every day,
The sun will shine in every way.
Throw off the chains that bind
And leave the past behind;
No need to worry anymore,
When love comes knocking at your door
At your door,
At your door,
At your door.",/lyric/2052724/The+Monkees/When+Love+Comes+Knockin%27+%28At+Your+Door%29,['Pop/Rock'],1:49,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",When Love Comes Knockin' (At Your Door),https://www.allmusic.com/song/when-love-comes-knockin-at-your-door-mt0004264817
1,The Monkees,naive,More of the Monkees,/album/more-of-the-monkees-mw0000651540,"I know about the guy who treated you so bad
He took your love and then just walked away
I know that you have got a reason to be sad
But help is on its way

Hold on, girl; be a little bit stronger
Hold on, girl; wait a little bit longer
Hold on, girl, help is on its way

I know you feel as though your world is at an end
But you don't have to live with yesterday
I promise you the sun is gonna shine again
And help is on its way

Hold on, girl; now that we are together
Hold on, girl; things are gonna be better
Hold on, girl, help is on its way",/lyric/887280/The+Monkees/Hold+on+Girl+%5B%2A%5D,['Pop/Rock'],2:29,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",Hold on Girl,https://www.allmusic.com/song/hold-on-girl-mt0000528081
2,The Monkees,naive,More of the Monkees,/album/more-of-the-monkees-mw0000651540,"Girl, you look mighty good to me
And I know that you've got to be
The kind of girl I could love.

You've got the sweetest pair of eyes
And your kiss would be paradise
You're the kind of girl I could love.

You do something to my soul
That no one's ever done.
If you're looking for true love
Then let me be the one.

Girl, deep in my soul I'm sure
And my heart has no doubt that you're
The kind of girl I could love.
The kind of girl I could love.
[Repeat until fade]",/lyric/9037624/The+Monkees/The+Kind+of+Girl+I+Could+Love+%5BAlternate+Mix%5D%5B%23%5D%5B%2A%5D,['Pop/Rock'],1:53,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",The Kind of Girl I Could Love,https://www.allmusic.com/song/the-kind-of-girl-i-could-love-mt0004074720
3,The Monkees,naive,More of the Monkees,/album/more-of-the-monkees-mw0000651540,"There'll be birds singin' everywhere,
And the wind will be blowin' through your hair.
I'll look in your eyes 
And wait for the prize
Your lips kissing mine 
With a love that is real.
And you'll look so young and fair

On the day we fall in love!
You and me
On the day we fall in love.
You'll see!

There'll be rainbows reachin' cross the sky
And we'll both be so happy we will cry.
We'll walk hand in hand
In snow or in sand
Whether roses are blooming
Or snowmen stand by.
Time will stop, for you and I

On the day we fall in love!
It will be on the day we fall in love.
You'll see!

And if the lines that I say fall apart,
It's because I won't know where to start.
But you'll understand when I say them to you,
'Cause they'll come straight from my heart.

On the day we fall in love,
You and me,
On the day we fall in love,
You'll see,
You'll see.",/lyric/2052732/The+Monkees/The+Day+We+Fall+in+Love,['Pop/Rock'],2:26,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",The Day We Fall in Love,https://www.allmusic.com/song/the-day-we-fall-in-love-mt0000567132
4,The Monkees,naive,More of the Monkees,/album/more-of-the-monkees-mw0000651540,"Ev'ry face that I see is all wrapped up in frowns,
And unfortunately, it kind of gets me down.
Laugh,
'Cause the music is funny
Yeah, the bass sounds off-beat.
Ain't that neat.
Laugh,
When you lose all your money,
Or you can't find your shoes
To cover your feet.

It's not so hard to see exactly what I'm after.
Sometimes a tear should fall, but I require giggles and chuckles
Laugh,
When you're keepin' a secret
And it seems to be known
By the rest of the world.
Laugh,
When you go to a party,
And you can't tell the boys 
From the girls.

Every face that I see is all wrapped up in frowns
And unfortunately, it kind of gets me down.
Laugh,
At the things that are wrong.
If you thinks it's this song,
Then laugh.
Then laugh.
Then laugh.

[Repeat to fade]",/lyric/2052734/The+Monkees/Laugh,['Pop/Rock'],2:30,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",Laugh,https://www.allmusic.com/song/laugh-mt0005457301
5,The Monkees,naive,More of the Monkees,/album/more-of-the-monkees-mw0000651540,"Don't listen to Linda
She said all those things before
She's just a pretender,
And though you couldn't love her more
She'll lead you on, and then one day
She'll say you'll have to part
Don't listen to Linda
She'll only break your heart.

Don't listen to Linda
If you want some good advice,
Just try to remember,
She did it once, she'll do it twice
There's more to her little games,
Than your eyes can see,
Don't listen to Linda,
Or you'll end up like me.

You'll never understand her
All the presents you could hand her,
Could never be enough, oh no,
So, don't underestimate her,
'cause sooner or later,
The goings gonna start to get rough.

Don't listen to Linda,
Don't believe the things you hear.
You'll end up, contender,
For the Loser Of The Year.
I've said everything I can
To try and make you see
Don't listen to Linda,
Or you'll end up like me.",/lyric/9037669/The+Monkees/Don%27t+Listen+to+Linda+%5BFirst+Recorded+Version%5D%5B%2A%5D,['Pop/Rock'],2:28,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",Don't Listen to Linda,https://www.allmusic.com/song/dont-listen-to-linda-mt0004143416
6,The Monkees,naive,More of the Monkees,/album/more-of-the-monkees-mw0000651540,"People come and people go
Movin' fast and movin' slow
I'm in a crowd yet I'm all alone
The road is long the road is rough
I do believe I've had enough
I'm gonna turn around and head for home.

And I hope you're there
And you still care
And if you do,
I'll spend my life with you.

I've had all the time I need
To rearrange my mind and lead
The life I thought I wanted yesterday
I played a game that couldn't last
And now some mem'ries from the past
Have turned my thoughts around a different way.

And girl, I find
You're still on my mind.
And if you want me to
I'll spend my life with you.

And girl, I find
You're still on my mind.
And if you want me to
I'll spend my life with you.",/lyric/887228/The+Monkees/I%27ll+Spend+My+Life+With+You,['Pop/Rock'],2:30,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",I'll Spend My Life With You,https://www.allmusic.com/song/ill-spend-my-life-with-you-mt0001440679
7,The Monkees,naive,More of the Monkees,/album/more-of-the-monkees-mw0000651540,"If you think I want the life you choose to live 
I don't think I want the love you've got to give 
If you think my goals could be so trivial and small 
Then, I don't think you know me at all 
Born between the covers of your fashion books 
You think you can make it, girl, on just your looks 
But you could never bring me up 
Between us stands a wall 
No, I don't think you know me at all 
Believing in the promise painted in your smile 
I've chased what I was running from, girl, all my life 
I've known you a hundred times in memories I recall, but 
I don't think you know me at all 
I don't think you know me at all. 
",/lyric/875662/The+Monkees/I+Don%27t+Think+You+Know+Me,['Pop/Rock'],2:19,"['amiable/good-natured', 'earnest', 'innocent', 'naive', 'summery', 'happy', 'whimsical', 'carefree']",I Don't Think You Know Me,https://www.allmusic.com/song/i-dont-think-you-know-me-mt0000324521
8,Donny Osmond,naive,Somewhere in Time,/album/somewhere-in-time-mw0000662029,"Could I be right, could I be right ?bout you, baby?
Could I be right, could I be right for sure?
Could I be right, could I be right ?bout you, baby?

Since I met you I've begun to feel so strange
Every time I speak your name
You say that you are so helpless too
That you don't know what to do

Each night I pray there will never come a day
When you up and take your love away
Say you feel the same way too and I wonder
What it is I feel for you?

Could it be I'm falling in love?
Could it be I'm falling in love?
Could it be I'm falling in love with you?
With you, with you

I don't need all those things that used to bring me joy
You made me such a happy boy
And honey, you'll always be the only one for me
Meeting you was my destiny

You can be sure I will never let you down
When you need me I?ll be around
And you'll always be the only one for me
Heaven made you specially

Could it be I'm falling in love?
Could it be I'm falling in love?
Could it be I'm falling in love with you?
With you, with you

With you, babe
Could I be right, could I be right ?bout you, baby?
Could I be right, could I be right for sure?
Could I be right, could I be right ?bout you, baby?

I'm in love with you, baby
Every time I see you
I'm in love with you, baby

Could it be I'm falling in love?
Could it be I'm falling in love?
Could it be I'm falling in love with you?
With you, with you

With you, with you, with you",/lyric/5861089/Donny+Osmond/Could+It+Be+I%27m+Falling+in+Love,['Pop/Rock'],3:40,"['innocent', 'naive', 'light', 'sugary', 'atmospheric', 'confident', 'dreamy', 'refined']",Could It Be I'm Falling in Love,https://www.allmusic.com/song/could-it-be-im-falling-in-love-mt0013123295
9,Donny Osmond,naive,Somewhere in Time,/album/somewhere-in-time-mw0000662029,"And they called it puppy love
Oh, I guess they'll never know
How a young heart really feels
And why I love her so

And they called it puppy love
Just because we're in our teens
Tell them all, please tell them it isn't fair
To take away my only dream

I cry each night my tears for you
My tears are all in vain
I'll hope and I'll pray that maybe someday
You'll be back in my arms once again

Someone, help me, help me, help me please
Is the answer up above
How can I, oh how can I tell them
This is not a puppy love

Someone, help me, help me, help me please
Is the answer up above
How can I, oh how can I tell them
This is not a puppy love, not a puppy love",/lyric/18470049/Donny+Osmond/Puppy+Love,['Pop/Rock'],2:49,"['innocent', 'naive', 'light', 'sugary', 'atmospheric', 'confident', 'dreamy', 'refined']",Puppy Love,https://www.allmusic.com/song/puppy-love-mt0030267658
10,Donny Osmond,naive,"Decades, Vol. 1: Love…",/album/decades-vol-1-love-songs-of-the-70s-mw0000477785,"You ask me if I love you and I choke on my reply
I'd rather hurt you honestly than mislead you with a lie
And who am I to judge you on what you say or do?
I'm only just beginning to see the real you

[Chorus]
And sometimes when we touch, the honesty's too much
And I have to close my eyes and hide
I wanna hold you till I die, till we both break down and cry
I wanna hold you till the fear in me subsides

Romance and all its strategy leaves me battling with my pride
But through the insecurity some tenderness survives
I'm just another writer still trapped within my truth
A hesitant prizefighter still trapped within my youth

[Chorus]

At times I'd like to break you and drive you to your knees
At times I'd like to break through and hold you endlessly

At times I understand you and I know how hard you've tried
I've watched while love commands you; I've watched love pass you by
At times I think we're drifters still searching for a friend
A brother or a sister, but then the passion flares again

[Chorus]",/lyric/10065456/Donny+Osmond/Sometimes+When+We+Touch,"['Pop/Rock', 'International']",4:27,"['elegant', 'innocent', 'refined', 'freewheeling', 'naive', 'gentle', 'intimate', 'nostalgic']",Sometimes When We Touch,https://www.allmusic.com/song/sometimes-when-we-touch-mt0005938240
11,Donny Osmond,naive,"Decades, Vol. 1: Love…",/album/decades-vol-1-love-songs-of-the-70s-mw0000477785,"I, I'm so in love with you
Whatever you want to do is alright with me
'Cause you make me feel so brand new
And I want to spend my life with you

Me sayin' since, baby, since we've been together, ooh
Loving you forever, oh, is what I need
Let me be the one you come running to
And I want to spend my life with you, ooh, baby

Let's, let's stay together
Loving you whether, whether
Times are good or bad, happy or sad, ooh, yeah
Whether times are good or bad, happy or sad

Why somebody, why people break up?
Oh, turn around and make up, I just can't see
You'd never do that to me, would you baby?
Being around you is all I see

It's why I want us to stay, let's stay together
Loving you whether, whether
Times are good or bad, happy or sad, come on

Let's, let's stay together
Loving you whether, whether
Times are good or bad, happy or sad

Let's, let's stay together
Loving you whether, whether
Times are good or bad, happy or sad, come on

Let's, let's stay together",/lyric/10065457/Donny+Osmond/Let%27s+Stay+Together,"['Pop/Rock', 'International', 'R&B;']",3:48,"['elegant', 'innocent', 'refined', 'freewheeling', 'naive', 'atmospheric', 'gentle', 'intimate']",Let's Stay Together,https://www.allmusic.com/song/lets-stay-together-mt0006041311
