,album_artist,album_mood,album_title,allmusic_href,lyrics,lyrics_href,track_genres,track_length,track_moods,track_title,track_url
0,The Beatles,warm,1967-1970,/album/1967-1970-mw0000263501,"Billy Shears

What would you think if I sang out of tune?
Would you stand up and walk out on me?
Lend me your ears and I'll sing you a song
And I'll try not to sing out of key

Oh, I get by with a little help from my friends
Mm, I get high with a little help from my friends
Mm, gonna try with a little help from my friends

What do I do when my love is away?
Does it worry you to be alone?
How do I feel by the end of the day?
Are you sad because you're on your own?

No, I get by with a little help from my friends
Mm, get high with a little help from my friends
Mm, gonna try with a little help from my friends

Do you need anybody?
I need somebody to love
Could it be anybody?
I want somebody to love

Would you believe in a love at first sight?
Yes, I'm certain that it happens all the time
What do you see when you turn out the light?
I can't tell you, but I know it's mine

Oh, I get by with a little help from my friends
Mm, get high with a little help from my friends
Oh, I'm gonna try with a little help from my friends

Do you need anybody?
I just need someone to love
Could it be anybody?
I want somebody to love

Oh, I get by with a little help from my friends
Mm, gonna try with a little help from my friends
Oh, I get high with a little help from my friends
Yes, I get by with a little help from my friends
With a little help from my friends",/lyric/23439/The+Beatles/With+a+Little+Help+from+My+Friends,['Pop/Rock'],2:44,"['amiable/good-natured', 'playful', 'quirky', 'sweet', 'warm', 'whimsical', 'earnest', 'rollicking']",With a Little Help from My Friends,https://www.allmusic.com/song/with-a-little-help-from-my-friends-mt0039448899
1,The Beatles,warm,1967-1970,/album/1967-1970-mw0000263501,"Jojo was a man who thought he was a loner
But he knew it wouldn't last
Jojo left his home in Tucson, Arizona
For some California grass

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged
Get back Jojo, go home

Get back, get back
Back to where you once belonged
Get back, get back
Back to where you once belonged
Get back Jo

Sweet Loretta Martin thought she was a woman
But she was another man
All the girls around her say she's got it coming
But she gets it while she can

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged
Get back Loretta, go home

Get back, get back
Get back to where you once belonged
Get back, get back
Get back to where you once belonged

Get back, get back
Get back to where you once belonged
Get back, get back, get back",/lyric/757846/The+Beatles/Get+Back+%5BAka+No+Pakistanis%5D,['Pop/Rock'],3:12,"['freewheeling', 'humorous', 'irreverent', 'playful', 'rollicking', 'rousing', 'fun', 'warm']",Get Back,https://www.allmusic.com/song/get-back-mt0039448913
2,The Beatles,warm,1967-1970,/album/1967-1970-mw0000263501,"Don't let me down, don't let me down
Don't let me down, don't let me down

Nobody ever loved me like she does
Oh, she does, yeah, she does
And if somebody loved me like she do me
Oh, she do me, yes, she does

Don't let me down, don't let me down
Don't let me down, don't let me down

I'm in love for the first time
Don't you know it's gonna last
It's a love that lasts forever
It's a love that had no past

Don't let me down, don't let me down
Don't let me down, don't let me down

And from the first time that she really done me
Oh, she done me, she done me good
I guess nobody ever really done me
Oh, she done me, she done me good

Don't let me down, don't let me down
Don't let me down",/lyric/757909/The+Beatles/Don%27t+Let+Me+Down+%5BFragment%5D,['Pop/Rock'],3:35,"['passionate', 'searching', 'urgent', 'yearning', 'warm', 'earnest', 'poignant']",Don't Let Me Down,https://www.allmusic.com/song/dont-let-me-down-mt0039448914
3,Van Morrison,warm,Moondance,/album/moondance-mw0000191087,"Half a mile from the county fair
And the rain came pourin' down
Me and Billy standin' there
With a silver half a crown

Hands are full of a fishin' rod
And the tackle on our backs
We just stood there gettin' wet
With our backs against the fence

Oh, the water
Oh, the water
Oh, the water
Hope it don't rain all day

And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me
And it stoned me to my soul
Stoned me just like goin' home
And it stoned me

Then the rain let up and the sun came up
And we were gettin' dry
Almost let a pick-up truck nearly pass us by
So we jumped right in and the driver grinned

And he dropped us up the road
Yeah, we looked at the swim and we jumped right in
Not to mention fishing poles

Oh, the water
Oh, the water
Oh, the water
Let it run all over me

And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me
And it stoned me to my soul
Stoned me just like goin' home
And it stoned me

On the way back home we sang a song
But our throats were getting dry
Then we saw the man from across the road
With the sunshine in his eyes

Well he lived all alone in his own little home
With a great big gallon jar
There were bottles too, one for me and you
And he said Hey! There you are

Oh, the water
Oh, the water
Oh, the water
Get it myself from the mountain stream

And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me
And it stoned me to my soul
Stoned me just like goin' home
And it stoned me

And it stoned me to my soul
Stoned me just like Jelly Roll
And it stoned me
And it stoned me to my soul
Stoned me just like goin' home
And it stoned me",/lyric/101722/Van+Morrison/And+It+Stoned+Me,"['Pop/Rock', 'R&B;']",4:32,"['enigmatic', 'nostalgic', 'warm', 'yearning', 'earnest', 'sensual', 'summery', 'literate']",And It Stoned Me,https://www.allmusic.com/song/and-it-stoned-me-mt0047966627
4,Van Morrison,warm,Moondance,/album/moondance-mw0000191087,"Well, it's a marvelous night for a moondance
With the stars up above in your eyes
A fantabulous night to make romance
'Neath the cover of October skies
And all the leaves on the trees are falling
To the sound of the breezes that blow
And I'm trying to please to the calling
Of your heart-strings that play soft and low
And all the night's magic seems to whisper and hush
And all the soft moonlight seems to shine in your blush 

Can I just have one more moondance with you, my love
Can I just make some more romance with you, my love 

Well, I want to make love to you tonight
I can't wait 'til the morning has come
And I know now the time is just right
And straight into my arms you will run
And when you come my heart will be waiting
To make sure that you're never alone
There and then all my dreams will come true, dear
There and then I will make you my own
And every time I touch you, you just tremble inside
And I know how much you want me that you can't hide 

Can I just have one more moondance with you, my love
Can I just make some more romance with you, my love 

Well, it's a marvelous night for a moondance
With the stars up above in your eyes
A fantabulous night to make romance
'Neath the cover of October skies
And all the leaves on the trees are falling
To the sound of the breezes that blow
And I'm trying to please to the calling
Of your heart-strings that play soft and low
And all the night's magic seems to whisper and hush
And all the soft moonlight seems to shine in your blush 

Can I just have one more moondance with you, my love
Can I just make some more romance with you, my love 

One more moondance with you in the moonlight
On a magic night
La, la, la, la in the moonlight
On a magic night
Can't I just have one more dance with you my love",/lyric/29627107/Van+Morrison/Moondance+%5BTake+22%5D+%5B%23%5D%5BTake%5D,"['Jazz', 'Pop/Rock', 'R&B;', 'Stage & Screen']",4:34,"['laid-back/mellow', 'organic', 'romantic', 'soothing', 'sophisticated', 'warm', 'calm/peaceful', 'gentle']",Moondance,https://www.allmusic.com/song/moondance-mt0047966628
5,Van Morrison,warm,Moondance,/album/moondance-mw0000191087,"When all the dark clouds roll away
And the sun begins to shine
I see my freedom from across the way
And it comes right in on time
Well it shines so bright and it gives so much light
And it comes from the sky above
Make me feel so free make me feel like me
And it lights my life with love

And it seems like (seems like) and it feels like (feels like)
And it seems like (seems like), yes it feels like (feels like)
A brand new day
A brand new day, yeah, yeah

I was lost and double crossed
With my hands behind my back
I was longtime hurt and thrown in the dirt
Shoved out on the railroad track
I've been used, abused and so confused
And I didn't have nowhere to run
But I stood and looked
And my eyes got hooked
On that beautiful morning sun

And it seems like (seems like) and it feels like (feels like)
And it seems like (seems like), yes it feels like (feels like)
A brand new day
A brand new day, yeah, yeah

And the sun shines down all on the ground
Yeah and the grass is oh so green
And my heart is still and I've got the will
And I don't really feel so mean
Here it comes, here it comes
Here it comes right now
And it comes right in on time
Well it eases me and it pleases me
And it satisfies my mind

And it seems like (seems like) yes it feels like (feels like)
And it seems like (seems like), yes it feels like (feels like)
A brand new day
A brand new day, yeah, yeah, brand new day",/lyric/29627121/Van+Morrison/Brand+New+Day+%5BTake+7%5D+%5B%23%5D%5BTake%5D,"['R&B;', 'Pop/Rock']",5:10,"['bright', 'warm', 'organic', 'soothing', 'spiritual', 'amiable/good-natured', 'passionate', 'poignant']",Brand New Day,https://www.allmusic.com/song/brand-new-day-mt0047966634
6,Van Morrison,warm,Moondance,/album/moondance-mw0000191087,"And they'll lay you down low in the easy
And the lips that you kiss will say Christmas.
And the miles that you traveled the distance

So believe no lies, dry your eyes and realize
That surprise
La, la, la, la la, la, la, la, la, la, la, la
And the businessmen will shake hands and talk in numbers
And the princess will wake up from her slumber
Then all the knights will step forth with their arm bands
And ev'ry stranger you meet in the street will make demands
So believe no lies, then dry your eyes and realize
That surprise
La, la, la, la la, la, la, la, la, la, la, la

And we'll send you glad tidings from New York
Open up your eyes so you may see
Ask you not to read between the lines
Hope that you will come in right on time
And they'll talk to you while you're in trances
And you'll visualize not taking any chances
But meet them halfway with love, peace and persuasion
And expect them to rise for the occasion
Don't it gratify when you see it materialize
Right in front of your eyes
That surprise

La, la, la, la la, la, la, la, la, la, la, la

And we'll send you glad tidings from New York
Open up your eyes so you may see
Ask you not to read between the lines
Hope that you will come in right on time
And they'll lay you down low and easy",/lyric/29627117/Van+Morrison/Glad+Tidings+%5BTake+9%5D+%5B%23%5D%5BTake%5D,['Pop/Rock'],3:40,"['warm', 'calm/peaceful', 'elegant', 'passionate', 'sophisticated', 'gentle', 'laid-back/mellow', 'soothing']",Glad Tidings,https://www.allmusic.com/song/glad-tidings-mt0047966636
7,Van Morrison,warm,Still on Top: The Greatest…,/album/still-on-top-the-greatest-hits-mw0000491040,"Well, it's a marvelous night for a moondance
With the stars up above in your eyes
A fantabulous night to make romance
'Neath the cover of October skies
And all the leaves on the trees are falling
To the sound of the breezes that blow
And I'm trying to please to the calling
Of your heart-strings that play soft and low
And all the night's magic seems to whisper and hush
And all the soft moonlight seems to shine in your blush 

Can I just have one more moondance with you, my love
Can I just make some more romance with you, my love 

Well, I want to make love to you tonight
I can't wait 'til the morning has come
And I know now the time is just right
And straight into my arms you will run
And when you come my heart will be waiting
To make sure that you're never alone
There and then all my dreams will come true, dear
There and then I will make you my own
And every time I touch you, you just tremble inside
And I know how much you want me that you can't hide 

Can I just have one more moondance with you, my love
Can I just make some more romance with you, my love 

Well, it's a marvelous night for a moondance
With the stars up above in your eyes
A fantabulous night to make romance
'Neath the cover of October skies
And all the leaves on the trees are falling
To the sound of the breezes that blow
And I'm trying to please to the calling
Of your heart-strings that play soft and low
And all the night's magic seems to whisper and hush
And all the soft moonlight seems to shine in your blush 

Can I just have one more moondance with you, my love
Can I just make some more romance with you, my love 

One more moondance with you in the moonlight
On a magic night
La, la, la, la in the moonlight
On a magic night
Can't I just have one more dance with you my love",/lyric/29627107/Van+Morrison/Moondance+%5BTake+22%5D+%5B%23%5D%5BTake%5D,"['Jazz', 'Pop/Rock', 'R&B;', 'Stage & Screen']",4:32,"['laid-back/mellow', 'organic', 'romantic', 'soothing', 'sophisticated', 'warm', 'calm/peaceful', 'gentle']",Moondance,https://www.allmusic.com/song/moondance-mt0009683358
8,Eric Clapton,warm,MTV Unplugged,/album/mtv-unplugged-mw0000081583,"Hey hey. Hey hey, baby, hey.
Hey hey. Hey hey, baby, hey.
I love you baby,
Sure ain't gonna be your dog.

Hey hey. Hey hey, baby, hey.
Hey hey. Hey hey, baby, hey.
My arms around you baby,
All I can say is hey.

Hey hey. Hey hey, baby, hey.
Hey hey. Hey hey, baby, hey.
I love you baby,
Sure ain't gonna be your dog.

Hey hey. You lost your good thing now.
Hey hey. You lost your good thing now.
You had me fooled,
I found it out somehow.",/lyric/2738912/Eric+Clapton/Hey+Hey,['Pop/Rock'],3:16,"['laid-back/mellow', 'light', 'organic', 'relaxed', 'warm', 'amiable/good-natured', 'cheerful', 'intimate']",Hey Hey,https://www.allmusic.com/song/hey-hey-mt0008323533
9,Eric Clapton,warm,MTV Unplugged,/album/mtv-unplugged-mw0000081583,"I must be invisible
No one knows me.
I have crawled down dead-end streets
On my hands and knees.

I was born with a ragin' thirst,
A hunger to be free,
But I've learned through the years.
Don't encourage me.

[Chorus:]
'cause I'm a lonely stranger here,
Well beyond my day.
And I don't know what's goin' on,
So I'll be on my way.

When I walk, stay behind;
Don't get close to me,
'cause it's sure to end in tears,
So just let me be.

Some will say that I'm no good;
Maybe I agree.
Take a look then walk away.
That's all right with me.

[Chorus]",/lyric/2738914/Eric+Clapton/Lonely+Stranger,['Pop/Rock'],5:27,"['laid-back/mellow', 'light', 'organic', 'relaxed', 'warm', 'amiable/good-natured', 'cheerful', 'intimate']",Lonely Stranger,https://www.allmusic.com/song/lonely-stranger-mt0003135700
